period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
64,118799,206113,71365339,269734,17,45064,11960,53885,1447339,27244,290216,4124,0.43
65,127873,209121,72328888,284854,17,45064,11960,54780,1472877,27244,290216,4124,0.75
66,132341,212125,73304562,292585,17,45064,11960,55865,1490515,27244,290216,4124,0.33
67,142257,215147,74269414,307748,17,45064,11960,56447,1514853,27244,290216,4124,0.68
68,147042,218165,77106963,315612,17,45064,11960,57414,1531856,27244,290216,4124,0.33
69,154391,220965,76214558,327525,17,45064,11960,58177,1555750,27244,290216,4124,0.52
70,158695,224047,77191381,334746,17,45064,11960,58974,1572795,27244,290216,4124,0.30
71,162621,227130,78167490,341614,17,45064,11960,59991,1589896,27244,290216,4124,0.27
72,165770,230131,79149624,346968,17,45064,11960,61170,1602637,27244,290216,4124,0.21
73,179095,239379,82081348,370225,17,45064,11960,63820,1650514,27244,290216,4124,0.23
74,182953,242458,83061385,376759,17,45064,11960,64881,1664415,27244,290216,4124,0.26
75,185865,245542,84041377,384040,17,45064,11960,65855,1678967,27244,290216,4124,0.28
76,185865,248624,85020607,390525,17,45064,11960,66725,1697705,27244,290216,4124,0.27
77,185865,251722,86002938,395209,17,45064,11960,67501,1713465,27244,290216,4124,0.17
78,191961,254797,86977950,403883,17,45064,11960,68323,1730971,27244,290216,4124,0.29
79,199914,261036,88932998,417656,17,45064,11960,70332,1762927,27244,290216,4124,0.25
80,205906,263827,89908634,427204,17,45064,11960,71210,1779662,27244,290216,4124,0.41
81,211696,266910,90880256,437153,17,45064,11960,71983,1799888,27244,290216,4124,0.40
82,215604,270022,91855624,445311,17,45064,11960,72759,1818325,27244,290216,4124,0.28
83,221517,273125,92829297,454788,17,45064,11960,73583,1836770,27244,290216,4124,0.43
84,229844,275942,93800480,467880,17,45064,11960,74339,1857229,27244,290216,4124,0.56
85,233217,278704,94772292,474155,17,45064,11960,75262,1879614,27244,290216,4124,0.22
86,237652,281673,95748041,482003,17,45064,11960,76208,1896654,27244,290216,4124,0.31
87,242155,284666,96725181,489678,17,45064,11960,76894,1913807,27244,290216,4124,0.31
88,247334,287899,97700477,498073,17,45064,11960,77736,1931575,27244,290216,4124,0.36
89,253658,290881,98671377,507976,17,45064,11960,78495,1952704,27244,290216,4124,0.43
90,258790,294135,102007582,516528,17,45064,11960,79158,1967763,27244,290216,4124,0.36
91,263268,297161,100628368,524924,17,45064,11960,79855,1984774,27244,290216,4124,0.31
92,269063,300244,101602130,534742,17,45064,11960,80894,2002751,27244,290216,4124,0.40
93,276839,303511,102571313,547145,17,45064,11960,81587,2023424,27244,290216,4124,0.53
94,279229,306752,103552040,551544,17,45064,11960,82437,2038243,27244,290216,4124,0.17
95,285296,310011,104525630,561380,17,45064,11960,83269,2057006,27244,290216,4124,0.43
96,291500,313044,105501755,571469,17,45064,11960,84216,2073810,27244,290216,4124,0.40
97,297153,316263,106473229,580578,17,45064,11960,85083,2094601,27244,290216,4124,0.39
98,304222,319253,107443663,592112,17,45064,11960,85742,2115182,27244,290216,4124,0.50
99,310911,322349,108416413,602647,17,45064,11960,86762,2133759,27244,290216,4124,0.47
100,319256,325595,109386311,615638,17,45064,11960,87414,2153496,27244,290216,4124,0.58
101,324249,328828,110360765,624588,17,45064,11960,88153,2171342,27244,290216,4124,0.34
102,330754,332084,111330824,635026,17,45064,11960,88911,2192964,27244,290216,4124,0.46
103,338090,335336,112302722,646601,17,45064,11960,89634,2211723,27244,290216,4124,0.50
104,344005,338576,113276217,656339,17,45064,11960,90572,2229713,27244,290216,4124,0.41
105,351320,341837,114248662,667568,17,45064,11960,91148,2248464,27244,290216,4124,0.50
106,357298,344992,115225842,676890,17,45064,11960,91902,2263634,27244,290216,4124,0.41
107,363327,348184,116200035,686497,17,45064,11960,92742,2281216,27244,290216,4124,0.43
108,374070,354129,118150385,704578,17,45064,11960,94510,2315321,27244,290216,4124,0.40
109,377709,356934,119126953,710941,17,45064,11960,95300,2333584,27244,290216,4124,0.25
110,383377,360134,120101888,720728,17,45064,11960,96366,2351880,27244,290216,4124,0.39
111,388208,362934,121078334,728744,17,45064,11960,96982,2369206,27244,290216,4124,0.33
112,396003,366191,122048784,740666,17,45064,11960,97765,2388922,27244,290216,4124,0.54
113,400323,369442,123024394,747861,17,45064,11960,98663,2406771,27244,290216,4124,0.30
114,404897,372703,124001062,755487,17,45064,11960,99398,2423185,27244,290216,4124,0.31
115,409719,375945,124979509,763355,17,45064,11960,100222,2437724,27244,290216,4124,0.34
116,418537,378979,125950014,776833,17,45064,11960,100883,2458499,27244,290216,4124,0.60
117,426101,381772,126922715,788768,17,45064,11960,101773,2476217,27244,290216,4124,0.53
118,431593,384913,127897304,797625,17,45064,11960,102652,2493793,27244,290216,4124,0.38
119,437015,387989,128871129,805961,17,45064,11960,103404,2513302,27244,290216,4124,0.37
120,442582,391119,129845620,816008,17,45064,11960,104238,2531906,27244,290216,4124,0.39
121,455097,397620,131789541,837221,17,45064,11960,105919,2570693,27244,290216,4124,0.38
122,459226,400748,132766727,845329,17,45064,11960,106939,2586531,27244,290216,4124,0.29
123,464360,403877,133741367,853806,17,45064,11960,107772,2604597,27244,290216,4124,0.36
124,478176,413623,136665225,876930,17,45064,11960,110489,2659086,27244,290216,4124,0.26
125,485427,417201,137635484,888383,17,45064,11960,111413,2679371,27244,290216,4124,0.50
126,490413,419881,138610038,896611,17,45064,11960,112215,2697166,27244,290216,4124,0.34
127,495918,423121,139586920,906370,17,45064,11960,113107,2712222,27244,290216,4124,0.39
128,500481,426378,140560153,913969,17,45064,11960,113906,2732231,27244,290216,4124,0.32
129,504079,429626,141539028,920250,17,45064,11960,114897,2747404,27244,290216,4124,0.25
130,515430,436055,143490014,938711,17,45064,11960,116634,2780286,27244,290216,4124,0.37
131,521543,439310,144464018,948427,17,45064,11960,117380,2798178,27244,290216,4124,0.43
132,528557,442567,145436256,959591,17,45064,11960,118351,2816279,27244,290216,4124,0.51
133,534567,445369,146411529,969475,17,45064,11960,119174,2834908,27244,290216,4124,0.41
134,539733,448592,147388285,977827,17,45064,11960,120003,2850757,27244,290216,4124,0.36
135,545661,451666,148361651,987192,17,45064,11960,120833,2869295,27244,290216,4124,0.41
136,551820,454903,149331970,997447,17,45064,11960,121628,2890422,27244,290216,4124,0.41
137,557895,458143,150306784,1007255,17,45064,11960,122355,2907452,27244,290216,4124,0.43
138,564495,461352,151279823,1017550,17,45064,11960,123265,2926358,27244,290216,4124,0.46
139,569852,464622,152251032,1026825,17,45064,11960,124135,2947103,27244,290216,4124,0.37
140,574862,467962,153226340,1035092,17,45064,11960,125113,2964529,27244,290216,4124,0.34
141,582081,471168,154195834,1046623,17,45064,11960,125809,2985024,27244,290216,4124,0.50
142,587636,474406,155169093,1055718,17,45064,11960,126558,3003852,27244,290216,4124,0.38
143,594376,477656,156139655,1066051,17,45064,11960,127495,3025094,27244,290216,4124,0.46
144,600706,480922,157112187,1076209,17,45064,11960,128268,3044095,27244,290216,4124,0.43
145,610543,484181,158077860,1090938,17,45064,11960,128846,3067374,27244,290216,4124,0.68
146,616814,487423,159047512,1101533,17,45064,11960,129504,3089298,27244,290216,4124,0.43
147,627732,493869,160990886,1119257,17,45064,11960,131301,3130328,27244,290216,4124,0.38
148,631945,497117,161967268,1126658,17,45064,11960,132246,3146794,27244,290216,4124,0.28
149,638700,500357,162937582,1137429,17,45064,11960,133038,3167555,27244,290216,4124,0.46
150,641629,503357,163916135,1143250,17,45064,11960,134033,3183877,27244,290216,4124,0.24
151,643389,506622,164885287,1156625,17,45064,11960,134989,3210892,27244,290216,4124,0.62
152,643389,509892,165878804,1157579,17,45064,11960,135556,3215584,27244,290216,4124,0.00
153,643389,513144,166872941,1158523,17,45064,11960,136180,3220693,27244,290216,4124,0.00
154,650493,516383,167837683,1173434,17,45064,11960,137083,3246892,27244,290216,4124,0.69
155,653608,519528,168812399,1180941,17,45064,11960,138185,3266118,27244,290216,4124,0.30
156,654841,522800,169783218,1191597,17,45064,11960,139168,3291779,27244,290216,4124,0.51
157,662183,526413,170749873,1204972,17,45064,11960,140290,3315214,27244,290216,4124,0.59
158,662183,530858,171733284,1212986,17,45064,11960,141278,3334661,27244,290216,4124,0.34
159,663586,534086,172710612,1221049,17,45064,11960,142218,3354198,27244,290216,4124,0.29
160,667648,537336,173673316,1237717,17,45064,11960,143247,3384875,27244,290216,4124,0.74
161,675718,540374,174638595,1250772,17,45064,11960,144458,3409400,27244,290216,4124,0.59
162,680570,543164,175608794,1264874,17,45064,11960,145266,3433909,27244,290216,4124,0.60
163,680570,546313,176593641,1268043,17,45064,11960,146269,3446873,27244,290216,4124,0.11
164,680570,549568,177584396,1269093,17,45064,11960,147137,3455064,27244,290216,4124,0.00
165,680570,552818,178573963,1271097,17,45064,11960,148082,3464032,27244,290216,4124,0.01
166,680570,556072,179566862,1272297,17,45064,11960,148753,3470313,27244,290216,4124,0.00
167,694826,559315,180508989,1299107,17,45064,11960,149666,3509564,27244,290216,4124,1.34
168,710472,562592,181459675,1324524,17,45064,11960,150598,3542506,27244,290216,4124,1.31
169,720775,565607,182414676,1347356,17,45064,11960,151600,3576056,27244,290216,4124,1.10
