period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
63,158615,300635,145808979,411451,17,45038,31462,127487,2404224,27244,290216,4092,0.11
64,163241,310210,148754808,424200,17,45038,31462,130660,2446988,27244,290216,4092,0.19
65,170642,319944,151689050,438780,17,45038,31462,134061,2495559,27244,290216,4092,0.19
66,174269,323180,152667092,445376,17,45038,31462,135026,2511318,27244,290216,4092,0.25
67,177846,326427,153648714,451633,17,45038,31462,135876,2523841,27244,290216,4092,0.25
68,183314,329661,154623301,460421,17,45038,31462,136573,2541669,27244,290216,4092,0.37
69,185915,332910,155605421,465081,17,45038,31462,137636,2554561,27244,290216,4092,0.16
70,188406,336153,156590542,469523,17,45038,31462,138776,2564746,27244,290216,4092,0.17
71,193159,339346,160736231,477851,17,45038,31462,139653,2579710,27244,290216,4092,0.33
72,195845,342423,158552709,482819,17,45038,31462,140645,2593734,27244,290216,4092,0.18
73,198128,345656,159534381,487230,17,45038,31462,141822,2607150,27244,290216,4092,0.15
74,201951,348899,160511793,494005,17,45038,31462,142772,2623018,27244,290216,4092,0.26
75,208836,354953,162472284,506823,17,45038,31462,144639,2652557,27244,290216,4092,0.20
76,212475,358186,163452289,513112,17,45038,31462,145529,2666484,27244,290216,4092,0.25
77,219036,367753,166394247,528334,17,45038,31462,148812,2709532,27244,290216,4092,0.22
78,219036,371239,167376079,535132,17,45038,31462,149851,2725405,27244,290216,4092,0.29
79,219036,374275,168355718,539044,17,45038,31462,150837,2743403,27244,290216,4092,0.13
80,220842,377525,169330977,541433,17,45038,31462,151808,2764619,27244,290216,4092,0.01
81,223365,383877,171294103,548576,17,45038,31462,154429,2793631,27244,290216,4092,0.08
82,223365,387126,172279410,554705,17,45038,31462,155355,2806101,27244,290216,4092,0.23
83,223825,389960,173260040,559609,17,45038,31462,156368,2824692,27244,290216,4092,0.15
84,232205,402929,177180117,578134,17,45038,31462,160635,2885464,27244,290216,4092,0.20
85,233126,405959,178158374,583100,17,45038,31462,161771,2904904,27244,290216,4092,0.18
86,236260,408993,179139347,588390,17,45038,31462,162936,2919088,27244,290216,4092,0.21
87,238220,412245,180115697,592368,17,45038,31462,164266,2937829,27244,290216,4092,0.13
88,243252,418506,182079178,601797,17,45038,31462,166671,2965131,27244,290216,4092,0.20
89,245846,421591,183058363,606641,17,45038,31462,167699,2980871,27244,290216,4092,0.18
90,248479,424829,184034444,611848,17,45038,31462,168756,2998774,27244,290216,4092,0.18
91,253652,444067,189909612,632980,17,45038,31462,175851,3102939,27244,290216,4092,0.14
92,261184,449957,191873953,643692,17,45038,31462,177977,3131096,27244,290216,4092,0.19
93,263722,453051,192851370,649470,17,45038,31462,178931,3147928,27244,290216,4092,0.17
94,271289,484495,202554797,681136,17,45038,31462,189294,3414787,27244,290216,4092,0.00
95,271289,490844,204536319,683029,17,45038,31462,190625,3431801,27244,290216,4092,0.00
96,281537,509680,210435790,707260,17,45038,31462,197008,3508869,27244,290216,4092,0.15
97,288629,537804,219211889,737290,17,45038,31462,206528,3709266,27244,290216,4092,0.05
98,288629,547398,222183278,742414,17,45038,31462,208646,3734000,27244,290216,4092,0.00
99,288629,550640,223176485,743400,17,45038,31462,209352,3739973,27244,290216,4092,0.00
100,288629,553876,224169559,744339,17,45038,31462,209913,3746219,27244,290216,4092,0.00
101,288629,557061,229746526,745216,17,45038,31462,210457,3751131,27244,290216,4092,0.00
102,289445,560061,226154781,747889,17,45038,31462,211274,3760157,27244,290216,4092,0.06
period,measurer,IDLE,experiment_runn,tiT,Tmr Svc,ipc1,wifi,esp_timer,sys_evt,ipc0,Heap,Stack,Mbps
0,24064,28555299,11110,28489,17,45076,924465,18141,20529,27244,290216,4092,0.17
1,26929,29528334,14900,35234,17,45076,945545,18785,20529,27244,290216,4092,0.26
2,29812,30496068,19557,43270,17,45076,970816,19765,20529,27244,290216,4092,0.32
3,32703,31465127,25395,52857,17,45076,993741,20460,20529,27244,290216,4092,0.40
4,41242,34388825,33190,69013,17,45076,1057626,22888,20529,27244,290216,4092,0.23
5,56225,39252704,43843,98892,17,45076,1172405,26600,20529,27244,290216,4092,0.38
6,59233,40214009,51180,112627,17,45076,1201148,27570,20529,27244,290216,4092,0.54
7,62241,41183860,56753,122321,17,45076,1224418,28222,20529,27244,290216,4092,0.43
8,65246,42128667,67155,140972,17,45076,1268002,28812,20529,27244,290216,4092,0.97
9,68118,43091832,71276,152290,17,45076,1299738,29801,20529,27244,290216,4092,0.57
10,70685,44063029,73176,162796,17,45076,1324612,30938,20529,27244,290216,4092,0.45
11,73616,45033938,75729,172505,17,45076,1347567,32158,20529,27244,290216,4092,0.38
12,76635,45982965,88106,198712,17,45076,1384957,33031,20529,27244,290216,4092,1.24
13,79477,46933639,102370,222974,17,45076,1420391,33855,20529,27244,290216,4092,1.28
14,82091,47886826,116708,245920,17,45076,1452647,34695,20529,27244,290216,4092,1.17
15,85065,48825115,136670,276619,17,45076,1494511,35627,20529,27244,290216,4092,1.62
16,87932,49767939,154624,307695,17,45076,1534656,36589,20529,27244,290216,4092,1.72
17,91096,50723032,167703,328953,17,45076,1566642,37513,20529,27244,290216,4092,1.13
18,93825,51671222,183950,355526,17,45076,1603363,38296,20529,27244,290216,4092,1.41
19,102984,54586226,193463,383756,17,45076,1675010,41385,20529,27244,290216,4092,0.31
20,106079,55538416,208619,408003,17,45076,1707444,42314,20529,27244,290216,4092,1.17
21,109050,56467499,232577,447096,17,45076,1753441,43002,20529,27244,290216,4092,2.08
22,112130,57428958,245451,467986,17,45076,1779329,43916,20529,27244,290216,4092,1.09
23,115221,58392264,254712,483683,17,45076,1808079,44854,20529,27244,290216,4092,0.84
24,118230,59340730,270876,510479,17,45076,1842547,45965,20529,27244,290216,4092,1.42
25,121322,60281799,289397,540941,17,45076,1882637,46897,20529,27244,290216,4092,1.59
26,124397,61229039,307956,570212,17,45076,1918263,47769,20529,27244,290216,4092,1.55
27,127276,62178446,322851,596872,17,45076,1953348,48754,20529,27244,290216,4092,1.48
28,130729,63117168,342103,630987,17,45076,1996601,49563,20529,27244,290216,4092,1.93
