period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,555,4769,102494,8192612,12968,17,45098,11077,6167,740184,27244,290216,4124,0.02
1,6096,14465,102494,9188969,14611,17,45098,11077,6858,747153,27244,290216,4124,0.00
2,6096,17264,102494,10182664,15193,17,45098,11077,7475,752512,27244,290216,4124,0.00
3,40083,20052,102494,11083253,64608,17,45098,11077,8157,817322,27244,290216,4124,2.42
4,56901,23432,102494,12015857,113387,17,45098,11077,8860,866741,27244,290216,4124,1.34
5,77831,26139,102494,12946781,144766,17,45098,11077,9645,915621,27244,290216,4124,1.65
6,101947,28729,102494,13865001,224104,17,45098,11077,10253,971337,27244,290216,4124,1.80
7,118826,31524,102494,14798243,268544,17,45098,11077,10956,1019853,27244,290216,4124,1.54
8,143280,34371,102494,15716737,328978,17,45098,11077,11677,1077102,27244,290216,4124,1.82
9,155423,37125,102494,16657213,373808,17,45098,11077,12559,1121973,27244,290216,4124,0.87
10,177470,40226,102494,17591387,432543,17,45098,11077,13204,1169609,27244,290216,4124,2.08
11,196519,43306,102494,18529363,484965,17,45098,11077,14013,1212760,27244,290216,4124,1.79
12,201887,46390,102494,19489970,530940,17,45098,11077,15229,1244218,27244,290216,4124,0.86
13,219318,49468,102494,20433542,575664,17,45098,11077,15973,1282853,27244,290216,4124,1.55
14,226616,52544,102494,21393594,621151,17,45098,11077,16873,1314541,27244,290216,4124,0.99
15,235978,55638,102494,22352280,660440,17,45098,11077,17808,1344035,27244,290216,4124,0.88
16,258246,58597,102494,23286122,718418,17,45098,11077,18359,1388752,27244,290216,4124,1.84
17,269264,61691,102494,25330511,781951,17,45098,11077,19469,1422699,27244,290216,4124,1.06
18,288482,64443,102494,25177674,831589,17,45098,11077,20182,1467892,27244,290216,4124,1.80
19,298972,67330,102494,26126731,877537,17,45098,11077,21030,1506301,27244,290216,4124,1.26
20,318259,70227,102494,27062391,937266,17,45098,11077,21792,1550138,27244,290216,4124,1.72
21,333289,73323,102494,28009427,989772,17,45098,11077,22782,1587191,27244,290216,4124,1.37
22,349658,76408,102494,28953651,1032373,17,45098,11077,23608,1625668,27244,290216,4124,1.51
23,365337,79845,102494,29900449,1065948,17,45098,11077,24726,1663166,27244,290216,4124,1.29
24,371478,82284,102494,30865116,1105437,17,45098,11077,26000,1689642,27244,290216,4124,0.62
25,389112,85383,102494,31806301,1153849,17,45098,11077,26840,1729515,27244,290216,4124,1.66
26,395407,88276,102494,32779616,1192270,17,45098,11077,27443,1748665,27244,290216,4124,0.60
27,408629,96397,102494,33729004,1241992,17,45098,11077,28402,1785587,27244,290216,4124,1.13
