period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
24,1266036,93119,24058739,3325611,18,19538,24044,39071,3524586,1881,206992,4152,11.39,98957
25,1313095,96353,25581419,3466784,18,19538,24044,41972,3629828,1881,206992,4152,6.58,98957
26,1397843,98873,25697354,3651759,18,19538,24044,43318,3807126,1881,206992,4152,12.09,98957
27,1399547,102088,26668892,3718061,18,19538,24044,45074,3830438,1881,206992,4152,0.22,98957
28,1495354,105087,27420230,3944414,18,19538,24044,46423,4021600,1881,206992,4152,13.05,98957
29,1503630,108021,28369075,4021822,18,19538,24044,48442,4064935,1881,206992,4152,1.55,98957
30,1618024,111176,29072466,4284616,18,19538,24044,49744,4296889,1881,206992,4152,16.58,98957
31,1662363,113957,29941586,4372893,18,19538,24044,51411,4402751,1881,206992,4152,6.42,98957
32,1752457,117110,30709137,4595065,18,19538,24044,52726,4582947,1881,206992,4152,12.40,98957
33,1762866,120342,31658547,4674264,18,19538,24044,54248,4624418,1881,206992,4152,1.77,98957
34,1764501,123472,32627858,4734976,18,19538,24044,56281,4649992,1881,206992,4152,0.22,98957
35,1774282,126613,33581467,4808451,18,19538,24044,57928,4687133,1881,206992,4152,1.33,98957
36,1935159,129444,34183921,5126478,18,19538,24044,59152,5001784,1881,206992,4152,22.81,98957
37,2029701,131884,34925917,5368138,18,19538,24044,60723,5206191,1881,206992,4152,13.84,98957
38,2044969,135120,35869575,5450858,18,19538,24044,62177,5250670,1881,206992,4152,1.90,98957
39,2146309,138253,36600756,5667073,18,19538,24044,63524,5458840,1881,206992,4152,14.76,98957
40,2197767,141718,37456493,5815658,18,19538,24044,65077,5573475,1881,206992,4152,7.25,98957
41,2238883,144716,38330444,5925172,18,19538,24044,66697,5674707,1881,206992,4152,6.12,98957
42,2327221,147923,39551805,6147011,18,19538,24044,68069,5857818,1881,206992,4152,12.57,98957
43,2367821,150604,39964097,6287052,18,19538,24044,69966,5963545,1881,206992,4152,6.24,98957
44,2383390,154173,40903901,6371537,18,19538,24044,71777,6012488,1881,206992,4152,2.03,98957
45,2503363,156811,41596121,6643257,18,19538,24044,72965,6252134,1881,206992,4152,16.96,98957
46,2507487,160007,42555152,6686870,18,19538,24044,74728,6286642,1881,206992,4152,0.99,98957
47,2606533,163162,43292345,6934804,18,19538,24044,76304,6493866,1881,206992,4152,14.28,98957
48,2607958,166397,44266299,6994003,18,19538,24044,77922,6515718,1881,206992,4152,0.20,98957
49,2656319,169060,45124373,7140344,18,19538,24044,79545,6628480,1881,206992,4152,6.82,98957
50,2784997,171748,45792593,7430685,18,19538,24044,80950,6888389,1881,206992,4152,18.29,98957
51,2831518,174973,46640109,7549481,18,19538,24044,82603,7008664,1881,206992,4152,7.43,98957
52,2853037,178123,47568418,7653036,18,19538,24044,84282,7065927,1881,206992,4152,2.79,98957
53,2946530,180883,48315213,7884552,18,19538,24044,85635,7262935,1881,206992,4152,13.73,98957
54,3006203,183488,49141180,8053443,18,19538,24044,87300,7398751,1881,206992,4152,8.75,98957
55,3064735,186627,49968740,8195141,18,19538,24044,88813,7533688,1881,206992,4152,8.59,98957
56,3128976,190017,51090461,8335533,18,19538,24044,90312,7665804,1881,206992,4152,8.68,98957
57,3185754,193145,51628524,8509413,18,19538,24044,91866,7800311,1881,206992,4152,8.38,98957
58,3234412,195890,52490360,8650763,18,19538,24044,93577,7911428,1881,206992,4152,7.01,98957
59,3293367,198883,53318490,8816759,18,19538,24044,95169,8043405,1881,206992,4152,8.49,98957
60,3355750,202029,54145054,8958855,18,19538,24044,96704,8179540,1881,206992,4152,8.91,98957
61,3413891,209573,54978096,9093720,18,19538,24044,98448,8312346,1881,206992,4152,8.34,98957
62,3471650,219536,55832160,9240332,18,19538,24044,100026,8443461,1881,206992,4152,8.63,98957
63,3527933,222679,56668303,9402785,18,19538,24044,101644,8572931,1881,206992,4152,8.35,98957
64,3581893,225283,57508448,9564327,18,19538,24044,103129,8703545,1881,206992,4152,8.00,98957
65,3639998,228474,58348229,9701841,18,19538,24044,104569,8832085,1881,206992,4152,8.46,98957
66,3693378,231614,59199629,9826367,18,19538,24044,106178,8949668,1881,206992,4152,7.55,98957
67,3757755,235083,60272746,9971486,18,19538,24044,107779,9088414,1881,206992,4152,8.94,98957
68,3811762,237810,60867556,10133877,18,19538,24044,109389,9217848,1881,206992,4152,7.91,98957
69,3870737,240512,61931605,10270417,18,19538,24044,110993,9348003,1881,206992,4152,8.39,98957
70,3927168,243218,62548861,10423014,18,19538,24044,112566,9473246,1881,206992,4152,8.10,98957
71,3987177,245764,63376943,10570684,18,19538,24044,114065,9606914,1881,206992,4152,8.63,98957
72,4040742,248898,64225652,10697989,18,19538,24044,115725,9725883,1881,206992,4152,7.55,98957
73,4097793,252043,65060921,10861313,18,19538,24044,117313,9856904,1881,206992,4152,8.50,98957
