iperf(10s)
period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
38,5134951,129600,28815355,7426786,18,36569,24207,9932394,51558,1864,293768,4152,20.84
39,5291090,132635,29443304,7654365,18,36569,24207,10217778,52772,1864,293768,4152,20.13
40,5441361,135261,30090253,7873564,18,36569,24207,10494817,53966,1864,293768,4152,19.34
41,5597811,138036,30723531,8100178,18,36569,24207,10780994,55184,1864,293768,4152,20.11
42,5742770,141424,35792846,8317170,18,36569,24207,11057254,56428,1864,293768,4152,19.36
43,5900450,144490,36490186,8544458,18,36569,24207,11338717,57624,1864,293768,4152,19.84
44,6045746,147872,32669021,8753465,18,36569,24207,11598246,58840,1864,293768,4152,18.15
45,6194441,151119,37942655,8971830,18,36569,24207,11873114,60339,1864,293768,4152,19.39
46,6342729,154050,33957543,9190484,18,36569,24207,12147609,61555,1864,293768,4152,19.34
47,6498298,157246,34590045,9418194,18,36569,24207,12436413,62766,1864,293768,4152,20.27
48,6637293,160319,35246235,9626386,18,36569,24207,12706173,63983,1864,293768,4152,18.43
49,6774285,162982,35905652,9832358,18,36569,24207,12969797,65147,1864,293768,4152,17.92
50,6908356,165569,41572648,10029227,18,36569,24207,13218730,66373,1864,293768,4152,17.33
51,7065737,168680,37206651,10254538,18,36569,24207,13505610,67615,1864,293768,4152,19.59
52,7218076,171753,42990843,10477417,18,36569,24207,13786692,68852,1864,293768,4152,19.71
53,7379958,174821,38463307,10715323,18,36569,24207,14081190,70093,1864,293768,4152,21.10
54,7522845,177606,39111338,10925115,18,36569,24207,14347203,71300,1864,293768,4152,18.54
55,7666305,180811,39765055,11134652,18,36569,24207,14610331,72535,1864,293768,4152,18.22
56,7799887,184030,45904947,11330732,18,36569,24207,14855131,74019,1864,293768,4152,17.11
57,7936302,187345,41109312,11531294,18,36569,24207,15108018,75316,1864,293768,4152,17.58
58,8070770,192611,41783490,11731456,18,36569,24207,15360485,76640,1864,293768,4152,17.62
59,8218814,195412,42431598,11947273,18,36569,24207,15630012,77797,1864,293768,4152,19.04
60,8351959,198176,43097895,12146481,18,36569,24207,15880804,79156,1864,293768,4152,17.38
61,8470251,201415,49658482,12323400,18,36569,24207,16103697,80401,1864,293768,4152,15.52
62,8600369,204603,50429334,12510738,18,36569,24207,16335505,81686,1864,293768,4152,16.33
63,8723925,210521,45163933,12693368,18,36569,24207,16562093,83031,1864,293768,4152,15.79
64,8854426,213413,45845001,12874807,18,36569,24207,16784091,84246,1864,293768,4152,15.43
65,9020905,216181,46466733,13102052,18,36569,24207,17059010,85503,1864,293768,4152,19.40
66,9171121,219184,47115452,13310007,18,36569,24207,17313595,86868,1864,293768,4152,18.10
67,9323056,222027,47767157,13520394,18,36569,24207,17570969,88103,1864,293768,4152,18.18
68,9475656,224551,48414568,13729019,18,36569,24207,17827306,89329,1864,293768,4152,17.99
69,9610055,227132,49078298,13923011,18,36569,24207,18067891,90532,1864,293768,4152,16.72
70,9744631,231476,49752865,14119554,18,36569,24207,18313327,91913,1864,293768,4152,17.09
71,9898403,234036,50396113,14340577,18,36569,24207,18589753,93155,1864,293768,4152,19.47
72,10042790,237360,51047853,14555094,18,36569,24207,18860265,94513,1864,293768,4152,18.85
73,10177624,239729,51720753,14755496,18,36569,24207,19111382,95782,1864,293768,4152,17.65
74,10319388,242607,52375792,14963944,18,36569,24207,19371954,97096,1864,293768,4152,18.31
75,10460396,245425,53033000,15170871,18,36569,24207,19630687,98358,1864,293768,4152,18.05
76,10586300,248173,53723536,15353947,18,36569,24207,19861090,99723,1864,293768,4152,15.93
77,10731893,250820,54368955,15570432,18,36569,24207,20134375,101024,1864,293768,4152,19.23
78,10889161,253451,55000823,15798014,18,36569,24207,20419878,102227,1864,293768,4152,20.11
79,11037765,256172,55647726,16016225,18,36569,24207,20692196,103526,1864,293768,4152,19.35
80,11161230,258790,56326389,16204208,18,36569,24207,20929625,104896,1864,293768,4152,16.65
81,11309873,261540,56971116,16424926,18,36569,24207,21206103,106134,1864,293768,4152,19.28
82,11452750,264651,57619528,16635990,18,36569,24207,21471819,107399,1864,293768,4152,18.59
83,11595422,267153,58278490,16845962,18,36569,24207,21734334,108743,1864,293768,4152,18.48
84,11741052,269806,58933876,17057780,18,36569,24207,22001137,109968,1864,293768,4152,18.80
85,11892946,272807,67418098,17280425,18,36569,24207,22280288,111233,1864,293768,4152,19.71
86,12021914,275731,60254884,17471414,18,36569,24207,22522441,112449,1864,293768,4152,16.59
87,12150196,279017,60939654,17656564,18,36569,24207,22756612,113759,1864,293768,4152,16.16
88,12290663,282677,69690342,17862678,18,36569,24207,23015231,115012,1864,293768,4152,18.19
89,12423667,285429,62252620,18063760,18,36569,24207,23263166,116337,1864,293768,4152,17.39
90,12570382,288528,62901869,18279435,18,36569,24207,23534262,117424,1864,293768,4152,19.22
91,12719722,291328,63542633,18497801,18,36569,24207,23811210,118563,1864,293768,4152,19.46
92,12859436,294204,64198958,18702824,18,36569,24207,24071427,119905,1864,293768,4152,18.07
93,13006590,297677,64842187,18918951,18,36569,24207,24342840,121121,1864,293768,4152,19.00
94,13144232,302996,65503539,19126577,18,36569,24207,24601061,122409,1864,293768,4152,18.07
95,13280752,306399,66168643,19328543,18,36569,24207,24856261,123651,1864,293768,4152,17.82
96,13428428,308834,66811033,19544610,18,36569,24207,25128062,124866,1864,293768,4152,19.16
97,13585433,311893,67440515,19775266,18,36569,24207,25416490,126004,1864,293768,4152,20.57
98,13720217,314793,77035088,19972971,18,36569,24207,25662453,127288,1864,293768,4152,17.18
99,13832813,317433,68803987,20149933,18,36569,24207,25889678,128615,1864,293768,4152,15.58
100,13982876,321040,69444850,20356047,18,36569,24207,26135203,129894,1864,293768,4152,17.46
101,14140230,323845,70070196,20572287,18,36569,24207,26395941,131200,1864,293768,4152,18.45
102,14296182,327518,80074546,20790098,18,36569,24207,26661019,132671,1864,293768,4152,18.72
103,14447037,333091,71329395,21013923,18,36569,24207,26943038,133917,1864,293768,4152,19.71
104,14580237,336314,71991715,21219877,18,36569,24207,27204708,135152,1864,293768,4152,18.07
105,14725296,341748,72642769,21434594,18,36569,24207,27480079,136511,1864,293768,4152,18.84
106,14846220,346079,83015440,21614350,18,36569,24207,27711682,137761,1864,293768,4152,15.83
107,14991438,349393,73988960,21828207,18,36569,24207,27979025,139193,1864,293768,4152,18.83
108,15131523,352641,74642441,22033442,18,36569,24207,28236442,140454,1864,293768,4152,17.88
109,15277381,357739,75285167,22247164,18,36569,24207,28506500,141779,1864,293768,4152,18.88
110,15431773,362528,75919131,22472360,18,36569,24207,28789247,143102,1864,293768,4152,20.05
111,15557656,365189,76589925,22663026,18,36569,24207,29028382,144277,1864,293768,4152,16.92
112,15682222,367998,87506026,22836531,18,36569,24207,29237478,145603,1864,293768,4152,14.27
113,15826870,370672,77947563,23031123,18,36569,24207,29468194,146955,1864,293768,4152,16.17
114,15965841,374140,78618433,23223986,18,36569,24207,29703466,148301,1864,293768,4152,16.60
115,16098945,377038,79300796,23408220,18,36569,24207,29926982,149566,1864,293768,4152,15.65
116,16244101,379941,79954898,23610230,18,36569,24207,30174642,150823,1864,293768,4152,17.41
117,16372415,382823,91349886,23795405,18,36569,24207,30404990,152210,1864,293768,4152,15.95
118,16521785,385449,81298180,24003793,18,36569,24207,30660143,153528,1864,293768,4152,17.88
119,16665269,388833,92837293,24203145,18,36569,24207,30905018,154726,1864,293768,4152,17.21
