period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
65,7678299,325767,116055,49122084,18020304,18,36535,24122,97251,15076749,1888,206992,4152,16.49
66,7799338,328866,116055,49885593,18306398,18,36535,24122,98363,15286245,1888,206992,4152,14.84
67,7925125,333073,116055,50462900,18604485,18,36535,24122,99816,15512313,1888,206992,4152,15.98
68,8068974,340013,116055,51217225,18910047,18,36535,24122,101317,15777248,1888,206992,4152,18.47
69,8204872,343192,116055,51880786,19229892,18,36535,24122,102660,16030558,1888,206992,4152,17.90
70,8334514,350420,116055,52406232,19523460,18,36535,24122,104134,16287172,1888,206992,4152,17.71
71,8469501,361768,116055,53222267,19844805,18,36535,24122,105547,16547358,1888,206992,4152,18.75
72,8591709,364325,116055,53738615,20140182,18,36535,24122,106889,16791227,1888,206992,4152,17.33
73,8655307,366784,116055,54714664,20343612,18,36535,24122,108714,16933443,1888,206992,4152,9.13
74,8681072,370302,116055,55629774,20447571,18,36535,24122,110298,16997497,1888,206992,4152,3.39
75,8804946,372974,116055,56300451,20756755,18,36535,24122,111623,17246288,1888,206992,4152,17.73
76,8917401,380602,116055,56764442,21033118,18,36535,24122,112960,17480514,1888,206992,4152,16.40
77,9041483,391531,116055,57670614,21334915,18,36535,24122,114468,17734332,1888,206992,4152,18.26
78,9171420,394190,116055,58094770,21655689,18,36535,24122,115849,17993872,1888,206992,4152,18.58
79,9294092,397467,116055,58985261,21967904,18,36535,24122,117140,18245884,1888,206992,4152,18.04
80,9427907,402967,116055,59404174,22268431,18,36535,24122,118423,18512380,1888,206992,4152,19.16
81,9558726,405615,116055,60290737,22585286,18,36535,24122,119785,18773743,1888,206992,4152,18.77
82,9693881,413445,116055,60688800,22902327,18,36535,24122,121084,19045956,1888,206992,4152,19.26
83,9825665,424550,116055,61361256,23214054,18,36535,24122,122468,19310712,1888,206992,4152,19.23
84,9958919,427081,116055,62253075,23532107,18,36535,24122,123983,19562160,1888,206992,4152,17.67
85,10090500,432440,116055,62649729,23847609,18,36535,24122,125409,19809843,1888,206992,4152,17.62
86,10235962,439918,116055,63587737,24144090,18,36535,24122,126912,20060043,1888,206992,4152,17.73
87,10373440,443035,116055,63948539,24457595,18,36535,24122,128393,20306408,1888,206992,4152,17.49
88,10513561,446109,116055,64578703,24779046,18,36535,24122,129770,20552018,1888,206992,4152,17.46
89,10646148,451948,116055,65577220,25066973,18,36535,24122,131237,20795085,1888,206992,4152,17.12
90,10764681,454717,116055,66260611,25366558,18,36535,24122,132645,21032119,1888,206992,4152,16.69
91,10875501,461996,116055,66969110,25631055,18,36535,24122,133935,21249395,1888,206992,4152,14.79
92,10947546,472663,116055,67775497,25809450,18,36535,24122,135472,21398308,1888,206992,4152,10.02
93,10968262,476496,116055,68353415,25929930,18,36535,24122,136987,21453195,1888,206992,4152,2.62
94,11099690,483895,116055,69376921,26233358,18,36535,24122,138431,21698398,1888,206992,4152,17.16
95,11190231,492926,116055,70151106,26436062,18,36535,24122,139883,21876916,1888,206992,4152,12.43
96,11240397,496367,116055,70998662,26611206,18,36535,24122,141447,21986536,1888,206992,4152,6.67
97,11356806,502706,116055,71293366,26901882,18,36535,24122,142886,22205463,1888,206992,4152,15.30
98,11498649,508991,116055,72351213,27202999,18,36535,24122,144360,22457414,1888,206992,4152,17.73
99,11650822,512450,116055,72975619,27537087,18,36535,24122,145766,22727421,1888,206992,4152,19.34
100,11786768,520241,116055,73217633,27845240,18,36535,24122,147160,22986459,1888,206992,4152,17.90
101,11908419,531877,116055,74333039,28129446,18,36535,24122,148558,23216672,1888,206992,4152,16.45
102,12052355,534501,116055,74986196,28463153,18,36535,24122,149836,23475377,1888,206992,4152,18.54
103,12182204,536823,116055,75650205,28781473,18,36535,24122,151327,23727274,1888,206992,4152,17.56
104,12325213,544061,116055,76291288,29090589,18,36535,24122,152823,23998786,1888,206992,4152,19.43
105,12452391,547265,116055,76478595,29407536,18,36535,24122,154251,24253907,1888,206992,4152,18.28
106,12580877,555399,116055,77132848,29720452,18,36535,24122,155616,24517120,1888,206992,4152,18.54
107,12712810,566609,116055,78247538,30036620,18,36535,24122,157100,24784479,1888,206992,4152,19.62
108,12834959,570072,116055,78909352,30346385,18,36535,24122,158514,25030788,1888,206992,4152,17.48
109,12958535,573526,116055,79123934,30653210,18,36535,24122,159672,25267448,1888,206992,4152,16.70
110,13081959,579911,116055,80299151,30920058,18,36535,24122,161138,25489055,1888,206992,4152,15.41
111,13226800,582298,116055,80967012,31249021,18,36535,24122,162657,25738400,1888,206992,4152,17.40
112,13369332,590225,116055,81638119,31561768,18,36535,24122,163963,25985586,1888,206992,4152,17.11
113,13475971,600800,116055,82382477,31817615,18,36535,24122,165351,26183765,1888,206992,4152,13.93
