period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,Tmr Svc,ipc1,Heap,Stack,Mbps
56,3222983,261828,12508176,45953295,13259,1856,11347246,62037,18,19519,290608,4152,13.46,100153
57,3286641,265286,45871348,46875242,13259,1856,11556596,63102,18,19519,290608,4152,13.82,100153
58,3342130,268454,12744744,47728310,13259,1856,11747262,64276,18,19519,290608,4152,12.68,100153
59,3403380,271786,12845720,48613767,13259,1856,11950994,65392,18,19519,290608,4152,13.24,100153
60,3467595,275673,48153030,49529339,13259,1856,12163839,66595,18,19519,290608,4152,14.21,100153
61,3528250,278876,13025260,50426407,13259,1856,12369298,67638,18,19519,290608,4152,13.47,100153
62,3589698,282907,13141196,51318352,13259,1856,12565459,68865,18,19519,290608,4152,13.26,100153
63,3651236,286403,13247885,52211738,13259,1856,12760889,69937,18,19519,290608,4152,13.31,100153
64,3717449,291453,13352355,53098504,13259,1856,12968023,71117,18,19519,290608,4152,14.06,100153
65,3775297,294899,13504188,53937927,13259,1856,13154369,72131,18,19519,290608,4152,12.34,100153
66,3837375,298374,13603688,54833760,13259,1856,13354138,73296,18,19519,290608,4152,13.34,100153
67,3897481,301898,53502467,55703792,13259,1856,13544235,74375,18,19519,290608,4152,13.03,100153
68,3962745,316284,13846611,56608319,13259,1856,13747082,75464,18,19519,290608,4152,13.93,100153
69,4024139,319910,13940745,57517641,13259,1856,13951479,76580,18,19519,290608,4152,13.67,100153
70,4085484,323442,14023951,58436346,13259,1856,14159809,77666,18,19519,290608,4152,13.78,100153
71,4148266,327147,14127354,59324372,13259,1856,14361488,78802,18,19519,290608,4152,13.72,100153
72,4208324,330739,14260448,60219425,13259,1856,14559894,79965,18,19519,290608,4152,13.23,100153
73,4270006,334404,14342105,61131043,13259,1856,14762851,81006,18,19519,290608,4152,13.63,100153
74,4330454,337494,14454013,62018175,13259,1856,14961022,82106,18,19519,290608,4152,13.19,100153
75,4394151,340504,14546671,62912734,13259,1856,15170007,83233,18,19519,290608,4152,13.88,100153
76,4456248,344481,14626272,63826731,13259,1856,15377442,84260,18,19519,290608,4152,13.72,100153
77,4514703,347785,14733112,64711402,13259,1856,15578956,85332,18,19519,290608,4152,13.11,100153
78,4574178,351230,61852521,65579486,13259,1856,15773345,86419,18,19519,290608,4152,12.94,100153
79,4637695,365962,14988716,66466287,13259,1856,15978752,87535,18,19519,290608,4152,13.60,100153
80,4699027,369641,15076174,67378689,13259,1856,16182211,88660,18,19519,290608,4152,13.58,100153
81,4757305,372541,15174718,68264711,13259,1856,16376429,89738,18,19519,290608,4152,13.25,100153
82,4820193,375756,64887362,69131374,13259,1856,16576705,90797,18,19519,290608,4152,13.44,100153
83,4879576,379099,15402590,70015083,13259,1856,16778879,91923,18,19519,290608,4152,13.19,100153
84,4939976,382297,15506742,70899014,13259,1856,16980186,92954,18,19519,290608,4152,13.21,100153
85,5003166,385763,67154915,71799895,13259,1856,17187838,93954,18,19519,290608,4152,13.64,100153
86,5066622,401911,15725646,72701093,13259,1856,17387258,94989,18,19519,290608,4152,13.77,100153
87,5127406,405715,15881919,73573989,13259,1856,17577611,96143,18,19519,290608,4152,12.85,100153
88,5188370,408810,15987794,74463131,13259,1856,17770057,97192,18,19519,290608,4152,13.24,100153
89,5245669,412504,16131733,75313778,13259,1856,17962533,98333,18,19519,290608,4152,12.57,100153
90,5311906,416000,71026698,76258909,13259,1856,18178174,99438,18,19519,290608,4152,14.33,100153
91,5375341,430589,16287759,77185154,13259,1856,18392786,100498,18,19519,290608,4152,14.38,100153
92,5435163,434075,16393199,78074530,13259,1856,18593850,101621,18,19519,290608,4152,13.23,100153
93,5494455,438135,16499550,78968298,13259,1856,18796938,102655,18,19519,290608,4152,13.31,100153
