period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,336,0,99308,4356071,9298,18,19539,24511,3864,706346,1881,206992,4152,0.01
1,5229,11735,99308,4526461,11345,18,19539,24511,5215,718850,1881,206992,4152,0.00
2,5229,14348,99308,5512718,12057,18,19539,24511,6354,730250,1881,206992,4152,0.00
3,24714,16935,99308,6451456,70079,18,19539,24511,8247,780645,1881,206992,4152,2.02
4,130685,19746,99308,7182278,259262,18,19539,24511,9676,987375,1881,206992,4152,14.31
5,171524,22797,99308,8898659,421004,18,19539,24511,11282,1089016,1881,206992,4152,6.28
6,216124,25897,99308,8925566,564060,18,19539,24511,12760,1194916,1881,206992,4152,6.53
7,291372,28675,99308,9717216,760365,18,19539,24511,14220,1357942,1881,206992,4152,10.85
8,299483,36620,99308,10700233,863144,18,19539,24511,16212,1391637,1881,206992,4152,0.86
9,419559,39295,99308,11388968,1135407,18,19539,24511,17520,1636912,1881,206992,4152,17.21
10,454484,42439,99308,12274256,1278971,18,19539,24511,18906,1727588,1881,206992,4152,5.44
11,456335,45527,99308,13245603,1339674,18,19539,24511,20552,1750522,1881,206992,4152,0.26
12,578504,48579,99308,13936106,1631566,18,19539,24511,21832,1992826,1881,206992,4152,17.29
13,651560,51394,99308,14733057,1815842,18,19539,24511,23342,2154990,1881,206992,4152,10.57
14,655648,54428,99308,15697293,1875982,18,19539,24511,25043,2188657,1881,206992,4152,0.97
15,763408,57349,99308,16410409,2144318,18,19539,24511,26300,2408676,1881,206992,4152,15.18
16,821599,60488,99308,17234408,2297004,18,19539,24511,27741,2547707,1881,206992,4152,8.63
17,879418,63818,99308,18691318,2417425,18,19539,24511,29256,2677177,1881,206992,4152,8.33
18,914854,66343,99308,18967091,2531832,18,19539,24511,30731,2758951,1881,206992,4152,4.91
19,977083,69462,99308,19787364,2723828,18,19539,24511,32219,2899602,1881,206992,4152,9.26
20,1047190,72598,99308,20604807,2900436,18,19539,24511,33655,3043761,1881,206992,4152,9.87
21,1100977,75735,99308,21454247,3052551,18,19539,24511,35100,3162431,1881,206992,4152,7.53
22,1155257,78675,99308,22304372,3230595,18,19539,24511,36407,3283300,1881,206992,4152,7.79
23,1226848,81692,99308,23111284,3393532,18,19539,24511,37790,3434366,1881,206992,4152,10.23
24,1282512,84254,99308,23954619,3551693,18,19539,24511,39130,3560785,1881,206992,4152,7.90
25,1340580,87171,99308,24783551,3708879,18,19539,24511,40930,3697661,1881,206992,4152,8.63
26,1385105,91198,99308,26079617,3843462,18,19539,24511,42130,3797000,1881,206992,4152,6.46
27,1428198,99929,99308,26533668,3975948,18,19539,24511,43684,3898625,1881,206992,4152,6.17
28,1503255,102902,99308,27329258,4153759,18,19539,24511,45254,4062661,1881,206992,4152,10.98
29,1562729,106540,99308,28160526,4336424,18,19539,24511,46650,4196658,1881,206992,4152,8.77
30,1606734,109675,99308,29022066,4472673,18,19539,24511,48254,4305614,1881,206992,4152,6.72
31,1680234,112607,99308,29817602,4668476,18,19539,24511,49575,4465176,1881,206992,4152,10.54
32,1730835,115821,99308,30666904,4807471,18,19539,24511,51084,4584855,1881,206992,4152,7.55
33,1784005,123805,99308,31862398,4930918,18,19539,24511,52917,4711842,1881,206992,4152,7.82
34,1843902,134944,99308,32379265,5087616,18,19539,24511,54140,4835840,1881,206992,4152,8.48
35,1869566,142868,99308,33286916,5201276,18,19539,24511,55662,4913155,1881,206992,4152,4.09
36,1967772,153374,99308,34031650,5439148,18,19539,24511,57086,5114618,1881,206992,4152,14.00
37,1985291,156595,99308,34956609,5508741,18,19539,24511,58917,5175076,1881,206992,4152,3.04
38,2004210,160059,99308,35890820,5596171,18,19539,24511,60450,5228257,1881,206992,4152,2.42
39,2128606,162901,99308,36564585,5861145,18,19539,24511,61841,5484915,1881,206992,4152,18.23
40,2172052,166125,99308,37430972,6002493,18,19539,24511,63498,5591164,1881,206992,4152,6.48
41,2205713,170849,99308,38617763,6103711,18,19539,24511,64962,5667640,1881,206992,4152,4.47
42,2286170,173756,99308,39128323,6282563,18,19539,24511,65946,5828578,1881,206992,4152,11.43
43,2355723,176920,99308,39934938,6457294,18,19539,24511,67228,5977057,1881,206992,4152,10.08
44,2357262,180155,99308,40907906,6501859,18,19539,24511,68874,5999545,1881,206992,4152,0.20
45,2482341,183292,99308,41590499,6762798,18,19539,24511,70154,6244848,1881,206992,4152,17.46
46,2515837,186779,99308,42482891,6846609,18,19539,24511,71534,6327680,1881,206992,4152,5.00
