period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,327,0,4349298,7356,18,19524,24505,3675,702938,1881,206992,4152,0.01,99286
1,4425,11883,4525900,11202,18,19524,24505,5099,718239,1881,206992,4152,0.00,99286
2,4425,14515,5512166,12309,18,19524,24505,6289,730542,1881,206992,4152,0.00,99286
3,22577,17104,6451051,69621,18,19524,24505,7983,777597,1881,206992,4152,1.97,99286
4,93111,19919,7250347,239188,18,19524,24505,9453,929636,1881,206992,4152,10.18,99286
5,158897,27821,8042196,564323,18,19524,24505,10853,1093533,1881,206992,4152,10.80,99286
6,229969,39204,8851260,913520,18,19524,24505,12328,1249570,1881,206992,4152,10.32,99286
7,245338,46187,10161653,1169426,18,19524,24505,14086,1313714,1881,206992,4152,2.71,99286
8,247567,62081,10807875,2011102,18,19524,24505,16083,1355735,1881,206992,4152,0.19,99286
9,251141,77721,11965447,3027623,18,19524,24505,17998,1397758,1881,206992,4152,0.50,99286
10,266089,93169,12923559,3958122,18,19524,24505,19903,1474358,1881,206992,4152,2.69,99286
11,294000,103577,13855070,4608926,18,19524,24505,21528,1558672,1881,206992,4152,4.13,99286
12,447656,106401,14452485,4915710,18,19524,24505,22717,1863537,1881,206992,4152,22.08,99286
13,603358,109308,15047459,5224489,18,19524,24505,23928,2171284,1881,206992,4152,22.18,99286
14,691990,112436,15799572,5408322,18,19524,24505,25263,2360603,1881,206992,4152,13.23,99286
15,767942,115596,14089879,5561483,18,19524,24505,26496,2518932,1881,206992,4152,10.92,99286
16,787322,118352,17516847,5608382,18,19524,24505,28100,2580294,1881,206992,4152,3.05,99286
17,865962,121565,15861338,5766701,18,19524,24505,29641,2744911,1881,206992,4152,11.12,99286
18,902481,125392,19186770,5843871,18,19524,24505,31218,2835013,1881,206992,4152,5.45,99286
19,933580,128524,20081922,5911673,18,19524,24505,32677,2914108,1881,206992,4152,4.49,99286
20,1036757,131496,20793820,6126933,18,19524,24505,34013,3137043,1881,206992,4152,15.33,99286
21,1066445,134725,21693432,6191543,18,19524,24505,35817,3216240,1881,206992,4152,4.41,99286
22,1159446,137858,22441050,6372905,18,19524,24505,37371,3411516,1881,206992,4152,13.31,99286
23,1195894,140948,23320836,6451807,18,19524,24505,39025,3504489,1881,206992,4152,5.51,99286
24,1269641,144033,24114884,6600492,18,19524,24505,40491,3663835,1881,206992,4152,10.70,99286
25,1334883,147306,22752700,6727830,18,19524,24505,41896,3798077,1881,206992,4152,9.20,99286
26,1392288,150329,25779131,6847607,18,19524,24505,43466,3931146,1881,206992,4152,8.23,99286
27,1453680,153450,26608179,6966361,18,19524,24505,44927,4061424,1881,206992,4152,8.62,99286
28,1505526,156580,27454800,7071307,18,19524,24505,46753,4181934,1881,206992,4152,7.55,99286
29,1558313,159733,26236763,7180409,18,19524,24505,48596,4306287,1881,206992,4152,7.91,99286
30,1616556,162804,29133370,7298303,18,19524,24505,50129,4437338,1881,206992,4152,8.26,99286
31,1679994,165978,29952226,7426944,18,19524,24505,51639,4577529,1881,206992,4152,9.30,99286
32,1735273,170933,30791747,7542048,18,19524,24505,53174,4705037,1881,206992,4152,7.95,99286
