period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,697378,7128,459,0,114574,4078815,18,36513,24560,3120,1888,206992,4152,0.01
1,721698,9995,4416,11884,114574,4267597,18,36513,24560,4524,1888,206992,4152,0.00
2,953962,225792,129099,14390,114574,5820036,18,36513,24560,5864,1888,206992,4152,16.48
3,1180881,461730,245123,17249,114574,5665297,18,36513,24560,7101,1888,206992,4152,16.18
4,1418199,705885,365013,19877,114574,6354944,18,36513,24560,8450,1888,206992,4152,16.86
5,1647484,955138,481720,27717,114574,7060415,18,36513,24560,9685,1888,206992,4152,16.26
6,1875230,1202066,597258,38210,114574,7779687,18,36513,24560,10898,1888,206992,4152,16.44
7,2117135,1480211,722260,40893,114574,8465124,18,36513,24560,12166,1888,206992,4152,17.22
8,2319480,1692362,823798,43653,114574,9200728,18,36513,24560,13715,1888,206992,4152,14.27
9,2350145,1727884,826856,46621,114574,10164857,18,36513,24560,15316,1888,206992,4152,0.87
10,2436756,1824978,865422,49681,114574,11049156,18,36513,24560,16755,1888,206992,4152,5.21
11,2701209,2124901,1001898,52809,114574,11691777,18,36513,24560,18037,1888,206992,4152,19.21
12,3006542,2431708,1158856,55556,114574,13275234,18,36513,24560,19369,1888,206992,4152,22.33
13,3290857,2750962,1306110,58490,114574,12916765,18,36513,24560,20725,1888,206992,4152,20.68
14,3578577,3059754,1451043,66204,114574,14545279,18,36513,24560,22120,1888,206992,4152,20.44
15,3881711,3371275,1609173,73593,114574,15184429,18,36513,24560,23397,1888,206992,4152,22.15
16,4159380,3677898,1754764,76387,114574,15829834,18,36513,24560,24590,1888,206992,4152,20.10
17,4434216,3961349,1898831,78981,114574,15427557,18,36513,24560,25915,1888,206992,4152,19.80
18,4660416,4218782,2017135,82193,114574,16128036,18,36513,24560,27114,1888,206992,4152,16.18
19,4895986,4466650,2137129,85409,114574,16808592,18,36513,24560,28535,1888,206992,4152,16.90
20,5126076,4721414,2250516,88714,114574,17509783,18,36513,24560,29694,1888,206992,4152,16.23
21,5346408,4948463,2367515,91494,114574,18210956,18,36513,24560,31008,1888,206992,4152,15.89
22,5545515,5164269,2466432,94196,114574,18950598,18,36513,24560,32312,1888,206992,4152,14.13
23,5785340,5411299,2588628,100851,114574,19636256,18,36513,24560,33693,1888,206992,4152,16.77
24,6007636,5646450,2703681,111076,114574,21582514,18,36513,24560,35249,1888,206992,4152,15.81
25,6233827,5904499,2821355,114242,114574,21047779,18,36513,24560,36522,1888,206992,4152,16.42
26,6490188,6173246,2956852,116955,114574,21704514,18,36513,24560,37711,1888,206992,4152,18.52
27,6742450,6455012,3086039,119992,114574,22368542,18,36513,24560,38884,1888,206992,4152,18.45
28,6978072,6692865,3203651,123197,114574,23056996,18,36513,24560,40124,1888,206992,4152,16.72
29,7205800,6945520,3316731,126399,114574,23757078,18,36513,24560,41446,1888,206992,4152,16.18
30,7435312,7178391,3434227,129599,114574,24450381,18,36513,24560,42739,1888,206992,4152,16.43
31,7671844,7442600,3554867,132809,114574,25141376,18,36513,24560,43978,1888,206992,4152,17.00
32,7900459,7700640,3670174,135818,114574,25838993,18,36513,24560,45381,1888,206992,4152,16.18
33,8120904,7928107,3781687,142019,114574,27936015,18,36513,24560,46654,1888,206992,4152,15.93
34,8163952,7983002,3792418,144481,114574,27500219,18,36513,24560,48318,1888,206992,4152,1.81
35,8300474,8120427,3857362,153955,114574,28318867,18,36513,24560,49986,1888,206992,4152,9.07
36,8546317,8399149,3985805,157083,114574,30407436,18,36513,24560,51344,1888,206992,4152,17.95
37,8863135,8709308,4147646,160175,114574,29575355,18,36513,24560,52821,1888,206992,4152,23.09
38,9105833,8974145,4270307,163461,114574,31745783,18,36513,24560,54254,1888,206992,4152,17.47
39,9274698,9154615,4361427,166325,114574,31006554,18,36513,24560,55810,1888,206992,4152,11.64
40,9298866,9201377,4364602,169550,114574,31977931,18,36513,24560,57461,1888,206992,4152,0.23
41,9485256,9383210,4460340,172682,114574,32727500,18,36513,24560,59100,1888,206992,4152,12.95
42,9773397,9672833,4620023,178055,114574,34939377,18,36513,24560,60416,1888,206992,4152,20.68
43,10038532,9966317,4767512,181063,114574,33992906,18,36513,24560,61826,1888,206992,4152,19.21
44,10285656,10226718,4902328,184344,114574,36281935,18,36513,24560,63059,1888,206992,4152,17.66
45,10571092,10530674,5055830,188604,114574,35293289,18,36513,24560,64412,1888,206992,4152,20.61
46,10843702,10802730,5200303,191407,114574,35928697,18,36513,24560,65760,1888,206992,4152,19.75
47,11134930,11103767,5350524,193883,114574,36535943,18,36513,24560,66977,1888,206992,4152,21.30
48,11418464,11391932,5498282,196678,114574,38910449,18,36513,24560,68407,1888,206992,4152,20.76
49,11703765,11687898,5644639,199772,114574,37777171,18,36513,24560,69666,1888,206992,4152,20.84
50,11951692,11943931,5770560,207261,114574,40280609,18,36513,24560,71051,1888,206992,4152,17.67
51,12212675,12219607,5909236,218247,114574,39108953,18,36513,24560,72403,1888,206992,4152,19.09
52,12483023,12510390,6049221,221306,114574,41641211,18,36513,24560,73671,1888,206992,4152,19.70
53,12724261,12757778,6177653,223688,114574,40425314,18,36513,24560,74927,1888,206992,4152,17.40
54,12945456,13009594,6298863,227175,114574,43070137,18,36513,24560,76165,1888,206992,4152,15.96
55,13211452,13294145,6457013,229715,114574,41749232,18,36513,24560,77764,1888,206992,4152,19.03
56,13454568,13568172,6598330,232913,114574,42424656,18,36513,24560,79235,1888,206992,4152,17.24
57,13684667,13807781,6728555,236105,114574,43114117,18,36513,24560,80565,1888,206992,4152,16.38
58,13916029,14050408,6853269,238999,114574,43805583,18,36513,24560,81838,1888,206992,4152,16.59
59,14028817,14169934,6903891,241886,114574,44657889,18,36513,24560,83491,1888,206992,4152,6.92
60,14048914,14202118,6905359,247125,114574,45632405,18,36513,24560,85139,1888,206992,4152,0.19
61,14265292,14424516,7014221,250348,114574,46348654,18,36513,24560,86502,1888,206992,4152,15.41
62,14555334,14710310,7165966,252651,114574,46959969,18,36513,24560,87835,1888,206992,4152,21.30
63,14802354,14958130,7292022,255598,114574,47632255,18,36513,24560,89090,1888,206992,4152,17.89
64,15060934,15215946,7431514,258494,114574,50488879,18,36513,24560,90243,1888,206992,4152,18.93
65,15310616,15489019,7560930,261501,114574,48954757,18,36513,24560,91525,1888,206992,4152,17.73
66,15594208,15763824,7713274,264703,114574,49573071,18,36513,24560,92864,1888,206992,4152,20.64
67,15899518,16059672,7870069,267345,114574,50170588,18,36513,24560,94086,1888,206992,4152,22.26
68,16154942,16306127,8000734,272037,114574,50831613,18,36513,24560,95553,1888,206992,4152,18.41
69,16260947,16412976,8046247,276484,114574,51712899,18,36513,24560,97051,1888,206992,4152,6.58
70,16326909,16493326,8072726,279807,114574,52628210,18,36513,24560,98777,1888,206992,4152,3.52
71,16606425,16760033,8216746,282772,114574,53257724,18,36513,24560,100080,1888,206992,4152,20.35
