period,wifi,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,702515,7717,465,127,113843,4400887,18,36480,24541,3668,1881,206992,4152,0.01
1,717489,12430,2360,11592,113843,4573010,18,36480,24541,5107,1881,206992,4152,0.00
2,948092,242221,129431,19212,113843,6127598,18,36480,24541,6370,1881,206992,4152,16.18
3,1056101,341588,177556,27085,113843,6141189,18,36480,24541,7964,1881,206992,4152,7.07
4,1331001,650215,320048,29968,113843,6771526,18,36480,24541,9306,1881,206992,4152,20.18
5,1616064,992152,462125,32541,113843,7393038,18,36480,24541,10546,1881,206992,4152,20.60
6,1880093,1310479,597109,40377,113843,8939938,18,36480,24541,11971,1881,206992,4152,18.80
7,2119338,1590777,714637,47021,113843,9631352,18,36480,24541,13180,1881,206992,4152,17.28
8,2347790,1875529,826254,49832,113843,9447287,18,36480,24541,14475,1881,206992,4152,16.19
9,2578958,2167770,942303,53032,113843,10974539,18,36480,24541,15852,1881,206992,4152,16.68
10,2811690,2441221,1062595,56053,113843,10839844,18,36480,24541,17299,1881,206992,4152,16.38
11,3043312,2734972,1176716,58828,113843,11537312,18,36480,24541,18561,1881,206992,4152,16.56
12,3273503,3030284,1292936,63917,113843,12993452,18,36480,24541,19813,1881,206992,4152,16.72
13,3509016,3299084,1412248,71167,113843,12940449,18,36480,24541,21164,1881,206992,4152,16.73
14,3738178,3586750,1522424,74215,113843,13645931,18,36480,24541,22550,1881,206992,4152,16.37
15,3969774,3884152,1643132,77092,113843,14332557,18,36480,24541,23877,1881,206992,4152,16.53
16,4203149,4152856,1759810,82373,113843,15712959,18,36480,24541,25182,1881,206992,4152,16.64
17,4429170,4443489,1872397,85430,113843,15733691,18,36480,24541,26462,1881,206992,4152,16.27
18,4665027,4741836,1989788,89982,113843,17051721,18,36480,24541,27732,1881,206992,4152,16.72
19,4896271,5014349,2110897,96317,113843,17124359,18,36480,24541,28963,1881,206992,4152,16.72
20,5125218,5302808,2225544,99510,113843,17825245,18,36480,24541,30228,1881,206992,4152,16.18
21,5359381,5597217,2341585,103636,113843,19065784,18,36480,24541,31517,1881,206992,4152,16.71
22,5593585,5869350,2461122,109630,113843,19217514,18,36480,24541,32793,1881,206992,4152,16.73
23,5821983,6159259,2577054,112818,113843,19914205,18,36480,24541,34087,1881,206992,4152,16.49
24,6056969,6448515,2689423,120828,113843,20617369,18,36480,24541,35409,1881,206992,4152,16.40
25,6290960,6724046,2806964,127309,113843,21316700,18,36480,24541,36673,1881,206992,4152,16.54
26,6525253,7019261,2923587,130501,113843,22011578,18,36480,24541,37893,1881,206992,4152,16.67
27,6756897,7310476,3038126,135921,113843,23132902,18,36480,24541,39157,1881,206992,4152,16.57
28,6992450,7578467,3161501,143216,113843,23414024,18,36480,24541,40448,1881,206992,4152,16.60
29,7230382,7871569,3281072,146286,113843,24101094,18,36480,24541,41756,1881,206992,4152,16.85
30,7299124,7974257,3304114,149164,113843,25017666,18,36480,24541,43427,1881,206992,4152,3.53
31,7587664,8299438,3453543,152294,113843,25632672,18,36480,24541,44705,1881,206992,4152,21.23
32,7866739,8640188,3596885,155005,113843,26261193,18,36480,24541,46017,1881,206992,4152,20.40
33,8092019,8922493,3707312,160119,113843,27308761,18,36480,24541,47524,1881,206992,4152,15.65
34,8115876,8983103,3709402,168373,113843,27948459,18,36480,24541,49142,1881,206992,4152,0.34
35,8258010,9182263,3777465,171496,113843,29031665,18,36480,24541,50719,1881,206992,4152,9.30
36,8558271,9541293,3930993,174421,113843,29375557,18,36480,24541,51993,1881,206992,4152,21.87
37,8837985,9857371,4076191,177428,113843,30009083,18,36480,24541,53421,1881,206992,4152,20.28
38,9091562,10171836,4204226,180101,113843,30887962,18,36480,24541,54781,1881,206992,4152,18.07
39,9212734,10359421,4261607,188051,113843,31688182,18,36480,24541,56424,1881,206992,4152,7.79
40,9235537,10421421,4264699,197121,113843,32502007,18,36480,24541,58138,1881,206992,4152,0.17
41,9494308,10742351,4396495,200254,113843,33159128,18,36480,24541,59522,1881,206992,4152,18.68
42,9779873,11087917,4539803,204110,113843,33864427,18,36480,24541,60744,1881,206992,4152,20.77
43,9946339,11293624,4621672,211136,113843,34572973,18,36480,24541,62220,1881,206992,4152,11.30
44,10084922,11498051,4690029,214371,113843,35388701,18,36480,24541,63762,1881,206992,4152,9.25
45,10345210,11819044,4822767,217060,113843,36047753,18,36480,24541,65064,1881,206992,4152,19.01
46,10628845,12135493,4965337,219879,113843,36672372,18,36480,24541,66439,1881,206992,4152,20.61
47,10909403,12478439,5109489,223083,113843,37302738,18,36480,24541,67662,1881,206992,4152,20.19
48,11170469,12800538,5240725,227052,113843,37930194,18,36480,24541,69144,1881,206992,4152,18.67
49,11433735,13096474,5376649,233677,113843,38590011,18,36480,24541,70346,1881,206992,4152,18.96
50,11718335,13442489,5521654,236690,113843,39248172,18,36480,24541,71687,1881,206992,4152,20.23
51,12000358,13782878,5665645,239550,113843,39797925,18,36480,24541,72944,1881,206992,4152,20.62
52,12275006,14093358,5807924,246237,113843,40519668,18,36480,24541,74208,1881,206992,4152,19.78
53,12309672,14163527,5812585,249443,113843,41477290,18,36480,24541,76065,1881,206992,4152,0.96
54,12491051,14381362,5903902,252589,113843,42232751,18,36480,24541,77568,1881,206992,4152,12.34
55,12534437,14494414,5911140,255819,113843,43181093,18,36480,24541,79305,1881,206992,4152,1.55
56,12729031,14749843,6006543,258993,113843,43921033,18,36480,24541,80714,1881,206992,4152,13.50
57,13017917,15084875,6151724,266982,113843,44352847,18,36480,24541,82203,1881,206992,4152,20.85
58,13281689,15393806,6283370,277712,113843,45212080,18,36480,24541,83553,1881,206992,4152,19.13
59,13522116,15697623,6406931,281228,113843,45895259,18,36480,24541,84925,1881,206992,4152,17.31
60,13808225,16045935,6554655,284188,113843,46280205,18,36480,24541,86081,1881,206992,4152,20.80
61,14092726,16367199,6699603,287772,113843,47142439,18,36480,24541,87430,1881,206992,4152,20.56
62,14369794,16704563,6839153,290586,113843,47781872,18,36480,24541,88691,1881,206992,4152,20.39
63,14652366,17045319,6979302,294562,113843,48418638,18,36480,24541,89993,1881,206992,4152,20.13
64,14943238,17369388,7127875,300615,113843,48762459,18,36480,24541,91412,1881,206992,4152,21.01
65,15241532,17727512,7281277,303462,113843,49342203,18,36480,24541,92622,1881,206992,4152,21.67
66,15526052,18072367,7423567,307022,113843,49942940,18,36480,24541,93991,1881,206992,4152,20.65
67,15798388,18377240,7562834,312229,113843,50924367,18,36480,24541,95149,1881,206992,4152,19.65
68,16048299,18689273,7688172,315097,113843,51589889,18,36480,24541,96551,1881,206992,4152,18.03
69,16317001,18995217,7826258,322877,113843,51893069,18,36480,24541,97814,1881,206992,4152,18.87
70,16569691,19300237,7955491,333265,113843,52936822,18,36480,24541,99184,1881,206992,4152,18.27
71,16779801,19568319,8058101,335930,113843,53664003,18,36480,24541,100434,1881,206992,4152,15.09
72,17040994,19893313,8190891,338671,113843,54317650,18,36480,24541,101746,1881,206992,4152,18.78
73,17250598,20141091,8297066,342003,113843,55046196,18,36480,24541,102933,1881,206992,4152,15.18
74,17529603,20484205,8440237,345087,113843,55682491,18,36480,24541,104272,1881,206992,4152,20.05
75,17782684,20796016,8563805,347768,113843,55872581,18,36480,24541,105676,1881,206992,4152,18.16
76,18071589,21121273,8714317,351136,113843,56978514,18,36480,24541,106921,1881,206992,4152,21.13
77,18338198,21449295,8848187,354172,113843,57626509,18,36480,24541,108178,1881,206992,4152,19.13
78,18602280,21774829,8980239,358165,113843,57740947,18,36480,24541,109347,1881,206992,4152,19.05
79,18874097,22081226,9121040,365686,113843,58933234,18,36480,24541,110737,1881,206992,4152,19.72
80,19106190,22377537,9239609,368431,113843,59630572,18,36480,24541,112012,1881,206992,4152,16.64
81,19335843,22666691,9350921,373011,113843,59714649,18,36480,24541,113322,1881,206992,4152,16.29
82,19566873,22934511,9468431,379145,113843,61032289,18,36480,24541,114518,1881,206992,4152,16.73
83,19799882,23228645,9582941,381982,113843,61731202,18,36480,24541,115973,1881,206992,4152,16.55
84,20026766,23518140,9695733,386066,113843,62430360,18,36480,24541,117386,1881,206992,4152,16.44
85,20260405,23788366,9816241,392007,113843,63126893,18,36480,24541,118631,1881,206992,4152,16.61
86,20492523,24079599,9929678,395263,113843,63826864,18,36480,24541,119940,1881,206992,4152,16.70
87,20721644,24360912,10042413,402643,113843,63791694,18,36480,24541,121176,1881,206992,4152,16.18
88,20945731,24630801,10156810,410263,113843,65250839,18,36480,24541,122468,1881,206992,4152,15.67
89,21190923,24934432,10278224,413564,113843,65928699,18,36480,24541,123986,1881,206992,4152,17.43
90,21419164,25223619,10390142,417260,113843,65815037,18,36480,24541,125125,1881,206992,4152,16.40
91,21657138,25496336,10513544,422433,113843,66498111,18,36480,24541,126452,1881,206992,4152,17.02
92,22117586,26078268,10741686,428682,113843,67831322,18,36480,24541,128982,1881,206992,4152,16.57
93,22356376,26349458,10861375,432498,113843,69423679,18,36480,24541,130265,1881,206992,4152,16.87
94,22581416,26639592,10974217,435375,113843,70132014,18,36480,24541,131384,1881,206992,4152,16.18
95,22812583,26933683,11086587,439102,113843,69844396,18,36480,24541,132595,1881,206992,4152,16.44
96,23044550,27204409,11207584,443814,113843,71528974,18,36480,24541,133762,1881,206992,4152,16.72
97,23277590,27501149,11324785,446449,113843,72227137,18,36480,24541,135008,1881,206992,4152,16.38
98,23509335,27797593,11440796,449952,113843,72922784,18,36480,24541,136142,1881,206992,4152,16.72
99,23743574,28070122,11559669,453526,113843,73620419,18,36480,24541,137467,1881,206992,4152,16.72
100,23967924,28358728,11672223,456989,113843,74326936,18,36480,24541,138658,1881,206992,4152,16.18
101,24129265,28558000,11749530,460457,113843,75121192,18,36480,24541,140054,1881,206992,4152,10.95
102,24153859,28655966,11750514,463957,113843,76092123,18,36480,24541,141818,1881,206992,4152,0.20
103,24378810,28945727,11865465,467551,113843,76793534,18,36480,24541,143089,1881,206992,4152,16.26
104,24659105,29267190,12006637,475414,113843,77427933,18,36480,24541,144401,1881,206992,4152,20.04
105,24693777,29360002,12011016,486169,113843,78396687,18,36480,24541,146242,1881,206992,4152,1.10
106,24807620,29534124,12059657,489579,113843,79247585,18,36480,24541,147999,1881,206992,4152,6.86
107,25067721,29855867,12187187,493044,113843,78587373,18,36480,24541,149249,1881,206992,4152,18.57
108,25369737,30190008,12340159,500248,113843,80526242,18,36480,24541,150631,1881,206992,4152,21.85
109,25634689,30515128,12471847,503714,113843,81184022,18,36480,24541,151985,1881,206992,4152,19.16
110,25933720,30869813,12620033,508532,113843,80410485,18,36480,24541,153287,1881,206992,4152,21.25
111,26205459,31170783,12757064,516839,113843,82459506,18,36480,24541,154597,1881,206992,4152,19.33
112,26450815,31476304,12875549,519487,113843,83141516,18,36480,24541,155884,1881,206992,4152,17.24
113,26741381,31822839,13020213,522972,113843,83757599,18,36480,24541,157047,1881,206992,4152,21.09
114,27023174,32135818,13162953,526390,113843,82955856,18,36480,24541,158469,1881,206992,4152,20.33
115,27315291,32484183,13308807,528987,113843,85015587,18,36480,24541,159784,1881,206992,4152,21.02
116,27573057,32792067,13437511,531739,113843,84190429,18,36480,24541,161043,1881,206992,4152,18.24
117,27840476,33095243,13572007,538655,113843,86334277,18,36480,24541,162376,1881,206992,4152,19.44
118,28116354,33429060,13708705,541336,113843,86981584,18,36480,24541,163763,1881,206992,4152,19.37
119,28388563,33732058,13843413,544481,113843,87620724,18,36480,24541,165089,1881,206992,4152,19.37
120,28662130,34038454,13979954,550026,113843,86761504,18,36480,24541,166588,1881,206992,4152,19.54
121,28897180,34327528,14098397,553125,113843,88960345,18,36480,24541,167896,1881,206992,4152,16.77
122,29131816,34617665,14215465,555673,113843,89655151,18,36480,24541,169141,1881,206992,4152,16.66
123,29368104,34881514,14335756,558583,113843,88789341,18,36480,24541,170491,1881,206992,4152,16.60
124,29473696,35052391,14380097,561762,113843,91212213,18,36480,24541,171816,1881,206992,4152,6.65
125,29498391,35138481,14381387,570381,113843,92183073,18,36480,24541,173622,1881,206992,4152,0.18
126,29521001,35205256,14384375,580614,113843,93162841,18,36480,24541,175472,1881,206992,4152,0.14
127,29579208,35319259,14400990,583814,113843,94090831,18,36480,24541,177118,1881,206992,4152,2.79
128,29834916,35633297,14527115,587990,113843,93004546,18,36480,24541,178448,1881,206992,4152,18.12
129,30106097,35944775,14674628,594908,113843,95399141,18,36480,24541,179717,1881,206992,4152,19.29
130,30405931,36302913,14827454,598509,113843,96009999,18,36480,24541,180863,1881,206992,4152,21.88
131,30666174,36621518,14958367,606016,113843,96668238,18,36480,24541,182200,1881,206992,4152,18.47
132,30824486,36824717,15033221,615957,113843,97467220,18,36480,24541,183906,1881,206992,4152,10.77
133,31002424,37067881,15121213,619879,113843,96371361,18,36480,24541,185358,1881,206992,4152,12.56
134,31286117,37415345,15266308,623597,113843,96974708,18,36480,24541,186676,1881,206992,4152,20.41
135,31577158,37743158,15418682,631638,113843,97595364,18,36480,24541,187891,1881,206992,4152,21.23
136,31847792,38079400,15557440,634942,113843,100127140,18,36480,24541,189171,1881,206992,4152,19.53
137,32114927,38411556,15692418,638614,113843,100777864,18,36480,24541,190356,1881,206992,4152,19.67
138,32410863,38747778,15845616,645114,113843,101397070,18,36480,24541,191680,1881,206992,4152,21.60
139,32700843,39101569,15992571,647707,113843,102019735,18,36480,24541,193007,1881,206992,4152,20.92
140,32976447,39432189,16129375,656387,113843,102656425,18,36480,24541,194200,1881,206992,4152,19.81
141,33261816,39760447,16276731,665291,113843,103287653,18,36480,24541,195562,1881,206992,4152,20.81
142,33569032,40132372,16435987,668506,113843,103880257,18,36480,24541,196790,1881,206992,4152,22.71
143,33861060,40487451,16584948,671409,113843,104496149,18,36480,24541,197992,1881,206992,4152,21.34
144,34123023,40786087,16721475,679007,113843,105154041,18,36480,24541,199196,1881,206992,4152,18.91
145,34410826,41139007,16869470,681920,113843,103686064,18,36480,24541,200420,1881,206992,4152,21.36
146,34662857,41457373,16997656,684682,113843,106454619,18,36480,24541,201666,1881,206992,4152,17.90
147,34694910,41527189,17001386,688858,113843,107416301,18,36480,24541,203473,1881,206992,4152,0.87
148,34832241,41730073,17066457,692405,113843,108235418,18,36480,24541,205003,1881,206992,4152,9.39
149,35106376,42060243,17202283,700203,113843,106664222,18,36480,24541,206427,1881,206992,4152,19.49
150,35389074,42379308,17348494,709234,113843,107301495,18,36480,24541,207925,1881,206992,4152,20.52
151,35654310,42703993,17480575,712088,113843,110158126,18,36480,24541,209330,1881,206992,4152,19.01
152,35921751,43023864,17615423,715310,113843,108571826,18,36480,24541,210624,1881,206992,4152,19.28
153,36213781,43348382,17762757,720626,113843,111421620,18,36480,24541,211955,1881,206992,4152,21.10
154,36502546,43700615,17911466,723669,113843,112041103,18,36480,24541,213291,1881,206992,4152,20.86
155,36789881,44051940,18057031,729446,113843,110389105,18,36480,24541,214548,1881,206992,4152,20.83
156,37034175,44333755,18186324,735308,113843,111061689,18,36480,24541,215826,1881,206992,4152,17.51
157,37271222,44613711,18309074,738798,113843,111733883,18,36480,24541,217199,1881,206992,4152,17.21
158,37502007,44911625,18421502,741792,113843,112402237,18,36480,24541,218499,1881,206992,4152,16.19
159,37733485,45172859,18543715,749328,113843,113093485,18,36480,24541,219735,1881,206992,4152,16.70
160,37969482,45453499,18661933,752447,113843,113773500,18,36480,24541,220883,1881,206992,4152,16.74
161,38196823,45747472,18775921,759062,113843,114444239,18,36480,24541,222141,1881,206992,4152,16.18
162,38433712,46022771,18894786,764419,113843,117549496,18,36480,24541,223450,1881,206992,4152,16.70
163,38666481,46319062,19012116,767636,113843,118245929,18,36480,24541,224721,1881,206992,4152,16.61
164,38895936,46612035,19127325,771090,113843,118946608,18,36480,24541,226068,1881,206992,4152,16.37
165,39120926,46873274,19239754,775212,113843,119659678,18,36480,24541,227297,1881,206992,4152,16.04
166,39360495,47180276,19360025,778196,113843,120348738,18,36480,24541,228558,1881,206992,4152,17.22
167,39590746,47473412,19475876,782369,113843,121049962,18,36480,24541,229708,1881,206992,4152,16.56
168,39822807,47745664,19593053,785558,113843,121749943,18,36480,24541,230962,1881,206992,4152,16.53
169,40054202,48044634,19711049,789026,113843,122447552,18,36480,24541,232308,1881,206992,4152,16.53
170,40285189,48340337,19826755,795768,113843,120478619,18,36480,24541,233598,1881,206992,4152,16.54
171,40518055,48610905,19940533,802916,113843,123850559,18,36480,24541,234893,1881,206992,4152,16.65
172,40748819,48909267,20057668,805466,113843,124545878,18,36480,24541,236123,1881,206992,4152,16.44
173,40982674,49206452,20173434,811247,113843,122497564,18,36480,24541,237376,1881,206992,4152,16.66
174,41212965,49472297,20290523,817534,113843,125949761,18,36480,24541,238488,1881,206992,4152,16.32
175,41446573,49770322,20409691,820824,113843,126638243,18,36480,24541,239802,1881,206992,4152,16.65
176,41678889,50069553,20528641,824787,113843,124509144,18,36480,24541,240966,1881,206992,4152,16.72
177,41913429,50339461,20644851,827933,113843,128030502,18,36480,24541,242231,1881,206992,4152,16.72
