period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,549,1836,4125450,7754,18,36593,23662,3228,704096,1877,206992,4144,0.01
1,6105,12576,4302939,10319,18,36593,23662,4404,718234,1877,206992,4144,0.00
2,125784,15167,5869642,246305,18,36593,23662,5659,931841,1877,206992,4144,14.94
3,262495,18253,6595142,491266,18,36593,23662,7114,1171880,1877,206992,4144,17.18
4,396272,21166,6321623,785473,18,36593,23662,8537,1410043,1877,206992,4144,16.61
5,531771,23861,6988320,1080969,18,36593,23662,10037,1646034,1877,206992,4144,16.69
6,653915,26611,7681450,1355118,18,36593,23662,11404,1864660,1877,206992,4144,15.28
7,785837,29791,8356343,1646155,18,36593,23662,12671,2095255,1877,206992,4144,16.18
8,924933,37321,10004730,1924741,18,36593,23662,14016,2335859,1877,206992,4144,17.00
9,1060407,47061,9706069,2224618,18,36593,23662,15476,2582086,1877,206992,4144,17.68
10,1197670,49603,10362001,2526906,18,36593,23662,16883,2821468,1877,206992,4144,16.98
11,1321794,52834,12073157,2798523,18,36593,23662,18242,3033160,1877,206992,4144,14.93
12,1443857,55837,11751961,3070408,18,36593,23662,19671,3245210,1877,206992,4144,15.07
13,1575548,58813,12422057,3354246,18,36593,23662,21036,3472664,1877,206992,4144,15.98
14,1700331,61607,13109860,3631747,18,36593,23662,22474,3689680,1877,206992,4144,15.03
15,1834129,64599,13774767,3924466,18,36593,23662,23887,3921458,1877,206992,4144,16.47
16,1948065,67778,14479716,4183709,18,36593,23662,25230,4124735,1877,206992,4144,14.46
17,2074091,70933,16258130,4459076,18,36593,23662,26495,4342410,1877,206992,4144,15.19
18,2194414,74351,16963129,4723181,18,36593,23662,27958,4550768,1877,206992,4144,14.67
19,2325058,81411,17666938,4987368,18,36593,23662,29508,4774656,1877,206992,4144,15.49
20,2449484,92591,18395345,5257358,18,36593,23662,31079,4995702,1877,206992,4144,15.70
21,2578180,95746,17946478,5550171,18,36593,23662,32534,5223529,1877,206992,4144,15.92
22,2698639,98450,19784014,5818974,18,36593,23662,33751,5435359,1877,206992,4144,14.97
23,2834019,101424,20455528,6111520,18,36593,23662,35073,5668618,1877,206992,4144,16.31
24,2968241,104398,19984763,6402168,18,36593,23662,36484,5899795,1877,206992,4144,16.43
25,3100995,107493,20665963,6683641,18,36593,23662,37888,6126756,1877,206992,4144,15.97
26,3226247,110698,21363149,6946234,18,36593,23662,39227,6340286,1877,206992,4144,14.95
27,3358458,113276,22029923,7232766,18,36593,23662,40586,6570347,1877,206992,4144,16.40
28,3486854,116118,22696062,7516406,18,36593,23662,41926,6798232,1877,206992,4144,16.16
29,3611461,119157,23386141,7787530,18,36593,23662,43376,7009185,1877,206992,4144,14.86
30,3742946,122187,24058027,8043962,18,36593,23662,44756,7228616,1877,206992,4144,15.76
31,3865596,125384,24739336,8319004,18,36593,23662,46167,7448490,1877,206992,4144,15.30
32,3992741,127903,25431119,8592331,18,36593,23662,47512,7664529,1877,206992,4144,15.30
33,4129125,130512,27407819,8879052,18,36593,23662,48846,7893916,1877,206992,4144,16.18
34,4270674,133564,26763002,9176886,18,36593,23662,50204,8125066,1877,206992,4144,16.71
35,4391184,136215,27460663,9444389,18,36593,23662,51493,8332172,1877,206992,4144,14.73
36,4515960,138930,28141943,9716786,18,36593,23662,52930,8553301,1877,206992,4144,15.37
37,4648831,141993,28812025,10002743,18,36593,23662,54270,8780502,1877,206992,4144,16.08
38,4725835,144304,29615335,10196593,18,36593,23662,55826,8924542,1877,206992,4144,9.42
39,4745227,147425,30541113,10291835,18,36593,23662,57393,8980373,1877,206992,4144,2.61
40,4806053,159834,32707975,10434975,18,36593,23662,58964,9096128,1877,206992,4144,6.93
41,4926117,175949,33447916,10698514,18,36593,23662,60314,9307263,1877,206992,4144,15.07
42,5058308,185697,34161001,10984511,18,36593,23662,61864,9537052,1877,206992,4144,16.36
43,5193990,188425,33477069,11281130,18,36593,23662,63304,9772802,1877,206992,4144,16.60
44,5337223,191386,34137086,11584065,18,36593,23662,64697,10012933,1877,206992,4144,17.08
45,5476116,194543,34794676,11884672,18,36593,23662,65995,10252673,1877,206992,4144,17.37
46,5604943,196988,35467991,12172697,18,36593,23662,67421,10480340,1877,206992,4144,16.02
47,5734791,200316,37526768,12459770,18,36593,23662,68777,10709604,1877,206992,4144,16.35
48,5872011,203318,36803203,12758771,18,36593,23662,70404,10950754,1877,206992,4144,16.94
49,6001486,206455,37470324,13048915,18,36593,23662,71862,11184146,1877,206992,4144,16.52
50,6126683,209654,38140512,13335518,18,36593,23662,73114,11418500,1877,206992,4144,16.64
51,6259890,212518,38800006,13631423,18,36593,23662,74641,11656058,1877,206992,4144,17.04
52,6391844,215514,39472400,13892732,18,36593,23662,76011,11884850,1877,206992,4144,16.33
53,6542876,226260,41614078,14219199,18,36593,23662,77450,12153019,1877,206992,4144,18.77
54,6680970,229365,40783375,14526845,18,36593,23662,78800,12403352,1877,206992,4144,17.94
55,6812592,232221,41444683,14825050,18,36593,23662,80194,12650726,1877,206992,4144,17.50
56,6941880,235401,42109567,15119028,18,36593,23662,81441,12893610,1877,206992,4144,17.13
57,7069947,238129,44281359,15409914,18,36593,23662,82688,13132480,1877,206992,4144,16.95
58,7199982,241091,44941907,15706790,18,36593,23662,83895,13380255,1877,206992,4144,17.35
59,7326753,244189,45626909,15989933,18,36593,23662,85308,13611906,1877,206992,4144,16.18
60,7463266,247148,44784340,16289207,18,36593,23662,86835,13854943,1877,206992,4144,17.27
61,7595916,249893,45448607,16583377,18,36593,23662,88184,14091597,1877,206992,4144,16.73
62,7721882,252657,46135960,16860388,18,36593,23662,89547,14309950,1877,206992,4144,15.29
63,7862910,255849,46791932,17138644,18,36593,23662,90932,14553669,1877,206992,4144,17.47
64,7991807,259013,49029147,17426218,18,36593,23662,92425,14781860,1877,206992,4144,16.14
65,8121653,262100,49709173,17711611,18,36593,23662,93935,15009216,1877,206992,4144,15.88
66,8252883,264921,48813529,18001731,18,36593,23662,95259,15239407,1877,206992,4144,16.17
67,8395967,267593,51059813,18308933,18,36593,23662,96585,15485087,1877,206992,4144,17.31
68,8542193,270719,51705357,18620982,18,36593,23662,97944,15735167,1877,206992,4144,17.60
69,8680672,273638,50758587,18923215,18,36593,23662,99404,15977808,1877,206992,4144,17.22
70,8816630,276822,51421046,19209153,18,36593,23662,100726,16216012,1877,206992,4144,17.03
71,8956833,279936,52072992,19501964,18,36593,23662,102113,16458007,1877,206992,4144,17.17
72,9098647,282990,52728871,19794683,18,36593,23662,103485,16697291,1877,206992,4144,17.24
73,9234203,290108,53381586,20072500,18,36593,23662,104757,16939594,1877,206992,4144,17.00
74,9371420,300744,54072217,20354282,18,36593,23662,106095,17174635,1877,206992,4144,16.92
75,9509778,303669,54733668,20638228,18,36593,23662,107407,17411092,1877,206992,4144,16.81
76,9641117,306751,55408861,20904844,18,36593,23662,108839,17637821,1877,206992,4144,15.99
77,9770875,309843,57894007,21178401,18,36593,23662,110172,17859599,1877,206992,4144,15.63
78,9916413,312548,56746282,21481183,18,36593,23662,111659,18104107,1877,206992,4144,17.40
79,10049457,315165,57400402,21770901,18,36593,23662,112975,18355975,1877,206992,4144,17.83
80,10183620,318417,59892890,22062921,18,36593,23662,114229,18610987,1877,206992,4144,17.94
81,10314102,321648,58713029,22341286,18,36593,23662,115535,18863179,1877,206992,4144,17.98
82,10440922,323889,61252636,22633846,18,36593,23662,116904,19114218,1877,206992,4144,17.67
83,10570352,327006,60024513,22926123,18,36593,23662,118361,19366422,1877,206992,4144,18.06
84,10698261,329714,60677531,23193960,18,36593,23662,119638,19617292,1877,206992,4144,18.08
85,10816727,332862,61354551,23457558,18,36593,23662,121009,19846408,1877,206992,4144,16.04
86,10953722,335381,62008367,23754784,18,36593,23662,122393,20089438,1877,206992,4144,17.29
87,11101374,338055,62645642,24059347,18,36593,23662,123768,20344367,1877,206992,4144,17.96
88,11237591,341331,63290882,24360498,18,36593,23662,125237,20590783,1877,206992,4144,17.35
89,11366516,344315,63973226,24634775,18,36593,23662,126654,20810994,1877,206992,4144,15.86
90,11496538,346835,64652142,24912435,18,36593,23662,127970,21036543,1877,206992,4144,15.88
91,11632618,349975,65303049,25204894,18,36593,23662,129419,21276230,1877,206992,4144,16.87
92,11777806,353248,65943319,25510436,18,36593,23662,131009,21527542,1877,206992,4144,17.51
93,11919063,356346,66594609,25810930,18,36593,23662,132412,21772215,1877,206992,4144,17.32
94,12050654,364037,67247883,26094993,18,36593,23662,133847,22018759,1877,206992,4144,17.35
95,12172161,374188,67932783,26365401,18,36593,23662,135247,22254912,1877,206992,4144,16.91
96,12308815,377118,68589036,26669168,18,36593,23662,136657,22495320,1877,206992,4144,17.15
97,12440998,380518,69245590,26964694,18,36593,23662,138157,22732135,1877,206992,4144,16.95
98,12577122,383369,69903802,27264189,18,36593,23662,139569,22972800,1877,206992,4144,16.83
99,12704123,385968,70580328,27551179,18,36593,23662,141077,23199364,1877,206992,4144,16.23
100,12843147,388717,71233329,27856166,18,36593,23662,142497,23445111,1877,206992,4144,17.16
101,12987164,391205,71858347,28179416,18,36593,23662,143786,23709248,1877,206992,4144,19.20
102,13121115,393775,72517713,28476279,18,36593,23662,145340,23948060,1877,206992,4144,16.90
103,13256963,397127,75528239,28774596,18,36593,23662,146799,24183858,1877,206992,4144,16.65
104,13394347,400352,73848837,29072885,18,36593,23662,148158,24418326,1877,206992,4144,16.95
105,13530067,407182,74512734,29358808,18,36593,23662,149595,24652409,1877,206992,4144,16.40
106,13671889,415639,77582306,29647103,18,36593,23662,151037,24898112,1877,206992,4144,17.75
107,13812791,418947,75830136,29954079,18,36593,23662,152279,25134804,1877,206992,4144,17.14
108,13952466,422002,76483169,30259035,18,36593,23662,153554,25383213,1877,206992,4144,17.47
109,14085543,424795,77150564,30550797,18,36593,23662,154799,25618121,1877,206992,4144,16.61
110,14218601,427528,77818344,30842155,18,36593,23662,156003,25851882,1877,206992,4144,16.34
111,14358478,430956,78473883,31141825,18,36593,23662,157343,26089418,1877,206992,4144,16.80
112,14495004,433696,79141346,31436743,18,36593,23662,158624,26321781,1877,206992,4144,16.32
113,14627126,436946,79792222,31718818,18,36593,23662,159854,26567119,1877,206992,4144,17.55
114,14762280,439791,80456823,32011644,18,36593,23662,161087,26803621,1877,206992,4144,16.67
115,14891417,442281,81133039,32290449,18,36593,23662,162573,27032834,1877,206992,4144,15.99
116,15029199,450105,84344332,32568057,18,36593,23662,164018,27269442,1877,206992,4144,16.53
117,15178458,461090,82453677,32871417,18,36593,23662,165488,27520932,1877,206992,4144,18.12
118,15320056,463776,83101835,33185644,18,36593,23662,166980,27766751,1877,206992,4144,17.29
119,15456211,466758,83756900,33492327,18,36593,23662,168288,28016693,1877,206992,4144,17.89
120,15584734,469356,84421371,33785623,18,36593,23662,169725,28257218,1877,206992,4144,17.11
121,15720323,472033,87712192,34084674,18,36593,23662,171141,28494613,1877,206992,4144,16.85
122,15864997,475109,85723049,34398197,18,36593,23662,172487,28742457,1877,206992,4144,17.81
123,16009751,477950,86367740,34713520,18,36593,23662,173900,28996391,1877,206992,4144,18.15
124,16148945,480686,87025632,35020147,18,36593,23662,175286,29239910,1877,206992,4144,17.21
125,16277501,483432,90357756,35308084,18,36593,23662,176600,29471389,1877,206992,4144,16.36
126,16416091,486382,88342501,35616528,18,36593,23662,178030,29718103,1877,206992,4144,17.72
127,16560912,493489,91696877,35922730,18,36593,23662,179464,29978934,1877,206992,4144,18.32
128,16706834,504601,89616611,36233306,18,36593,23662,181011,30237957,1877,206992,4144,18.95
129,16850290,516141,90279612,36555555,18,36593,23662,182360,30505403,1877,206992,4144,18.96
130,16981731,519375,90939947,36852771,18,36593,23662,183729,30743710,1877,206992,4144,17.17
131,17123834,522257,94407543,37165958,18,36593,23662,185241,30997219,1877,206992,4144,17.97
132,17274207,525661,92215149,37491421,18,36593,23662,186682,31259048,1877,206992,4144,18.84
133,17407381,529313,95713904,37793792,18,36593,23662,188225,31507077,1877,206992,4144,17.54
134,17550439,532536,93515513,38109981,18,36593,23662,189709,31758903,1877,206992,4144,18.04
135,17688401,535554,94161396,38421085,18,36593,23662,191395,32011032,1877,206992,4144,18.03
136,17824373,538524,94817075,38728790,18,36593,23662,192751,32258913,1877,206992,4144,17.81
137,17963950,541018,95464950,39042131,18,36593,23662,194131,32513854,1877,206992,4144,18.04
