period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,442,168,4343865,7700,19,19517,23964,3904,701230,1882,206992,4152,0.01,99183
1,4526,11712,4516852,12734,19,19517,23964,5410,716501,1882,206992,4152,0.00,99183
2,4526,14299,5504929,13529,19,19517,23964,6539,728425,1882,206992,4152,0.00,99183
3,23409,16884,6443390,71199,19,19517,23964,8216,775740,1882,206992,4152,1.97,99183
4,103971,19763,8080236,253177,19,19517,23964,9750,941694,1882,206992,4152,11.07,99183
5,166160,27843,8040515,520958,19,19517,23964,11260,1093744,1882,206992,4152,9.80,99183
6,170144,38796,9016036,716067,19,19517,23964,13021,1120197,1882,206992,4152,0.41,99183
7,281486,43163,9719334,1015907,19,19517,23964,14245,1348495,1882,206992,4152,16.27,99183
8,316864,45981,10601957,1142060,19,19517,23964,15870,1440066,1882,206992,4152,5.49,99183
9,400061,48582,11362347,1315731,19,19517,23964,17633,1621897,1882,206992,4152,12.22,99183
10,470372,51715,12821468,1458178,19,19517,23964,19285,1773180,1882,206992,4152,9.87,99183
11,522169,54616,13694037,1567278,19,19517,23964,20663,1892630,1882,206992,4152,7.55,99183
12,580796,57364,13843289,1690692,19,19517,23964,22301,2026365,1882,206992,4152,8.63,99183
13,632507,60448,14691081,1800238,19,19517,23964,23868,2147705,1882,206992,4152,7.55,99183
14,691832,63516,15520008,1922754,19,19517,23964,25403,2282385,1882,206992,4152,8.63,99183
15,746108,66573,16357988,2042033,19,19517,23964,26846,2406138,1882,206992,4152,8.04,99183
16,769086,69418,17271164,2098546,19,19517,23964,28605,2473945,1882,206992,4152,3.71,99183
17,819536,72507,18126194,2199935,19,19517,23964,30251,2584326,1882,206992,4152,7.15,99183
18,896425,75089,18901880,2362833,19,19517,23964,31897,2756521,1882,206992,4152,11.53,99183
19,910722,78004,19846003,2393431,19,19517,23964,33487,2800809,1882,206992,4152,1.73,99183
20,1018164,80971,20550638,2615011,19,19517,23964,35060,3028749,1882,206992,4152,15.89,99183
21,1062620,84203,21405396,2712893,19,19517,23964,37010,3139380,1882,206992,4152,6.64,99183
22,1117534,87351,22247392,2824245,19,19517,23964,38727,3261106,1882,206992,4152,7.75,99183
23,1185489,90251,23054264,2967756,19,19517,23964,40295,3412799,1882,206992,4152,10.01,99183
24,1259806,92696,23836288,3125342,19,19517,23964,41818,3579411,1882,206992,4152,11.02,99183
25,1263828,95903,24793675,3144756,19,19517,23964,43556,3614176,1882,206992,4152,0.99,99183
26,1361046,99046,25523310,3345344,19,19517,23964,45061,3819498,1882,206992,4152,14.34,99183
27,1392560,102294,26426737,3414074,19,19517,23964,46533,3895858,1882,206992,4152,4.43,99183
28,1467800,105527,28422940,3571753,19,19517,23964,48048,4061321,1882,206992,4152,10.94,99183
29,1485221,108704,28158324,3611931,19,19517,23964,49622,4109526,1882,206992,4152,2.16,99183
30,1581896,111681,28883264,3813868,19,19517,23964,51346,4318638,1882,206992,4152,14.37,99183
31,1627653,114916,29743941,3911733,19,19517,23964,52817,4427113,1882,206992,4152,6.62,99183
32,1646939,118189,30672584,3953330,19,19517,23964,54598,4483004,1882,206992,4152,2.53,99183
33,1769287,124897,31349937,4192831,19,19517,23964,55983,4729641,1882,206992,4152,17.51,99183
34,1780716,128127,32293827,4227466,19,19517,23964,57773,4775260,1882,206992,4152,2.04,99183
35,1845595,131274,33119938,4350195,19,19517,23964,59287,4907946,1882,206992,4152,8.96,99183
36,1934646,134009,33881246,4529644,19,19517,23964,60564,5095077,1882,206992,4152,12.89,99183
37,1989636,137239,34719208,4636798,19,19517,23964,62359,5218438,1882,206992,4152,7.63,99183
38,2013302,140438,37163626,4681779,19,19517,23964,63896,5276813,1882,206992,4152,3.18,99183
39,2119906,143419,36375977,4879932,19,19517,23964,65069,5490090,1882,206992,4152,14.68,99183
40,2177364,145963,37200427,5002385,19,19517,23964,66805,5627152,1882,206992,4152,8.63,99183
41,2236288,149481,38032432,5121644,19,19517,23964,68381,5759785,1882,206992,4152,8.46,99183
42,2287060,151864,38884201,5228077,19,19517,23964,69722,5876911,1882,206992,4152,7.61,99183
43,2349847,154290,39710589,5353092,19,19517,23964,71086,6011267,1882,206992,4152,8.73,99183
44,2401059,157438,40558210,5459953,19,19517,23964,72791,6129518,1882,206992,4152,7.55,99183
45,2460085,160128,41382589,5584344,19,19517,23964,74369,6267072,1882,206992,4152,8.63,99183
46,2518930,163277,42212256,5706815,19,19517,23964,75758,6400410,1882,206992,4152,8.63,99183
47,2563851,166406,44859808,5800557,19,19517,23964,77240,6505622,1882,206992,4152,6.54,99183
48,2631246,169354,43889281,5935793,19,19517,23964,78678,6653150,1882,206992,4152,9.63,99183
49,2684165,172499,44740767,6045553,19,19517,23964,80116,6770944,1882,206992,4152,7.55,99183
50,2748063,175643,45557544,6175293,19,19517,23964,81702,6914849,1882,206992,4152,9.30,99183
51,2801884,179485,46404708,6285742,19,19517,23964,83181,7035984,1882,206992,4152,7.89,99183
52,2860410,182008,47238537,6407952,19,19517,23964,84781,7168763,1882,206992,4152,8.55,99183
53,2919378,185160,50014661,6523643,19,19517,23964,86289,7296047,1882,206992,4152,8.27,99183
54,2977864,188104,48916457,6638988,19,19517,23964,87938,7421927,1882,206992,4152,8.05,99183
55,3035601,191229,49744834,6761358,19,19517,23964,89155,7554244,1882,206992,4152,8.63,99183
56,3089798,194362,52608448,6871189,19,19517,23964,90528,7674573,1882,206992,4152,7.74,99183
57,3148056,197458,51423863,6990778,19,19517,23964,92179,7805849,1882,206992,4152,8.44,99183
58,3208372,200599,52248173,7112579,19,19517,23964,93936,7941025,1882,206992,4152,8.63,99183
59,3261485,204063,53099278,7218618,19,19517,23964,95428,8055592,1882,206992,4152,7.55,99183
60,3321435,206750,53929994,7339714,19,19517,23964,96965,8189329,1882,206992,4152,8.63,99183
61,3373913,209881,54775075,7445493,19,19517,23964,98717,8310046,1882,206992,4152,7.55,99183
62,3435414,213119,57800703,7574085,19,19517,23964,100315,8453551,1882,206992,4152,9.18,99183
63,3489172,216198,56445862,7681025,19,19517,23964,101642,8572523,1882,206992,4152,7.69,99183
64,3553641,218841,57265801,7809846,19,19517,23964,103251,8711130,1882,206992,4152,9.01,99183
65,3605380,221451,58114703,7917448,19,19517,23964,104825,8829977,1882,206992,4152,7.55,99183
66,3665846,224598,58942514,8041234,19,19517,23964,106439,8962840,1882,206992,4152,8.63,99183
67,3722715,227731,59775328,8159699,19,19517,23964,107738,9091397,1882,206992,4152,8.48,99183
68,3780234,230866,60618140,8269296,19,19517,23964,109445,9213077,1882,206992,4152,7.70,99183
69,3840134,234019,61444598,8390346,19,19517,23964,111317,9349440,1882,206992,4152,8.63,99183
70,3893101,236621,62294755,8497576,19,19517,23964,112889,9467897,1882,206992,4152,7.55,99183
71,3954156,239927,65581950,8621420,19,19517,23964,114358,9604643,1882,206992,4152,8.90,99183
72,4012970,242860,63952736,8739850,19,19517,23964,116137,9737514,1882,206992,4152,8.35,99183
73,4069913,246367,67311974,8856437,19,19517,23964,117569,9862958,1882,206992,4152,8.34,99183
74,4126753,248924,68179180,8969833,19,19517,23964,119161,9985318,1882,206992,4152,7.83,99183
75,4184363,251918,66464532,9092415,19,19517,23964,120622,10118909,1882,206992,4152,8.63,99183
76,4244965,255051,67291532,9214465,19,19517,23964,122190,10251769,1882,206992,4152,8.63,99183
77,4296320,258190,70768907,9321559,19,19517,23964,123707,10370231,1882,206992,4152,7.56,99183
78,4354944,261064,68971665,9446141,19,19517,23964,125330,10503360,1882,206992,4152,8.61,99183
79,4412689,264356,69799246,9568512,19,19517,23964,126728,10634212,1882,206992,4152,8.45,99183
80,4464857,267335,70643022,9678837,19,19517,23964,128058,10756579,1882,206992,4152,7.73,99183
81,4522887,270472,71466805,9801440,19,19517,23964,129666,10891354,1882,206992,4152,8.63,99183
82,4575877,273599,72312667,9908969,19,19517,23964,131235,11008862,1882,206992,4152,7.55,99183
83,4633455,276746,73144592,10032904,19,19517,23964,132559,11140236,1882,206992,4152,8.63,99183
84,4692297,279900,73970427,10156465,19,19517,23964,134194,11274943,1882,206992,4152,8.63,99183
85,4748667,283040,74801800,10275806,19,19517,23964,135776,11405146,1882,206992,4152,8.44,99183
86,4802284,285676,75644160,10389092,19,19517,23964,137365,11530133,1882,206992,4152,7.74,99183
87,4860747,289161,76476925,10512863,19,19517,23964,138879,11661011,1882,206992,4152,8.41,99183
88,4917992,294656,80274336,10635234,19,19517,23964,140719,11794592,1882,206992,4152,8.45,99183
89,4974622,297544,78140847,10749957,19,19517,23964,142403,11919792,1882,206992,4152,7.88,99183
90,5032836,299915,78971257,10874287,19,19517,23964,143748,12055377,1882,206992,4152,8.63,99183
91,5084751,303295,79819408,10984786,19,19517,23964,145015,12173972,1882,206992,4152,7.62,99183
92,5145276,306239,80648782,11105922,19,19517,23964,146687,12306169,1882,206992,4152,8.56,99183
93,5202786,309377,81475881,11229357,19,19517,23964,148171,12443216,1882,206992,4152,8.63,99183
94,5254565,312510,82320023,11339519,19,19517,23964,150011,12564050,1882,206992,4152,7.55,99183
95,5314555,316472,83157325,11466128,19,19517,23964,151382,12696119,1882,206992,4152,8.63,99183
96,5366600,319768,84001017,11573986,19,19517,23964,152981,12817453,1882,206992,4152,7.55,99183
97,5425059,323083,84827312,11695805,19,19517,23964,154514,12953279,1882,206992,4152,8.53,99183
