period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
0,10854783,899937,29830619,153701747,18,19506,24082,36238267,199456,1856,290608,4152,14.10,99886
1,390,593,5009634,10312,18,19513,24223,710356,4296,1856,290608,4152,0.01,99574
2,3098,11664,5177037,13079,18,19513,24223,722246,5354,1856,290608,4152,0.00,99574
3,3334,14652,7014251,20532,18,19513,24223,736224,6396,1856,290608,4152,0.11,99574
4,73706,18290,7265306,761172,18,19513,24223,921572,7491,1856,290608,4152,12.65,99574
5,141379,24663,7681855,1548357,18,19513,24223,1118950,8541,1856,290608,4152,13.77,99574
6,196005,36670,7593923,2474512,18,19513,24223,1303636,9612,1856,290608,4152,11.73,99574
7,253882,40244,7700526,3373201,18,19513,24223,1506185,10668,1856,290608,4152,12.86,99574
8,314261,43758,10043999,4256348,18,19513,24223,1703493,11797,1856,290608,4152,13.00,99574
9,375408,47703,7932244,5162270,18,19513,24223,1907663,12857,1856,290608,4152,13.43,99574
10,436507,51006,8065776,6027813,18,19513,24223,2103606,13947,1856,290608,4152,13.00,99574
11,499368,55626,12322981,6915507,18,19513,24223,2307968,15130,1856,290608,4152,13.76,99574
12,568350,63708,8281391,7826284,18,19513,24223,2529593,16259,1856,290608,4152,14.74,99574
13,637615,70045,13796048,8737105,18,19513,24223,2748346,17365,1856,290608,4152,14.82,99574
14,701385,79433,8563351,9552806,18,19513,24223,2939080,18499,1856,290608,4152,12.88,99574
15,768441,84211,15291775,10445508,18,19513,24223,3157570,19539,1856,290608,4152,14.43,99574
16,833769,88070,8780605,11335657,18,19513,24223,3371900,20789,1856,290608,4152,14.41,99574
17,895713,91557,16773035,12219684,18,19513,24223,3583985,21869,1856,290608,4152,14.05,99574
18,961344,101575,17516313,13124470,18,19513,24223,3796505,23006,1856,290608,4152,14.13,99574
19,1024058,106441,9136166,13980156,18,19513,24223,3991935,24119,1856,290608,4152,13.42,99574
20,1086461,110610,9293776,14826219,18,19513,24223,4188997,25295,1856,290608,4152,13.40,99574
21,1151034,118873,9470452,15662143,18,19513,24223,4387607,26382,1856,290608,4152,13.16,99574
22,1217143,122407,9596161,16538945,18,19513,24223,4598338,27544,1856,290608,4152,14.12,99574
23,1276845,125231,9803876,17327310,18,19513,24223,4791330,28668,1856,290608,4152,12.71,99574
24,1344124,128770,22053425,18218727,18,19513,24223,5003726,29780,1856,290608,4152,14.41,99574
25,1407432,131896,10037759,19097236,18,19513,24223,5209204,30826,1856,290608,4152,13.91,99574
26,1470768,135579,10178765,19957399,18,19513,24223,5410215,31948,1856,290608,4152,13.83,99574
27,1538338,141522,10283804,20866161,18,19513,24223,5624617,33105,1856,290608,4152,14.59,99574
28,1604116,149308,10418344,21734575,18,19513,24223,5830298,34231,1856,290608,4152,13.94,99574
29,1665044,152864,10565427,22582724,18,19513,24223,6029885,35396,1856,290608,4152,13.30,99574
30,1726958,155942,10700917,23443873,18,19513,24223,6233476,36479,1856,290608,4152,13.29,99574
31,1787608,159481,27350885,24348480,18,19513,24223,6429685,37538,1856,290608,4152,13.14,99574
32,1846014,170481,10962351,25212096,18,19513,24223,6620063,38678,1856,290608,4152,12.72,99574
33,1905129,173970,11131546,26047580,18,19513,24223,6804242,39748,1856,290608,4152,12.22,99574
34,1962349,178819,11308763,26871707,18,19513,24223,6985526,40837,1856,290608,4152,11.97,99574
35,2024206,187103,11474453,27704173,18,19513,24223,7178476,41914,1856,290608,4152,12.97,99574
36,2083725,190510,11659040,28517326,18,19513,24223,7370245,42996,1856,290608,4152,12.47,99574
37,2143598,194025,31965102,29353718,18,19513,24223,7576383,44108,1856,290608,4152,13.09,99574
38,2202991,197803,11958582,30230061,18,19513,24223,7781863,45152,1856,290608,4152,13.32,99574
39,2261965,201052,12072463,31110452,18,19513,24223,7986793,46343,1856,290608,4152,12.99,99574
40,2321892,206880,12187392,32005933,18,19513,24223,8194104,47444,1856,290608,4152,13.01,99574
41,2376613,214220,12377835,32821592,18,19513,24223,8390116,48525,1856,290608,4152,12.09,99574
42,2419588,224681,12724058,33509054,18,19513,24223,8539492,49634,1856,290608,4152,9.39,99574
43,2471031,228124,36695827,34240269,18,19513,24223,8699827,50678,1856,290608,4152,10.58,99574
44,2522939,231134,13202268,35018698,18,19513,24223,8884130,51789,1856,290608,4152,11.52,99574
45,2567544,234491,13499308,35717698,18,19513,24223,9033968,52873,1856,290608,4152,9.73,99574
46,2621603,237977,13674131,36537945,18,19513,24223,9215429,53917,1856,290608,4152,11.77,99574
47,2679858,241981,13767345,37440787,18,19513,24223,9421747,55089,1856,290608,4152,12.99,99574
48,2733296,246577,13933462,38276654,18,19513,24223,9610228,56226,1856,290608,4152,11.75,99574
49,2784123,254478,14168104,39054528,18,19513,24223,9775313,57282,1856,290608,4152,10.92,99574
50,2841600,261573,14279146,39942482,18,19513,24223,9970015,58416,1856,290608,4152,12.77,99574
51,2894994,265099,14479941,40733191,18,19513,24223,10147385,59475,1856,290608,4152,11.54,99574
52,2951795,269064,14690815,41523387,18,19513,24223,10328085,60552,1856,290608,4152,11.99,99574
53,3005030,272452,14965044,42255535,18,19513,24223,10508262,61696,1856,290608,4152,11.45,99574
54,3067176,276391,15118965,43103729,18,19513,24223,10710022,62865,1856,290608,4152,13.74,99574
55,3129154,283457,15311330,43919357,18,19513,24223,10908530,63959,1856,290608,4152,12.99,99574
56,3193243,289708,15455039,44776218,18,19513,24223,11117833,65077,1856,290608,4152,13.94,99574
57,3255948,294249,15563951,45660127,18,19513,24223,11336104,66255,1856,290608,4152,13.73,99574
58,3313844,301187,15684401,46548855,18,19513,24223,11537748,67374,1856,290608,4152,13.03,99574
59,3371295,304588,49097024,47413110,18,19513,24223,11727292,68474,1856,290608,4152,12.29,99574
60,3430867,307943,15945174,48273381,18,19513,24223,11915735,69600,1856,290608,4152,12.23,99574
61,3489390,311226,16084949,49130384,18,19513,24223,12108191,70616,1856,290608,4152,12.69,99574
62,3551798,314945,16209119,50014761,18,19513,24223,12305512,71795,1856,290608,4152,13.40,99574
63,3608535,318340,16348688,50864437,18,19513,24223,12506972,72815,1856,290608,4152,12.44,99574
64,3666388,325947,16480545,51739353,18,19513,24223,12715653,73944,1856,290608,4152,12.94,99574
65,3719942,331946,16665394,52564902,18,19513,24223,12899748,75066,1856,290608,4152,11.79,99574
66,3766932,336059,16974144,53256793,18,19513,24223,13046126,76115,1856,290608,4152,9.54,99574
