period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,467,0,4337137,7437,1881,18,19516,24517,697716,3667,206992,4152,0.01,99188
1,4537,11595,4513236,12560,1881,18,19516,24517,714526,5211,206992,4152,0.00,99188
2,4537,14178,5498559,13597,1881,18,19516,24517,727733,6464,206992,4152,0.00,99188
3,127050,16814,7045271,265693,1881,18,19516,24517,961101,7615,206992,4152,16.38,99188
4,242465,20028,6885357,575558,1881,18,19516,24517,1200118,8806,206992,4152,16.75,99188
5,351292,22719,7570589,1037505,1881,18,19516,24517,1439125,10091,206992,4152,16.51,99188
6,456408,27636,8674640,1538771,1881,18,19516,24517,1675527,11257,206992,4152,16.62,99188
7,564042,32777,8966441,2005475,1881,18,19516,24517,1912936,12444,206992,4152,16.77,99188
8,668126,39908,9668038,2483731,1881,18,19516,24517,2152936,13637,206992,4152,16.31,99188
9,780769,50465,10361619,2977279,1881,18,19516,24517,2400078,14985,206992,4152,17.28,99188
10,887398,53737,11061444,3440814,1881,18,19516,24517,2635745,16135,206992,4152,16.46,99188
11,992218,56990,11139187,3938267,1881,18,19516,24517,2876892,17381,206992,4152,16.76,99188
12,1056989,65214,12537368,4603210,1881,18,19516,24517,3051043,18687,206992,4152,11.05,99188
13,1158442,75906,12146407,4936553,1881,18,19516,24517,3267798,20281,206992,4152,14.83,99188
14,1181107,78937,14175102,5322148,1881,18,19516,24517,3339098,21960,206992,4152,3.54,99188
15,1182768,82071,15147757,5330172,1881,18,19516,24517,3361874,23763,206992,4152,0.23,99188
16,1241559,84631,15980860,5448939,1881,18,19516,24517,3488343,25336,206992,4152,8.26,99188
17,1407083,87640,16553379,5782936,1881,18,19516,24517,3817181,26539,206992,4152,23.86,99188
18,1572707,90734,17114741,6116875,1881,18,19516,24517,4147369,27860,206992,4152,24.10,99188
19,1732091,93462,16466194,6440657,1881,18,19516,24517,4466433,29194,206992,4152,23.20,99188
20,1894782,96889,17087698,6762303,1881,18,19516,24517,4783990,30437,206992,4152,23.19,99188
21,2049867,99988,18861595,7075308,1881,18,19516,24517,5095038,31654,206992,4152,22.55,99188
22,2208972,102338,19442334,7396562,1881,18,19516,24517,5415260,32903,206992,4152,23.30,99188
23,2353734,105388,20059731,7691284,1881,18,19516,24517,5709491,34027,206992,4152,20.93,99188
24,2466143,107563,20764040,7920400,1881,18,19516,24517,5938479,35104,206992,4152,16.28,99188
25,2582692,110438,21460953,8158019,1881,18,19516,24517,6173417,36314,206992,4152,16.29,99188
26,2699392,113642,22153225,8394663,1881,18,19516,24517,6406795,37600,206992,4152,16.71,99188
27,2815318,116475,22850447,8626559,1881,18,19516,24517,6638893,38737,206992,4152,16.53,99188
28,2928120,118963,23547184,8857428,1881,18,19516,24517,6869798,39966,206992,4152,16.23,99188
29,3042908,122161,24243772,9089558,1881,18,19516,24517,7101849,41069,206992,4152,16.66,99188
30,3159004,124839,24935498,9325114,1881,18,19516,24517,7336945,42353,206992,4152,16.62,99188
31,3272918,127876,25633092,9554809,1881,18,19516,24517,7566110,43382,206992,4152,16.32,99188
32,3386759,131066,25567232,9787516,1881,18,19516,24517,7800738,44514,206992,4152,16.73,99188
33,3504264,133895,27027893,10023682,1881,18,19516,24517,8035740,45703,206992,4152,16.70,99188
34,3617738,136567,27726840,10254897,1881,18,19516,24517,8264482,46982,206992,4152,16.17,99188
35,3731084,139755,28420069,10484861,1881,18,19516,24517,8495270,48282,206992,4152,16.44,99188
36,3844934,142944,29112366,10719092,1881,18,19516,24517,8727003,49521,206992,4152,16.95,99188
37,3959391,145709,29817504,10949255,1881,18,19516,24517,8956568,50616,206992,4152,16.22,99188
38,4073159,148908,30514332,11178666,1881,18,19516,24517,9184108,51910,206992,4152,16.37,99188
39,4191414,151672,30664191,11416150,1881,18,19516,24517,9419719,52955,206992,4152,16.95,99188
40,4305996,154619,31908642,11647695,1881,18,19516,24517,9648503,54196,206992,4152,16.30,99188
41,4421728,157805,32121672,11877880,1881,18,19516,24517,9876964,55375,206992,4152,16.36,99188
42,4539153,160846,33299458,12113183,1881,18,19516,24517,10111759,56388,206992,4152,16.71,99188
43,4654563,164032,33995106,12346873,1881,18,19516,24517,10346180,57637,206992,4152,16.53,99188
