period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,12738449,689929,30218100,151717931,18,19471,13777,213393,41346630,1837,290608,4152,16.83,100878
1,446,738,4330083,9747,18,19442,24537,3767,702852,1837,290608,4152,0.02,100343
2,5967,11612,4506866,11306,18,19442,24537,5119,715329,1837,290608,4152,0.00,100343
3,5967,14204,5491473,12213,18,19442,24537,6402,728231,1837,290608,4152,0.00,100343
4,79525,17299,6502830,830054,18,19442,24537,7525,953853,1837,290608,4152,15.90,100343
5,155866,23537,6925357,1686295,18,19442,24537,8666,1192937,1837,290608,4152,16.76,100343
6,226432,36572,6766332,2582684,18,19442,24537,9891,1418862,1837,290608,4152,16.10,100343
7,298060,40291,6890462,3457006,18,19442,24537,11056,1647270,1837,290608,4152,15.84,100343
8,364398,44007,7035323,4306980,18,19442,24537,12230,1859556,1837,290608,4152,14.73,100343
9,435909,47264,7139603,5196900,18,19442,24537,13356,2091386,1837,290608,4152,16.11,100343
10,506284,50429,7263614,6063266,18,19442,24537,14507,2313695,1837,290608,4152,15.63,100343
11,575012,53871,11354727,6932862,18,19442,24537,15680,2529272,1837,290608,4152,15.11,100343
12,645833,57475,7481870,7819210,18,19442,24537,16908,2755592,1837,290608,4152,16.16,100343
13,719140,60858,7579513,8707939,18,19442,24537,18114,2986684,1837,290608,4152,16.24,100343
14,791233,63966,7678941,9602817,18,19442,24537,19286,3214708,1837,290608,4152,16.06,100343
15,863445,67446,14250164,10490711,18,19442,24537,20433,3442976,1837,290608,4152,16.06,100343
16,932767,70418,14988075,11345534,18,19442,24537,21465,3662679,1837,290608,4152,15.43,100343
17,1000355,73802,8046275,12198129,18,19442,24537,22614,3881825,1837,290608,4152,15.27,100343
18,1072156,77361,8166463,13069352,18,19442,24537,23709,4112351,1837,290608,4152,15.79,100343
19,1142037,81098,8294440,13937580,18,19442,24537,24926,4337169,1837,290608,4152,15.73,100343
20,1214548,90937,8404420,14851459,18,19442,24537,26184,4568589,1837,290608,4152,16.23,100343
21,1282708,94542,8555733,15692711,18,19442,24537,27344,4785377,1837,290608,4152,15.17,100343
22,1349724,99964,8727877,16515097,18,19442,24537,28492,4996199,1837,290608,4152,14.69,100343
23,1421889,107934,8858254,17369523,18,19442,24537,29645,5217508,1837,290608,4152,15.63,100343
24,1494364,111314,8960256,18260554,18,19442,24537,30760,5444051,1837,290608,4152,16.20,100343
25,1564329,115343,9058437,19155649,18,19442,24537,31918,5668036,1837,290608,4152,15.65,100343
26,1634655,118498,9163264,20040787,18,19442,24537,33178,5896291,1837,290608,4152,16.03,100343
27,1707003,121780,23106450,20925573,18,19442,24537,34274,6126884,1837,290608,4152,16.00,100343
28,1776637,124344,9382131,21799412,18,19442,24537,35363,6350164,1837,290608,4152,15.62,100343
29,1845593,128315,9523800,22653170,18,19442,24537,36501,6573578,1837,290608,4152,15.55,100343
30,1918720,131612,9625219,23537781,18,19442,24537,37600,6805593,1837,290608,4152,16.35,100343
31,1992472,135189,9731362,24420811,18,19442,24537,38796,7041777,1837,290608,4152,16.24,100343
32,2067215,138990,9843321,25305045,18,19442,24537,40020,7284109,1837,290608,4152,16.74,100343
33,2140187,141936,9957991,26175426,18,19442,24537,41208,7516146,1837,290608,4152,16.17,100343
34,2212487,147560,10061561,27086623,18,19442,24537,42348,7758867,1837,290608,4152,16.81,100343
35,2286984,151136,10162633,27972773,18,19442,24537,43544,7995495,1837,290608,4152,16.67,100343
36,2360248,154418,10270285,28853766,18,19442,24537,44716,8228656,1837,290608,4152,16.38,100343
37,2436595,159799,30339981,29752302,18,19442,24537,45973,8464617,1837,290608,4152,16.86,100343
38,2508519,162948,10487075,30603611,18,19442,24537,47103,8696444,1837,290608,4152,16.27,100343
39,2580656,166535,10599164,31486010,18,19442,24537,48321,8932899,1837,290608,4152,16.28,100343
40,2654643,170044,32497126,32358818,18,19442,24537,49463,9170675,1837,290608,4152,16.78,100343
41,2731114,172938,33207445,33243484,18,19442,24537,50622,9415048,1837,290608,4152,17.09,100343
42,2800943,176374,10948754,34106635,18,19442,24537,51827,9641249,1837,290608,4152,15.75,100343
43,2875038,179858,11049609,34995979,18,19442,24537,53017,9878091,1837,290608,4152,16.63,100343
44,2950745,182984,11132756,35909308,18,19442,24537,54237,10124040,1837,290608,4152,17.31,100343
45,3026676,186623,11242003,36785024,18,19442,24537,55346,10362615,1837,290608,4152,16.73,100343
46,3102333,189862,11357825,37662668,18,19442,24537,56571,10605173,1837,290608,4152,16.80,100343
47,3177269,193713,11461097,38541455,18,19442,24537,57694,10847814,1837,290608,4152,16.96,100343
48,3252498,201903,11576981,39431120,18,19442,24537,58918,11090394,1837,290608,4152,16.92,100343
49,3324573,205274,11712534,40281336,18,19442,24537,60058,11325460,1837,290608,4152,16.35,100343
50,3398323,208558,11828364,41154497,18,19442,24537,61220,11566013,1837,290608,4152,16.76,100343
51,3472922,217683,11940267,42046412,18,19442,24537,62471,11809072,1837,290608,4152,16.96,100343
52,3546644,221146,12058032,42918336,18,19442,24537,63651,12048138,1837,290608,4152,16.69,100343
53,3624767,224454,41786449,43804405,18,19442,24537,64813,12289135,1837,290608,4152,17.06,100343
54,3699679,227305,12279632,44677303,18,19442,24537,65930,12529484,1837,290608,4152,16.83,100343
55,3775983,230538,12373357,45565133,18,19442,24537,66980,12773029,1837,290608,4152,17.31,100343
56,3852176,233932,12476956,46448936,18,19442,24537,68187,13015736,1837,290608,4152,16.82,100343
57,3927368,238057,12584935,47339222,18,19442,24537,69340,13255626,1837,290608,4152,17.07,100343
58,4002991,241219,12662751,48246436,18,19442,24537,70544,13505096,1837,290608,4152,17.48,100343
59,4079938,244710,12749663,49138888,18,19442,24537,71711,13752396,1837,290608,4152,17.10,100343
60,4154732,248398,12880933,50005734,18,19442,24537,72907,13991714,1837,290608,4152,16.68,100343
61,4231144,251362,12994105,50880156,18,19442,24537,74053,14229455,1837,290608,4152,16.90,100343
62,4307283,254831,13096444,51764868,18,19442,24537,75160,14467987,1837,290608,4152,16.77,100343
63,4381547,258332,13207200,52646575,18,19442,24537,76385,14711186,1837,290608,4152,16.82,100343
64,4458429,261979,13322180,53513866,18,19442,24537,77617,14948454,1837,290608,4152,16.69,100343
65,4532986,265701,13447761,54387893,18,19442,24537,78782,15187097,1837,290608,4152,16.64,100343
66,4608338,268722,13548243,55276374,18,19442,24537,79956,15430179,1837,290608,4152,17.03,100343
67,4684139,272403,13657321,56164432,18,19442,24537,81170,15670740,1837,290608,4152,17.03,100343
68,4758532,276473,13771696,57053038,18,19442,24537,82341,15904164,1837,290608,4152,16.28,100343
69,4832792,279636,53178819,57925331,18,19442,24537,83528,16141016,1837,290608,4152,16.54,100343
70,4909356,287105,14006951,58804633,18,19442,24537,84728,16384922,1837,290608,4152,16.76,100343
71,4984546,294902,14122240,59691046,18,19442,24537,85892,16623268,1837,290608,4152,16.67,100343
72,5059705,298439,14220536,60580577,18,19442,24537,87126,16858200,1837,290608,4152,16.58,100343
73,5132195,301871,14321396,61467845,18,19442,24537,88276,17090479,1837,290608,4152,16.44,100343
74,5209393,305038,14422856,62347804,18,19442,24537,89390,17329240,1837,290608,4152,16.73,100343
75,5282135,308448,14566742,63196552,18,19442,24537,90636,17559353,1837,290608,4152,16.15,100343
76,5355566,315046,14672236,64090099,18,19442,24537,91813,17796143,1837,290608,4152,16.70,100343
77,5426268,318505,14824351,64924214,18,19442,24537,92962,18020121,1837,290608,4152,15.68,100343
78,5500419,322019,14933821,65798840,18,19442,24537,94115,18256257,1837,290608,4152,16.48,100343
79,5573372,325677,15066148,66664746,18,19442,24537,95335,18485595,1837,290608,4152,16.24,100343
80,5646848,329199,61113159,67535273,18,19442,24537,96512,18719551,1837,290608,4152,16.45,100343
81,5719912,332488,15298016,68419065,18,19442,24537,97696,18959501,1837,290608,4152,16.65,100343
82,5796822,341043,62560652,69315790,18,19442,24537,98838,19198231,1837,290608,4152,16.72,100343
83,5871635,343467,15499316,70207218,18,19442,24537,99990,19438961,1837,290608,4152,17.02,100343
84,5945814,348724,15617405,71078731,18,19442,24537,101104,19674702,1837,290608,4152,16.47,100343
85,6017011,352106,15780305,71905840,18,19442,24537,102207,19900252,1837,290608,4152,15.74,100343
