period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,324,718,100295,4348437,8153,18,19524,13782,3584,700287,1881,206992,4152,0.01
1,4931,11913,100295,4537539,11066,18,19524,13782,5009,714855,1881,206992,4152,0.00
2,4931,14521,100295,5522001,12788,18,19524,13782,6339,728757,1881,206992,4152,0.00
3,23679,17101,100295,6462567,68871,18,19524,13782,7886,776459,1881,206992,4152,2.05
4,135460,19914,100295,7191134,259568,18,19524,13782,9138,986623,1881,206992,4152,14.83
5,147016,23013,100295,8128129,395809,18,19524,13782,11092,1037581,1881,206992,4152,2.06
6,163712,26171,100295,9796380,509831,18,19524,13782,12515,1085064,1881,206992,4152,2.26
7,298744,29059,100295,9710286,877315,18,19524,13782,13782,1365735,1881,206992,4152,20.25
8,302392,37074,100295,10675888,977748,18,19524,13782,15628,1401108,1881,206992,4152,0.55
9,386686,47462,100295,11456075,1236667,18,19524,13782,17014,1576654,1881,206992,4152,12.20
10,432456,50415,100295,12321516,1409211,18,19524,13782,18341,1687939,1881,206992,4152,6.90
11,481103,53481,100295,13182186,1580897,18,19524,13782,19864,1796440,1881,206992,4152,6.71
12,568249,56216,100295,13941093,1857542,18,19524,13782,21308,1987897,1881,206992,4152,13.26
13,613275,59724,100295,14811991,2020993,18,19524,13782,22797,2089277,1881,206992,4152,6.23
14,683553,62476,100295,15617738,2261913,18,19524,13782,23816,2242995,1881,206992,4152,10.61
15,749529,65133,100295,16424234,2472641,18,19524,13782,25315,2397389,1881,206992,4152,9.88
16,808531,68199,100295,17253672,2665797,18,19524,13782,26932,2530647,1881,206992,4152,8.64
17,859754,71326,100295,18098931,2819154,18,19524,13782,28772,2653102,1881,206992,4152,7.55
18,914074,74480,100295,18944710,3028255,18,19524,13782,29975,2771440,1881,206992,4152,7.93
19,929428,77613,100295,19877725,3143724,18,19524,13782,31611,2825420,1881,206992,4152,2.51
20,930904,80741,100295,20848664,3267547,18,19524,13782,33340,2850136,1881,206992,4152,0.20
21,981330,88385,100295,21708579,3445856,18,19524,13782,34705,2963812,1881,206992,4152,7.11
22,1012579,98803,100295,22630507,3615684,18,19524,13782,36227,3046329,1881,206992,4152,5.10
23,1103320,101953,100295,23386666,3889162,18,19524,13782,37591,3235120,1881,206992,4152,12.87
24,1256787,105479,100295,23988358,4253855,18,19524,13782,38959,3546166,1881,206992,4152,22.53
25,1275224,108335,100295,24915460,4405797,18,19524,13782,40423,3605667,1881,206992,4152,2.90
26,1326638,111477,100295,25772155,4582144,18,19524,13782,41585,3720486,1881,206992,4152,7.29
27,1420293,114125,100295,26521120,4864180,18,19524,13782,42915,3920353,1881,206992,4152,13.78
28,1442871,117459,100295,26987164,4988288,18,19524,13782,44738,3983650,1881,206992,4152,3.10
29,1535708,120373,100295,28193463,5273523,18,19524,13782,46150,4185588,1881,206992,4152,13.74
30,1560715,123824,100295,28532383,5400194,18,19524,13782,47784,4249394,1881,206992,4152,3.24
31,1635782,126441,100295,29909069,5653118,18,19524,13782,49324,4414734,1881,206992,4152,11.22
32,1711017,134795,100295,30697563,5892420,18,19524,13782,50742,4585709,1881,206992,4152,11.23
33,1739835,145382,100295,31614907,6040700,18,19524,13782,52247,4654144,1881,206992,4152,3.78
34,1823898,148474,100295,31563440,6307421,18,19524,13782,53335,4835258,1881,206992,4152,12.35
35,1866471,153295,100295,32411459,6443865,18,19524,13782,54782,4936211,1881,206992,4152,6.20
36,1934411,156261,100295,34070878,6656766,18,19524,13782,56403,5090703,1881,206992,4152,10.13
37,1990112,159484,100295,34910531,6816210,18,19524,13782,58042,5219161,1881,206992,4152,8.15
38,2052153,162131,100295,35739301,7036295,18,19524,13782,59401,5355154,1881,206992,4152,9.23
39,2067930,164825,100295,36677123,7151947,18,19524,13782,60960,5408313,1881,206992,4152,2.35
40,2069567,167976,100295,37647474,7266676,18,19524,13782,62501,5433281,1881,206992,4152,0.23
41,2223259,171438,100295,38271128,7603275,18,19524,13782,63855,5730072,1881,206992,4152,21.14
42,2281555,174098,100295,39106053,7789740,18,19524,13782,65166,5862817,1881,206992,4152,8.75
43,2299798,176907,100295,40038764,7910103,18,19524,13782,66619,5920698,1881,206992,4152,2.73
44,2362283,180043,100295,40865064,8137873,18,19524,13782,67902,6056268,1881,206992,4152,8.77
45,2437791,182648,100295,41653949,8359998,18,19524,13782,69431,6224510,1881,206992,4152,11.33
46,2466187,185888,100295,42562666,8527859,18,19524,13782,70892,6296600,1881,206992,4152,3.99
47,2553817,193629,100295,43324881,8757030,18,19524,13782,72532,6487465,1881,206992,4152,12.92
48,2630283,204202,100295,44130346,8986274,18,19524,13782,73843,6643474,1881,206992,4152,10.60
49,2642613,206560,100295,45069274,9098511,18,19524,13782,75723,6693543,1881,206992,4152,2.02
50,2646762,209117,100295,46030446,9222424,18,19524,13782,77247,6725437,1881,206992,4152,0.90
51,2802037,212212,100295,44967884,9588132,18,19524,13782,78347,7028350,1881,206992,4152,21.81
52,2818050,215608,100295,47584578,9679123,18,19524,13782,80004,7082864,1881,206992,4152,2.42
53,2882308,218432,100295,48411148,9902118,18,19524,13782,81546,7219721,1881,206992,4152,8.94
54,2978782,221560,100295,49158249,10154698,18,19524,13782,82684,7414599,1881,206992,4152,13.69
55,3035937,224088,100295,49989268,10347057,18,19524,13782,84162,7550568,1881,206992,4152,8.38
56,3090365,227221,100295,50833095,10476267,18,19524,13782,85613,7674387,1881,206992,4152,7.85
57,3148210,230197,100295,51664686,10697881,18,19524,13782,87301,7805215,1881,206992,4152,8.34
58,3205102,237710,100295,52505467,10888356,18,19524,13782,88516,7929415,1881,206992,4152,7.95
59,3206710,248552,100295,53482433,11002303,18,19524,13782,90285,7960488,1881,206992,4152,0.62
60,3326015,251412,100295,54172642,11320027,18,19524,13782,91733,8198858,1881,206992,4152,16.87
61,3364972,254260,100295,55054875,11477257,18,19524,13782,93167,8294890,1881,206992,4152,5.61
62,3375904,257396,100295,56000077,11612520,18,19524,13782,94448,8339490,1881,206992,4152,1.93
63,3454951,260808,100295,56787895,11833086,18,19524,13782,95848,8504181,1881,206992,4152,11.33
64,3535220,263471,100295,57570216,12084541,18,19524,13782,97233,8675171,1881,206992,4152,11.49
65,3536730,266662,100295,58542795,12171059,18,19524,13782,98831,8697589,1881,206992,4152,0.19
66,3664069,270023,100295,56801413,12503677,18,19524,13782,99998,8950694,1881,206992,4152,18.03
