period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,544,1113,4205097,9845,18,36443,24531,3656,706415,1888,206992,4152,0.01
1,6108,11866,4381310,11282,18,36443,24531,4891,718294,1888,206992,4152,0.00
2,133501,14340,5062129,250669,18,36443,24531,6262,953827,1888,206992,4152,16.14
3,260172,17304,5740030,474841,18,36443,24531,7625,1194090,1888,206992,4152,16.61
4,390357,20011,6412322,779485,18,36443,24531,9024,1435741,1888,206992,4152,16.72
5,511094,23278,7113342,1046486,18,36443,24531,10343,1662225,1888,206992,4152,16.07
6,639104,33411,7813543,1354853,18,36443,24531,11646,1906506,1888,206992,4152,17.37
7,757937,36622,9353547,1653476,18,36443,24531,13194,2141162,1888,206992,4152,16.39
8,881326,39699,9187859,1955102,18,36443,24531,14491,2376829,1888,206992,4152,16.62
9,1002072,43080,9875151,2227025,18,36443,24531,15905,2609885,1888,206992,4152,16.30
10,1130021,46074,10555294,2534293,18,36443,24531,17237,2852053,1888,206992,4152,16.88
11,1252054,48657,11238814,2834322,18,36443,24531,18497,3090190,1888,206992,4152,16.49
12,1372429,56535,11924867,3119946,18,36443,24531,19917,3324661,1888,206992,4152,16.10
13,1501817,67505,12613486,3416094,18,36443,24531,21353,3570280,1888,206992,4152,17.32
14,1625131,70052,13295161,3718741,18,36443,24531,22806,3807073,1888,206992,4152,16.45
15,1755688,73176,13972617,4022205,18,36443,24531,24190,4041300,1888,206992,4152,16.48
16,1885600,76498,15373641,4300201,18,36443,24531,25807,4273859,1888,206992,4152,16.55
17,2008942,79434,15333577,4597619,18,36443,24531,27157,4499681,1888,206992,4152,16.00
18,2139778,82182,16003904,4907150,18,36443,24531,28531,4738046,1888,206992,4152,16.93
19,2263460,85179,17367955,5206175,18,36443,24531,29946,4967484,1888,206992,4152,16.16
20,2392456,91550,17353664,5486633,18,36443,24531,31396,5210694,1888,206992,4152,17.02
