period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,333,724,99433,4344935,9568,18,19524,24530,3503,704142,1881,206992,4072,0.01
1,4471,11744,99433,4522473,12458,18,19524,24530,4775,715649,1881,206992,4072,0.00
2,4471,14333,99433,5506431,14114,18,19524,24530,6139,729968,1881,206992,4072,0.00
3,73657,16922,99433,6327485,159297,18,19524,24530,7931,871684,1881,206992,4072,8.63
4,131295,19726,99433,7178050,260620,18,19524,24530,9652,990814,1881,206992,4072,7.55
5,180600,22480,99433,8030370,407884,18,19524,24530,11543,1110274,1881,206992,4072,7.24
6,247413,25664,99433,9685485,585028,18,19524,24530,12984,1252519,1881,206992,4072,9.53
7,264113,28533,99433,9786669,678158,18,19524,24530,14521,1310934,1881,206992,4072,2.63
8,361726,31600,99433,10526482,910563,18,19524,24530,15934,1511712,1881,206992,4072,13.94
9,363020,34342,99433,11497285,975405,18,19524,24530,17393,1538277,1881,206992,4072,0.39
10,443940,37358,99433,12279641,1177374,18,19524,24530,18872,1706204,1881,206992,4072,11.42
11,506917,40155,99433,13094591,1355132,18,19524,24530,20566,1851650,1881,206992,4072,9.47
12,589702,43033,99433,13872049,1564402,18,19524,24530,21783,2026411,1881,206992,4072,11.87
13,591012,46194,99433,15535107,1623754,18,19524,24530,23353,2047310,1881,206992,4072,0.18
14,703200,49056,99433,15563812,1878747,18,19524,24530,24356,2268222,1881,206992,4072,15.83
15,722454,52093,99433,16492336,1946258,18,19524,24530,25963,2328249,1881,206992,4072,3.09
16,760606,55153,99433,17384231,2067548,18,19524,24530,27360,2412751,1881,206992,4072,5.09
17,876406,58220,99433,18077187,2333887,18,19524,24530,28410,2654657,1881,206992,4072,17.04
18,917604,61442,99433,18955746,2464015,18,19524,24530,29937,2747476,1881,206992,4072,5.56
19,958361,64577,99433,19828273,2595855,18,19524,24530,31502,2849457,1881,206992,4072,6.16
20,1038590,67727,99433,20611592,2792714,18,19524,24530,32884,3015168,1881,206992,4072,11.32
