period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
5,8227,455,1518,99197,4330987,18,19455,13727,3516,698739,1837,290608,4152,0.01
6,12025,6022,11806,99197,4518111,18,19455,13727,5061,714822,1837,290608,4152,0.00
7,13821,6022,14401,99197,5502433,18,19455,13727,6373,728624,1837,290608,4152,0.00
8,798450,83178,16995,99197,6529087,18,19455,13727,7575,938602,1837,290608,4152,15.05
9,1578546,156108,20930,99197,6745275,18,19455,13727,8833,1147234,1837,290608,4152,15.46
10,2405549,229101,24801,99197,6912804,18,19455,13727,10104,1357597,1837,290608,4152,15.42
11,3225937,300069,28253,99197,7087382,18,19455,13727,11417,1570299,1837,290608,4152,15.15
12,3983455,372362,31637,99197,7317844,18,19455,13727,12578,1771954,1837,290608,4152,14.44
13,4797186,443588,35609,99197,7493818,18,19455,13727,13797,1977414,1837,290608,4152,15.07
14,5638324,518261,38875,99197,10692319,18,19455,13727,15041,2188595,1837,290608,4152,15.62
15,6461652,591591,42071,99197,7822096,18,19455,13727,16322,2399363,1837,290608,4152,15.29
16,7286068,663960,45779,99197,7991160,18,19455,13727,17578,2612345,1837,290608,4152,15.29
17,8152212,741571,49497,99197,8116941,18,19455,13727,18856,2836696,1837,290608,4152,16.73
18,8977849,814968,52822,99197,13640094,18,19455,13727,20107,3045776,1837,290608,4152,15.30
19,9831303,888546,56344,99197,8420864,18,19455,13727,21307,3265941,1837,290608,4152,15.85
20,10559549,952601,59257,99197,8678900,18,19455,13727,22509,3449765,1837,290608,4152,13.38
21,11426074,1028484,62801,99197,8804492,18,19455,13727,23701,3671606,1837,290608,4152,16.10
22,12182157,1095032,70759,99197,16614056,18,19455,13727,24927,3879717,1837,290608,4152,14.23
23,12984546,1165380,82444,99197,9272797,18,19455,13727,26134,4085623,1837,290608,4152,15.10
24,13860699,1239271,85813,99197,9385720,18,19455,13727,27361,4311411,1837,290608,4152,16.32
25,14728527,1310680,89171,99197,9512516,18,19455,13727,28480,4538587,1837,290608,4152,16.10
26,15617302,1386336,92539,99197,19568076,18,19455,13727,29689,4771861,1837,290608,4152,16.47
27,16489482,1459737,96248,99197,9726875,18,19455,13727,30821,5004273,1837,290608,4152,16.29
