period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
2,851,1501,4423590,9018,18,19475,13297,3855,701747,1836,290608,4088,0.01,100366
3,6048,11801,4606402,12186,18,19475,13297,5404,717401,1836,290608,4088,0.00,100366
4,6048,14242,5594578,12987,18,19475,13297,6494,728970,1836,290608,4088,0.00,100366
5,86409,16829,6569110,858429,18,19475,13297,7739,961563,1836,290608,4088,16.29,100366
6,160917,20680,6714113,1705104,18,19475,13297,9086,1195912,1836,290608,4088,16.73,100366
7,233404,24191,6833103,2572623,18,19475,13297,10322,1426806,1836,290608,4088,16.10,100366
8,303973,27696,8465938,3464509,18,19475,13297,11635,1655726,1836,290608,4088,16.12,100366
9,377553,41135,7079711,4324609,18,19475,13297,12889,1875145,1836,290608,4088,15.91,100366
10,452488,44608,9912189,5214556,18,19475,13297,14196,2108651,1836,290608,4088,16.56,100366
11,522739,48150,7299388,6076447,18,19475,13297,15391,2338928,1836,290608,4088,16.05,100366
12,595824,52096,7419993,6950926,18,19475,13297,16700,2572620,1836,290608,4088,16.25,100366
13,668061,55458,12087634,7832751,18,19475,13297,18012,2805086,1836,290608,4088,15.93,100366
14,743869,71588,12840752,8722523,18,19475,13297,19334,3028712,1836,290608,4088,16.35,100366
15,819089,75024,7754266,9638407,18,19475,13297,20550,3270082,1836,290608,4088,17.10,100366
16,894266,78094,7843479,10540342,18,19475,13297,21852,3506621,1836,290608,4088,16.83,100366
17,967865,81920,7946622,11429581,18,19475,13297,23180,3740848,1836,290608,4088,16.51,100366
18,1040598,84998,8027467,12339036,18,19475,13297,24512,3974379,1836,290608,4088,16.43,100366
19,1115454,88432,8163739,13197103,18,19475,13297,25791,4194158,1836,290608,4088,15.98,100366
20,1188357,92342,8281126,14074285,18,19475,13297,27110,4427438,1836,290608,4088,16.35,100366
21,1263033,96143,8385590,14969019,18,19475,13297,28230,4667821,1836,290608,4088,16.62,100366
22,1334440,99004,18593431,15871887,18,19475,13297,29337,4903367,1836,290608,4088,16.65,100366
23,1407345,114647,8600731,16765441,18,19475,13297,30433,5130326,1836,290608,4088,16.27,100366
24,1478983,118093,8716381,17634648,18,19475,13297,31500,5362053,1836,290608,4088,16.16,100366
25,1545154,121504,20813159,18397104,18,19475,13297,32584,5559030,1836,290608,4088,13.94,100366
26,1612893,124518,9134459,19186051,18,19475,13297,33751,5762214,1836,290608,4088,14.58,100366
