period,experiment_runn,measurer,IDLE,tiT,ipc0,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps
0,563,3969,9111845,11711,1881,18,19525,28865,732884,5974,206992,4152,0.01
1,6125,14736,9252890,12842,1881,18,19525,28865,744888,7273,206992,4152,0.00
2,6125,17518,10239865,13575,1881,18,19525,28865,756386,8418,206992,4152,0.00
3,129106,20462,11823707,271791,1881,18,19525,28865,989322,9644,206992,4152,16.70
4,243470,23512,11629298,500726,1881,18,19525,28865,1222104,10863,206992,4152,16.63
5,354692,26844,12332733,782174,1881,18,19525,28865,1452251,12087,206992,4152,16.20
6,446573,35107,13075747,1008563,1881,18,19525,28865,1649459,13603,206992,4152,13.45
7,449603,45742,14052302,1091830,1881,18,19525,28865,1677518,15359,206992,4152,0.76
8,451056,48826,15024653,1151661,1881,18,19525,28865,1699592,17122,206992,4152,0.20
9,540408,52292,16626354,1385812,1881,18,19525,28865,1888382,18547,206992,4152,12.94
10,697872,55276,16358038,1755392,1881,18,19525,28865,2210628,19908,206992,4152,23.15
11,853649,63626,17809178,2103261,1881,18,19525,28865,2528900,21164,206992,4152,22.72
12,1015437,71820,17542438,2457383,1881,18,19525,28865,2854787,22476,206992,4152,23.26
13,1171668,74452,18132289,2809802,1881,18,19525,28865,3171879,23580,206992,4152,22.87
14,1328628,77687,18713702,3154526,1881,18,19525,28865,3489959,24856,206992,4152,23.06
15,1478503,80236,19309204,3500776,1881,18,19525,28865,3799351,26086,206992,4152,22.44
16,1600532,82972,19983967,3777735,1881,18,19525,28865,4049267,27230,206992,4152,17.70
17,1710100,86167,20685121,4046849,1881,18,19525,28865,4280461,28386,206992,4152,16.18
18,1822114,89726,21377314,4318266,1881,18,19525,28865,4515539,29699,206992,4152,16.73
19,1937005,92153,22072276,4569176,1881,18,19525,28865,4749284,30849,206992,4152,16.71
20,2050615,95246,22775869,4816685,1881,18,19525,28865,4978666,32083,206992,4152,16.18
21,2166330,98686,23470015,5064134,1881,18,19525,28865,5212617,33204,206992,4152,16.70
22,2281705,101563,24167517,5303461,1881,18,19525,28865,5444695,34318,206992,4152,16.72
23,2396372,104309,24871162,5570929,1881,18,19525,28865,5675411,35486,206992,4152,16.20
24,2510194,107669,26534374,5826494,1881,18,19525,28865,5906569,36652,206992,4152,16.55
25,2630680,110622,26261510,6083100,1881,18,19525,28865,6140994,37876,206992,4152,16.61
26,2745833,116954,26977784,6362072,1881,18,19525,28865,6376700,39164,206992,4152,16.72
27,2862256,120471,28628523,6622844,1881,18,19525,28865,6612496,40253,206992,4152,16.90
28,2977101,123389,28373876,6873491,1881,18,19525,28865,6841951,41214,206992,4152,16.28
29,3090742,126575,30047339,7117619,1881,18,19525,28865,7074014,42414,206992,4152,16.44
30,3204544,129730,30750699,7370431,1881,18,19525,28865,7307606,43540,206992,4152,16.69
31,3321697,132876,30466306,7621755,1881,18,19525,28865,7541489,44744,206992,4152,16.49
32,3433121,135717,31172142,7856618,1881,18,19525,28865,7764897,45801,206992,4152,16.44
33,3550835,138699,32897824,8102671,1881,18,19525,28865,8004296,46957,206992,4152,16.68
34,3666873,141601,32561059,8344037,1881,18,19525,28865,8238671,48082,206992,4152,16.48
35,3778581,144789,33264038,8579004,1881,18,19525,28865,8466161,49308,206992,4152,16.18
36,3893668,148232,33951644,8820032,1881,18,19525,28865,8702696,50667,206992,4152,16.72
37,4010187,150986,34641513,9059349,1881,18,19525,28865,8939444,51963,206992,4152,16.72
38,4125425,155046,35340911,9288843,1881,18,19525,28865,9168447,53127,206992,4152,16.18
39,4243148,157884,37234711,9526421,1881,18,19525,28865,9404759,54188,206992,4152,16.72
40,4360351,162382,37957489,9762930,1881,18,19525,28865,9639193,55329,206992,4152,16.72
41,4471813,165343,37432880,9992041,1881,18,19525,28865,9866862,56547,206992,4152,16.18
42,4589002,168537,39396002,10234774,1881,18,19525,28865,10103192,57931,206992,4152,16.72
43,4705107,171351,38814108,10473062,1881,18,19525,28865,10339184,59108,206992,4152,16.70
44,4819133,174025,39512173,10705098,1881,18,19525,28865,10570056,60258,206992,4152,16.20
45,4933712,177175,40209411,10940546,1881,18,19525,28865,10802274,61380,206992,4152,16.68
46,5048843,179626,42295248,11178252,1881,18,19525,28865,11037065,62565,206992,4152,16.69
47,5162218,182830,41606411,11415900,1881,18,19525,28865,11269120,63607,206992,4152,16.24
48,5277948,185554,43741029,11654491,1881,18,19525,28865,11505122,64699,206992,4152,16.68
49,5396962,188596,42987192,11891353,1881,18,19525,28865,11738990,66029,206992,4152,16.75
50,5511259,191462,45194187,12125385,1881,18,19525,28865,11969527,67176,206992,4152,16.18
51,5626870,198366,44386134,12358685,1881,18,19525,28865,12202742,68346,206992,4152,16.68
52,5743015,201206,45075488,12606694,1881,18,19525,28865,12439976,69481,206992,4152,16.64
53,5857794,209021,45780816,12842053,1881,18,19525,28865,12667569,70674,206992,4152,16.39
54,5974130,211554,48083567,13080862,1881,18,19525,28865,12901766,71781,206992,4152,16.77
55,6091318,214746,48807552,13319092,1881,18,19525,28865,13135448,72843,206992,4152,16.48
56,6206527,217577,47872064,13547755,1881,18,19525,28865,13363211,74012,206992,4152,16.18
57,6324823,220770,48568382,13796021,1881,18,19525,28865,13596428,75163,206992,4152,16.71
58,6440367,223972,49263758,14044146,1881,18,19525,28865,13833328,76358,206992,4152,16.72
59,6552796,227172,49968024,14269972,1881,18,19525,28865,14059718,77460,206992,4152,16.17
60,6669684,230381,50659969,14502951,1881,18,19525,28865,14294481,78617,206992,4152,16.94
61,6786523,233122,51361859,14734950,1881,18,19525,28865,14526917,79646,206992,4152,16.48
62,6899183,235543,52065837,14961306,1881,18,19525,28865,14754692,80861,206992,4152,16.17
63,7014457,238820,54603056,15192933,1881,18,19525,28865,14987966,82025,206992,4152,16.70
64,7132922,241740,55319782,15428898,1881,18,19525,28865,15221706,83119,206992,4152,16.73
65,7245574,244790,54164958,15656781,1881,18,19525,28865,15448352,84138,206992,4152,16.17
66,7362015,248340,56774294,15888230,1881,18,19525,28865,15682409,85306,206992,4152,16.71
67,7478065,251456,55565741,16118662,1881,18,19525,28865,15913300,86522,206992,4152,16.71
68,7593834,254085,56265240,16350778,1881,18,19525,28865,16145333,87794,206992,4152,16.18
69,7709204,257412,58957667,16582201,1881,18,19525,28865,16378058,88812,206992,4152,16.72
70,7826002,260425,59680778,16817383,1881,18,19525,28865,16614208,90117,206992,4152,16.70
71,7937900,263320,58360292,17043393,1881,18,19525,28865,16841259,91351,206992,4152,16.17
72,8048820,266512,61150107,17269219,1881,18,19525,28865,17067300,92485,206992,4152,16.67
73,8166882,269606,59761531,17503594,1881,18,19525,28865,17304917,93636,206992,4152,16.73
74,8281263,272055,60463079,17732178,1881,18,19525,28865,17533233,94850,206992,4152,16.20
75,8396892,275530,61155720,17964091,1881,18,19525,28865,17766553,96058,206992,4152,16.70
76,8517095,278669,64058372,18199076,1881,18,19525,28865,18000288,97201,206992,4152,16.68
77,8631438,281311,62556940,18426420,1881,18,19525,28865,18230450,98317,206992,4152,16.18
78,8747766,284531,65514731,18657652,1881,18,19525,28865,18462310,99463,206992,4152,16.69
79,8863661,287391,66242987,18889292,1881,18,19525,28865,18693248,100581,206992,4152,16.72
80,8978533,290229,64659874,19118480,1881,18,19525,28865,18923394,101777,206992,4152,16.17
81,9094236,293513,67701800,19350847,1881,18,19525,28865,19157098,103047,206992,4152,16.71
82,9210315,296456,66047240,19580129,1881,18,19525,28865,19387092,104134,206992,4152,16.56
83,9325072,299147,66752657,19810756,1881,18,19525,28865,19616356,105338,206992,4152,16.23
84,9441637,302742,69886569,20040783,1881,18,19525,28865,19847258,106589,206992,4152,16.58
85,9560158,305425,68150232,20275284,1881,18,19525,28865,20080074,107742,206992,4152,16.69
86,9674226,308010,68849796,20503813,1881,18,19525,28865,20311194,108953,206992,4152,16.32
87,9789147,311706,69552331,20734570,1881,18,19525,28865,20544911,110248,206992,4152,16.65
88,9906610,314769,70247205,20966512,1881,18,19525,28865,20778147,111399,206992,4152,16.53
89,10019840,317407,70949682,21195115,1881,18,19525,28865,21008802,112568,206992,4152,16.18
90,10135865,320694,74253664,21425312,1881,18,19525,28865,21240657,113651,206992,4152,16.55
91,10254102,324241,74976015,21657951,1881,18,19525,28865,21475304,114773,206992,4152,16.71
92,10367901,327469,73043143,21887149,1881,18,19525,28865,21705166,115949,206992,4152,16.34
93,10484607,330911,73741488,22115816,1881,18,19525,28865,21937559,117022,206992,4152,16.60
94,10601958,333463,74436235,22347866,1881,18,19525,28865,22172088,118226,206992,4152,16.53
95,10716300,336261,75135785,22576587,1881,18,19525,28865,22403151,119294,206992,4152,16.47
96,10833194,343532,75833428,22808074,1881,18,19525,28865,22633774,120376,206992,4152,16.56
97,10950651,347385,79354343,23042693,1881,18,19525,28865,22870981,121528,206992,4152,16.65
98,11063731,352157,77236019,23268191,1881,18,19525,28865,23098656,122634,206992,4152,16.21
99,11179796,355636,80809002,23499360,1881,18,19525,28865,23332203,123854,206992,4152,16.71
100,11294554,360966,78633473,23730991,1881,18,19525,28865,23562410,125039,206992,4152,16.62
101,11408916,366768,79339788,23959998,1881,18,19525,28865,23791992,126223,206992,4152,16.27
102,11524778,369633,80036943,24191950,1881,18,19525,28865,24025391,127327,206992,4152,16.71
103,11639514,373118,83718165,24423609,1881,18,19525,28865,24257941,128567,206992,4152,16.69
104,11753308,376387,81431211,24651698,1881,18,19525,28865,24488221,129788,206992,4152,16.17
105,11868459,380202,85183672,24883663,1881,18,19525,28865,24723055,131000,206992,4152,16.71
106,11982696,383340,82822082,25113380,1881,18,19525,28865,24952576,132220,206992,4152,16.67
107,12099464,386291,83519693,25345020,1881,18,19525,28865,25185605,133402,206992,4152,16.22
108,12216232,390066,84216117,25575632,1881,18,19525,28865,25417166,134714,206992,4152,16.71
109,12334094,392863,84914081,25808257,1881,18,19525,28865,25649840,135833,206992,4152,16.71
110,12447536,395549,85615868,26035040,1881,18,19525,28865,25880845,137006,206992,4152,16.17
111,12561561,399308,86312560,26264644,1881,18,19525,28865,26112941,138234,206992,4152,16.59
112,12678125,401765,87006655,26496748,1881,18,19525,28865,26344948,139376,206992,4152,16.84
113,12790040,404261,87707166,26724557,1881,18,19525,28865,26575692,140551,206992,4152,16.17
114,12903867,407915,91759375,26953613,1881,18,19525,28865,26809440,141752,206992,4152,16.71
115,13020585,410655,89093252,27186982,1881,18,19525,28865,27045014,143075,206992,4152,16.71
116,13134358,413251,89795322,27414615,1881,18,19525,28865,27274267,144178,206992,4152,16.17
117,13249416,416874,93945427,27646316,1881,18,19525,28865,27505302,145328,206992,4152,16.70
118,13364760,420178,91196350,27877681,1881,18,19525,28865,27737599,146598,206992,4152,16.58
119,13478015,422657,91897670,28105217,1881,18,19525,28865,27967520,147817,206992,4152,16.32
120,13592731,426231,96134759,28334685,1881,18,19525,28865,28199833,149042,206992,4152,16.55
121,13706927,429393,96866466,28564273,1881,18,19525,28865,28430380,150249,206992,4152,16.81
122,13821316,432438,93996802,28794366,1881,18,19525,28865,28663238,151507,206992,4152,16.24
123,13937408,435913,94697285,29024686,1881,18,19525,28865,28893784,152596,206992,4152,16.55
124,14051082,439377,95396018,29256096,1881,18,19525,28865,29126455,153803,206992,4152,16.78
125,14163827,442201,96096638,29483698,1881,18,19525,28865,29358727,154985,206992,4152,16.27
126,14277519,445674,96789692,29712186,1881,18,19525,28865,29588600,156231,206992,4152,16.43
127,14392984,448952,97480650,29946025,1881,18,19525,28865,29822355,157477,206992,4152,16.69
128,14508635,452429,98177631,30177399,1881,18,19525,28865,30054047,158668,206992,4152,16.47
129,14621675,455964,102700143,30404529,1881,18,19525,28865,30285049,159755,206992,4152,16.44
130,14736918,459011,99572889,30636663,1881,18,19525,28865,30518619,160873,206992,4152,16.64
131,14850163,461327,100266990,30867591,1881,18,19525,28865,30750295,162024,206992,4152,16.49
132,14961582,464808,100966532,31093540,1881,18,19525,28865,30977978,163298,206992,4152,16.17
133,15079126,468413,105625625,31327477,1881,18,19525,28865,31211068,164486,206992,4152,16.98
134,15194406,471428,106353830,31558446,1881,18,19525,28865,31443148,165755,206992,4152,16.44
135,15306634,474453,103068197,31782938,1881,18,19525,28865,31667228,166849,206992,4152,16.17
136,15421791,477906,103766266,32014107,1881,18,19525,28865,31897095,167973,206992,4152,16.93
137,15539263,480692,108536639,32247349,1881,18,19525,28865,32132990,169199,206992,4152,16.49
138,15652104,483976,105168905,32472519,1881,18,19525,28865,32358983,170377,206992,4152,16.17
