period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
57,2861689,361089,19656219,39974601,18,19460,24079,67842,9805371,1837,290608,4152,13.16,99590
58,2922310,367850,19814986,40820640,18,19460,24079,68971,10007316,1837,290608,4152,13.31,99590
59,2985373,374470,19982258,41655599,18,19460,24079,70079,10205767,1837,290608,4152,13.59,99590
60,3047004,381958,20125098,42518979,18,19460,24079,71230,10408878,1837,290608,4152,13.67,99590
61,3113183,388616,20230194,43407267,18,19460,24079,72495,10620040,1837,290608,4152,14.66,99590
62,3176526,392318,20380837,44258537,18,19460,24079,73606,10826168,1837,290608,4152,13.91,99590
63,3242300,395504,52721522,45158375,18,19460,24079,74729,11033597,1837,290608,4152,14.31,99590
64,3306856,398769,20632187,46017497,18,19460,24079,75890,11240515,1837,290608,4152,14.10,99590
65,3372072,402266,20753995,46923817,18,19460,24079,77070,11448567,1837,290608,4152,14.64,99590
66,3436209,406161,20876481,47790549,18,19460,24079,78205,11657497,1837,290608,4152,14.28,99590
67,3500107,408931,20967702,48694817,18,19460,24079,79347,11869120,1837,290608,4152,14.54,99590
68,3565011,412269,21060241,49591973,18,19460,24079,80510,12083952,1837,290608,4152,14.82,99590
69,3629475,415588,57242727,50459891,18,19460,24079,81645,12288196,1837,290608,4152,14.11,99590
70,3693502,432017,58023890,51333211,18,19460,24079,82823,12492939,1837,290608,4152,14.09,99590
71,3755956,437970,21474964,52183567,18,19460,24079,83945,12694136,1837,290608,4152,13.50,99590
72,3820176,444262,21610742,53040880,18,19460,24079,85068,12902872,1837,290608,4152,14.08,99590
73,3887083,447777,21701873,53942270,18,19460,24079,86266,13118546,1837,290608,4152,14.95,99590
74,3949632,451113,61038925,54799450,18,19460,24079,87340,13321197,1837,290608,4152,13.46,99590
75,4011172,454127,61793310,55623442,18,19460,24079,88374,13523326,1837,290608,4152,13.50,99590
76,4073874,457240,62555744,56469423,18,19460,24079,89510,13730145,1837,290608,4152,13.75,99590
77,4135748,460471,22259283,57337604,18,19460,24079,90656,13936179,1837,290608,4152,13.84,99590
78,4198079,463935,22405754,58173865,18,19460,24079,91795,14139262,1837,290608,4152,13.66,99590
79,4264357,468736,64812265,59078961,18,19460,24079,92908,14355491,1837,290608,4152,14.87,99590
80,4330898,485261,22599484,59985302,18,19460,24079,94037,14571101,1837,290608,4152,14.86,99590
81,4396229,492311,22700232,60892152,18,19460,24079,95169,14785484,1837,290608,4152,14.57,99590
82,4462476,500174,22824458,61768955,18,19460,24079,96339,14996493,1837,290608,4152,14.42,99590
83,4526658,503354,67826762,62647654,18,19460,24079,97499,15207161,1837,290608,4152,14.11,99590
84,4591847,517708,23076175,63526722,18,19460,24079,98672,15416656,1837,290608,4152,14.41,99590
85,4656337,522473,23208999,64386179,18,19460,24079,99843,15628260,1837,290608,4152,14.04,99590
86,4719233,531392,23365386,65264909,18,19460,24079,101048,15837660,1837,290608,4152,13.84,99590
87,4782601,534094,23485623,66134541,18,19460,24079,102147,16049121,1837,290608,4152,14.41,99590
88,4848563,543509,23594739,67054753,18,19460,24079,103244,16261126,1837,290608,4152,14.71,99590
89,4913948,550668,23694698,67945533,18,19460,24079,104416,16469266,1837,290608,4152,14.23,99590
90,4977688,558109,23847359,68794937,18,19460,24079,105628,16671839,1837,290608,4152,13.88,99590
91,5041920,561526,73934999,69662138,18,19460,24079,106825,16878216,1837,290608,4152,14.03,99590
92,5104613,578229,24136715,70518349,18,19460,24079,108019,17080859,1837,290608,4152,13.69,99590
93,5171742,582558,24245288,71403150,18,19460,24079,109265,17294093,1837,290608,4152,14.59,99590
94,5232673,586070,24403011,72264109,18,19460,24079,110395,17497627,1837,290608,4152,13.46,99590
95,5296716,589337,24542747,73118363,18,19460,24079,111579,17703963,1837,290608,4152,13.94,99590
96,5361116,592770,24650147,74005758,18,19460,24079,112741,17910398,1837,290608,4152,14.02,99590
97,5422865,596830,24814295,74830125,18,19460,24079,113967,18107596,1837,290608,4152,13.29,99590
98,5484624,602432,24964831,75681522,18,19460,24079,115171,18310204,1837,290608,4152,13.32,99590
99,5545013,609153,25129342,76519420,18,19460,24079,116316,18512364,1837,290608,4152,13.60,99590
100,5607145,612669,80807195,77372509,18,19460,24079,117369,18718062,1837,290608,4152,13.63,99590
101,5672207,628921,25397986,78265463,18,19460,24079,118657,18927494,1837,290608,4152,14.48,99590
102,5738194,632098,25526694,79123885,18,19460,24079,119676,19133187,1837,290608,4152,14.10,99590
103,5800174,641508,25696121,79986722,18,19460,24079,120850,19337243,1837,290608,4152,13.61,99590
104,5862901,644543,83887096,80841172,18,19460,24079,121970,19538473,1837,290608,4152,13.71,99590
105,5924352,658606,26032687,81665251,18,19460,24079,123150,19734708,1837,290608,4152,13.36,99590
106,5986665,662477,85424378,82512124,18,19460,24079,124287,19936021,1837,290608,4152,13.69,99590
107,6050377,678123,86194259,83363343,18,19460,24079,125438,20138684,1837,290608,4152,13.74,99590
108,6115408,686779,26464649,84245507,18,19460,24079,126515,20349113,1837,290608,4152,14.35,99590
109,6177016,697632,26643023,85082257,18,19460,24079,127721,20548147,1837,290608,4152,13.53,99590
110,6241771,701006,26775353,85940135,18,19460,24079,128888,20752969,1837,290608,4152,14.16,99590
111,6304861,712494,26939982,86806227,18,19460,24079,130043,20955211,1837,290608,4152,13.73,99590
112,6367983,719446,27054475,87685837,18,19460,24079,131262,21158913,1837,290608,4152,14.00,99590
113,6436336,727544,27158349,88574234,18,19460,24079,132360,21367410,1837,290608,4152,14.66,99590
114,6496926,730840,27327423,89398903,18,19460,24079,133462,21564459,1837,290608,4152,13.39,99590
115,6561676,734504,27482108,90269664,18,19460,24079,134672,21766669,1837,290608,4152,13.61,99590
116,6625832,737883,27618717,91133247,18,19460,24079,135836,21973348,1837,290608,4152,14.17,99590
117,6685965,742154,27786330,91965148,18,19460,24079,136987,22172834,1837,290608,4152,13.33,99590
118,6749376,749207,94653681,92771786,18,19460,24079,138147,22369919,1837,290608,4152,13.34,99590
119,6813856,752302,28092579,93628419,18,19460,24079,139162,22582058,1837,290608,4152,14.55,99590
120,6879384,755891,28216267,94522617,18,19460,24079,140387,22794308,1837,290608,4152,14.67,99590
121,6943369,759378,28359072,95372495,18,19460,24079,141555,23006078,1837,290608,4152,14.27,99590
122,7006632,763715,28494999,96224607,18,19460,24079,142727,23215719,1837,290608,4152,13.90,99590
123,7071286,767499,28664034,97055249,18,19460,24079,143818,23420692,1837,290608,4152,13.89,99590
124,7132221,770980,28833070,97878598,18,19460,24079,144971,23621150,1837,290608,4152,13.71,99590
125,7197443,774403,28981271,98747139,18,19460,24079,146093,23826293,1837,290608,4152,14.12,99590
126,7260622,777716,29145216,99567841,18,19460,24079,147309,24029380,1837,290608,4152,13.68,99590
127,7321525,781418,29318968,100391425,18,19460,24079,148406,24227475,1837,290608,4152,13.34,99590
128,7385739,787077,29463643,101240068,18,19460,24079,149561,24435942,1837,290608,4152,14.24,99590
129,7448177,790451,102985263,102095324,18,19460,24079,150668,24643757,1837,290608,4152,14.14,99590
130,7510479,805087,29779219,102915134,18,19460,24079,151840,24844210,1837,290608,4152,13.57,99590
131,7572203,808617,104508732,103753442,18,19460,24079,152955,25051679,1837,290608,4152,13.78,99590
132,7638739,824707,105282144,104620977,18,19460,24079,154157,25259296,1837,290608,4152,14.41,99590
133,7698235,828494,106040115,105426868,18,19460,24079,155200,25459208,1837,290608,4152,13.42,99590
134,7762708,839748,106822107,106282349,18,19460,24079,156430,25664339,1837,290608,4152,13.98,99590
135,7827375,842802,30574066,107120158,18,19460,24079,157461,25875597,1837,290608,4152,14.09,99590
136,7894374,846633,30686973,108028147,18,19460,24079,158577,26093760,1837,290608,4152,14.94,99590
137,7960020,850183,30834730,108876680,18,19460,24079,159636,26304516,1837,290608,4152,14.22,99590
138,8025155,853392,30965877,109742707,18,19460,24079,160869,26515299,1837,290608,4152,14.10,99590
139,8088021,857036,110588825,110559320,18,19460,24079,162068,26715221,1837,290608,4152,13.53,99590
140,8151571,860018,111343510,111407340,18,19460,24079,163207,26924588,1837,290608,4152,14.04,99590
141,8218977,876808,31417179,112302515,18,19460,24079,164390,27140839,1837,290608,4152,14.99,99590
142,8282669,884080,31554464,113165724,18,19460,24079,165530,27350006,1837,290608,4152,14.10,99590
143,8346336,891523,31704646,114004765,18,19460,24079,166682,27560404,1837,290608,4152,14.04,99590
144,8412673,894765,31867156,114837875,18,19460,24079,167833,27765146,1837,290608,4152,13.85,99590
145,8473566,898075,115123660,115665221,18,19460,24079,168926,27964947,1837,290608,4152,13.32,99590
146,8534955,901121,32198767,116477774,18,19460,24079,170093,28165284,1837,290608,4152,13.58,99590
147,8594059,906349,116643243,117298565,18,19460,24079,171210,28365312,1837,290608,4152,13.26,99590
148,8662211,917499,32489333,118188955,18,19460,24079,172304,28582123,1837,290608,4152,14.89,99590
149,8726345,923575,32623777,119035446,18,19460,24079,173377,28789781,1837,290608,4152,14.20,99590
150,8792565,926938,32757276,119924738,18,19460,24079,174506,29002456,1837,290608,4152,14.48,99590
151,8857184,931937,119663628,120763946,18,19460,24079,175672,29210438,1837,290608,4152,13.92,99590
152,8925313,943933,33046498,121654461,18,19460,24079,176844,29418331,1837,290608,4152,14.59,99590
153,8987386,947519,121198267,122495286,18,19460,24079,177948,29625086,1837,290608,4152,13.82,99590
154,9052814,964388,33364086,123356198,18,19460,24079,179159,29834249,1837,290608,4152,14.33,99590
155,9117117,967588,122712839,124210462,18,19460,24079,180326,30045060,1837,290608,4152,14.16,99590
156,9182996,984473,33657755,125076779,18,19460,24079,181564,30255169,1837,290608,4152,14.30,99590
157,9246539,992715,33823165,125912155,18,19460,24079,182725,30461729,1837,290608,4152,13.75,99590
158,9312155,1003351,125014902,126787062,18,19460,24079,183905,30673122,1837,290608,4152,14.39,99590
159,9373071,1007469,34120248,127637563,18,19460,24079,185073,30876339,1837,290608,4152,13.86,99590
160,9437246,1014013,34250823,128493074,18,19460,24079,186182,31087461,1837,290608,4152,14.18,99590
161,9503936,1017034,127264946,129377131,18,19460,24079,187333,31295751,1837,290608,4152,14.23,99590
162,9567231,1033432,34520195,130244090,18,19460,24079,188608,31497675,1837,290608,4152,13.86,99590
163,9630659,1037095,34670031,131081211,18,19460,24079,189650,31695497,1837,290608,4152,13.52,99590
164,9696230,1040659,34806449,131974063,18,19460,24079,190883,31898702,1837,290608,4152,13.97,99590
165,9760318,1044217,34948688,132818567,18,19460,24079,191961,32097839,1837,290608,4152,13.73,99590
166,9821464,1048089,35092630,133667243,18,19460,24079,193194,32294539,1837,290608,4152,13.23,99590
167,9885082,1051598,35256151,134487701,18,19460,24079,194331,32490258,1837,290608,4152,13.34,99590
168,9946730,1055783,35393537,135338447,18,19460,24079,195544,32696199,1837,290608,4152,13.72,99590
169,10012348,1066794,35530859,136233569,18,19460,24079,196736,32904206,1837,290608,4152,14.27,99590
170,10076522,1070334,134165079,137115466,18,19460,24079,197866,33113531,1837,290608,4152,14.16,99590
171,10140898,1086150,35783666,137997908,18,19460,24079,199085,33321366,1837,290608,4152,14.24,99590
172,10200958,1089386,35921249,138845661,18,19460,24079,200191,33527143,1837,290608,4152,13.78,99590
173,10269507,1093196,36031040,139755310,18,19460,24079,201304,33734790,1837,290608,4152,14.33,99590
174,10332134,1096252,137217372,140605698,18,19460,24079,202399,33937038,1837,290608,4152,13.80,99590
175,10397705,1111767,36303770,141492209,18,19460,24079,203586,34140237,1837,290608,4152,14.15,99590
176,10463775,1115642,36405531,142381238,18,19460,24079,204743,34350426,1837,290608,4152,14.74,99590
177,10530845,1118632,36531290,143277380,18,19460,24079,205832,34556509,1837,290608,4152,14.20,99590
178,10593064,1121938,36699866,144110160,18,19460,24079,206993,34755789,1837,290608,4152,13.48,99590
179,10660637,1125823,141073125,145018330,18,19460,24079,208185,34969242,1837,290608,4152,14.65,99590
