period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,412,0,4351243,9419,18,19478,24377,3676,702460,1837,290608,4152,0.01,98781
1,4381,11688,5359418,12466,18,19478,24377,5015,715033,1837,290608,4152,0.00,98781
2,4381,14089,5518157,14269,18,19478,24377,6144,726694,1837,290608,4152,0.00,98781
3,18425,16706,6456827,144477,18,19478,24377,7770,775019,1837,290608,4152,1.98,98781
4,40346,20319,8004310,362538,18,19478,24377,9130,848224,1837,290608,4152,4.39,98781
5,113470,23720,8093727,1259950,18,19478,24377,10257,1076459,1837,290608,4152,16.21,98781
6,143396,30182,8683619,1691905,18,19478,24377,11771,1190789,1837,290608,4152,6.81,98781
7,168016,39671,9356946,2011470,18,19478,24377,13196,1274436,1837,290608,4152,5.31,98781
8,235174,43020,10622718,2833738,18,19478,24377,14449,1485453,1837,290608,4152,14.66,98781
9,242838,45974,10357000,3005613,18,19478,24377,15921,1532069,1837,290608,4152,1.83,98781
10,311706,49214,12313169,3804499,18,19478,24377,17177,1742936,1837,290608,4152,14.74,98781
11,341101,52920,11183567,4173569,18,19478,24377,18685,1846389,1837,290608,4152,6.19,98781
12,379788,56121,14026400,4705282,18,19478,24377,20181,1982553,1837,290608,4152,8.79,98781
13,428914,59174,12045844,5302344,18,19478,24377,21444,2137472,1837,290608,4152,10.23,98781
14,468066,63163,12580922,5765634,18,19478,24377,22885,2271281,1837,290608,4152,8.39,98781
15,507538,67065,16515566,6286932,18,19478,24377,24153,2404541,1837,290608,4152,8.41,98781
16,547428,70358,13543748,6796863,18,19478,24377,25560,2540472,1837,290608,4152,8.64,98781
17,581290,74105,14105908,7229700,18,19478,24377,26982,2660248,1837,290608,4152,7.37,98781
18,618966,77975,14621584,7713777,18,19478,24377,28543,2790721,1837,290608,4152,8.37,98781
19,662799,81037,19876961,8236154,18,19478,24377,29831,2934487,1837,290608,4152,9.06,98781
20,698751,84678,15603595,8722159,18,19478,24377,31361,3060556,1837,290608,4152,7.94,98781
21,737614,88346,21569313,9227442,18,19478,24377,32700,3194266,1837,290608,4152,8.24,98781
22,772844,102224,22422602,9662987,18,19478,24377,34088,3315373,1837,290608,4152,7.56,98781
23,813467,105362,23255237,10182686,18,19478,24377,35456,3451460,1837,290608,4152,8.64,98781
24,853620,108497,24085857,10677674,18,19478,24377,36960,3589106,1837,290608,4152,8.63,98781
25,892582,111827,18145878,11164862,18,19478,24377,38415,3722076,1837,290608,4152,8.55,98781
26,927553,115272,25778376,11641536,18,19478,24377,39875,3843927,1837,290608,4152,7.62,98781
27,967335,118248,26612027,12165804,18,19478,24377,41148,3981251,1837,290608,4152,8.64,98781
28,1005048,121362,27448160,12648253,18,19478,24377,42689,4115464,1837,290608,4152,8.42,98781
29,1040892,124622,28303491,13102008,18,19478,24377,43966,4239848,1837,290608,4152,7.76,98781
