period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,706969,7349,607,562,114700,4629915,18,36446,23620,4097,1881,206992,4152,0.01
1,722506,12396,1086,8440,114700,4796398,18,36446,23620,5461,1881,206992,4152,0.00
2,951495,245225,133009,11035,114700,5487846,18,36446,23620,6834,1881,206992,4152,16.18
3,1189759,465074,259879,14154,114700,7081793,18,36446,23620,8196,1881,206992,4152,17.15
4,1422285,826783,375752,16813,114700,6873306,18,36446,23620,9379,1881,206992,4152,16.30
5,1646314,1178217,485312,20090,114700,7580019,18,36446,23620,10612,1881,206992,4152,15.90
6,1887300,1540726,608014,23112,114700,8260829,18,36446,23620,11789,1881,206992,4152,17.29
7,2123589,1877726,723353,25526,114700,8951400,18,36446,23620,13193,1881,206992,4152,16.41
8,2353057,2214853,839570,28086,114700,9652868,18,36446,23620,14543,1881,206992,4152,16.20
9,2586794,2557868,957177,31359,114700,10343706,18,36446,23620,15834,1881,206992,4152,16.72
10,2817475,2881460,1070527,34325,114700,11042271,18,36446,23620,17128,1881,206992,4152,16.43
11,3051465,3211669,1187156,37346,114700,11739915,18,36446,23620,18279,1881,206992,4152,16.72
12,3285711,3533817,1302831,40215,114700,12652063,18,36446,23620,19558,1881,206992,4152,16.50
13,3490635,3844988,1404823,43401,114700,13162417,18,36446,23620,20820,1881,206992,4152,14.27
14,3750523,4212070,1559811,46053,114700,13803142,18,36446,23620,22319,1881,206992,4152,18.66
15,3983829,4549828,1695049,49100,114700,14485302,18,36446,23620,23765,1881,206992,4152,16.60
16,4221193,4887208,1826562,51764,114700,15129439,18,36446,23620,25097,1881,206992,4152,16.70
17,4457991,5203745,1943212,60790,114700,15882645,18,36446,23620,26431,1881,206992,4152,16.75
18,4693841,5513518,2061770,65400,114700,16567300,18,36446,23620,27795,1881,206992,4152,16.72
19,4924284,5813489,2178823,71637,114700,17267721,18,36446,23620,29069,1881,206992,4152,16.19
20,5160079,6120685,2295646,74392,114700,17957156,18,36446,23620,30477,1881,206992,4152,16.75
21,5398187,6388081,2415484,77079,114700,18641429,18,36446,23620,31810,1881,206992,4152,16.60
22,5631645,6688499,2537303,80611,114700,19327102,18,36446,23620,33055,1881,206992,4152,16.69
23,5866053,6976222,2655822,83646,114700,20023390,18,36446,23620,34309,1881,206992,4152,16.61
24,6098607,7264342,2773005,86265,114700,20711871,18,36446,23620,35525,1881,206992,4152,16.36
25,6331750,7520575,2889781,89620,114700,21184530,18,36446,23620,36985,1881,206992,4152,16.42
26,6565997,7812382,3014400,92073,114700,22087623,18,36446,23620,38226,1881,206992,4152,16.64
27,6803583,8101383,3144246,95555,114700,22523392,18,36446,23620,39737,1881,206992,4152,16.60
28,7033444,8394927,3273206,98757,114700,23184263,18,36446,23620,41052,1881,206992,4152,16.36
29,7272220,8673580,3404435,101501,114700,23854616,18,36446,23620,42201,1881,206992,4152,16.81
30,7502803,8957347,3534192,104530,114700,24521400,18,36446,23620,43617,1881,206992,4152,16.18
31,7730754,9207326,3655461,107316,114700,25516401,18,36446,23620,45105,1881,206992,4152,15.78
32,7978635,9463060,3786539,110150,114700,26182819,18,36446,23620,46432,1881,206992,4152,17.43
33,8216588,9711768,3906084,113137,114700,26868365,18,36446,23620,47852,1881,206992,4152,16.77
34,8445834,9961833,4023795,116056,114700,27562208,18,36446,23620,49056,1881,206992,4152,16.20
35,8681844,10202037,4145189,119561,114700,28245462,18,36446,23620,50394,1881,206992,4152,16.71
36,8912003,10452629,4263258,121970,114700,28940360,18,36446,23620,51665,1881,206992,4152,16.23
37,9138298,10696997,4378450,124877,114700,29639108,18,36446,23620,52910,1881,206992,4152,15.96
38,9383945,10960545,4502187,129262,114700,30312339,18,36446,23620,54153,1881,206992,4152,17.50
39,9620252,11200034,4620293,136937,114700,30932450,18,36446,23620,55313,1881,206992,4152,16.74
40,9844173,11493128,4732142,144971,114700,31721169,18,36446,23620,56560,1881,206992,4152,15.83
41,10090412,11766534,4857420,147722,114700,32391018,18,36446,23620,57991,1881,206992,4152,17.31
42,10325188,12056027,4984485,159081,114700,32976302,18,36446,23620,59478,1881,206992,4152,16.53
43,10565113,12343645,5112798,165790,114700,33760509,18,36446,23620,60844,1881,206992,4152,16.81
44,10629614,12484574,5132321,168901,114700,34673323,18,36446,23620,62716,1881,206992,4152,3.09
45,10656219,12570421,5133843,187867,114700,35472766,18,36446,23620,64382,1881,206992,4152,0.21
46,10894899,12878881,5261025,197661,114700,36330544,18,36446,23620,65644,1881,206992,4152,16.91
47,11150189,13167903,5401213,200446,114700,36987379,18,36446,23620,67017,1881,206992,4152,18.22
48,11419197,13487389,5538962,202906,114700,37429844,18,36446,23620,68260,1881,206992,4152,19.06
49,11716257,13834106,5693064,205690,114700,38241084,18,36446,23620,69489,1881,206992,4152,21.46
50,12017115,14164351,5846952,208633,114700,38846740,18,36446,23620,70891,1881,206992,4152,21.84
51,12305518,14487872,5993882,211547,114700,39462456,18,36446,23620,72293,1881,206992,4152,21.27
52,12577900,14789894,6135694,214674,114700,39940411,18,36446,23620,73643,1881,206992,4152,19.52
53,12863533,15103712,6282615,221847,114700,40725296,18,36446,23620,74960,1881,206992,4152,20.66
54,13148262,15410524,6425493,224152,114700,41222879,18,36446,23620,76083,1881,206992,4152,20.39
55,13377967,15669210,6539518,227182,114700,42048342,18,36446,23620,77417,1881,206992,4152,15.90
56,13414962,15742198,6543469,233228,114700,43004969,18,36446,23620,79227,1881,206992,4152,0.94
57,13529226,15930826,6596205,240731,114700,43671405,18,36446,23620,80885,1881,206992,4152,7.19
58,13797265,16236980,6732022,247632,114700,44335363,18,36446,23620,82152,1881,206992,4152,19.22
59,14090045,16558370,6885083,250450,114700,45136255,18,36446,23620,83538,1881,206992,4152,21.27
60,14368631,16890121,7026849,254671,114700,45767465,18,36446,23620,84767,1881,206992,4152,20.21
61,14630092,17234460,7160975,257385,114700,46425082,18,36446,23620,85960,1881,206992,4152,18.92
62,14910923,17572195,7304041,261008,114700,46801347,18,36446,23620,87306,1881,206992,4152,20.30
63,15192135,17884869,7449530,263803,114700,47682735,18,36446,23620,88727,1881,206992,4152,20.11
64,15492230,18222363,7599972,266786,114700,48286042,18,36446,23620,90216,1881,206992,4152,21.71
65,15724707,18501261,7715857,270076,114700,48739076,18,36446,23620,91613,1881,206992,4152,16.56
66,15958796,18779853,7839632,273172,114700,49668289,18,36446,23620,92829,1881,206992,4152,16.49
67,16192188,19050260,7957880,276095,114700,50359418,18,36446,23620,94073,1881,206992,4152,16.60
68,16423199,19319220,8071961,279570,114700,51058366,18,36446,23620,95349,1881,206992,4152,16.38
69,16659225,19583220,8192035,282047,114700,51738416,18,36446,23620,96582,1881,206992,4152,16.73
70,16893567,19837815,8307750,285280,114700,52427906,18,36446,23620,97919,1881,206992,4152,16.55
71,17121838,20088380,8424430,287978,114700,53120412,18,36446,23620,99118,1881,206992,4152,16.19
72,17356075,20352805,8542667,291316,114700,53812395,18,36446,23620,100302,1881,206992,4152,16.77
73,17592467,20626287,8662933,294617,114700,54496940,18,36446,23620,101679,1881,206992,4152,16.70
74,17826017,20903355,8784913,302644,114700,55196562,18,36446,23620,102930,1881,206992,4152,16.38
75,18057732,21151879,8907969,305844,114700,55888190,18,36446,23620,104155,1881,206992,4152,16.54
76,18290971,21435789,9027802,310587,114700,56371890,18,36446,23620,105471,1881,206992,4152,16.65
77,18521008,21672693,9147497,316334,114700,57095566,18,36446,23620,106656,1881,206992,4152,16.82
78,18757771,21973050,9266384,319187,114700,57756242,18,36446,23620,107971,1881,206992,4152,16.31
79,18994182,22221776,9386510,325415,114700,58661056,18,36446,23620,109323,1881,206992,4152,16.61
80,19226453,22488216,9502661,329014,114700,59173746,18,36446,23620,110579,1881,206992,4152,16.72
81,19402270,22688493,9580491,339364,114700,60132599,18,36446,23620,112274,1881,206992,4152,11.53
82,19427512,22769020,9581867,355037,114700,61114437,18,36446,23620,113771,1881,206992,4152,0.20
83,19648672,23033191,9695420,365857,114700,61824746,18,36446,23620,115205,1881,206992,4152,15.43
84,19955907,23343776,9854849,368532,114700,62421787,18,36446,23620,116646,1881,206992,4152,22.49
85,20202757,23607935,9978974,371307,114700,63091814,18,36446,23620,117816,1881,206992,4152,17.25
