period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,329,0,5045225,11099,1881,18,19510,23644,716780,4501,206992,4152,0.01,100140
1,5787,11806,5211958,12812,1881,18,19510,23644,729174,5727,206992,4152,0.00,100140
2,5787,14414,6198377,14224,1881,18,19510,23644,740668,6988,206992,4152,0.00,100140
3,134642,16991,6879507,281467,1881,18,19510,23644,978145,8344,206992,4152,16.70,100140
4,258858,20189,7581543,518182,1881,18,19510,23644,1209382,9479,206992,4152,15.88,100140
5,380422,23180,8274247,808072,1881,18,19510,23644,1443919,10659,206992,4152,16.67,100140
6,495935,26613,8968715,1063483,1881,18,19510,23644,1679140,11894,206992,4152,16.79,100140
7,612600,29297,9663979,1313163,1881,18,19510,23644,1912922,12883,206992,4152,16.72,100140
8,726632,32409,10341717,1558053,1881,18,19510,23644,2143873,14281,206992,4152,16.45,100140
9,838437,35514,11041744,1783674,1881,18,19510,23644,2370817,15601,206992,4152,16.17,100140
10,955973,38703,11737779,2018240,1881,18,19510,23644,2603647,16701,206992,4152,16.90,100140
11,1071399,41492,12441426,2248318,1881,18,19510,23644,2833518,17996,206992,4152,16.53,100140
12,1185923,44591,14181343,2476644,1881,18,19510,23644,3063222,19047,206992,4152,16.41,100140
13,1302688,47880,13836886,2709471,1881,18,19510,23644,3295766,20327,206992,4152,16.69,100140
14,1419142,50635,14537244,2940686,1881,18,19510,23644,3526684,21517,206992,4152,16.49,100140
15,1532664,53729,15237435,3168067,1881,18,19510,23644,3753117,22782,206992,4152,16.36,100140
16,1648687,56559,17095201,3401807,1881,18,19510,23644,3985061,24022,206992,4152,16.66,100140
17,1765912,59481,16632583,3632166,1881,18,19510,23644,4216918,25051,206992,4152,16.58,100140
18,1875400,62681,17331469,3857570,1881,18,19510,23644,4444996,26278,206992,4152,16.17,100140
19,1991971,65874,18027351,4089545,1881,18,19510,23644,4676466,27286,206992,4152,16.70,100140
20,2108219,68954,20016913,4321513,1881,18,19510,23644,4910895,28463,206992,4152,16.73,100140
21,2224412,71874,19425719,4549168,1881,18,19510,23644,5138842,29641,206992,4152,16.17,100140
22,2286372,74891,20249550,4680827,1881,18,19510,23644,5277560,31238,206992,4152,9.14,100140
