period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,328,591,114532,4317409,10164,18,36516,13605,3530,704981,1881,206992,4152,0.01
1,5714,11451,114532,4510701,11758,18,36516,13605,4895,717457,1881,206992,4152,0.00
2,138378,14393,114532,6019098,255205,18,36516,13605,6283,952705,1881,206992,4152,16.67
3,269218,17565,114532,6740982,479205,18,36516,13605,7602,1185218,1881,206992,4152,16.53
4,389430,20613,114532,6591928,748039,18,36516,13605,8862,1421932,1881,206992,4152,16.28
5,505975,23164,114532,7284207,1012983,18,36516,13605,10307,1655590,1881,206992,4152,16.46
6,627366,26046,114532,7971896,1283495,18,36516,13605,11472,1891524,1881,206992,4152,16.67
7,747297,29231,114532,8654644,1552793,18,36516,13605,12988,2126480,1881,206992,4152,16.46
8,865864,32126,114532,10198285,1820855,18,36516,13605,14376,2357962,1881,206992,4152,16.44
9,983083,35018,114532,10888427,2091199,18,36516,13605,15746,2591385,1881,206992,4152,16.52
10,1104904,38236,114532,10730980,2363388,18,36516,13605,17143,2825340,1881,206992,4152,16.66
11,1210488,41643,114532,12302654,2605817,18,36516,13605,18395,3029395,1881,206992,4152,14.44
12,1341904,44399,114532,12119273,2896553,18,36516,13605,19905,3276039,1881,206992,4152,17.58
13,1468308,47597,114532,12795919,3177757,18,36516,13605,21399,3522024,1881,206992,4152,17.60
14,1589719,50577,114532,14328847,3490912,18,36516,13605,22702,3765669,1881,206992,4152,17.26
15,1704165,53573,114532,14215499,3753500,18,36516,13605,23994,3995131,1881,206992,4152,16.18
16,1820607,57043,114532,15723493,4021446,18,36516,13605,25354,4229719,1881,206992,4152,16.68
17,1928501,59894,114532,16446568,4263867,18,36516,13605,26566,4433203,1881,206992,4152,14.34
18,2044918,62726,114532,16332074,4527371,18,36516,13605,27962,4653090,1881,206992,4152,15.70
19,2181434,65121,114532,17005501,4810496,18,36516,13605,29368,4888232,1881,206992,4152,16.50
20,2336508,67883,114532,18447485,5122728,18,36516,13605,30825,5148106,1881,206992,4152,18.51
21,2471508,70899,114532,18333342,5410338,18,36516,13605,32193,5395236,1881,206992,4152,17.21
22,2589791,73846,114532,19796555,5680136,18,36516,13605,33628,5631754,1881,206992,4152,16.69
23,2708876,76946,114532,19708539,5953774,18,36516,13605,34925,5868581,1881,206992,4152,16.73
24,2803974,80065,114532,21253874,6154557,18,36516,13605,36402,6060369,1881,206992,4152,13.37
25,2944459,82908,114532,21893579,6463963,18,36516,13605,37733,6335636,1881,206992,4152,19.67
26,3062394,85898,114532,21795920,6730930,18,36516,13605,39007,6566387,1881,206992,4152,16.29
27,3176840,88957,114532,23288884,6996396,18,36516,13605,40322,6796133,1881,206992,4152,16.30
28,3299432,91990,114532,23180408,7269772,18,36516,13605,41711,7033049,1881,206992,4152,16.86
29,3412521,94617,114532,23878347,7531408,18,36516,13605,43002,7260988,1881,206992,4152,16.14
30,3533183,102629,114532,24561721,7814241,18,36516,13605,44457,7500399,1881,206992,4152,16.92
31,3655360,111897,114532,25271212,8107712,18,36516,13605,45787,7739567,1881,206992,4152,17.13
32,3772973,114288,114532,25964942,8375874,18,36516,13605,47147,7973315,1881,206992,4152,16.31
33,3890752,117686,114532,26659231,8644275,18,36516,13605,48619,8206981,1881,206992,4152,16.57
34,4007301,120457,114532,27351958,8911404,18,36516,13605,49870,8442276,1881,206992,4152,16.45
35,4125419,123425,114532,28049673,9179347,18,36516,13605,51304,8670445,1881,206992,4152,16.27
