period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,531,555,4333683,9552,18,19515,13761,3373,698748,1881,206992,4152,0.01,100003
1,6022,11324,4533183,10960,18,19515,13761,4637,710558,1881,206992,4152,0.00,100003
2,6022,13934,5516868,12711,18,19515,13761,5947,724211,1881,206992,4152,0.00,100003
3,126919,16761,6207092,262925,18,19515,13761,7162,960193,1881,206992,4152,16.70,100003
4,245540,19994,7764994,500129,18,19515,13761,8386,1196936,1881,206992,4152,16.65,100003
5,356959,22471,7607237,779179,18,19515,13761,9464,1426769,1881,206992,4152,16.23,100003
6,469947,25672,8308640,1060619,18,19515,13761,10570,1655866,1881,206992,4152,16.71,100003
7,580767,33233,9797322,1349898,18,19515,13761,11749,1888901,1881,206992,4152,16.37,100003
8,696768,44282,9725388,1660828,18,19515,13761,12988,2127454,1881,206992,4152,17.26,100003
9,736965,47173,10591876,2090810,18,19515,13761,14699,2233439,1881,206992,4152,6.09,100003
10,788170,50252,11442831,2195751,18,19515,13761,16041,2345934,1881,206992,4152,7.43,100003
11,822145,53153,12322521,2525188,18,19515,13761,18006,2440596,1881,206992,4152,5.42,100003
12,988797,56106,13196562,2857581,18,19515,13761,19185,2770948,1881,206992,4152,24.00,100003
13,1149518,59065,13462144,3183496,18,19515,13761,20413,3093636,1881,206992,4152,23.70,100003
14,1313619,61699,14433776,3514009,18,19515,13761,21654,3421853,1881,206992,4152,23.64,100003
15,1473757,64532,14599316,3836885,18,19515,13761,22884,3743372,1881,206992,4152,23.28,100003
16,1604161,67280,15257612,4098150,18,19515,13761,24133,4005628,1881,206992,4152,18.57,100003
17,1719013,69877,15952938,4331739,18,19515,13761,25471,4239923,1881,206992,4152,16.70,100003
18,1830913,73072,17224206,4556710,18,19515,13761,26712,4467469,1881,206992,4152,16.17,100003
19,1949380,75880,17952039,4793891,18,19515,13761,27846,4703933,1881,206992,4152,16.83,100003
20,2063847,78891,18048184,5022826,18,19515,13761,29004,4933305,1881,206992,4152,16.41,100003
21,2177002,82071,18744420,5248889,18,19515,13761,30166,5160742,1881,206992,4152,16.17,100003
22,2293881,85259,20143736,5482224,18,19515,13761,31520,5396089,1881,206992,4152,16.70,100003
