period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,411,0,4347023,7360,19,19502,24386,3642,702742,1836,290608,4152,0.01,98878
1,4469,11664,4520079,12651,19,19502,24386,5202,718127,1836,290608,4152,0.00,98878
2,4469,14256,5506545,15274,19,19502,24386,6339,730281,1836,290608,4152,0.00,98878
3,18173,16859,6444832,144380,19,19502,24386,8159,778318,1836,290608,4152,1.98,98878
4,35630,19658,8002167,365088,19,19502,24386,9502,841908,1836,290608,4152,3.32,98878
5,99120,23908,8055016,1307428,19,19502,24386,10536,1054902,1836,290608,4152,14.38,98878
6,118735,27245,8674331,1695074,19,19502,24386,11977,1123539,1836,290608,4152,3.55,98878
7,138444,30513,9955939,2090441,19,19502,24386,13570,1198344,1836,290608,4152,3.79,98878
8,206596,33131,9357132,2992428,19,19502,24386,14731,1419737,1836,290608,4152,15.29,98878
9,277603,37567,9458193,3892000,19,19502,24386,15893,1652623,1836,290608,4152,15.81,98878
10,290650,40803,12355785,4169187,19,19502,24386,17424,1717340,1836,290608,4152,3.00,98878
11,314971,43554,10772065,4595042,19,19502,24386,18780,1810468,1836,290608,4152,5.20,98878
12,381824,47618,10871638,5482943,19,19502,24386,20024,2036968,1836,290608,4152,15.22,98878
13,427915,50680,11261754,6093022,19,19502,24386,21326,2191928,1836,290608,4152,9.80,98878
14,468764,54636,11673387,6689418,19,19502,24386,22586,2338121,1836,290608,4152,9.01,98878
15,505394,58110,16487343,7234065,19,19502,24386,23908,2466353,1836,290608,4152,7.76,98878
16,544890,61243,17313937,7797416,19,19502,24386,25002,2609152,1836,290608,4152,8.66,98878
17,582232,64521,12960977,8380446,19,19502,24386,26174,2741783,1836,290608,4152,8.30,98878
18,619271,68507,19007984,8929123,19,19502,24386,27312,2871465,1836,290608,4152,7.96,98878
19,659219,71690,19839618,9547282,19,19502,24386,28556,3014476,1836,290608,4152,8.60,98878
20,697262,78836,14182023,10143582,19,19502,24386,29808,3150169,1836,290608,4152,8.33,98878
21,735962,82729,21541765,10715456,19,19502,24386,30919,3265727,1836,290608,4152,7.79,98878
