period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
62,7901169,216337,49572486,17804434,19,36620,29470,89889,14754240,1867,206992,4144,16.30
63,8028344,219816,50252935,18094475,19,36620,29470,91190,14989133,1867,206992,4144,16.93
64,8153109,222708,50931442,18382604,19,36620,29470,92516,15221136,1867,206992,4144,16.35
65,8289496,225371,51596537,18678527,19,36620,29470,93926,15456777,1867,206992,4144,16.63
66,8422384,228534,52275339,18997614,19,36620,29470,95263,15693184,1867,206992,4144,16.30
67,8550420,231422,52963431,19279564,19,36620,29470,96579,15919196,1867,206992,4144,16.15
68,8681221,234216,53633814,19571973,19,36620,29470,97917,16157193,1867,206992,4144,16.89
69,8804014,236787,54318916,19854783,19,36620,29470,99242,16384966,1867,206992,4144,16.17
70,8933690,240222,55893622,20173004,19,36620,29470,100652,16621785,1867,206992,4144,16.78
71,9065496,243075,55646554,20465510,19,36620,29470,102086,16852908,1867,206992,4144,16.62
72,9194337,245393,56314790,20751942,19,36620,29470,103522,17084050,1867,206992,4144,16.39
73,9335202,248187,56982886,21051320,19,36620,29470,104782,17323760,1867,206992,4144,16.92
74,9465059,251079,57661891,21362918,19,36620,29470,106041,17550943,1867,206992,4144,16.00
75,9600009,254499,58330534,21656208,19,36620,29470,107410,17786214,1867,206992,4144,16.32
76,9737772,257509,59928193,21953280,19,36620,29470,108711,18023139,1867,206992,4144,16.91
77,9875257,260527,59651972,22248470,19,36620,29470,109948,18259099,1867,206992,4144,16.57
78,9995496,263919,61266289,22553662,19,36620,29470,111240,18488488,1867,206992,4144,16.08
79,10130502,266810,61004783,22849296,19,36620,29470,112542,18727726,1867,206992,4144,16.96
80,10255440,269907,61687490,23127758,19,36620,29470,113961,18944750,1867,206992,4144,15.45
81,10400795,273359,62342907,23427011,19,36620,29470,115306,19187588,1867,206992,4144,17.40
82,10540078,276685,63016129,23752741,19,36620,29470,116694,19424106,1867,206992,4144,16.87
83,10675797,278820,64587771,24046635,19,36620,29470,118047,19658201,1867,206992,4144,16.35
84,10803811,282153,64362767,24336095,19,36620,29470,119301,19890359,1867,206992,4144,16.43
85,10937272,284818,65032707,24625286,19,36620,29470,120652,20123845,1867,206992,4144,16.64
86,11064220,287414,66599662,24941309,19,36620,29470,122128,20357654,1867,206992,4144,16.46
87,11196107,290287,67277955,25231156,19,36620,29470,123455,20594464,1867,206992,4144,16.83
88,11325993,293586,67056663,25515992,19,36620,29470,124843,20823426,1867,206992,4144,16.37
89,11454024,296911,67736868,25803864,19,36620,29470,126041,21055002,1867,206992,4144,16.55
90,11584433,299547,69292349,26115716,19,36620,29470,127560,21287510,1867,206992,4144,16.38
91,11720588,302207,69075005,26409128,19,36620,29470,128918,21524659,1867,206992,4144,16.65
92,11854855,304863,69749004,26698782,19,36620,29470,130293,21754831,1867,206992,4144,16.42
93,11979692,307597,70416449,26986172,19,36620,29470,131687,21987330,1867,206992,4144,16.38
94,12105410,310833,71095409,27299957,19,36620,29470,133003,22218835,1867,206992,4144,16.47
95,12237987,314403,72662332,27593797,19,36620,29470,134414,22452577,1867,206992,4144,16.51
96,12377212,317100,72428875,27897460,19,36620,29470,135806,22691314,1867,206992,4144,16.90
97,12514730,319806,73107453,28196225,19,36620,29470,137227,22926031,1867,206992,4144,16.50
98,12642956,322324,74624400,28514732,19,36620,29470,138579,23154724,1867,206992,4144,16.30
99,12762104,325161,75321395,28793619,19,36620,29470,139961,23377241,1867,206992,4144,16.08
100,12884857,327771,76011857,29075062,19,36620,29470,141205,23600563,1867,206992,4144,15.86
101,13024357,330797,75825230,29375960,19,36620,29470,142521,23836598,1867,206992,4144,17.05
102,13158725,334040,76491963,29701560,19,36620,29470,144029,24072789,1867,206992,4144,16.90
103,13293187,336973,77158356,29998498,19,36620,29470,145381,24310215,1867,206992,4144,16.77
104,13422938,339996,77835126,30288055,19,36620,29470,146696,24539329,1867,206992,4144,16.14
105,13551765,343321,78507724,30578910,19,36620,29470,148063,24773796,1867,206992,4144,16.40
106,13686455,346069,79967715,30904996,19,36620,29470,149453,25012534,1867,206992,4144,16.91
107,13824851,349554,80632728,31203201,19,36620,29470,150780,25248258,1867,206992,4144,16.85
108,13950833,352596,81317793,31487166,19,36620,29470,152247,25471517,1867,206992,4144,15.68
109,14090377,355797,81185980,31788871,19,36620,29470,153564,25712759,1867,206992,4144,17.10
110,14215191,358582,81858413,32102098,19,36620,29470,154974,25942968,1867,206992,4144,16.28
111,14347633,362023,82518736,32399031,19,36620,29470,156563,26177532,1867,206992,4144,16.77
112,14459478,364466,83244031,32650745,19,36620,29470,157870,26369368,1867,206992,4144,13.39
113,14494461,367905,84135959,32771345,19,36620,29470,159028,26443309,1867,206992,4144,4.24
114,14556201,375696,84990091,32935857,19,36620,29470,160129,26537572,1867,206992,4144,6.09
115,14645796,386318,85814657,33142357,19,36620,29470,161294,26661525,1867,206992,4144,8.92
116,14713066,389610,87379951,33302853,19,36620,29470,162393,26760607,1867,206992,4144,6.70
117,14788579,392536,87492365,33474534,19,36620,29470,163435,26867990,1867,206992,4144,7.30
118,14878043,396050,88298646,33695855,19,36620,29470,164509,26995022,1867,206992,4144,8.93
119,14988188,398714,89074241,33922728,19,36620,29470,165533,27142745,1867,206992,4144,10.83
120,15117681,402122,89758419,34202488,19,36620,29470,167105,27357924,1867,206992,4144,15.25
121,15246576,404599,90440072,34488434,19,36620,29470,168511,27579958,1867,206992,4144,15.95
122,15381375,407340,91105486,34813383,19,36620,29470,169987,27818517,1867,206992,4144,16.87
123,15521589,410384,91761526,35116619,19,36620,29470,171512,28057583,1867,206992,4144,16.67
124,15658328,413374,93058139,35407929,19,36620,29470,172893,28297415,1867,206992,4144,17.06
125,15791683,416313,93106852,35689730,19,36620,29470,174301,28519287,1867,206992,4144,16.09
126,15923249,418974,94404332,36005949,19,36620,29470,175711,28748201,1867,206992,4144,16.25
127,16052933,421716,94454265,36286276,19,36620,29470,177044,28974961,1867,206992,4144,15.75
128,16198421,424523,95739701,36592433,19,36620,29470,178324,29224887,1867,206992,4144,17.61
