period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,475,4837,4070684,9151,18,19482,24057,3373,706516,1843,290608,4152,0.01
1,6046,15407,4242577,11189,18,19482,24057,4684,719844,1843,290608,4152,0.00
2,6046,18023,5228074,11944,18,19482,24057,5891,731901,1843,290608,4152,0.00
3,40876,20602,6080374,416509,18,19482,24057,7289,852967,1843,290608,4152,7.43
4,73124,23400,6948362,827744,18,19482,24057,8897,960968,1843,290608,4152,6.48
5,125588,26261,7738278,1640241,18,19482,24057,9918,1130300,1843,290608,4152,10.94
6,157860,29379,8593625,2277917,18,19482,24057,11448,1250697,1843,290608,4152,7.07
7,182767,32675,9479762,2814479,18,19482,24057,12860,1353902,1843,290608,4152,5.76
8,215226,48845,10350333,3455237,18,19482,24057,14241,1472739,1843,290608,4152,7.10
9,276048,65250,8728848,4371189,18,19482,24057,15427,1678647,1843,290608,4152,13.78
10,315146,68502,11961489,5012474,18,19482,24057,16937,1817929,1843,290608,4152,8.50
11,338130,71523,12851445,5486933,18,19482,24057,18597,1911138,1843,290608,4152,5.22
12,360813,74753,13745710,5953599,18,19482,24057,20223,1998833,1843,290608,4152,4.63
13,427907,79247,10209750,6866954,18,19482,24057,21386,2219873,1843,290608,4152,15.23
14,459869,88887,15345033,7397086,18,19482,24057,22507,2340968,1843,290608,4152,7.31
15,461499,91910,16316927,7655015,18,19482,24057,24111,2366001,1843,290608,4152,0.21
16,520086,97922,11574341,8486648,18,19482,24057,25314,2568249,1843,290608,4152,13.12
17,578250,106040,11776671,9289493,18,19482,24057,26457,2759954,1843,290608,4152,12.78
18,592380,111656,18774446,9652602,18,19482,24057,27993,2824115,1843,290608,4152,3.09
19,603139,126231,13065807,10009066,18,19482,24057,29685,2876380,1843,290608,4152,2.10
20,669853,129681,20459740,10870230,18,19482,24057,30849,3089343,1843,290608,4152,14.21
21,731251,132530,13350979,11708392,18,19482,24057,31940,3296913,1843,290608,4152,13.85
22,755887,135747,22095291,12196539,18,19482,24057,33368,3393092,1843,290608,4152,5.57
23,798314,138884,14152907,12892915,18,19482,24057,34635,3545615,1843,290608,4152,9.53
24,845222,146849,23730070,13481582,18,19482,24057,35805,3700872,1843,290608,4152,10.06
25,883043,152825,15076097,13984347,18,19482,24057,36814,3832537,1843,290608,4152,8.23
26,922282,156217,25434465,14517861,18,19482,24057,37868,3964399,1843,290608,4152,8.21
27,961944,160063,26264874,15057891,18,19482,24057,38911,4102825,1843,290608,4152,8.66
28,999819,173237,27108535,15578700,18,19482,24057,40030,4234891,1843,290608,4152,8.30
29,1036948,178941,16949490,16118633,18,19482,24057,41139,4366669,1843,290608,4152,8.07
30,1076033,182448,28818746,16695883,18,19482,24057,42213,4501528,1843,290608,4152,8.45
31,1089099,185540,29746282,16996048,18,19482,24057,43263,4564313,1843,290608,4152,3.11
32,1110491,189129,18714951,17362364,18,19482,24057,44133,4642888,1843,290608,4152,4.46
33,1179653,198054,18793620,18297645,18,19482,24057,45289,4874951,1843,290608,4152,15.63
34,1227092,201319,32212794,18956737,18,19482,24057,46411,5035649,1843,290608,4152,10.46
35,1263137,206825,19491579,19597853,18,19482,24057,47487,5165957,1843,290608,4152,8.22
36,1294192,214135,33928212,20160637,18,19482,24057,48787,5279595,1843,290608,4152,6.68
37,1295723,225011,34902791,20411455,18,19482,24057,50064,5302460,1843,290608,4152,0.22
38,1347487,228477,20867557,21223387,18,19482,24057,51108,5479399,1843,290608,4152,11.41
39,1410431,231801,20947027,22133781,18,19482,24057,52244,5693542,1843,290608,4152,14.25
40,1443786,235846,37301576,22709292,18,19482,24057,53594,5815427,1843,290608,4152,7.48
41,1445377,238974,38273829,23016362,18,19482,24057,54969,5840217,1843,290608,4152,0.21
42,1484700,245743,22393339,23697047,18,19482,24057,56105,5982024,1843,290608,4152,8.78
43,1552348,257102,22481522,24611493,18,19482,24057,57300,6203496,1843,290608,4152,14.94
44,1603897,264913,40640861,25385419,18,19482,24057,58460,6371828,1843,290608,4152,11.08
45,1611498,268175,41593851,25728256,18,19482,24057,60401,6424097,1843,290608,4152,1.83
46,1673677,284324,23488928,26624568,18,19482,24057,61552,6632641,1843,290608,4152,13.99
47,1696577,287914,43238057,27069735,18,19482,24057,62945,6726900,1843,290608,4152,5.20
48,1698093,300154,44237265,27418590,18,19482,24057,64454,6753683,1843,290608,4152,0.23
49,1762356,316244,24843178,28354678,18,19482,24057,65703,6958151,1843,290608,4152,13.81
50,1827441,320218,45767940,29272324,18,19482,24057,66936,7177081,1843,290608,4152,14.70
51,1854648,323150,46652059,29820948,18,19482,24057,68502,7282413,1843,290608,4152,6.13
