period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,332,0,4358066,9340,1881,19,19522,24533,706801,3912,206992,4152,0.01,99315
1,3052,11742,4530583,12237,1881,19,19522,24533,718254,5166,206992,4152,0.00,99315
2,3052,14349,5517200,13410,1881,19,19522,24533,730329,6296,206992,4152,0.00,99315
3,83363,16940,6314728,189837,1881,19,19522,24533,889645,7681,206992,4152,10.52,99315
4,99579,20673,7252980,224777,1881,19,19522,24533,938196,9223,206992,4152,2.19,99315
5,154864,23560,8093120,526502,1881,19,19522,24533,1063767,10604,206992,4152,7.88,99315
6,281788,26926,9278473,1013207,1881,19,19522,24533,1341875,11675,206992,4152,19.73,99315
7,411306,30061,9364659,1504028,1881,19,19522,24533,1629886,12775,206992,4152,20.60,99315
8,538891,37780,10233303,1975431,1881,19,19522,24533,1916776,14038,206992,4152,20.10,99315
9,671979,53810,10731330,2467853,1881,19,19522,24533,2206053,15397,206992,4152,20.69,99315
10,810566,69062,11215857,2985634,1881,19,19522,24533,2518713,16648,206992,4152,22.05,99315
11,958624,80199,11891283,3466110,1881,19,19522,24533,2835231,17907,206992,4152,23.16,99315
12,1099999,82853,12515302,3783056,1881,19,19522,24533,3120699,19114,206992,4152,20.39,99315
13,1212389,85860,13210430,4028702,1881,19,19522,24533,3351876,20350,206992,4152,16.44,99315
14,1330770,88556,13785503,4265001,1881,19,19522,24533,3592150,21538,206992,4152,16.70,99315
15,1445234,91494,14600224,4496882,1881,19,19522,24533,3823082,22670,206992,4152,16.21,99315
16,1561014,94987,15239550,4729675,1881,19,19522,24533,4056986,23809,206992,4152,16.72,99315
17,1678922,97992,15996296,4961580,1881,19,19522,24533,4290613,24972,206992,4152,16.34,99315
18,1794565,101154,16695581,5194843,1881,19,19522,24533,4523148,26196,206992,4152,16.22,99315
19,1911314,104712,17388585,5429100,1881,19,19522,24533,4759341,27397,206992,4152,16.70,99315
20,2027039,107607,18083208,5663729,1881,19,19522,24533,4992244,28536,206992,4152,16.73,99315
21,2139969,110078,18781255,5892854,1881,19,19522,24533,5221180,29601,206992,4152,16.18,99315
22,2255145,113421,19477852,6125662,1881,19,19522,24533,5452717,30930,206992,4152,16.48,99315
23,2370950,116525,20169076,6360534,1881,19,19522,24533,5687222,32121,206992,4152,16.80,99315
24,2484401,119484,20868076,6592345,1881,19,19522,24533,5918506,33362,206992,4152,16.32,99315
25,2598605,122679,21561957,6821160,1881,19,19522,24533,6150204,34595,206992,4152,16.27,99315
26,2715030,125381,22253561,7058266,1881,19,19522,24533,6387930,35767,206992,4152,16.69,99315
27,2830616,128571,22947195,7290499,1881,19,19522,24533,6621870,36989,206992,4152,16.46,99315
28,2945330,132176,23646528,7523317,1881,19,19522,24533,6854142,38312,206992,4152,16.72,99315
29,3065027,135297,24709092,7760874,1881,19,19522,24533,7090086,39432,206992,4152,16.72,99315
30,3179170,138035,25036419,7989972,1881,19,19522,24533,7324625,40616,206992,4152,16.18,99315
31,3295055,141216,25730489,8223409,1881,19,19522,24533,7556938,41915,206992,4152,16.56,99315
32,3409627,144036,26895279,8453616,1881,19,19522,24533,7789710,43141,206992,4152,16.52,99315
33,3526019,146969,27120378,8689318,1881,19,19522,24533,8021725,44334,206992,4152,16.53,99315
34,3637289,149633,27825429,8916224,1881,19,19522,24533,8249775,45403,206992,4152,16.71,99315
35,3755611,152335,28522418,9155244,1881,19,19522,24533,8489671,46661,206992,4152,16.51,99315
36,3869527,155104,29222610,9386022,1881,19,19522,24533,8721374,47974,206992,4152,16.38,99315
37,3986091,158667,30529725,9620757,1881,19,19522,24533,8955820,49165,206992,4152,16.70,99315
38,4101937,164209,30623203,9852311,1881,19,19522,24533,9187179,50384,206992,4152,16.58,99315
39,4217056,167180,31317538,10083659,1881,19,19522,24533,9418262,51662,206992,4152,16.33,99315
40,4332956,170581,32713425,10317762,1881,19,19522,24533,9652804,52814,206992,4152,16.73,99315
41,4446847,173738,32714906,10550744,1881,19,19522,24533,9884718,53904,206992,4152,16.70,99315
42,4563382,176869,33413842,10783437,1881,19,19522,24533,10117276,55222,206992,4152,16.18,99315
43,4678855,181528,34110282,11017545,1881,19,19522,24533,10354194,56338,206992,4152,16.71,99315
44,4797036,184731,34799848,11255653,1881,19,19522,24533,10589236,57562,206992,4152,16.71,99315
45,4910832,187589,35500399,11484869,1881,19,19522,24533,10818317,58747,206992,4152,16.18,99315
46,5026957,190793,37068346,11717033,1881,19,19522,24533,11048829,59821,206992,4152,16.71,99315
47,5143629,194909,37793517,11953209,1881,19,19522,24533,11285572,60890,206992,4152,16.68,99315
48,5256693,200527,37596222,12183442,1881,19,19522,24533,11515595,62019,206992,4152,16.18,99315
49,5373783,203739,38286338,12419049,1881,19,19522,24533,11747321,63371,206992,4152,16.70,99315
50,5490320,206892,38979609,12654832,1881,19,19522,24533,11983167,64517,206992,4152,16.73,99315
51,5603336,209933,39679869,12882810,1881,19,19522,24533,12210324,65778,206992,4152,16.18,99315
52,5720031,213529,40366823,13117774,1881,19,19522,24533,12446707,67092,206992,4152,16.72,99315
53,5836460,216310,41064058,13350638,1881,19,19522,24533,12678273,68359,206992,4152,16.48,99315
54,5951405,218868,41762225,13581996,1881,19,19522,24533,12909394,69664,206992,4152,16.25,99315
55,6067648,222070,43616759,13815983,1881,19,19522,24533,13143226,70756,206992,4152,16.71,99315
56,6183330,225000,44347188,14050605,1881,19,19522,24533,13377853,72062,206992,4152,16.66,99315
57,6298505,228041,43843612,14281828,1881,19,19522,24533,13608641,73329,206992,4152,16.24,99315
58,6412244,231232,45807589,14515952,1881,19,19522,24533,13842722,74739,206992,4152,16.72,99315
59,6527781,234043,45235655,14749675,1881,19,19522,24533,14072735,75869,206992,4152,16.33,99315
60,6643512,237041,45929913,14982489,1881,19,19522,24533,14305155,77117,206992,4152,16.56,99315
61,6758107,240494,47992027,15213001,1881,19,19522,24533,14538197,78225,206992,4152,16.71,99315
62,6876442,243449,48716035,15448330,1881,19,19522,24533,14772121,79388,206992,4152,16.71,99315
63,6990396,246566,48023508,15680167,1881,19,19522,24533,15001336,80597,206992,4152,16.18,99315
64,7107423,249973,48720655,15914354,1881,19,19522,24533,15233987,81885,206992,4152,16.67,99315
65,7222029,252703,49414880,16146711,1881,19,19522,24533,15465067,83058,206992,4152,16.44,99315
66,7336537,255180,50107806,16379093,1881,19,19522,24533,15699181,84233,206992,4152,16.50,99315
67,7450483,258614,50807693,16609814,1881,19,19522,24533,15929849,85458,206992,4152,16.72,99315
68,7567502,260924,53089698,16846110,1881,19,19522,24533,16163750,86597,206992,4152,16.53,99315
69,7682367,263716,52202463,17081339,1881,19,19522,24533,16396532,87812,206992,4152,16.37,99315
70,7796722,267281,52901296,17310956,1881,19,19522,24533,16625185,89020,206992,4152,16.60,99315
71,7915002,269889,53596705,17549119,1881,19,19522,24533,16860272,90106,206992,4152,16.77,99315
72,8008627,272394,56053578,17740245,1881,19,19522,24533,17053097,91072,206992,4152,13.48,99315
73,8144315,275170,54997661,18009392,1881,19,19522,24533,17318414,92292,206992,4152,19.43,99315
74,8261440,278024,57453863,18248694,1881,19,19522,24533,17555822,93558,206992,4152,16.74,99315
75,8374530,280558,56394832,18477325,1881,19,19522,24533,17783593,94711,206992,4152,16.18,99315
76,8491344,283838,57090532,18711515,1881,19,19522,24533,18013145,95981,206992,4152,16.58,99315
77,8608770,286369,59630778,18948506,1881,19,19522,24533,18248598,97080,206992,4152,16.74,99315
78,8720410,288777,58489129,19176973,1881,19,19522,24533,18478556,98341,206992,4152,16.17,99315
79,8834904,292063,59184344,19407064,1881,19,19522,24533,18709748,99580,206992,4152,16.44,99315
80,8951716,295344,61815127,19641755,1881,19,19522,24533,18944427,100759,206992,4152,16.70,99315
81,9064106,298225,60577421,19873304,1881,19,19522,24533,19174951,101952,206992,4152,16.47,99315
82,9178037,301403,63265787,20103842,1881,19,19522,24533,19404158,103064,206992,4152,16.44,99315
83,9295133,304442,63987494,20339890,1881,19,19522,24533,19639410,104172,206992,4152,16.69,99315
84,9410635,307328,62677732,20574175,1881,19,19522,24533,19873446,105220,206992,4152,16.48,99315
85,9522560,310407,63382815,20802252,1881,19,19522,24533,20101297,106328,206992,4152,16.18,99315
86,9640164,313845,66156958,21040044,1881,19,19522,24533,20338760,107504,206992,4152,16.87,99315
87,9756797,316777,64763266,21274918,1881,19,19522,24533,20573704,108495,206992,4152,16.56,99315
88,9869800,320080,65461391,21502107,1881,19,19522,24533,20803268,109646,206992,4152,16.18,99315
89,9984813,323434,68336057,21737841,1881,19,19522,24533,21038285,110720,206992,4152,16.64,99315
90,10103275,327011,69054024,21974156,1881,19,19522,24533,21275651,111908,206992,4152,16.72,99315
91,10216543,329671,67557234,22203517,1881,19,19522,24533,21503239,113065,206992,4152,16.25,99315
92,10334304,333353,68245554,22440169,1881,19,19522,24533,21739571,114190,206992,4152,16.72,99315
93,10451102,335908,71234016,22674017,1881,19,19522,24533,21972429,115323,206992,4152,16.67,99315
94,10568096,338942,69643168,22904767,1881,19,19522,24533,22203870,116599,206992,4152,16.21,99315
95,10684532,342576,70339175,23141136,1881,19,19522,24533,22437383,117736,206992,4152,16.76,99315
96,10801023,345483,71033176,23377291,1881,19,19522,24533,22672105,119014,206992,4152,16.67,99315
97,10913245,347664,71735920,23605263,1881,19,19522,24533,22900102,119999,206992,4152,16.18,99315
98,11029043,351115,74866496,23840073,1881,19,19522,24533,23133990,121170,206992,4152,16.65,99315
99,11146009,354185,75589537,24072723,1881,19,19522,24533,23368401,122331,206992,4152,16.62,99315
100,11257912,356774,73834341,24302983,1881,19,19522,24533,23598006,123545,206992,4152,16.20,99315
101,11374047,360402,77045200,24535581,1881,19,19522,24533,23829672,124676,206992,4152,16.67,99315
102,11492461,363397,77766109,24775638,1881,19,19522,24533,24067364,125804,206992,4152,16.72,99315
103,11602286,366667,75930755,25002549,1881,19,19522,24533,24292753,126971,206992,4152,16.18,99315
104,11718678,370115,76627359,25236290,1881,19,19522,24533,24524962,128154,206992,4152,16.65,99315
105,11835321,372856,77325076,25470953,1881,19,19522,24533,24762024,129387,206992,4152,16.69,99315
106,11948410,375425,78025151,25701153,1881,19,19522,24533,24992272,130600,206992,4152,16.27,99315
107,12062892,378904,78725126,25932183,1881,19,19522,24533,25221737,131631,206992,4152,16.44,99315
108,12176721,381385,79420791,26164178,1881,19,19522,24533,25453328,132736,206992,4152,16.38,99315
109,12292266,383900,80116230,26400361,1881,19,19522,24533,25688561,133819,206992,4152,16.33,99315
110,12407703,387371,80811150,26632878,1881,19,19522,24533,25920508,134941,206992,4152,16.39,99315
111,12522239,390720,81509078,26866256,1881,19,19522,24533,26152917,136177,206992,4152,16.78,99315
112,12638159,393374,82205374,27100000,1881,19,19522,24533,26386423,137346,206992,4152,16.44,99315
113,12753108,396260,82904801,27331668,1881,19,19522,24533,26616109,138467,206992,4152,16.37,99315
114,12869745,399748,83600845,27565527,1881,19,19522,24533,26852164,139612,206992,4152,16.71,99315
115,12985492,403110,84293202,27799668,1881,19,19522,24533,27086470,140673,206992,4152,16.53,99315
116,13099046,406563,84992628,28028523,1881,19,19522,24533,27315018,141813,206992,4152,16.25,99315
117,13215131,409890,85689466,28262946,1881,19,19522,24533,27547967,143027,206992,4152,16.66,99315
118,13329167,412591,86389884,28493466,1881,19,19522,24533,27776809,144103,206992,4152,16.34,99315
119,13444799,415828,90124990,28728377,1881,19,19522,24533,28012438,145353,206992,4152,16.72,99315
120,13563877,419222,90847397,28964265,1881,19,19522,24533,28246404,146564,206992,4152,16.77,99315
121,13678334,422487,88477962,29198713,1881,19,19522,24533,28479123,147850,206992,4152,16.47,99315
122,13791722,425705,89182080,29428061,1881,19,19522,24533,28708058,148884,206992,4152,16.37,99315
123,13910327,428593,89874706,29665351,1881,19,19522,24533,28946385,150152,206992,4152,16.61,99315
124,14026347,431807,90563621,29899274,1881,19,19522,24533,29181663,151280,206992,4152,16.56,99315
125,14140676,438779,94482578,30129516,1881,19,19522,24533,29411625,152380,206992,4152,16.37,99315
126,14257244,442077,91956846,30363534,1881,19,19522,24533,29645500,153626,206992,4152,16.53,99315
127,14374249,445901,92653329,30598199,1881,19,19522,24533,29878846,154765,206992,4152,16.72,99315
128,14488550,452945,96661160,30829160,1881,19,19522,24533,30107842,155837,206992,4152,16.36,99315
129,14606415,456222,94049444,31064532,1881,19,19522,24533,30341105,156908,206992,4152,16.71,99315
130,14720192,459486,94744846,31297184,1881,19,19522,24533,30573697,158152,206992,4152,16.53,99315
131,14832543,463608,95445184,31528262,1881,19,19522,24533,30807975,159370,206992,4152,16.36,99315
132,14940178,466584,96156239,31745958,1881,19,19522,24533,31026899,160761,206992,4152,15.45,99315
133,14947180,470071,97104403,31773580,1881,19,19522,24533,31069406,162595,206992,4152,1.47,99315
134,15022355,477697,97907156,31923906,1881,19,19522,24533,31219491,163859,206992,4152,10.27,99315
135,15187263,482649,102026693,32237070,1881,19,19522,24533,31539587,165100,206992,4152,23.40,99315
136,15350594,485317,99082590,32559624,1881,19,19522,24533,31857726,166327,206992,4152,23.26,99315
137,15505072,487977,99679546,32874175,1881,19,19522,24533,32166445,167486,206992,4152,22.48,99315
138,15640969,490682,100321407,33148068,1881,19,19522,24533,32439234,168682,206992,4152,19.54,99315
139,15756491,494146,101018647,33380156,1881,19,19522,24533,32671602,169898,206992,4152,16.70,99315
140,15874373,496842,101714371,33618286,1881,19,19522,24533,32909893,170911,206992,4152,16.73,99315
141,15985307,499407,102412212,33846785,1881,19,19522,24533,33140630,172144,206992,4152,16.18,99315
142,16099738,502962,106861373,34079810,1881,19,19522,24533,33373120,173312,206992,4152,16.56,99315
143,16215463,506228,103804375,34311128,1881,19,19522,24533,33603487,174475,206992,4152,16.45,99315
144,16329959,509495,104496260,34544839,1881,19,19522,24533,33836922,175643,206992,4152,16.60,99315
145,16444151,513363,109041422,34775489,1881,19,19522,24533,34066247,176713,206992,4152,16.71,99315
146,16562420,516129,109767438,35015005,1881,19,19522,24533,34302280,177946,206992,4152,16.49,99315
147,16677213,519105,106586018,35247340,1881,19,19522,24533,34535949,179171,206992,4152,16.40,99315
148,16791630,522565,107279441,35476659,1881,19,19522,24533,34766654,180242,206992,4152,16.29,99315
149,16908042,525354,111953168,35713240,1881,19,19522,24533,35003868,181388,206992,4152,16.92,99315
150,17024107,528427,108675593,35946426,1881,19,19522,24533,35238339,182396,206992,4152,16.21,99315
151,17140012,531910,113409848,36179236,1881,19,19522,24533,35471033,183599,206992,4152,16.69,99315
152,17254724,534979,114136381,36410990,1881,19,19522,24533,35704983,184673,206992,4152,16.38,99315
153,17369286,538204,110766920,36644389,1881,19,19522,24533,35937283,186017,206992,4152,16.54,99315
154,17486236,541994,115585911,36879964,1881,19,19522,24533,36171695,187258,206992,4152,16.71,99315
155,17604249,544653,112158706,37116162,1881,19,19522,24533,36405453,188435,206992,4152,16.53,99315
156,17719611,547660,112854799,37347547,1881,19,19522,24533,36636807,189627,206992,4152,16.36,99315
