period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
1,421,680,4334718,7356,19,19480,24197,3571,701473,1836,290608,4152,0.01,98905
2,4490,11752,4508516,12693,19,19480,24197,4854,716146,1836,290608,4152,0.00,98905
3,4490,14369,5495262,13501,19,19480,24197,5973,728041,1836,290608,4152,0.00,98905
4,50820,16958,6321586,475016,19,19480,24197,7332,865963,1836,290608,4152,8.63,98905
5,89711,20243,7459055,881144,19,19480,24197,8978,995602,1836,290608,4152,8.01,98905
6,123992,23627,7999730,1336248,19,19480,24197,10416,1116813,1836,290608,4152,7.44,98905
7,169151,27179,8885042,1884529,19,19480,24197,11863,1261219,1836,290608,4152,9.34,98905
8,205666,30067,9026591,2341173,19,19480,24197,13506,1390493,1836,290608,4152,8.01,98905
9,245729,33830,9510030,2856780,19,19480,24197,15024,1525252,1836,290608,4152,8.55,98905
10,285235,37511,11415443,3360837,19,19480,24197,16490,1656826,1836,290608,4152,8.23,98905
11,324922,40529,12250228,3850814,19,19480,24197,17864,1790461,1836,290608,4152,8.63,98905
12,359412,43548,13097770,4317460,19,19480,24197,19383,1915148,1836,290608,4152,7.56,98905
13,395646,46825,11556600,4790333,19,19480,24197,20747,2043190,1836,290608,4152,8.11,98905
14,440284,50486,14772225,5343928,19,19480,24197,22116,2186420,1836,290608,4152,9.15,98905
15,475828,53699,12515249,5823604,19,19480,24197,23480,2312003,1836,290608,4152,7.87,98905
16,518657,64846,12994851,6389486,19,19480,24197,24824,2457683,1836,290608,4152,9.21,98905
17,555467,68336,17338961,6842817,19,19480,24197,26207,2583605,1836,290608,4152,7.72,98905
18,589881,71729,18187460,7306297,19,19480,24197,27753,2706042,1836,290608,4152,7.62,98905
19,629292,75279,14565470,7830758,19,19480,24197,29191,2849713,1836,290608,4152,9.03,98905
20,668807,78901,19874528,8332690,19,19480,24197,30564,2981749,1836,290608,4152,8.13,98905
21,706150,82501,15527501,8855525,19,19480,24197,32098,3113506,1836,290608,4152,8.19,98905
22,747966,85673,21545138,9367977,19,19480,24197,33700,3255246,1836,290608,4152,8.91,98905
23,783855,88614,22397013,9842743,19,19480,24197,35091,3379926,1836,290608,4152,7.72,98905
24,822778,91740,23228295,10392517,19,19480,24197,36628,3520088,1836,290608,4152,8.64,98905
25,862778,94867,24062754,10912915,19,19480,24197,37949,3655180,1836,290608,4152,8.64,98905
26,900078,97976,17951022,11399399,19,19480,24197,39307,3780708,1836,290608,4152,8.00,98905
27,935887,105924,18455373,11902469,19,19480,24197,40865,3907274,1836,290608,4152,7.65,98905
28,977653,112269,18908019,12452020,19,19480,24197,42311,4051127,1836,290608,4152,9.15,98905
29,1014031,116161,19433385,12920941,19,19480,24197,43799,4182790,1836,290608,4152,8.12,98905
30,1053469,120496,19928556,13428399,19,19480,24197,45252,4315648,1836,290608,4152,8.14,98905
31,1093578,123962,29120913,13923865,19,19480,24197,46796,4453011,1836,290608,4152,8.50,98905
32,1128716,127043,29968813,14391146,19,19480,24197,48191,4575668,1836,290608,4152,7.56,98905
33,1166400,130175,30805161,14896651,19,19480,24197,49664,4710346,1836,290608,4152,8.39,98905
34,1208901,134157,31641972,15408129,19,19480,24197,51031,4848689,1836,290608,4152,8.85,98905
35,1248089,137263,32473429,15902636,19,19480,24197,52337,4985772,1836,290608,4152,8.63,98905
36,1283081,140497,23012908,16329955,19,19480,24197,53575,5110859,1836,290608,4152,7.86,98905
37,1323903,152777,23542924,16845085,19,19480,24197,55057,5253259,1836,290608,4152,8.88,98905
38,1358882,155792,24077558,17312455,19,19480,24197,56530,5374486,1836,290608,4152,7.64,98905
39,1398616,159805,24558269,17826015,19,19480,24197,57839,5510557,1836,290608,4152,8.41,98905
40,1435854,163292,25081072,18301998,19,19480,24197,59131,5639195,1836,290608,4152,8.01,98905
41,1468095,166303,37583977,18760923,19,19480,24197,60384,5756972,1836,290608,4152,7.45,98905
42,1514017,169433,26010020,19359681,19,19480,24197,61785,5905626,1836,290608,4152,9.72,98905
43,1552109,173119,39248955,19775511,19,19480,24197,63460,6031151,1836,290608,4152,7.81,98905
