period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,602,1256,3539484,7253,18,19524,24510,3519,698453,1881,206992,4152,0.01,99253
1,6101,11668,4530475,10350,18,19524,24510,4971,713166,1881,206992,4152,0.00,99253
2,6101,14299,5516522,11303,18,19524,24510,6167,725423,1881,206992,4152,0.00,99253
3,111027,17179,6242390,238226,18,19524,24510,7578,934413,1881,206992,4152,14.48,99253
4,227413,19991,7813251,470237,18,19524,24510,8822,1164651,1881,206992,4152,16.67,99253
5,341313,22689,7642680,775195,18,19524,24510,9989,1396051,1881,206992,4152,16.30,99253
6,455613,25886,9145858,1056346,18,19524,24510,11261,1627387,1881,206992,4152,16.68,99253
7,573826,37542,9817580,1379320,18,19524,24510,12433,1872001,1881,206992,4152,17.30,99253
8,684570,40818,10471985,1686993,18,19524,24510,13573,2102767,1881,206992,4152,16.67,99253
9,797270,43965,10475730,1995799,18,19524,24510,14649,2336100,1881,206992,4152,16.24,99253
10,912775,47356,11801111,2279829,18,19524,24510,15855,2570507,1881,206992,4152,16.70,99253
11,954395,56623,12072991,2732848,18,19524,24510,17397,2677392,1881,206992,4152,6.36,99253
12,955594,59760,13040743,3151263,18,19524,24510,18954,2705842,1881,206992,4152,0.17,99253
13,957158,62895,14011064,3159076,18,19524,24510,20923,2730135,1881,206992,4152,0.20,99253
14,958684,66044,14985499,3166041,18,19524,24510,22535,2750707,1881,206992,4152,0.19,99253
15,1072830,69500,15692547,3396291,18,19524,24510,23951,2983348,1881,206992,4152,16.47,99253
16,1235077,72836,16247292,3726053,18,19524,24510,25254,3310049,1881,206992,4152,23.82,99253
17,1394721,75327,16825393,4046565,18,19524,24510,26515,3631061,1881,206992,4152,23.07,99253
18,1562240,78527,17383906,4380235,18,19524,24510,27750,3962635,1881,206992,4152,24.24,99253
19,1727737,81583,17950722,4711248,18,19524,24510,29206,4291668,1881,206992,4152,24.00,99253
20,1880121,84719,18541197,5017994,18,19524,24510,30612,4598722,1881,206992,4152,22.58,99253
21,2045281,87891,19104625,5352428,18,19524,24510,32021,4927884,1881,206992,4152,23.90,99253
22,2208759,90657,19681567,5676107,18,19524,24510,33377,5247225,1881,206992,4152,23.42,99253
23,2370272,93506,20255434,6001496,18,19524,24510,34756,5572360,1881,206992,4152,23.72,99253
24,2512586,96264,21348823,6282793,18,19524,24510,35941,5854002,1881,206992,4152,20.04,99253
25,2628638,99350,21588812,6513697,18,19524,24510,37063,6085461,1881,206992,4152,16.55,99253
26,2741929,102376,22291287,6740925,18,19524,24510,38383,6312758,1881,206992,4152,16.18,99253
27,2857946,105620,22989344,6972848,18,19524,24510,39574,6545080,1881,206992,4152,16.71,99253
28,2974048,108767,24256118,7204526,18,19524,24510,40801,6777001,1881,206992,4152,16.71,99253
29,3089342,111856,24387872,7434373,18,19524,24510,41959,7007713,1881,206992,4152,16.17,99253
30,3205344,115018,25082806,7665564,18,19524,24510,43181,7237745,1881,206992,4152,16.71,99253
31,3322242,117734,25778067,7899513,18,19524,24510,44496,7472472,1881,206992,4152,16.71,99253
