period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,11231692,1422817,28842856,154383637,18,19470,12958,213397,36936226,1836,290608,4152,14.15,100128
1,12086429,1431559,29103395,154527249,18,19470,12958,214821,36986467,1836,290608,4152,2.63,100128
2,13099854,1448483,29530395,154531832,18,19470,12958,216212,37001019,1836,290608,4152,0.00,100128
3,410,0,9261016,11611,18,19480,30037,6270,730203,1837,290608,4152,0.02,99337
4,4447,11674,9399141,14865,18,19480,30037,7713,743926,1837,290608,4152,0.00,99337
5,4447,14580,10384465,15905,18,19480,30037,8967,756670,1837,290608,4152,0.00,99337
6,83035,17803,11425201,849626,18,19480,30037,10056,982106,1837,290608,4152,16.04,99337
7,158500,21067,11549233,1710866,18,19480,30037,11319,1213779,1837,290608,4152,16.65,99337
8,226474,24578,11634631,2615989,18,19480,30037,12463,1432771,1837,290608,4152,15.37,99337
9,295752,28233,11744304,3503389,18,19480,30037,13682,1655605,1837,290608,4152,15.47,99337
10,363726,31873,14066487,4420831,18,19480,30037,14913,1876461,1837,290608,4152,15.41,99337
11,430012,35404,11962715,5302919,18,19480,30037,16001,2090891,1837,290608,4152,14.85,99337
12,494602,38859,12093924,6161595,18,19480,30037,17109,2301295,1837,290608,4152,14.34,99337
13,560953,42412,12200677,7056653,18,19480,30037,18262,2516266,1837,290608,4152,15.09,99337
14,630132,46334,12322255,7917142,18,19480,30037,19398,2729464,1837,290608,4152,14.93,99337
15,696998,49843,12428809,8796901,18,19480,30037,20459,2940127,1837,290608,4152,14.68,99337
16,762942,53111,12530795,9689648,18,19480,30037,21611,3156502,1837,290608,4152,14.99,99337
17,831116,60842,12627553,10596676,18,19480,30037,22773,3373658,1837,290608,4152,15.33,99337
18,899317,67779,20033350,11442756,18,19480,30037,23887,3578400,1837,290608,4152,14.57,99337
19,964199,71450,12903512,12295423,18,19480,30037,25045,3785075,1837,290608,4152,14.29,99337
20,1031384,74937,13026628,13165379,18,19480,30037,26192,3998979,1837,290608,4152,14.71,99337
21,1096803,77840,13173977,14012378,18,19480,30037,27270,4209285,1837,290608,4152,14.63,99337
22,1164557,86813,13307717,14911865,18,19480,30037,28416,4427500,1837,290608,4152,15.00,99337
23,1230547,90618,13412369,15798382,18,19480,30037,29623,4642897,1837,290608,4152,14.89,99337
24,1296519,93977,13522181,16679558,18,19480,30037,30775,4855666,1837,290608,4152,14.81,99337
25,1366239,98157,25292304,17577645,18,19480,30037,31886,5074408,1837,290608,4152,15.27,99337
26,1434571,113210,13748171,18467267,18,19480,30037,33103,5290181,1837,290608,4152,15.31,99337
27,1502352,116959,13837768,19371736,18,19480,30037,34233,5508566,1837,290608,4152,15.30,99337
28,1566513,120853,13959861,20244272,18,19480,30037,35346,5719843,1837,290608,4152,14.58,99337
29,1635835,124387,14064316,21125955,18,19480,30037,36519,5940201,1837,290608,4152,15.30,99337
30,1706981,134860,14172863,22047771,18,19480,30037,37727,6161097,1837,290608,4152,15.53,99337
31,1770853,138104,14340023,22907840,18,19480,30037,38913,6371271,1837,290608,4152,14.23,99337
32,1837798,141822,14454428,23789094,18,19480,30037,40110,6585896,1837,290608,4152,14.76,99337
33,1902337,145188,14580587,24656788,18,19480,30037,41268,6794083,1837,290608,4152,14.49,99337
34,1967076,152651,14703543,25528371,18,19480,30037,42434,7006957,1837,290608,4152,14.61,99337
35,2033609,158534,14836862,26385860,18,19480,30037,43569,7218702,1837,290608,4152,14.88,99337
36,2096873,161957,14991034,27221434,18,19480,30037,44729,7420840,1837,290608,4152,13.78,99337
37,2161580,165848,34346430,28075804,18,19480,30037,45880,7629508,1837,290608,4152,14.23,99337
38,2224862,169197,15259934,28938021,18,19480,30037,46960,7839762,1837,290608,4152,14.35,99337
39,2292131,172997,15395838,29798349,18,19480,30037,48114,8051946,1837,290608,4152,14.80,99337
40,2360109,175941,15500892,30677501,18,19480,30037,49171,8263190,1837,290608,4152,14.60,99337
41,2425672,180056,15624199,31547519,18,19480,30037,50341,8475517,1837,290608,4152,14.50,99337
42,2491461,183123,38083646,32439891,18,19480,30037,51441,8693146,1837,290608,4152,15.12,99337
43,2563424,197200,38822586,33349909,18,19480,30037,52639,8915110,1837,290608,4152,15.76,99337
44,2629652,200230,15923929,34233679,18,19480,30037,53699,9127516,1837,290608,4152,14.90,99337
45,2696678,203745,16046708,35095810,18,19480,30037,54843,9335412,1837,290608,4152,14.37,99337
46,2763981,206873,41049112,35992612,18,19480,30037,56061,9552337,1837,290608,4152,15.31,99337
47,2834718,223320,16240743,36896710,18,19480,30037,57273,9771266,1837,290608,4152,15.52,99337
48,2899951,226603,16353016,37774044,18,19480,30037,58491,9982561,1837,290608,4152,14.61,99337
49,2965057,230518,16489364,38631860,18,19480,30037,59669,10188299,1837,290608,4152,14.26,99337
50,3030221,233880,44049210,39512278,18,19480,30037,60861,10401181,1837,290608,4152,14.83,99337
51,3099411,248401,16738190,40387705,18,19480,30037,62149,10615695,1837,290608,4152,15.05,99337
52,3165762,251679,16837461,41276643,18,19480,30037,63316,10828308,1837,290608,4152,14.88,99337
53,3235169,255224,46279575,42190309,18,19480,30037,64478,11047626,1837,290608,4152,15.32,99337
54,3297046,262240,47044913,43005049,18,19480,30037,65685,11242616,1837,290608,4152,13.49,99337
55,3367547,270526,17181695,43923475,18,19480,30037,66787,11470090,1837,290608,4152,15.95,99337
56,3431924,273993,17313486,44781213,18,19480,30037,68006,11679752,1837,290608,4152,14.33,99337
57,3499146,277337,17412530,45680454,18,19480,30037,69139,11898027,1837,290608,4152,15.08,99337
58,3565880,280664,50012707,46560903,18,19480,30037,70344,12114890,1837,290608,4152,14.88,99337
59,3631196,295670,17643795,47435051,18,19480,30037,71530,12333730,1837,290608,4152,15.03,99337
60,3698857,299004,51530347,48326804,18,19480,30037,72674,12549545,1837,290608,4152,14.83,99337
61,3764267,302004,52284192,49196389,18,19480,30037,73895,12761869,1837,290608,4152,14.62,99337
62,3829939,305141,18017069,50073854,18,19480,30037,75088,12977531,1837,290608,4152,14.88,99337
63,3898024,308744,18133100,50954823,18,19480,30037,76265,13198048,1837,290608,4152,15.17,99337
64,3966399,314519,18256463,51846145,18,19480,30037,77446,13414053,1837,290608,4152,15.02,99337
65,4033800,317739,18364663,52759485,18,19480,30037,78644,13633662,1837,290608,4152,15.22,99337
66,4098523,320806,18475497,53631609,18,19480,30037,79769,13842868,1837,290608,4152,14.61,99337
67,4163303,324381,18606651,54485732,18,19480,30037,80987,14052217,1837,290608,4152,14.31,99337
68,4234005,333208,18701583,55394964,18,19480,30037,82146,14277325,1837,290608,4152,15.58,99337
69,4303384,343916,18823615,56303310,18,19480,30037,83310,14497852,1837,290608,4152,15.48,99337
70,4370661,347870,18940360,57211963,18,19480,30037,84502,14719432,1837,290608,4152,15.23,99337
71,4435985,351154,19060195,58085724,18,19480,30037,85671,14930662,1837,290608,4152,14.53,99337
72,4502982,354794,60574516,58974522,18,19480,30037,86781,15149383,1837,290608,4152,14.80,99337
73,4568668,361542,19263385,59862242,18,19480,30037,87915,15369272,1837,290608,4152,15.03,99337
74,4634958,368959,19401033,60715164,18,19480,30037,89073,15585682,1837,290608,4152,14.90,99337
75,4702175,372442,19516601,61590783,18,19480,30037,90236,15802697,1837,290608,4152,15.18,99337
76,4768849,376071,19652737,62451842,18,19480,30037,91466,16020683,1837,290608,4152,15.26,99337
77,4839992,384126,64271907,63313478,18,19480,30037,92595,16244240,1837,290608,4152,15.45,99337
78,4912102,395038,19898545,64200867,18,19480,30037,93833,16471950,1837,290608,4152,15.92,99337
79,4976338,398444,65754284,65064712,18,19480,30037,94891,16684506,1837,290608,4152,14.70,99337
80,5040697,401965,20132737,65937807,18,19480,30037,96055,16894864,1837,290608,4152,14.55,99337
81,5106607,405201,67247777,66841535,18,19480,30037,97289,17114238,1837,290608,4152,15.23,99337
82,5175024,418750,20355429,67704932,18,19480,30037,98457,17328348,1837,290608,4152,14.91,99337
83,5239196,422437,68743055,68577796,18,19480,30037,99595,17540442,1837,290608,4152,14.54,99337
84,5302045,425301,20619253,69414503,18,19480,30037,100799,17745206,1837,290608,4152,13.90,99337
85,5368574,428902,20732716,70291584,18,19480,30037,101914,17962741,1837,290608,4152,15.23,99337
86,5436509,432782,20853275,71202679,18,19480,30037,103116,18183705,1837,290608,4152,15.16,99337
87,5503572,436346,20957677,72086496,18,19480,30037,104254,18397405,1837,290608,4152,14.76,99337
88,5571754,440259,21052997,72991698,18,19480,30037,105435,18617182,1837,290608,4152,15.14,99337
89,5637864,443217,21161074,73878736,18,19480,30037,106527,18829181,1837,290608,4152,14.84,99337
90,5703107,447302,21310357,74716751,18,19480,30037,107646,19034938,1837,290608,4152,14.40,99337
91,5772786,450629,21406489,75607567,18,19480,30037,108765,19248716,1837,290608,4152,14.98,99337
92,5837590,454312,21520309,76490720,18,19480,30037,109891,19457038,1837,290608,4152,14.68,99337
93,5905941,457453,76256614,77365901,18,19480,30037,110990,19669704,1837,290608,4152,14.76,99337
94,5972705,474066,21761116,78251201,18,19480,30037,112094,19886491,1837,290608,4152,15.12,99337
95,6037682,477287,21879765,79123789,18,19480,30037,113257,20095209,1837,290608,4152,14.41,99337
96,6102351,480252,22003218,79983768,18,19480,30037,114394,20300908,1837,290608,4152,14.25,99337
97,6170867,484430,22114289,80867562,18,19480,30037,115554,20520361,1837,290608,4152,15.17,99337
98,6240154,495874,80022209,81798770,18,19480,30037,116752,20742321,1837,290608,4152,15.52,99337
99,6307127,508132,22360286,82687626,18,19480,30037,117894,20953144,1837,290608,4152,14.81,99337
100,6373620,512146,22470203,83577784,18,19480,30037,119062,21165433,1837,290608,4152,14.83,99337
101,6437662,515372,22592023,84441454,18,19480,30037,120176,21372724,1837,290608,4152,14.24,99337
102,6504518,519182,83040719,85333465,18,19480,30037,121389,21588833,1837,290608,4152,14.97,99337
103,6574242,540405,22815668,86235843,18,19480,30037,122495,21807121,1837,290608,4152,15.30,99337
104,6641460,551789,22945213,87139571,18,19480,30037,123593,22022248,1837,290608,4152,15.23,99337
105,6707051,554661,23057160,88012976,18,19480,30037,124746,22228900,1837,290608,4152,14.56,99337
106,6771738,558628,23173881,88891242,18,19480,30037,125909,22438617,1837,290608,4152,14.51,99337
107,6836910,562034,23277019,89773784,18,19480,30037,127095,22651960,1837,290608,4152,14.64,99337
108,6905533,565950,23393243,90648786,18,19480,30037,128272,22867661,1837,290608,4152,15.07,99337
109,6971235,569188,23502035,91541805,18,19480,30037,129447,23080794,1837,290608,4152,14.88,99337
110,7036283,572683,23639842,92398741,18,19480,30037,130595,23286767,1837,290608,4152,14.18,99337
111,7103878,576394,89812087,93319208,18,19480,30037,131785,23508812,1837,290608,4152,15.49,99337
112,7172135,591716,23839154,94198970,18,19480,30037,132962,23724853,1837,290608,4152,15.04,99337
113,7237082,594861,23938175,95084115,18,19480,30037,134019,23941242,1837,290608,4152,14.92,99337
114,7304800,598431,92028265,95977359,18,19480,30037,135180,24157918,1837,290608,4152,14.90,99337
115,7370682,601452,92772139,96857760,18,19480,30037,136346,24372802,1837,290608,4152,15.09,99337
116,7440311,618493,24258723,97759310,18,19480,30037,137459,24589689,1837,290608,4152,15.23,99337
117,7504096,621580,24363993,98646164,18,19480,30037,138639,24804023,1837,290608,4152,14.72,99337
118,7570027,625132,24478483,99517395,18,19480,30037,139898,25015272,1837,290608,4152,14.45,99337
119,7635986,633412,24583115,100407192,18,19480,30037,141048,25232021,1837,290608,4152,14.97,99337
120,7702250,644914,24711273,101292046,18,19480,30037,142203,25447901,1837,290608,4152,15.09,99337
121,7771819,656467,24835932,102190268,18,19480,30037,143369,25667172,1837,290608,4152,15.17,99337
122,7837349,659759,24926679,103093448,18,19480,30037,144480,25885017,1837,290608,4152,15.08,99337
123,7903627,663307,25033099,103983715,18,19480,30037,145664,26099899,1837,290608,4152,14.82,99337
124,7971633,669408,25120775,104890696,18,19480,30037,146814,26321336,1837,290608,4152,15.14,99337
125,8041830,677216,25211617,105805449,18,19480,30037,147986,26544167,1837,290608,4152,15.87,99337
126,8110768,680878,101028194,106721378,18,19480,30037,149129,26765381,1837,290608,4152,15.25,99337
127,8174848,684454,25437433,107582743,18,19480,30037,150249,26970256,1837,290608,4152,14.32,99337
128,8237517,687659,25586415,108427655,18,19480,30037,151444,27173092,1837,290608,4152,13.91,99337
129,8303314,691272,103301380,109312051,18,19480,30037,152658,27386689,1837,290608,4152,14.79,99337
130,8370811,705773,25828705,110187229,18,19480,30037,153813,27603606,1837,290608,4152,14.99,99337
131,8436049,709436,104802596,111068597,18,19480,30037,154948,27814891,1837,290608,4152,14.56,99337
132,8500419,711915,26057219,111949100,18,19480,30037,156043,28027133,1837,290608,4152,14.74,99337
133,8567464,715787,26155986,112843822,18,19480,30037,157204,28242290,1837,290608,4152,14.80,99337
134,8634723,719998,26288285,113695619,18,19480,30037,158288,28452990,1837,290608,4152,14.56,99337
135,8702197,723522,107782547,114598836,18,19480,30037,159459,28670422,1837,290608,4152,15.10,99337
136,8763637,726790,26510769,115442985,18,19480,30037,160568,28874891,1837,290608,4152,13.93,99337
137,8833372,731207,109277208,116341971,18,19480,30037,161718,29096803,1837,290608,4152,15.37,99337
