period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,475,291,4388326,9598,18,19521,13813,3572,702944,1881,206992,4152,0.02,100705
1,3936,11753,4573710,12539,18,19521,13813,4867,714361,1881,206992,4152,0.00,100705
2,3936,14339,5559036,13933,18,19521,13813,6074,727489,1881,206992,4152,0.00,100705
3,23321,16919,6499096,71015,18,19521,13813,7678,776952,1881,206992,4152,2.04,100705
4,132341,19724,7228877,258046,18,19521,13813,9130,985901,1881,206992,4152,14.57,100705
5,182313,28123,8869355,472214,18,19521,13813,10812,1108707,1881,206992,4152,7.31,100705
6,184220,39182,9066558,602995,18,19521,13813,12581,1132743,1881,206992,4152,0.24,100705
7,276117,46508,10449804,888112,18,19521,13813,14115,1328814,1881,206992,4152,13.29,100705
8,331928,57692,10676509,1084363,18,19521,13813,15616,1453428,1881,206992,4152,8.34,100705
9,341609,65766,12122640,1220188,18,19521,13813,17492,1494789,1881,206992,4152,1.14,100705
10,478615,76726,12288879,1599783,18,19521,13813,18853,1771314,1881,206992,4152,20.00,100705
11,490074,79866,13231048,1737712,18,19521,13813,20543,1819762,1881,206992,4152,2.02,100705
12,540403,82941,14084139,1975424,18,19521,13813,22176,1935296,1881,206992,4152,7.08,100705
13,640132,86005,14814510,2244509,18,19521,13813,23748,2146562,1881,206992,4152,14.86,100705
14,655288,89339,15752724,2409514,18,19521,13813,25537,2197169,1881,206992,4152,2.16,100705
15,763559,91818,16464363,2719152,18,19521,13813,26689,2421458,1881,206992,4152,15.77,100705
16,766377,94957,17429326,2839154,18,19521,13813,28411,2450793,1881,206992,4152,0.74,100705
17,848550,98330,18200322,3137217,18,19521,13813,29834,2630249,1881,206992,4152,11.97,100705
18,903420,101137,19038479,3351870,18,19521,13813,31301,2758442,1881,206992,4152,8.30,100705
19,987509,104280,19813314,3647417,18,19521,13813,32606,2934240,1881,206992,4152,11.98,100705
20,997390,107514,20756016,3782789,18,19521,13813,34288,2981348,1881,206992,4152,1.80,100705
21,998858,110397,21728297,3896751,18,19521,13813,36135,3005525,1881,206992,4152,0.20,100705
22,1052234,113538,22569835,4141200,18,19521,13813,37792,3128130,1881,206992,4152,7.73,100705
23,1126838,116365,23358330,4395145,18,19521,13813,39075,3297647,1881,206992,4152,11.53,100705
24,1146043,119603,24284489,4575672,18,19521,13813,40940,3356210,1881,206992,4152,2.69,100705
25,1299834,122201,24099721,4967990,18,19521,13813,42189,3669542,1881,206992,4152,22.83,100705
26,1348658,125268,25733623,5147517,18,19521,13813,43824,3791660,1881,206992,4152,7.39,100705
27,1404946,127871,26569216,5395924,18,19521,13813,45296,3917067,1881,206992,4152,8.06,100705
28,1484954,130830,27343458,5657684,18,19521,13813,47003,4095884,1881,206992,4152,11.94,100705
29,1541630,133928,28166369,5910707,18,19521,13813,48812,4235623,1881,206992,4152,8.71,100705
30,1554043,137058,29106767,6048802,18,19521,13813,50316,4285164,1881,206992,4152,2.13,100705
31,1651735,140207,29840884,6365829,18,19521,13813,51586,4490744,1881,206992,4152,14.32,100705
32,1663272,143430,30783473,6502188,18,19521,13813,53109,4537750,1881,206992,4152,2.05,100705
33,1664726,146568,31754883,6616043,18,19521,13813,54922,4562631,1881,206992,4152,0.21,100705
34,1802735,150196,32401945,7010572,18,19521,13813,56187,4837418,1881,206992,4152,19.74,100705
35,1867340,152794,33220286,7216981,18,19521,13813,57495,4983012,1881,206992,4152,9.68,100705
36,1903949,155953,34096913,7381120,18,19521,13813,59338,5080647,1881,206992,4152,5.55,100705
37,1965509,159102,34920483,7634157,18,19521,13813,60651,5212594,1881,206992,4152,8.81,100705
38,2017350,161916,35766196,7846527,18,19521,13813,62461,5341810,1881,206992,4152,7.70,100705
39,2098087,165064,36540112,8142565,18,19521,13813,64046,5519491,1881,206992,4152,11.97,100705
40,2102092,168287,37499930,8266910,18,19521,13813,65609,5553201,1881,206992,4152,1.02,100705
41,2203057,171429,38225642,8573887,18,19521,13813,67176,5768434,1881,206992,4152,14.80,100705
42,2206344,182723,39223243,8725135,18,19521,13813,68647,5800159,1881,206992,4152,0.80,100705
43,2207789,185864,40195971,8874681,18,19521,13813,70371,5824410,1881,206992,4152,0.21,100705
44,2318033,189090,38601517,9185534,18,19521,13813,71715,6049178,1881,206992,4152,15.87,100705
45,2442720,192101,41584882,9548594,18,19521,13813,73111,6305101,1881,206992,4152,17.99,100705
46,2446420,195325,42542878,9671599,18,19521,13813,75033,6340853,1881,206992,4152,0.94,100705
47,2496995,199832,40825085,9904948,18,19521,13813,76618,6462256,1881,206992,4152,7.56,100705
48,2587222,206348,44152399,10157539,18,19521,13813,78153,6655806,1881,206992,4152,13.34,100705
49,2627298,214457,42347913,10344360,18,19521,13813,79597,6751416,1881,206992,4152,5.48,100705
50,2701378,225538,45836455,10593466,18,19521,13813,81149,6919105,1881,206992,4152,11.28,100705
51,2773038,228949,43855305,10832416,18,19521,13813,82234,7066890,1881,206992,4152,10.16,100705
52,2798057,231379,47560084,11027122,18,19521,13813,83735,7138496,1881,206992,4152,3.85,100705
53,2879996,234652,45369024,11286567,18,19521,13813,85254,7311116,1881,206992,4152,11.70,100705
54,2909622,237646,49233818,11483052,18,19521,13813,86765,7395277,1881,206992,4152,4.66,100705
55,2911273,240771,50204880,11597806,18,19521,13813,88381,7418334,1881,206992,4152,0.23,100705
56,2956793,248441,47832365,11809712,18,19521,13813,90270,7527075,1881,206992,4152,6.24,100705
57,3106609,256332,51679582,12206891,18,19521,13813,91555,7834778,1881,206992,4152,22.10,100705
58,3131386,259426,52586839,12369116,18,19521,13813,93369,7911396,1881,206992,4152,4.13,100705
59,3198968,262684,53396814,12632225,18,19521,13813,94693,8059136,1881,206992,4152,9.76,100705
