period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,450,0,98787,9208462,11326,18,19538,29092,5998,734990,1881,206992,4152,0.01
1,5831,11749,98787,9349297,12687,18,19538,29092,7265,747460,1881,206992,4152,0.00
2,5831,14526,98787,10334117,14158,18,19538,29092,8582,760949,1881,206992,4152,0.00
3,27252,17282,98787,11274906,72500,18,19538,29092,10224,808803,1881,206992,4152,2.05
4,134113,20281,98787,12003682,261818,18,19538,29092,11590,1015695,1881,206992,4152,14.33
5,176974,22886,98787,12866879,430402,18,19538,29092,13216,1123667,1881,206992,4152,6.58
6,212076,25881,98787,13758073,525844,18,19538,29092,14608,1211630,1881,206992,4152,5.17
7,213673,28624,98787,14729503,614245,18,19538,29092,16343,1234593,1881,206992,4152,0.18
8,360451,31831,98787,15355534,931017,18,19538,29092,17591,1523074,1881,206992,4152,20.76
9,381651,35137,98787,17045045,1054440,18,19538,29092,19247,1587921,1881,206992,4152,3.30
10,472128,37937,98787,17042815,1272108,18,19538,29092,20302,1769949,1881,206992,4152,12.71
11,528837,40789,98787,17869781,1466028,18,19538,29092,21740,1907138,1881,206992,4152,8.62
12,530383,43859,98787,18840925,1526273,18,19538,29092,23366,1929769,1881,206992,4152,0.22
13,532123,46908,98787,19810571,1614471,18,19538,29092,24967,1953494,1881,206992,4152,0.25
14,604166,55052,98787,21221959,1807578,18,19538,29092,26464,2108529,1881,206992,4152,9.95
15,761912,65733,98787,21828878,2170702,18,19538,29092,27689,2423145,1881,206992,4152,23.17
16,788046,68712,98787,22141563,2308164,18,19538,29092,29232,2500832,1881,206992,4152,3.95
17,875838,71791,98787,22914000,2520954,18,19538,29092,30564,2678706,1881,206992,4152,12.30
18,894275,74345,98787,23840798,2644407,18,19538,29092,31979,2739018,1881,206992,4152,3.09
19,905024,77859,98787,24795009,2719466,18,19538,29092,33632,2777443,1881,206992,4152,1.27
20,1051805,80450,98787,25418845,3067975,18,19538,29092,34802,3070126,1881,206992,4152,21.10
21,1074106,83686,98787,26337760,3167995,18,19538,29092,36494,3134382,1881,206992,4152,3.29
22,1169849,86335,98787,27085969,3425149,18,19538,29092,37547,3333170,1881,206992,4152,13.84
23,1225885,89456,98787,28271593,3564162,18,19538,29092,38925,3468110,1881,206992,4152,8.32
24,1281074,91920,98787,28761813,3730087,18,19538,29092,40606,3594541,1881,206992,4152,7.81
25,1336909,100196,98787,29601337,3899662,18,19538,29092,42243,3723307,1881,206992,4152,7.95
26,1397465,107915,98787,30449719,4067059,18,19538,29092,43405,3849853,1881,206992,4152,8.45
27,1454558,110023,98787,31283932,4217015,18,19538,29092,45194,3980610,1881,206992,4152,8.29
28,1514094,113170,98787,32111745,4385311,18,19538,29092,46737,4114973,1881,206992,4152,8.63
29,1572220,116575,98787,32946671,4558525,18,19538,29092,48357,4246127,1881,206992,4152,8.44
30,1624710,119341,98787,33795573,4714270,18,19538,29092,49640,4366146,1881,206992,4152,7.75
31,1682296,122194,98787,34776054,4905474,18,19538,29092,51458,4498941,1881,206992,4152,8.29
32,1741040,125404,98787,35607083,5049888,18,19538,29092,53001,4626726,1881,206992,4152,8.46
