period,experiment_runn,measurer,IDLE,tiT,ipc0,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,356,552,4344501,9073,1881,18,19538,13781,701037,3516,206992,4152,0.01,99927
1,4924,11732,4534337,10799,1881,18,19538,13781,712029,4672,206992,4152,0.00,99927
2,4924,14336,5519150,12430,1881,18,19538,13781,725730,5990,206992,4152,0.00,99927
3,129948,16918,6206545,267515,1881,18,19538,13781,962883,7113,206992,4152,16.67,99927
4,248106,19837,6907746,496377,1881,18,19538,13781,1197085,8263,206992,4152,16.59,99927
5,360270,22603,7611409,771489,1881,18,19538,13781,1429991,9347,206992,4152,16.35,99927
6,472259,25559,8309507,1052245,1881,18,19538,13781,1661610,10632,206992,4152,16.42,99927
7,587379,28624,8997868,1337834,1881,18,19538,13781,1896737,11724,206992,4152,16.70,99927
8,701761,31063,9691691,1621491,1881,18,19538,13781,2133598,13075,206992,4152,16.51,99927
9,812960,34267,10393461,1901849,1881,18,19538,13781,2362379,14103,206992,4152,16.37,99927
10,929475,37483,11843653,2187938,1881,18,19538,13781,2596504,15387,206992,4152,16.69,99927
11,1042351,40489,11791083,2471088,1881,18,19538,13781,2828797,16427,206992,4152,16.56,99927
12,1154491,43403,12493650,2747244,1881,18,19538,13781,3055304,17561,206992,4152,16.18,99927
13,1268761,46603,13908608,3001351,1881,18,19538,13781,3288661,18738,206992,4152,16.72,99927
14,1383762,49826,14616680,3249020,1881,18,19538,13781,3522442,19891,206992,4152,16.58,99927
15,1497286,52760,14585293,3490953,1881,18,19538,13781,3752255,21054,206992,4152,16.17,99927
16,1614159,55959,15277251,3724040,1881,18,19538,13781,3985156,22345,206992,4152,16.71,99927
17,1729720,58723,15974056,3957532,1881,18,19538,13781,4220441,23455,206992,4152,16.68,99927
18,1842607,62358,16677865,4183638,1881,18,19538,13781,4449050,24621,206992,4152,16.19,99927
19,1958766,65565,17371870,4414433,1881,18,19538,13781,4683154,25700,206992,4152,16.71,99927
20,2073872,68010,18067479,4644427,1881,18,19538,13781,4913410,26864,206992,4152,16.39,99927
21,2186829,71203,18768749,4872380,1881,18,19538,13781,5143158,28052,206992,4152,16.50,99927
22,2301395,74067,19467578,5100037,1881,18,19538,13781,5372352,29175,206992,4152,16.62,99927
23,2419666,77360,20162484,5337135,1881,18,19538,13781,5606857,30401,206992,4152,16.71,99927
24,2532140,79939,20859358,5563031,1881,18,19538,13781,5836948,31727,206992,4152,16.19,99927
25,2646625,86825,21559616,5791816,1881,18,19538,13781,6066789,32988,206992,4152,16.41,99927
26,2761926,90021,22253186,6022898,1881,18,19538,13781,6298327,34130,206992,4152,17.00,99927
27,2876296,92704,22957666,6252965,1881,18,19538,13781,6528646,35271,206992,4152,16.19,99927
28,2988566,95900,23657789,6480253,1881,18,19538,13781,6759064,36474,206992,4152,16.36,99927
29,3106167,98567,24354901,6714725,1881,18,19538,13781,6994860,37593,206992,4152,17.05,99927
30,3220579,101501,25060060,6940490,1881,18,19538,13781,7223080,38817,206992,4152,16.19,99927
31,3334166,104991,27017609,7168440,1881,18,19538,13781,7452944,39933,206992,4152,16.70,99927
32,3453056,108012,26452828,7406979,1881,18,19538,13781,7692551,41194,206992,4152,16.73,99927
33,3565715,110991,27157110,7631260,1881,18,19538,13781,7919178,42328,206992,4152,16.17,99927
34,3681056,114413,29201631,7862123,1881,18,19538,13781,8151305,43418,206992,4152,16.71,99927
35,3778570,117679,28598652,8056745,1881,18,19538,13781,8352151,44872,206992,4152,13.87,99927
36,3913748,120313,29245914,8322567,1881,18,19538,13781,8618722,46077,206992,4152,19.02,99927
37,4028632,123715,29944344,8552779,1881,18,19538,13781,8849618,47145,206992,4152,16.55,99927
38,4146316,126889,32112223,8787184,1881,18,19538,13781,9085704,48329,206992,4152,16.85,99927
39,4260001,129848,31341425,9012719,1881,18,19538,13781,9313155,49536,206992,4152,16.20,99927
40,4376082,137122,32033556,9244831,1881,18,19538,13781,9548393,50692,206992,4152,16.68,99927
41,4491593,139938,32734274,9475402,1881,18,19538,13781,9780966,51963,206992,4152,16.53,99927
42,4605938,142484,33438202,9704949,1881,18,19538,13781,10011815,53157,206992,4152,16.33,99927
43,4720245,145717,34131972,9936996,1881,18,19538,13781,10244189,54287,206992,4152,16.60,99927
