period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,470,715,4373649,9000,1881,18,19508,24533,703757,3713,206992,4152,0.01,99230
1,4171,11592,4547280,13630,1881,18,19508,24533,717193,5058,206992,4152,0.00,99230
2,4171,14205,5531949,14861,1881,18,19508,24533,730446,6432,206992,4152,0.00,99230
3,128022,17281,7081742,272402,1881,18,19508,24533,967309,7543,206992,4152,16.70,99230
4,242505,20542,6922371,502136,1881,18,19508,24533,1202862,8719,206992,4152,16.67,99230
5,355166,23113,7624229,754686,1881,18,19508,24533,1432533,9910,206992,4152,16.19,99230
6,467005,26213,8324202,1035112,1881,18,19508,24533,1661959,11048,206992,4152,16.47,99230
7,583490,29462,9900609,1298221,1881,18,19508,24533,1899884,12211,206992,4152,16.97,99230
8,695855,32192,9718216,1542503,1881,18,19508,24533,2126823,13290,206992,4152,16.18,99230
9,809606,35355,11265093,1857675,1881,18,19508,24533,2363060,14479,206992,4152,16.72,99230
10,925929,38605,11996407,2090218,1881,18,19508,24533,2594703,15658,206992,4152,16.57,99230
11,1039281,41575,11804882,2318653,1881,18,19508,24533,2822009,16907,206992,4152,16.21,99230
12,1154070,45120,13466373,2550105,1881,18,19508,24533,3054100,18102,206992,4152,16.71,99230
13,1271584,47633,13193524,2785436,1881,18,19508,24533,3286381,19408,206992,4152,16.71,99230
14,1384122,50564,13891803,3011856,1881,18,19508,24533,3513392,20492,206992,4152,16.18,99230
15,1497737,54128,14588058,3243705,1881,18,19508,24533,3745333,21783,206992,4152,16.71,99230
16,1614676,56560,15282487,3476657,1881,18,19508,24533,3978732,22957,206992,4152,16.69,99230
17,1728314,59159,15984444,3705189,1881,18,19508,24533,4208163,24229,206992,4152,16.20,99230
18,1843408,62363,16679261,3935280,1881,18,19508,24533,4438162,25586,206992,4152,16.43,99230
19,1959116,65398,17379536,4168931,1881,18,19508,24533,4669849,26684,206992,4152,16.90,99230
20,2072434,68473,18080720,4396740,1881,18,19508,24533,4898282,27809,206992,4152,16.27,99230
21,2185241,71890,18776683,4624800,1881,18,19508,24533,5130154,29091,206992,4152,16.43,99230
22,2302171,75142,20771630,4857942,1881,18,19508,24533,5361422,30348,206992,4152,16.71,99230
23,2419556,77872,20168285,5089738,1881,18,19508,24533,5594201,31746,206992,4152,16.45,99230
24,2535758,81378,20865388,5321546,1881,18,19508,24533,5824213,32994,206992,4152,16.43,99230
25,2654352,84365,21562932,5554714,1881,18,19508,24533,6057966,34078,206992,4152,16.68,99230
26,2768355,87545,23676353,5784590,1881,18,19508,24533,6290313,35339,206992,4152,16.49,99230
27,2881207,90015,22957790,6012774,1881,18,19508,24533,6518170,36478,206992,4152,16.18,99230
28,2996758,93213,25136257,6245484,1881,18,19508,24533,6750677,37659,206992,4152,16.72,99230
29,3112777,96248,24354872,6476870,1881,18,19508,24533,6982862,38782,206992,4152,16.71,99230
30,3224733,99444,25051184,6703501,1881,18,19508,24533,7210716,40002,206992,4152,16.17,99230
31,3338590,102640,27323609,6934333,1881,18,19508,24533,7442397,41357,206992,4152,16.62,99230
32,3454336,105429,28052721,7164922,1881,18,19508,24533,7674015,42546,206992,4152,16.62,99230
33,3570317,108224,27145901,7394787,1881,18,19508,24533,7904311,43905,206992,4152,16.19,99230
34,3685279,111435,27840785,7627583,1881,18,19508,24533,8137701,45143,206992,4152,16.71,99230
35,3800813,114873,30244854,7858805,1881,18,19508,24533,8371104,46456,206992,4152,16.71,99230
36,3914973,117760,29235816,8088666,1881,18,19508,24533,8600303,47664,206992,4152,16.17,99230
37,4030182,120976,29929547,8319425,1881,18,19508,24533,8828717,48994,206992,4152,16.71,99230
38,4146344,125901,32441334,8550872,1881,18,19508,24533,9062171,50135,206992,4152,16.71,99230
39,4259063,128794,31325467,8779247,1881,18,19508,24533,9291891,51363,206992,4152,16.17,99230
40,4373841,131875,32015190,9011525,1881,18,19508,24533,9526120,52776,206992,4152,16.71,99230
41,4488743,134520,32709017,9242271,1881,18,19508,24533,9757895,54044,206992,4152,16.52,99230
42,4601079,137061,33410564,9469666,1881,18,19508,24533,9986250,55264,206992,4152,16.24,99230
43,4713918,140268,34104821,9699218,1881,18,19508,24533,10217161,56553,206992,4152,16.44,99230
44,4829073,143106,36836617,9933286,1881,18,19508,24533,10453210,57885,206992,4152,16.71,99230
45,4943399,145994,35503539,10163530,1881,18,19508,24533,10682525,59012,206992,4152,16.31,99230
46,5061090,149418,36199158,10393940,1881,18,19508,24533,10914648,60191,206992,4152,16.62,99230
47,5176394,151984,39021155,10629133,1881,18,19508,24533,11150590,61496,206992,4152,16.60,99230
48,5289326,155041,37590264,10856671,1881,18,19508,24533,11378304,62802,206992,4152,16.29,99230
49,5403818,158498,38285938,11088364,1881,18,19508,24533,11609541,64165,206992,4152,16.55,99230
50,5519664,160807,38981791,11318913,1881,18,19508,24533,11839223,65249,206992,4152,16.84,99230
51,5631938,163452,39680907,11549644,1881,18,19508,24533,12070255,66490,206992,4152,16.21,99230
52,5748218,166790,40380601,11778592,1881,18,19508,24533,12299435,67673,206992,4152,16.43,99230
53,5862772,169774,41077681,12008443,1881,18,19508,24533,12529860,68936,206992,4152,16.52,99230
54,5977794,172974,41768884,12239479,1881,18,19508,24533,12763073,70222,206992,4152,16.64,99230
55,6090361,176229,44877994,12465549,1881,18,19508,24533,12991800,71397,206992,4152,16.36,99230
56,6208153,179307,43161688,12698776,1881,18,19508,24533,13226683,72697,206992,4152,16.74,99230
57,6324676,182500,43854732,12930799,1881,18,19508,24533,13460689,73978,206992,4152,16.50,99230
58,6436639,185705,44551632,13156827,1881,18,19508,24533,13686407,75259,206992,4152,16.17,99230
