period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
1,442,208,4705116,9046,18,19452,24554,4049,704791,1837,290608,4152,0.01,100366
2,845,8129,4874394,12728,18,19452,24554,5342,718082,1837,290608,4152,0.00,100366
3,845,10749,5858510,14589,18,19452,24554,6701,731471,1837,290608,4152,0.00,100366
4,82620,13352,6926802,780139,18,19452,24554,7948,931380,1837,290608,4152,14.70,100366
5,159558,17174,7091791,1608187,18,19452,24554,9212,1144844,1837,290608,4152,15.93,100366
6,227507,21200,7232822,2463530,18,19452,24554,10459,1345938,1837,290608,4152,14.29,100366
7,293252,24630,7386371,3305021,18,19452,24554,11790,1541638,1837,290608,4152,13.97,100366
8,362407,28078,7483749,4198243,18,19452,24554,13066,1753775,1837,290608,4152,15.34,100366
9,433009,31736,7586192,5087849,18,19452,24554,14222,1972147,1837,290608,4152,15.45,100366
10,505770,35353,7714948,5955172,18,19452,24554,15562,2181375,1837,290608,4152,15.18,100366
11,579662,38511,11799449,6815901,18,19452,24554,16897,2394195,1837,290608,4152,15.30,100366
12,654048,41435,7930226,7723043,18,19452,24554,18257,2622999,1837,290608,4152,16.31,100366
13,727015,49182,8038006,8610668,18,19452,24554,19552,2848697,1837,290608,4152,15.75,100366
14,799861,57906,8143703,9511373,18,19452,24554,20826,3070085,1837,290608,4152,15.90,100366
15,871028,61505,14735546,10372942,18,19452,24554,22093,3281526,1837,290608,4152,15.16,100366
16,944089,74701,8386288,11281305,18,19452,24554,23401,3508055,1837,290608,4152,16.16,100366
17,1017721,81951,8509361,12149211,18,19452,24554,24685,3725450,1837,290608,4152,15.57,100366
18,1092359,88152,16910961,13061798,18,19452,24554,25995,3950867,1837,290608,4152,16.37,100366
19,1168965,106895,8693836,13962589,18,19452,24554,27336,4178524,1837,290608,4152,16.26,100366
20,1245514,115402,8781655,14886608,18,19452,24554,28587,4414378,1837,290608,4152,17.01,100366
21,1322737,121522,8892085,15768189,18,19452,24554,29833,4639604,1837,290608,4152,16.22,100366
22,1400249,134417,8984883,16683390,18,19452,24554,31117,4876262,1837,290608,4152,16.99,100366
23,1477999,142029,9087637,17574466,18,19452,24554,32277,5110661,1837,290608,4152,16.81,100366
24,1553173,154680,9186930,18499161,18,19452,24554,33668,5339395,1837,290608,4152,16.58,100366
25,1628043,161222,9303837,19386662,18,19452,24554,34929,5560006,1837,290608,4152,16.03,100366
26,1703065,166135,9391439,20295692,18,19452,24554,36106,5793305,1837,290608,4152,16.64,100366
27,1777633,178533,9493722,21194528,18,19452,24554,37538,6022090,1837,290608,4152,16.44,100366
28,1848768,186060,9618949,22069434,18,19452,24554,38741,6248268,1837,290608,4152,15.90,100366
29,1921897,189740,24872308,22941904,18,19452,24554,40079,6475982,1837,290608,4152,15.81,100366
30,1996710,202571,9852024,23826152,18,19452,24554,41338,6709165,1837,290608,4152,16.34,100366
31,2070221,210361,9958887,24724235,18,19452,24554,42667,6940822,1837,290608,4152,16.13,100366
32,2144384,219159,10063717,25632785,18,19452,24554,43941,7176226,1837,290608,4152,16.70,100366
33,2218036,224503,10185403,26506924,18,19452,24554,45224,7406197,1837,290608,4152,15.87,100366
34,2287422,233507,10323224,27372575,18,19452,24554,46479,7628239,1837,290608,4152,15.48,100366
35,2359885,240807,29262348,28221208,18,19452,24554,47748,7845446,1837,290608,4152,15.16,100366
36,2431638,256274,10606776,29113580,18,19452,24554,49057,8069452,1837,290608,4152,15.69,100366
37,2500539,264411,10740759,29977473,18,19452,24554,50356,8291163,1837,290608,4152,15.30,100366
38,2568417,271014,10906109,30813381,18,19452,24554,51576,8505554,1837,290608,4152,14.73,100366
39,2637468,280499,11050021,31671376,18,19452,24554,52845,8726547,1837,290608,4152,15.19,100366
