period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,543,4836,4266385,7595,18,19531,24505,3569,699282,1888,206992,4152,0.01
1,6098,15588,4444648,11262,18,19531,24505,5134,715310,1888,206992,4152,0.00
2,6098,18088,5432044,12210,18,19531,24505,6316,726536,1888,206992,4152,0.00
3,23442,20682,6368043,70979,18,19531,24505,7829,774764,1888,206992,4152,2.05
4,108684,23491,7137238,240504,18,19531,24505,9325,952922,1888,206992,4152,12.22
5,146147,27091,8898702,345117,18,19531,24505,10914,1046843,1888,206992,4152,5.45
6,186352,29717,9754615,479136,18,19531,24505,12413,1138388,1888,206992,4152,5.44
7,284653,32982,9619146,713830,18,19531,24505,13782,1351073,1888,206992,4152,14.97
8,323816,35805,11351683,844064,18,19531,24505,15285,1439298,1888,206992,4152,5.31
9,379430,38678,11343509,1013282,18,19531,24505,16866,1565837,1888,206992,4152,8.10
10,456953,41945,12125090,1222963,18,19531,24505,18312,1731051,1888,206992,4152,11.01
11,487417,44349,13017024,1344733,18,19531,24505,20111,1813671,1888,206992,4152,4.55
12,556934,46661,13811934,1515813,18,19531,24505,21516,1973247,1888,206992,4152,10.69
13,637181,49783,14594410,1685419,18,19531,24505,22938,2138067,1888,206992,4152,11.33
14,648523,52909,15538082,1719142,18,19531,24505,24425,2184288,1888,206992,4152,2.05
15,745404,55971,16274522,1918069,18,19531,24505,25742,2385284,1888,206992,4152,14.14
16,747308,58654,17245368,1932617,18,19531,24505,27545,2410565,1888,206992,4152,0.32
17,864177,61183,17934087,2165835,18,19531,24505,28899,2646255,1888,206992,4152,16.66
18,870998,64401,18889187,2186008,18,19531,24505,30589,2681896,1888,206992,4152,1.23
19,951230,66969,19656918,2356557,18,19531,24505,31913,2861938,1888,206992,4152,12.02
20,1017700,70203,20463001,2493680,18,19531,24505,33473,3007900,1888,206992,4152,9.67
21,1082827,73341,21275576,2628249,18,19531,24505,34979,3151020,1888,206992,4152,9.48
22,1141586,76199,22102495,2751228,18,19531,24505,36452,3285891,1888,206992,4152,8.59
23,1198029,79677,22936572,2866787,18,19531,24505,38094,3414377,1888,206992,4152,8.23
24,1253807,82225,23770823,2986540,18,19531,24505,39723,3544842,1888,206992,4152,8.32
25,1309867,85389,25812194,3102224,18,19531,24505,41546,3671678,1888,206992,4152,8.13
26,1365715,88343,25448685,3216050,18,19531,24505,43161,3796761,1888,206992,4152,8.04
27,1423602,91486,26276620,3336663,18,19531,24505,44701,3929578,1888,206992,4152,8.63
28,1482035,94924,28398706,3459835,18,19531,24505,46281,4062438,1888,206992,4152,8.63
29,1533527,98095,29274870,3565526,18,19531,24505,47785,4181697,1888,206992,4152,7.47
30,1594819,100433,28782932,3689434,18,19531,24505,49401,4315760,1888,206992,4152,8.70
31,1653196,103577,29609066,3812246,18,19531,24505,51336,4450214,1888,206992,4152,8.62
32,1704461,105981,30450968,3920317,18,19531,24505,52915,4569761,1888,206992,4152,7.55
33,1763736,109112,31274747,4043539,18,19531,24505,54673,4705192,1888,206992,4152,8.63
34,1815179,112240,32116251,4152993,18,19531,24505,56336,4826622,1888,206992,4152,7.55
35,1875975,115389,32945094,4276969,18,19531,24505,58020,4958230,1888,206992,4152,8.63
36,1935609,118528,35323848,4400027,18,19531,24505,59509,5091050,1888,206992,4152,8.62
37,1992332,121500,34612886,4518355,18,19531,24505,60835,5219055,1888,206992,4152,8.25
38,2046600,124115,35453055,4632126,18,19531,24505,62471,5343126,1888,206992,4152,7.74
39,2105551,127271,36277298,4754776,18,19531,24505,64258,5478959,1888,206992,4152,8.62
40,2162277,130497,38788465,4871306,18,19531,24505,65994,5605380,1888,206992,4152,8.19
41,2217969,133435,37952741,4983315,18,19531,24505,67677,5726570,1888,206992,4152,7.99
42,2269738,136552,38801120,5090366,18,19531,24505,69180,5847491,1888,206992,4152,7.55
43,2330673,139875,41382608,5218026,18,19531,24505,70680,5985921,1888,206992,4152,9.07
44,2386949,142337,40463407,5335682,18,19531,24505,72315,6113083,1888,206992,4152,8.17
45,2446331,145488,41287694,5458583,18,19531,24505,73927,6246768,1888,206992,4152,8.63
46,2497787,148634,42134372,5566736,18,19531,24505,75814,6366914,1888,206992,4152,7.55
47,2557981,151769,42961335,5688227,18,19531,24505,77506,6499606,1888,206992,4152,8.62
48,2616833,154902,43786333,5809453,18,19531,24505,79082,6632529,1888,206992,4152,8.63
49,2669932,158035,44629705,5917157,18,19531,24505,80957,6752626,1888,206992,4152,7.55
50,2724053,161181,45468579,6030936,18,19531,24505,82635,6879721,1888,206992,4152,8.14
51,2786199,163812,46289695,6159632,18,19531,24505,84094,7020789,1888,206992,4152,9.11
52,2837978,166944,47133246,6268025,18,19531,24505,85882,7140346,1888,206992,4152,7.55
53,2895475,170102,47956055,6390860,18,19531,24505,87717,7275644,1888,206992,4152,8.63
54,2955224,173252,48783378,6514118,18,19531,24505,89358,7408072,1888,206992,4152,8.63
55,3010330,176401,51779466,6626380,18,19531,24505,91216,7531811,1888,206992,4152,7.81
56,3059714,179362,50477161,6729278,18,19531,24505,92791,7645233,1888,206992,4152,7.29
57,3126033,181930,51285268,6866494,18,19531,24505,94400,7796261,1888,206992,4152,9.70
58,3178226,185063,52130996,6975141,18,19531,24505,96155,7916205,1888,206992,4152,7.55
59,3238478,188195,52958985,7097839,18,19531,24505,97767,8049371,1888,206992,4152,8.63
60,3292386,191344,53798966,7207005,18,19531,24505,99285,8172512,1888,206992,4152,8.06
61,3351166,194306,54636805,7324241,18,19531,24505,101051,8299202,1888,206992,4152,8.12
62,3394293,197392,57872331,7417214,18,19531,24505,102508,8401598,1888,206992,4152,6.42
63,3461318,199871,56313949,7555342,18,19531,24505,104046,8550833,1888,206992,4152,9.75
64,3519645,203052,59573272,7676869,18,19531,24505,105821,8684719,1888,206992,4152,8.52
65,3580781,205987,57966608,7803861,18,19531,24505,107378,8819004,1888,206992,4152,8.73
66,3639161,209125,61290498,7924735,18,19531,24505,108872,8948914,1888,206992,4152,8.55
67,3692545,211884,59639706,8034959,18,19531,24505,110624,9072972,1888,206992,4152,7.62
68,3751773,215012,60466517,8156735,18,19531,24505,112271,9206789,1888,206992,4152,8.62
69,3804841,218138,61314805,8262000,18,19531,24505,113890,9323256,1888,206992,4152,7.55
70,3855450,221279,62164600,8366720,18,19531,24505,115411,9438197,1888,206992,4152,7.17
71,3926628,224419,62971396,8507331,18,19531,24505,116691,9585277,1888,206992,4152,10.08
72,3967573,227484,63833563,8599797,18,19531,24505,118609,9692731,1888,206992,4152,6.45
73,4005771,230625,64714101,8677146,18,19531,24505,120256,9785555,1888,206992,4152,5.44
74,4046509,233645,65596318,8754291,18,19531,24505,121765,9876182,1888,206992,4152,5.43
75,4077439,236783,66502911,8813921,18,19531,24505,123125,9947802,1888,206992,4152,4.31
76,4211018,239199,67163018,9070510,18,19531,24505,124283,10205634,1888,206992,4152,18.68
77,4215374,242012,68126514,9086998,18,19531,24505,125758,10236894,1888,206992,4152,1.00
78,4295787,245144,68908976,9240968,18,19531,24505,127133,10400647,1888,206992,4152,11.26
79,4371138,247615,69707141,9389170,18,19531,24505,128242,10555831,1888,206992,4152,10.86
80,4413817,250236,70579377,9479367,18,19531,24505,129763,10658230,1888,206992,4152,6.25
81,4445279,253369,71483989,9540640,18,19531,24505,131231,10730550,1888,206992,4152,4.22
82,4552153,256053,72199220,9753064,18,19531,24505,132565,10951305,1888,206992,4152,15.32
83,4553642,259297,73174860,9758378,18,19531,24505,134162,10971417,1888,206992,4152,0.18
84,4670775,262839,73872038,9983349,18,19531,24505,135291,11203552,1888,206992,4152,16.27
85,4708567,265710,74748216,10066127,18,19531,24505,137034,11299583,1888,206992,4152,5.66
86,4715228,268859,75711436,10080422,18,19531,24505,138650,11327881,1888,206992,4152,0.74
87,4788492,271980,79654048,10226445,18,19531,24505,139663,11481291,1888,206992,4152,10.65
88,4906580,274484,77194560,10462739,18,19531,24505,140885,11726890,1888,206992,4152,17.28
89,4908014,277700,78170719,10467988,18,19531,24505,142336,11745598,1888,206992,4152,0.18
90,5019123,281186,82122687,10682270,18,19531,24505,143503,11966151,1888,206992,4152,15.53
91,5074405,287271,83001806,10789183,18,19531,24505,144518,12082706,1888,206992,4152,7.70
92,5141941,289959,80541364,10927942,18,19531,24505,145893,12232019,1888,206992,4152,9.86
93,5195290,293092,81388760,11031973,18,19531,24505,147592,12350148,1888,206992,4152,7.55
94,5244877,296232,82244086,11131671,18,19531,24505,149180,12463438,1888,206992,4152,7.18
95,5312838,299043,86446228,11266638,18,19531,24505,150360,12606671,1888,206992,4152,9.61
96,5355812,301792,83940313,11346041,18,19531,24505,151834,12698991,1888,206992,4152,5.63
97,5401004,304993,84802372,11441225,18,19531,24505,153321,12806800,1888,206992,4152,6.62
98,5468541,308401,85621281,11572403,18,19531,24505,154660,12947175,1888,206992,4152,9.51
99,5530572,311725,86451582,11690464,18,19531,24505,156017,13075851,1888,206992,4152,8.53
100,5577826,314770,87304987,11787941,18,19531,24505,157724,13187253,1888,206992,4152,7.01
101,5666393,318074,88070048,11957818,18,19531,24505,159031,13366118,1888,206992,4152,12.34
102,5676174,320866,89020190,11982770,18,19531,24505,160492,13404450,1888,206992,4152,1.48
103,5781401,324161,89741233,12187965,18,19531,24505,161526,13617313,1888,206992,4152,14.93
104,5800580,327538,90665259,12233537,18,19531,24505,163019,13678603,1888,206992,4152,3.18
105,5898531,330836,91410131,12419564,18,19531,24505,164172,13871674,1888,206992,4152,13.43
106,5917940,334238,92336212,12462577,18,19531,24505,165741,13928473,1888,206992,4152,2.86
107,6006523,336937,93103344,12633112,18,19531,24505,166697,14105690,1888,206992,4152,12.59
108,6027023,340364,94023826,12681862,18,19531,24505,168513,14169439,1888,206992,4152,3.28
109,6126723,343665,94760807,12880074,18,19531,24505,169650,14368957,1888,206992,4152,14.01
110,6145757,347049,95688682,12924025,18,19531,24505,171178,14424572,1888,206992,4152,2.87
111,6228653,350719,96466939,13087032,18,19531,24505,172165,14591319,1888,206992,4152,11.68
112,6275973,353199,97321573,13187795,18,19531,24505,173567,14702674,1888,206992,4152,7.03
113,6334448,356047,98152730,13310958,18,19531,24505,175136,14835384,1888,206992,4152,8.49
114,6380241,358716,99007054,13410581,18,19531,24505,176686,14948331,1888,206992,4152,6.80
115,6452631,361835,99806578,13556625,18,19531,24505,177836,15098655,1888,206992,4152,10.48
116,6508584,364863,100642707,13676585,18,19531,24505,179393,15228711,1888,206992,4152,8.46
117,6552906,367406,101512223,13765717,18,19531,24505,180825,15327337,1888,206992,4152,6.21
118,6616660,370013,102326630,13899791,18,19531,24505,182322,15470838,1888,206992,4152,9.47
119,6627100,373391,107423601,13920183,18,19531,24505,184046,15505165,1888,206992,4152,1.16
