period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
1,703127,9658,478,206,114765,4328763,18,36495,24522,3722,1881,206992,4152,0.01
2,715350,12534,4246,11631,114765,4507041,18,36495,24522,4916,1881,206992,4152,0.00
3,945672,227747,136043,14219,114765,5197992,18,36495,24522,6298,1881,206992,4152,16.30
4,1280569,639780,303284,20516,114765,6759932,18,36495,24522,9167,1881,206992,4152,14.12
5,1548725,976998,449769,27071,114765,7406008,18,36495,24522,10526,1881,206992,4152,19.80
6,1824112,1321425,595249,30331,114765,8817436,18,36495,24522,11994,1881,206992,4152,19.43
7,2094163,1656155,733748,33325,114765,8685357,18,36495,24522,13246,1881,206992,4152,19.69
8,2339393,1964100,857768,35696,114765,10084908,18,36495,24522,14566,1881,206992,4152,17.77
9,2563781,2254916,972133,38735,114765,10068426,18,36495,24522,15754,1881,206992,4152,16.38
10,2799457,2552591,1089666,41418,114765,10762923,18,36495,24522,17116,1881,206992,4152,16.50
11,3033108,2850365,1211653,44754,114765,12063527,18,36495,24522,18315,1881,206992,4152,16.75
12,3274009,3180875,1330155,56624,114765,12739414,18,36495,24522,19564,1881,206992,4152,17.01
13,3505006,3477264,1448233,59195,114765,12877908,18,36495,24522,20938,1881,206992,4152,16.95
14,3732458,3767847,1564050,62319,114765,14063910,18,36495,24522,22181,1881,206992,4152,16.18
15,3965961,4065114,1680820,65033,114765,14287702,18,36495,24522,23436,1881,206992,4152,16.72
16,4193641,4355752,1796902,67454,114765,14996411,18,36495,24522,24621,1881,206992,4152,16.59
17,4424797,4649141,1913975,69738,114765,15698538,18,36495,24522,25806,1881,206992,4152,16.32
18,4661042,4948014,2033277,73142,114765,16704400,18,36495,24522,27140,1881,206992,4152,16.72
19,4901028,5279876,2153029,83583,114765,17367916,18,36495,24522,28454,1881,206992,4152,17.29
20,5134931,5578046,2273457,86499,114765,17812073,18,36495,24522,29813,1881,206992,4152,16.70
