period,wifi,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,704633,8090,470,191,114075,4330771,18,36513,24371,3668,1881,206992,4120,0.01
1,718498,12560,4328,11711,114075,4504098,18,36513,24371,4988,1881,206992,4120,0.00
2,956333,259728,135898,16050,114075,6046836,18,36513,24371,6200,1881,206992,4120,16.73
3,1193335,481622,270795,23807,114075,5896545,18,36513,24371,7258,1881,206992,4120,16.70
4,1427401,947116,382944,29314,114075,6603054,18,36513,24371,8488,1881,206992,4120,16.41
5,1666434,1398232,492295,35010,114075,7773200,18,36513,24371,9802,1881,206992,4120,16.84
6,1900944,1855021,599186,37851,114075,8282110,18,36513,24371,11025,1881,206992,4120,16.42
7,2136891,2293623,707709,44712,114075,8695537,18,36513,24371,12346,1881,206992,4120,16.75
8,2376252,2742217,818340,47453,114075,9321836,18,36513,24371,13536,1881,206992,4120,16.63
9,2606428,3136804,922315,51444,114075,9899293,18,36513,24371,14782,1881,206992,4120,16.24
10,2841509,3545270,1033590,57910,114075,10790721,18,36513,24371,15988,1881,206992,4120,16.78
11,3079172,3944172,1142892,60789,114075,11477485,18,36513,24371,17263,1881,206992,4120,16.75
12,3311683,4314843,1252694,63548,114075,12171055,18,36513,24371,18561,1881,206992,4120,16.21
13,3548020,4743892,1362637,66738,114075,12857199,18,36513,24371,19895,1881,206992,4120,16.62
14,3783725,5147922,1470828,69450,114075,13549086,18,36513,24371,21042,1881,206992,4120,16.87
15,4017872,5570309,1581171,72175,114075,14247355,18,36513,24371,22354,1881,206992,4120,16.21
16,4250141,5994735,1690119,75972,114075,13820047,18,36513,24371,23650,1881,206992,4120,16.52
17,4491688,6423742,1803151,79173,114075,15634527,18,36513,24371,24795,1881,206992,4120,16.94
18,4725456,6791607,1913619,81557,114075,16336918,18,36513,24371,26050,1881,206992,4120,16.24
19,4962645,7212836,2024516,84970,114075,15485420,18,36513,24371,27230,1881,206992,4120,16.75
20,5199559,7596966,2131048,87588,114075,17719737,18,36513,24371,28393,1881,206992,4120,16.42
21,5437253,7966630,2241580,90142,114075,18411921,18,36513,24371,29732,1881,206992,4120,16.54
22,5669541,8344089,2349520,93349,114075,19108691,18,36513,24371,30957,1881,206992,4120,16.52
23,5911437,8694220,2462352,96257,114075,19797115,18,36513,24371,32263,1881,206992,4120,16.64
24,6145890,9044397,2573270,99475,114075,20487658,18,36513,24371,33455,1881,206992,4120,16.49
25,6379489,9423775,2682680,102667,114075,19062518,18,36513,24371,34717,1881,206992,4120,16.33
26,6522333,9714956,2742024,105421,114075,22002561,18,36513,24371,36190,1881,206992,4120,9.35
27,6554215,9998705,2744050,108567,114075,22965956,18,36513,24371,38001,1881,206992,4120,0.40
28,6582440,10227894,2745849,111703,114075,21247375,18,36513,24371,39575,1881,206992,4120,0.28
29,6844581,10576649,2870512,114960,114075,24591192,18,36513,24371,40681,1881,206992,4120,18.57
30,7144022,10941769,3017899,117824,114075,22444061,18,36513,24371,41960,1881,206992,4120,21.45
31,7445359,11311740,3159897,120836,114075,23035967,18,36513,24371,43483,1881,206992,4120,21.55
32,7729966,11671568,3296128,124001,114075,23634531,18,36513,24371,44748,1881,206992,4120,20.49
33,8032133,12017205,3441351,127053,114075,24248801,18,36513,24371,46072,1881,206992,4120,21.59
34,8340064,12396428,3590812,129962,114075,27611270,18,36513,24371,47352,1881,206992,4120,22.09
35,8647584,12736569,3740780,133137,114075,28203545,18,36513,24371,48611,1881,206992,4120,21.93
36,8954796,13066750,3888762,136878,114075,28799374,18,36513,24371,49968,1881,206992,4120,21.81
37,9229922,13370542,4021140,139655,114075,29434588,18,36513,24371,51243,1881,206992,4120,19.25
38,9468829,13664463,4134032,145102,114075,30115835,18,36513,24371,52666,1881,206992,4120,16.48
39,9704419,13966273,4241657,148293,114075,30801992,18,36513,24371,53893,1881,206992,4120,16.44
40,9946661,14245348,4356765,151364,114075,31481054,18,36513,24371,55159,1881,206992,4120,16.87
41,10184863,14565247,4469266,154528,114075,29398418,18,36513,24371,56368,1881,206992,4120,16.39
42,10425262,14874127,4582027,164348,114075,32861902,18,36513,24371,57718,1881,206992,4120,16.65
43,10667282,15177978,4695135,166895,114075,33545800,18,36513,24371,58991,1881,206992,4120,16.69
44,10904965,15462522,4810171,169927,114075,34234672,18,36513,24371,60174,1881,206992,4120,16.29
