period,experiment_runn,measurer,IDLE,tiT,ipc0,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,Heap,Stack,Mbps,main
0,479,298,4344669,9840,1881,18,19520,13781,703774,3542,206992,4152,0.01,99904
1,3379,11624,4530987,12665,1881,18,19520,13781,714944,4774,206992,4152,0.00,99904
2,3379,14206,5516125,14047,1881,18,19520,13781,728213,6026,206992,4152,0.00,99904
3,128123,17063,6211039,263518,1881,18,19520,13781,963371,7338,206992,4152,16.70,99904
4,179215,20126,7066225,365716,1881,18,19520,13781,1078477,8846,206992,4152,7.32,99904
5,180640,22963,8037436,425598,1881,18,19520,13781,1101947,10494,206992,4152,0.20,99904
6,292434,25622,8744455,698273,1881,18,19520,13781,1327670,11728,206992,4152,15.93,99904
7,439547,28842,10178359,1038885,1881,18,19520,13781,1626039,12840,206992,4152,21.58,99904
8,589416,31383,9957369,1390784,1881,18,19520,13781,1933888,14231,206992,4152,22.11,99904
9,744121,35540,11325439,1778636,1881,18,19520,13781,2257378,15333,206992,4152,23.27,99904
10,902308,43812,11912552,2135242,1881,18,19520,13781,2574441,16635,206992,4152,22.97,99904
11,1032328,46414,11792570,2441530,1881,18,19520,13781,2838989,17930,206992,4152,18.91,99904
12,1144817,49600,13248669,2710307,1881,18,19520,13781,3068142,19029,206992,4152,16.32,99904
13,1260546,52938,13926209,2989545,1881,18,19520,13781,3305684,20300,206992,4152,16.84,99904
14,1372262,55854,13892827,3267570,1881,18,19520,13781,3538212,21482,206992,4152,16.46,99904
15,1484122,59038,14601329,3540274,1881,18,19520,13781,3762606,22695,206992,4152,16.18,99904
16,1596993,61619,15302270,3817561,1881,18,19520,13781,3996325,23856,206992,4152,16.56,99904
17,1710570,64819,15997708,4117767,1881,18,19520,13781,4233781,25005,206992,4152,16.88,99904
18,1821682,68027,16702269,4379568,1881,18,19520,13781,4463749,26163,206992,4152,16.18,99904
19,1935146,71487,17995882,4659375,1881,18,19520,13781,4695559,27347,206992,4152,16.71,99904
20,2049364,74143,18102797,4939126,1881,18,19520,13781,4931415,28502,206992,4152,16.69,99904
21,2158727,76560,18806442,5208896,1881,18,19520,13781,5162107,29653,206992,4152,16.18,99904
22,2272932,79914,19498090,5488752,1881,18,19520,13781,5399242,30881,206992,4152,16.72,99904
23,2387100,82997,20195060,5770349,1881,18,19520,13781,5634412,32049,206992,4152,16.67,99904
24,2500009,91013,20900794,6050245,1881,18,19520,13781,5866515,33260,206992,4152,16.18,99904
25,2617005,101253,21601826,6361847,1881,18,19520,13781,6110454,34411,206992,4152,17.26,99904
26,2731374,104448,22303930,6636353,1881,18,19520,13781,6341407,35671,206992,4152,16.56,99904
27,2846987,106983,23002449,6864236,1881,18,19520,13781,6578004,36951,206992,4152,16.52,99904
28,2961233,110099,23696976,7122439,1881,18,19520,13781,6809578,38293,206992,4152,16.53,99904
29,3074935,113402,24939987,7347257,1881,18,19520,13781,7038283,39537,206992,4152,16.55,99904
30,3194069,116740,25667618,7579683,1881,18,19520,13781,7277124,40761,206992,4152,16.87,99904
31,3307010,119490,25802101,7803890,1881,18,19520,13781,7505946,41801,206992,4152,16.17,99904
32,3421846,122569,27128447,8028015,1881,18,19520,13781,7733807,42971,206992,4152,16.34,99904
33,3541215,125888,27198575,8259704,1881,18,19520,13781,7971662,44106,206992,4152,16.79,99904
34,3656203,129030,27897943,8484586,1881,18,19520,13781,8203141,45299,206992,4152,16.46,99904
35,3769669,132166,29310096,8708721,1881,18,19520,13781,8431822,46399,206992,4152,16.37,99904
36,3888907,135185,29305380,8938027,1881,18,19520,13781,8662738,47652,206992,4152,16.67,99904
37,4003105,137782,30768337,9164409,1881,18,19520,13781,8895564,48844,206992,4152,16.56,99904
38,4116608,140721,30713790,9388250,1881,18,19520,13781,9123316,50132,206992,4152,16.17,99904
39,4233377,143921,31408705,9618168,1881,18,19520,13781,9360344,51243,206992,4152,16.81,99904
40,4348772,147126,32105000,9846241,1881,18,19520,13781,9590756,52431,206992,4152,16.62,99904
41,4461686,150326,32811561,10067089,1881,18,19520,13781,9819318,53603,206992,4152,16.17,99904
42,4580299,153373,34415091,10296405,1881,18,19520,13781,10054115,54745,206992,4152,16.72,99904
43,4698427,156632,34206875,10525539,1881,18,19520,13781,10288722,55982,206992,4152,16.71,99904
44,4811442,159488,34910514,10748790,1881,18,19520,13781,10517563,57056,206992,4152,16.17,99904
45,4928911,162693,36599371,10978439,1881,18,19520,13781,10750535,58303,206992,4152,16.71,99904
46,5047483,165328,37322011,11208394,1881,18,19520,13781,10983456,59433,206992,4152,16.71,99904
47,5162113,168473,37013119,11432723,1881,18,19520,13781,11212211,60624,206992,4152,16.18,99904
48,5277431,171704,37710389,11661252,1881,18,19520,13781,11445627,61854,206992,4152,16.71,99904
49,5391747,174568,38421533,11883946,1881,18,19520,13781,11673219,63033,206992,4152,16.32,99904
50,5507117,177221,39118031,12110320,1881,18,19520,13781,11905792,64150,206992,4152,16.57,99904
51,5623551,180572,39813621,12338501,1881,18,19520,13781,12139986,65463,206992,4152,16.71,99904
52,5739852,183528,40515360,12565561,1881,18,19520,13781,12371207,66740,206992,4152,16.70,99904
53,5854320,186013,41219333,12787801,1881,18,19520,13781,12602134,67916,206992,4152,16.19,99904
54,5968681,189555,41927256,13011768,1881,18,19520,13781,12830892,68990,206992,4152,16.68,99904
55,6088611,192432,42624927,13242950,1881,18,19520,13781,13066528,70191,206992,4152,16.71,99904
56,6200972,194907,43330823,13464157,1881,18,19520,13781,13295228,71217,206992,4152,16.18,99904
57,6272370,198110,44124487,13612132,1881,18,19520,13781,13455381,72763,206992,4152,10.76,99904
58,6275434,201335,45096149,13619631,1881,18,19520,13781,13476702,74265,206992,4152,0.20,99904
59,6437948,204461,45674026,13938479,1881,18,19520,13781,13801249,75623,206992,4152,23.55,99904
60,6602748,207139,47692662,14259419,1881,18,19520,13781,14126254,76916,206992,4152,23.73,99904
