period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,9458,514,4833,99019,4457210,18,19463,13598,3544,703509,1836,290608,4152,0.01
1,16604,5987,15494,99019,4649787,18,19463,13598,5009,717968,1836,290608,4152,0.00
2,19359,5987,18103,99019,5635810,18,19463,13598,6172,730210,1836,290608,4152,0.00
3,814769,84826,21082,99019,6641319,18,19463,13598,7410,939807,1836,290608,4152,15.27
4,1659502,164347,24306,99019,6786482,18,19463,13598,8637,1162704,1836,290608,4152,16.79
5,2512865,243403,27571,99019,6917184,18,19463,13598,9863,1385130,1836,290608,4152,16.45
6,3403127,320293,33551,99019,8557467,18,19463,13598,11210,1610364,1836,290608,4152,16.46
7,4282298,393073,36562,99019,7169287,18,19463,13598,12514,1837219,1836,290608,4152,16.41
8,5138103,468954,39866,99019,7298120,18,19463,13598,13791,2056287,1836,290608,4152,15.92
9,5966714,546638,43117,99019,10733860,18,19463,13598,15076,2270878,1836,290608,4152,15.93
10,6853078,619230,46331,99019,7558766,18,19463,13598,16246,2503547,1836,290608,4152,16.51
11,7742145,692312,50516,99019,7660074,18,19463,13598,17481,2739943,1836,290608,4152,16.51
12,8636203,766663,53526,99019,7755221,18,19463,13598,18789,2977645,1836,290608,4152,16.65
13,9523995,843481,57498,99019,7861685,18,19463,13598,20029,3217081,1836,290608,4152,17.09
14,10423306,916922,61233,99019,7951062,18,19463,13598,21320,3454083,1836,290608,4152,16.83
15,11309136,991258,64973,99019,8055218,18,19463,13598,22527,3684167,1836,290608,4152,16.49
16,12173341,1065306,68437,99019,8187628,18,19463,13598,23790,3920132,1836,290608,4152,16.63
17,13078141,1140954,71632,99019,8272060,18,19463,13598,25142,4158925,1836,290608,4152,16.88
18,13975925,1214255,75791,99019,8373701,18,19463,13598,26303,4397086,1836,290608,4152,16.69
19,14851584,1288371,78813,99019,8483338,18,19463,13598,27482,4630243,1836,290608,4152,16.32
20,15752680,1365975,82147,99019,8572393,18,19463,13598,28737,4872413,1836,290608,4152,17.40
21,16648361,1440927,86212,99019,8676185,18,19463,13598,30000,5109512,1836,290608,4152,16.65
22,17540322,1514978,89390,99019,8778944,18,19463,13598,31307,5341415,1836,290608,4152,16.63
23,18384895,1593434,93361,99019,8922904,18,19463,13598,32508,5562965,1836,290608,4152,16.15
24,19223075,1668279,96603,99019,9075776,18,19463,13598,33779,5771317,1836,290608,4152,15.51
25,20110750,1744980,99940,99019,9178777,18,19463,13598,35151,5993642,1836,290608,4152,16.50
26,20966119,1817621,103672,99019,9313899,18,19463,13598,36366,6211398,1836,290608,4152,15.93
27,21839668,1894537,106698,99019,9428474,18,19463,13598,37626,6439114,1836,290608,4152,16.74
