period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
1,482,1566,4400910,7945,18,19473,13669,699624,3601,1836,290608,4152,0.01,99312
2,6049,12141,4585394,12407,18,19473,13669,716104,5063,1836,290608,4152,0.00,99312
3,6049,14814,6405433,14571,18,19473,13669,728968,6235,1836,290608,4152,0.00,99312
4,86046,23221,6565032,854744,18,19473,13669,956269,7521,1836,290608,4152,16.18,99312
5,163913,26456,6687890,1716215,18,19473,13669,1195004,8870,1836,290608,4152,17.13,99312
6,236979,32233,6820835,2574136,18,19473,13669,1420381,10192,1836,290608,4152,15.99,99312
7,310617,39545,6948944,3433360,18,19473,13669,1653270,11492,1836,290608,4152,16.63,99312
8,385785,43401,7066648,4316369,18,19473,13669,1889087,12716,1836,290608,4152,16.40,99312
9,458557,46570,7172203,5201578,18,19473,13669,2121116,13830,1836,290608,4152,16.61,99312
10,533832,50028,7279079,6083407,18,19473,13669,2354004,15131,1836,290608,4152,16.46,99312
11,604407,53426,11324435,6943562,18,19473,13669,2585067,16371,1836,290608,4152,16.15,99312
12,682141,68283,7509969,7852247,18,19473,13669,2831243,17642,1836,290608,4152,17.52,99312
13,756759,71694,7602406,8750999,18,19473,13669,3066135,18849,1836,290608,4152,16.78,99312
14,830191,75350,7721616,9622651,18,19473,13669,3295443,20094,1836,290608,4152,16.25,99312
15,904861,78926,7847921,10489614,18,19473,13669,3526346,21404,1836,290608,4152,16.13,99312
16,976217,82380,7984439,11349013,18,19473,13669,3751573,22705,1836,290608,4152,16.06,99312
17,1051619,86954,15647669,12186576,18,19473,13669,3977011,24006,1836,290608,4152,16.10,99312
18,1121540,89716,8253830,13048722,18,19473,13669,4203390,25191,1836,290608,4152,16.23,99312
19,1195853,92995,8377773,13914131,18,19473,13669,4428667,26445,1836,290608,4152,16.15,99312
20,1268101,96361,8493890,14788429,18,19473,13669,4658367,27816,1836,290608,4152,16.35,99312
21,1342622,99806,8592790,15672136,18,19473,13669,4892334,29017,1836,290608,4152,16.46,99312
22,1416142,103927,8731780,16532819,18,19473,13669,5124819,30222,1836,290608,4152,16.50,99312
23,1488545,107303,8848303,17408801,18,19473,13669,5355398,31545,1836,290608,4152,16.29,99312
24,1562805,110771,8953878,18295419,18,19473,13669,5588016,32825,1836,290608,4152,16.53,99312
25,1636566,114009,9069879,19172531,18,19473,13669,5817455,34114,1836,290608,4152,16.34,99312
26,1708032,117347,9202755,20031074,18,19473,13669,6041713,35342,1836,290608,4152,16.04,99312
27,1785747,121020,9304958,20911273,18,19473,13669,6279245,36668,1836,290608,4152,16.97,99312
28,1858387,124452,23602158,21766330,18,19473,13669,6503694,37887,1836,290608,4152,15.86,99312
29,1930179,127918,9558421,22633763,18,19473,13669,6729566,39159,1836,290608,4152,16.26,99312
30,2006203,131312,9657415,23529110,18,19473,13669,6963407,40445,1836,290608,4152,16.61,99312
31,2079321,134824,25754136,24403581,18,19473,13669,7198122,41702,1836,290608,4152,16.23,99312
32,2155852,149309,9877873,25313424,18,19473,13669,7440508,42955,1836,290608,4152,17.40,99312
33,2232480,152909,9967496,26219277,18,19473,13669,7677218,44217,1836,290608,4152,16.87,99312
34,2304413,156181,10078971,27101236,18,19473,13669,7904388,45509,1836,290608,4152,16.34,99312
35,2379181,160278,10177904,27989649,18,19473,13669,8137061,46722,1836,290608,4152,16.48,99312
36,2453968,163651,10281548,28877222,18,19473,13669,8368667,47943,1836,290608,4152,16.54,99312
37,2532339,169951,30064630,29778730,18,19473,13669,8607082,49306,1836,290608,4152,17.33,99312
38,2606437,173689,10507482,30636272,18,19473,13669,8828691,50586,1836,290608,4152,15.89,99312
39,2682495,177067,10608409,31528970,18,19473,13669,9056673,51814,1836,290608,4152,16.56,99312
40,2757017,180444,10727792,32405753,18,19473,13669,9283529,53125,1836,290608,4152,16.25,99312
41,2831033,187541,10846505,33285760,18,19473,13669,9514016,54333,1836,290608,4152,16.49,99312
42,2908120,194664,10959661,34165468,18,19473,13669,9748272,55629,1836,290608,4152,16.90,99312
43,2980397,197721,11090433,35024002,18,19473,13669,9970579,56903,1836,290608,4152,15.90,99312
44,3055742,201261,11205001,35900080,18,19473,13669,10193809,58177,1836,290608,4152,16.28,99312
45,3129418,204974,11318907,36778569,18,19473,13669,10426461,59417,1836,290608,4152,16.35,99312
46,3201471,209412,11436404,37654378,18,19473,13669,10655595,60789,1836,290608,4152,16.25,99312
47,3278100,217411,11531022,38554338,18,19473,13669,10894631,62082,1836,290608,4152,17.31,99312
48,3352841,220438,11639665,39430204,18,19473,13669,11122782,63471,1836,290608,4152,16.26,99312
49,3427259,224172,11748601,40312199,18,19473,13669,11355086,64735,1836,290608,4152,16.40,99312
50,3500451,228206,11858075,41198288,18,19473,13669,11589841,65985,1836,290608,4152,16.47,99312
51,3576066,231126,40140029,42084067,18,19473,13669,11827872,67215,1836,290608,4152,16.84,99312
52,3652940,246831,40878323,42988699,18,19473,13669,12068016,68596,1836,290608,4152,17.01,99312
53,3725305,249734,12181442,43874046,18,19473,13669,12301121,69838,1836,290608,4152,16.58,99312
54,3798536,253230,12282771,44758242,18,19473,13669,12537142,71124,1836,290608,4152,16.50,99312
55,3870388,256969,12399037,45633775,18,19473,13669,12769080,72398,1836,290608,4152,16.24,99312
56,3946083,260270,43740858,46555492,18,19473,13669,13008249,73744,1836,290608,4152,17.14,99312
57,4023913,263287,12579895,47425495,18,19473,13669,13242938,75036,1836,290608,4152,16.86,99312
58,4097711,266923,45177675,48300607,18,19473,13669,13471552,76310,1836,290608,4152,16.16,99312
59,4169980,269880,12811102,49171368,18,19473,13669,13699759,77658,1836,290608,4152,16.26,99312
60,4247045,272922,12885636,50079597,18,19473,13669,13934587,78804,1836,290608,4152,17.14,99312
61,4321818,276639,47319980,50964783,18,19473,13669,14168118,80151,1836,290608,4152,16.62,99312
62,4396909,292458,13134495,51840969,18,19473,13669,14400729,81471,1836,290608,4152,16.69,99312
63,4470768,296044,13249871,52714912,18,19473,13669,14630343,82805,1836,290608,4152,16.22,99312
64,4543148,299918,13378689,53579881,18,19473,13669,14856386,84101,1836,290608,4152,16.04,99312
65,4616234,303296,13492613,54453481,18,19473,13669,15084965,85416,1836,290608,4152,16.29,99312
66,4687500,306761,13632472,55302995,18,19473,13669,15305917,86648,1836,290608,4152,15.87,99312
67,4765973,311205,13763760,56158883,18,19473,13669,15533841,87927,1836,290608,4152,16.45,99312
68,4838614,315156,13893905,57020924,18,19473,13669,15756527,89283,1836,290608,4152,15.96,99312
69,4913265,318340,14010809,57894324,18,19473,13669,15983442,90468,1836,290608,4152,16.19,99312
70,4987738,321911,14136006,58759918,18,19473,13669,16207717,91745,1836,290608,4152,16.08,99312
71,5061303,325372,54581664,59623840,18,19473,13669,16433647,93022,1836,290608,4152,16.24,99312
72,5140203,340243,14367188,60520648,18,19473,13669,16670673,94236,1836,290608,4152,17.16,99312
73,5210766,343351,14494400,61383349,18,19473,13669,16896877,95578,1836,290608,4152,16.10,99312
74,5283852,347244,14611454,62259857,18,19473,13669,17129340,96810,1836,290608,4152,16.31,99312
75,5356715,350296,14742513,63121164,18,19473,13669,17352676,98061,1836,290608,4152,16.05,99312
76,5428213,355808,58210788,63976726,18,19473,13669,17575858,99356,1836,290608,4152,15.84,99312
77,5504566,362231,14987468,64873522,18,19473,13669,17815659,100737,1836,290608,4152,17.26,99312
78,5581854,366268,15077187,65770866,18,19473,13669,18049013,101902,1836,290608,4152,16.81,99312
79,5652847,369411,15204243,66635365,18,19473,13669,18277732,103199,1836,290608,4152,16.01,99312
80,5727033,373442,15317179,67508883,18,19473,13669,18509644,104412,1836,290608,4152,16.10,99312
81,5796267,376704,15449125,68368366,18,19473,13669,18732598,105666,1836,290608,4152,15.85,99312
82,5873523,382343,15570120,69235551,18,19473,13669,18968144,106908,1836,290608,4152,16.61,99312
83,5944503,385782,15695307,70104833,18,19473,13669,19199058,108130,1836,290608,4152,16.13,99312
84,6019383,391728,15791589,70997919,18,19473,13669,19434014,109399,1836,290608,4152,16.55,99312
85,6091475,394643,15897331,71878784,18,19473,13669,19663716,110580,1836,290608,4152,16.38,99312
86,6162886,402393,16011991,72757620,18,19473,13669,19896206,111877,1836,290608,4152,16.21,99312
87,6232722,408901,16210475,73558240,18,19473,13669,20108852,113248,1836,290608,4152,15.32,99312
