period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
88,6307029,412189,16318124,74447817,18,19473,13669,20338084,114544,1836,290608,4152,16.53,99312
89,6379039,416228,16459960,75301295,18,19473,13669,20564463,115798,1836,290608,4152,15.79,99312
90,6452731,419444,16581676,76176901,18,19473,13669,20794879,117093,1836,290608,4152,16.35,99312
91,6524804,422984,16684902,77063068,18,19473,13669,21029791,118311,1836,290608,4152,16.37,99312
92,6600457,426903,69790868,77943633,18,19473,13669,21269416,119692,1836,290608,4152,16.91,99312
93,6671612,429892,16931669,78797851,18,19473,13669,21497304,120850,1836,290608,4152,15.88,99312
94,6744552,433753,17026958,79699167,18,19473,13669,21735454,122229,1836,290608,4152,16.72,99312
95,6818450,437804,17148815,80574445,18,19473,13669,21966995,123436,1836,290608,4152,16.14,99312
96,6892433,440976,17250743,81469988,18,19473,13669,22197379,124700,1836,290608,4152,16.58,99312
97,6967878,444409,73403649,82336484,18,19473,13669,22426182,125841,1836,290608,4152,16.54,99312
98,7043147,447830,17466258,83228037,18,19473,13669,22655118,127043,1836,290608,4152,16.58,99312
99,7117116,451578,17575002,84112038,18,19473,13669,22886695,128322,1836,290608,4152,16.41,99312
100,7190173,455131,17669452,85007906,18,19473,13669,23121189,129545,1836,290608,4152,16.62,99312
101,7263732,458297,76278276,85899237,18,19473,13669,23353119,130819,1836,290608,4152,16.48,99312
102,7337767,461672,17891439,86772548,18,19473,13669,23591416,132035,1836,290608,4152,16.71,99312
103,7408902,465120,18020387,87641794,18,19473,13669,23820501,133350,1836,290608,4152,16.10,99312
104,7482051,468438,18118873,88538451,18,19473,13669,24053871,134704,1836,290608,4152,16.55,99312
105,7553056,472563,18234429,89412403,18,19473,13669,24283280,135941,1836,290608,4152,16.18,99312
106,7627301,475697,79879961,90293108,18,19473,13669,24518998,137278,1836,290608,4152,16.28,99312
107,7703255,489394,18450882,91192741,18,19473,13669,24760057,138552,1836,290608,4152,17.15,99312
108,7775874,492916,18558915,92074637,18,19473,13669,24993140,139862,1836,290608,4152,16.29,99312
109,7849841,496588,18661490,92968023,18,19473,13669,25229142,141177,1836,290608,4152,16.52,99312
110,7924065,500071,18747053,93874933,18,19473,13669,25467859,142530,1836,290608,4152,16.80,99312
111,7997281,503401,83486519,94754337,18,19473,13669,25699364,143800,1836,290608,4152,16.28,99312
112,8075579,506540,18948668,95662585,18,19473,13669,25946145,145109,1836,290608,4152,17.47,99312
113,8148188,510118,19048124,96556443,18,19473,13669,26181395,146398,1836,290608,4152,16.57,99312
114,8220887,513761,19167216,97433229,18,19473,13669,26414127,147671,1836,290608,4152,16.17,99312
115,8293609,517758,19274104,98321037,18,19473,13669,26646399,148934,1836,290608,4152,16.44,99312
116,8368437,521271,19369267,99210396,18,19473,13669,26879671,149944,1836,290608,4152,16.53,99312
117,8442588,524628,19501300,100063397,18,19473,13669,27111020,151068,1836,290608,4152,16.32,99312
118,8517074,528350,19618174,100938011,18,19473,13669,27336179,152369,1836,290608,4152,16.17,99312
119,8593945,532558,19713912,101838394,18,19473,13669,27567451,153663,1836,290608,4152,16.72,99312
120,8667596,535341,19831306,102711321,18,19473,13669,27792228,155030,1836,290608,4152,16.20,99312
121,8743009,539160,19918624,103613411,18,19473,13669,28026388,156338,1836,290608,4152,16.75,99312
122,8821849,542637,20006800,104518739,18,19473,13669,28265909,157607,1836,290608,4152,17.37,99312
123,8895293,545775,20118140,105394886,18,19473,13669,28490637,158822,1836,290608,4152,16.16,99312
124,8968505,549206,20233867,106268985,18,19473,13669,28716305,160089,1836,290608,4152,16.16,99312
125,9043511,552865,20335172,107155355,18,19473,13669,28945281,161420,1836,290608,4152,16.42,99312
126,9115631,555790,20454429,108027847,18,19473,13669,29170130,162648,1836,290608,4152,16.07,99312
127,9191103,562433,20584847,108886215,18,19473,13669,29397509,164035,1836,290608,4152,16.37,99312
128,9267344,566611,20685629,109783396,18,19473,13669,29628742,165296,1836,290608,4152,16.57,99312
129,9342212,569523,20794470,110668049,18,19473,13669,29854682,166514,1836,290608,4152,16.36,99312
130,9418817,573726,20882626,111576424,18,19473,13669,30084733,167743,1836,290608,4152,16.72,99312
131,9493669,577320,20993445,112445676,18,19473,13669,30310313,168961,1836,290608,4152,16.16,99312
132,9565984,581863,21167671,113262158,18,19473,13669,30528907,170277,1836,290608,4152,15.51,99312
133,9640403,585025,21275137,114134747,18,19473,13669,30760384,171594,1836,290608,4152,16.19,99312
134,9713141,588554,21393047,115003334,18,19473,13669,30988265,172895,1836,290608,4152,16.00,99312
135,9785196,591941,21516215,115870568,18,19473,13669,31211597,174204,1836,290608,4152,16.00,99312
136,9863666,594828,101473103,116759579,18,19473,13669,31451082,175415,1836,290608,4152,16.99,99312
137,9939090,606440,21758652,117638201,18,19473,13669,31674942,176752,1836,290608,4152,16.25,99312
138,10013421,609483,21879249,118510181,18,19473,13669,31900789,177991,1836,290608,4152,16.11,99312
139,10086557,613296,21983183,119399831,18,19473,13669,32135029,179194,1836,290608,4152,16.47,99312
140,10160664,616733,22106266,120268193,18,19473,13669,32359634,180462,1836,290608,4152,16.12,99312
141,10232467,620390,22244557,121117106,18,19473,13669,32578036,181798,1836,290608,4152,15.62,99312
142,10305570,624001,22403295,121944245,18,19473,13669,32797408,183130,1836,290608,4152,15.76,99312
143,10380557,627195,22505168,122830899,18,19473,13669,33025301,184463,1836,290608,4152,16.42,99312
144,10454268,630901,107319368,123695131,18,19473,13669,33250251,185799,1836,290608,4152,15.88,99312
145,10526827,633711,22756168,124566403,18,19473,13669,33478156,187092,1836,290608,4152,16.18,99312
146,10599733,639411,22893830,125419370,18,19473,13669,33701161,188274,1836,290608,4152,15.76,99312
147,10675486,647319,23022313,126290225,18,19473,13669,33933963,189582,1836,290608,4152,16.62,99312
148,10747637,650483,23155206,127149528,18,19473,13669,34159632,190953,1836,290608,4152,15.86,99312
149,10822070,653965,110935974,128025230,18,19473,13669,34389316,192285,1836,290608,4152,16.26,99312
150,10894952,657088,23387450,128897602,18,19473,13669,34615782,193634,1836,290608,4152,16.14,99312
151,10968315,660637,112392322,129755771,18,19473,13669,34836632,194864,1836,290608,4152,15.80,99312
152,11043208,664373,23636031,130620480,18,19473,13669,35065568,196159,1836,290608,4152,16.54,99312
153,11115573,667993,23767755,131491427,18,19473,13669,35291846,197484,1836,290608,4152,15.95,99312
154,11187680,670977,23910894,132333884,18,19473,13669,35507662,198668,1836,290608,4152,15.49,99312
155,11262207,674742,24026186,133212204,18,19473,13669,35738795,199961,1836,290608,4152,16.20,99312
156,11333682,682035,24158285,134083799,18,19473,13669,35968055,201281,1836,290608,4152,16.04,99312
157,11410899,689158,24311039,134923566,18,19473,13669,36188513,202523,1836,290608,4152,15.99,99312
158,11481897,692388,24422434,135794622,18,19473,13669,36416973,203774,1836,290608,4152,16.12,99312
159,11554438,696141,24558225,136645345,18,19473,13669,36635903,204986,1836,290608,4152,15.68,99312
160,11629048,699341,24686717,137508388,18,19473,13669,36854780,206285,1836,290608,4152,15.92,99312
161,11701203,702802,119651935,138378562,18,19473,13669,37085628,207447,1836,290608,4152,16.40,99312
162,11775426,719289,24948489,139250913,18,19473,13669,37317992,208714,1836,290608,4152,16.50,99312
163,11846193,722682,121109151,140101878,18,19473,13669,37542117,209891,1836,290608,4152,15.68,99312
164,11876241,725510,121982765,140506954,18,19473,13669,37655774,211570,1836,290608,4152,6.88,99312
165,11886726,728905,122924568,140668959,18,19473,13669,37705329,213320,1836,290608,4152,1.97,99312
166,11888343,732272,123900155,140735972,18,19473,13669,37726292,214913,1836,290608,4152,0.20,99312
167,11903664,739851,28284742,140913408,18,19473,13669,37782152,216476,1836,290608,4152,2.92,99312
168,11977380,743818,28400830,141790292,18,19473,13669,38012033,217675,1836,290608,4152,16.25,99312
169,12051058,747185,28501162,142689588,18,19473,13669,38248297,218945,1836,290608,4152,16.75,99312
170,12126816,750932,28620237,143555003,18,19473,13669,38477828,220074,1836,290608,4152,16.15,99312
171,12198401,757519,28745533,144424720,18,19473,13669,38711673,221323,1836,290608,4152,16.10,99312
172,12274103,764622,28880691,145291557,18,19473,13669,38942634,222618,1836,290608,4152,16.65,99312
173,12346762,768365,29012131,146151691,18,19473,13669,39170081,223880,1836,290608,4152,15.95,99312
174,12419338,771693,129891202,147014615,18,19473,13669,39396201,225145,1836,290608,4152,15.84,99312
175,12490293,774723,29252573,147887525,18,19473,13669,39623475,226354,1836,290608,4152,16.13,99312
176,12563433,778473,131335256,148760386,18,19473,13669,39856170,227621,1836,290608,4152,16.34,99312
177,12639004,794809,132073936,149657204,18,19473,13669,40092965,228836,1836,290608,4152,16.84,99312
178,12713816,798375,29591737,150552999,18,19473,13669,40327097,230102,1836,290608,4152,16.62,99312
179,12787777,801884,29700561,151437437,18,19473,13669,40557752,231371,1836,290608,4152,16.33,99312
180,12862356,804886,29790380,152340726,18,19473,13669,40786785,232638,1836,290608,4152,16.72,99312
