period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,549,2721,4135980,8452,18,36498,23669,3315,700752,1888,206992,4152,0.01
1,6110,13472,4313665,11892,18,36498,23669,4821,717118,1888,206992,4152,0.00
2,136339,16073,5861829,247553,18,36498,23669,6145,948396,1888,206992,4152,16.19
3,258010,19281,5705886,447733,18,36498,23669,7386,1158602,1888,206992,4152,14.87
4,374892,22135,6432040,687783,18,36498,23669,8783,1354286,1888,206992,4152,13.56
5,481955,24928,7167575,933726,18,36498,23669,10222,1540979,1888,206992,4152,13.11
6,589218,27871,7919739,1152624,18,36498,23669,11695,1717596,1888,206992,4152,12.25
7,694574,30411,9569510,1372517,18,36498,23669,13144,1891842,1888,206992,4152,12.11
8,807928,33227,9394370,1632883,18,36498,23669,14663,2081023,1888,206992,4152,13.46
9,919187,36277,11035269,1861385,18,36498,23669,16060,2273897,1888,206992,4152,13.34
10,1031438,43889,11766261,2101796,18,36498,23669,17588,2468563,1888,206992,4152,13.35
11,1160344,55117,12475864,2383750,18,36498,23669,18987,2689195,1888,206992,4152,15.90
12,1270659,57924,12285829,2617978,18,36498,23669,20475,2877610,1888,206992,4152,12.99
13,1420900,61339,13844519,2940755,18,36498,23669,21917,3126068,1888,206992,4152,17.91
14,1563502,64448,13590320,3234572,18,36498,23669,23383,3384234,1888,206992,4152,18.38
15,1730725,67080,14196594,3564070,18,36498,23669,24738,3685782,1888,206992,4152,21.54
16,1870517,70086,14826026,3894135,18,36498,23669,26095,3965968,1888,206992,4152,20.00
17,2011684,73293,15465365,4186336,18,36498,23669,27572,4229795,1888,206992,4152,19.01
18,2157725,76288,16112750,4485690,18,36498,23669,29070,4490557,1888,206992,4152,18.59
19,2308735,79215,17653560,4824560,18,36498,23669,30377,4763854,1888,206992,4152,19.42
20,2466394,82138,17359673,5148715,18,36498,23669,31784,5063085,1888,206992,4152,21.27
21,2561716,89903,19016593,5384791,18,36498,23669,33326,5246490,1888,206992,4152,12.37
22,2702764,98189,18789209,5674801,18,36498,23669,34885,5483803,1888,206992,4152,16.95
