period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,546,4839,4270125,9569,18,19524,24172,3580,701040,1881,206992,4072,0.01,99468
1,6103,15593,4446429,12003,18,19524,24172,5096,715816,1881,206992,4072,0.00,99468
2,6103,18210,5432852,13149,18,19524,24172,6304,727859,1881,206992,4072,0.00,99468
3,21521,20803,7216655,72200,18,19524,24172,8045,776916,1881,206992,4072,2.04,99468
4,131297,23466,7107766,322456,18,19524,24172,9176,983598,1881,206992,4072,14.43,99468
5,139981,26583,8052850,610782,18,19524,24172,10897,1030377,1881,206992,4072,1.76,99468
6,141262,33699,9023735,886719,18,19524,24172,12524,1057290,1881,206992,4072,0.18,99468
7,199728,44550,9907347,1297206,18,19524,24172,13828,1197969,1881,206992,4072,8.92,99468
8,304440,48378,10609135,1713864,18,19524,24172,14922,1427420,1881,206992,4072,16.11,99468
9,396708,51149,11343744,2084963,18,19524,24172,16316,1635913,1881,206992,4072,13.77,99468
10,397212,59159,11500531,2745885,18,19524,24172,18185,1669299,1881,206992,4072,0.11,99468
11,397767,70209,13310815,3329837,18,19524,24172,20070,1698799,1881,206992,4072,0.09,99468
12,513569,73260,13998370,3605018,18,19524,24172,21525,1936467,1881,206992,4072,16.10,99468
13,638648,75881,14665002,3855372,18,19524,24172,22673,2194777,1881,206992,4072,18.38,99468
14,640138,78569,15639263,3861494,18,19524,24172,24488,2215680,1881,206992,4072,0.19,99468
15,749716,81640,16350342,4073630,18,19524,24172,25775,2435807,1881,206992,4072,15.34,99468
16,781543,84854,17242501,4142779,18,19524,24172,27516,2521253,1881,206992,4072,4.88,99468
17,805451,88075,16965186,4190712,18,19524,24172,29404,2583587,1881,206992,4072,3.17,99468
18,926314,91018,18841081,4430064,18,19524,24172,30645,2828253,1881,206992,4072,17.41,99468
19,930804,94235,19808437,4441420,18,19524,24172,32135,2853502,1881,206992,4072,0.43,99468
20,1032739,97362,20536836,4645384,18,19524,24172,33461,3062437,1881,206992,4072,14.91,99468
21,1094723,100842,20298707,4766486,18,19524,24172,34989,3196160,1881,206992,4072,8.67,99468
22,1145964,103427,22217220,4871183,18,19524,24172,36557,3311409,1881,206992,4072,7.35,99468
