period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,439,171,4335298,10000,18,19529,13757,3618,704391,1881,206992,4152,0.01,100749
1,4465,11725,4521450,13012,18,19529,13757,4727,715845,1881,206992,4152,0.00,100749
2,4465,14322,5505210,14295,18,19529,13757,6100,729547,1881,206992,4152,0.00,100749
3,23019,16908,6446466,69948,18,19529,13757,7664,776941,1881,206992,4152,2.03,100749
4,107704,19724,7236733,214086,18,19529,13757,9013,938698,1881,206992,4152,11.05,100749
5,160713,22698,8083050,368295,18,19529,13757,10562,1062417,1881,206992,4152,7.92,100749
6,238160,26360,8879571,590569,18,19529,13757,11833,1222896,1881,206992,4152,10.84,100749
7,302721,29532,10476169,769212,18,19529,13757,13280,1368154,1881,206992,4152,9.67,100749
8,346479,32210,10563408,938060,18,19529,13757,14893,1474769,1881,206992,4152,6.28,100749
9,387114,35149,11439503,1072454,18,19529,13757,16379,1574727,1881,206992,4152,6.11,100749
10,472936,38606,12215789,1281411,18,19529,13757,17840,1749210,1881,206992,4152,12.08,100749
11,535263,41438,13041746,1484500,18,19529,13757,18995,1886894,1881,206992,4152,9.07,100749
12,539521,44511,14000470,1554890,18,19529,13757,20662,1921754,1881,206992,4152,1.00,100749
13,619759,47998,14783751,1784250,18,19529,13757,22165,2091475,1881,206992,4152,11.54,100749
14,667615,50725,15640516,1932464,18,19529,13757,23723,2205642,1881,206992,4152,7.03,100749
15,737528,53797,16446852,2115950,18,19529,13757,25174,2353738,1881,206992,4152,9.88,100749
16,782569,56549,17312851,2294353,18,19529,13757,26607,2463309,1881,206992,4152,6.63,100749
17,825897,59773,18650671,2427748,18,19529,13757,28172,2559612,1881,206992,4152,5.87,100749
18,913560,62412,18949060,2676159,18,19529,13757,29633,2751976,1881,206992,4152,13.09,100749
19,961040,65930,19817113,2817669,18,19529,13757,31123,2856487,1881,206992,4152,6.56,100749
20,1015142,73882,20654095,2998534,18,19529,13757,32905,2985981,1881,206992,4152,8.15,100749
21,1025509,84338,21612827,3081069,18,19529,13757,34569,3024158,1881,206992,4152,1.25,100749
22,1165962,87015,22255279,3389757,18,19529,13757,36011,3302237,1881,206992,4152,19.93,100749
23,1214538,89454,23112643,3565461,18,19529,13757,37514,3421041,1881,206992,4152,7.20,100749
24,1216091,92596,24084385,3625239,18,19529,13757,39319,3443649,1881,206992,4152,0.20,100749
25,1217718,95740,25056782,3712109,18,19529,13757,40971,3466536,1881,206992,4152,0.20,100749
26,1348058,98401,25731993,3997264,18,19529,13757,42284,3719745,1881,206992,4152,18.29,100749
27,1448016,101181,26471588,4236456,18,19529,13757,43408,3925063,1881,206992,4152,14.39,100749
28,1507635,104385,27296536,4433161,18,19529,13757,44814,4062112,1881,206992,4152,8.63,100749
29,1565281,107520,28124649,4599290,18,19529,13757,46393,4198854,1881,206992,4152,8.63,100749
30,1611530,110657,28985070,4733720,18,19529,13757,48118,4311580,1881,206992,4152,7.21,100749
31,1671729,113702,29816669,4873630,18,19529,13757,49662,4443976,1881,206992,4152,8.50,100749
32,1734944,116540,30641144,5035366,18,19529,13757,51247,4583420,1881,206992,4152,9.10,100749
33,1785793,119564,31492465,5216313,18,19529,13757,52814,4705113,1881,206992,4152,7.56,100749
34,1845176,122697,32324771,5363205,18,19529,13757,54365,4839067,1881,206992,4152,8.63,100749
35,1903448,125840,33158823,5557367,18,19529,13757,55627,4971928,1881,206992,4152,8.63,100749
36,1955153,128981,34006920,5661240,18,19529,13757,57418,5090688,1881,206992,4152,7.55,100749
37,2007289,132133,34857450,5784122,18,19529,13757,59041,5209855,1881,206992,4152,7.74,100749
38,2072289,135026,35674656,5989750,18,19529,13757,60356,5358360,1881,206992,4152,9.38,100749
39,2124350,138161,36525349,6143263,18,19529,13757,61878,5476143,1881,206992,4152,7.55,100749
40,2158149,141310,37414207,6293656,18,19529,13757,63536,5565779,1881,206992,4152,5.18,100749
41,2240051,144680,38189708,6496019,18,19529,13757,65288,5742710,1881,206992,4152,11.59,100749
42,2296134,147131,39030225,6655084,18,19529,13757,67156,5869352,1881,206992,4152,8.05,100749
43,2353947,150268,39857080,6825487,18,19529,13757,68739,6006522,1881,206992,4152,8.63,100749
44,2407544,153105,40708091,6979517,18,19529,13757,70475,6124665,1881,206992,4152,7.55,100749
45,2465752,156251,41539137,7151456,18,19529,13757,72027,6260370,1881,206992,4152,8.86,100749
46,2522189,158856,42381409,7286083,18,19529,13757,73587,6387660,1881,206992,4152,8.17,100749
47,2556830,161200,43273074,7410485,18,19529,13757,74875,6474450,1881,206992,4152,5.06,100749
48,2635989,163815,44058700,7623135,18,19529,13757,76437,6643078,1881,206992,4152,11.36,100749
49,2695605,167027,44894145,7788156,18,19529,13757,78037,6775002,1881,206992,4152,8.63,100749
50,2746495,170343,45741550,7969798,18,19529,13757,79768,6897861,1881,206992,4152,7.56,100749
51,2806206,173311,46568935,8139216,18,19529,13757,81230,7033658,1881,206992,4152,8.63,100749
52,2867276,181596,47398963,8286201,18,19529,13757,82711,7167708,1881,206992,4152,8.56,100749
53,2915396,192057,48261262,8431651,18,19529,13757,84603,7285708,1881,206992,4152,7.32,100749
54,2985103,195041,49080594,8609165,18,19529,13757,85951,7429517,1881,206992,4152,9.62,100749
55,3040567,197639,49923737,8796768,18,19529,13757,87326,7556454,1881,206992,4152,7.95,100749
56,3098127,200607,50749303,8952767,18,19529,13757,89095,7694559,1881,206992,4152,8.63,100749
57,3154122,203933,51197334,9089924,18,19529,13757,90745,7820678,1881,206992,4152,8.20,100749
58,3204158,206830,52447406,9215826,18,19529,13757,92433,7939721,1881,206992,4152,7.41,100749
59,3268656,209673,53270262,9375844,18,19529,13757,93842,8081050,1881,206992,4152,9.17,100749
60,3319316,212666,54117784,9554902,18,19529,13757,95456,8201303,1881,206992,4152,7.56,100749
61,3378098,215810,54946727,9680658,18,19529,13757,97116,8336209,1881,206992,4152,8.63,100749
62,3432128,218945,55789923,9866448,18,19529,13757,98740,8461043,1881,206992,4152,7.88,100749
63,3470661,224727,56667385,10001090,18,19529,13757,100202,8561104,1881,206992,4152,6.05,100749
64,3538358,227878,57477098,10182697,18,19529,13757,101753,8709543,1881,206992,4152,9.65,100749
65,3600145,230465,58301552,10387492,18,19529,13757,103129,8846832,1881,206992,4152,8.84,100749
66,3662365,233944,59125775,10559431,18,19529,13757,104685,8987534,1881,206992,4152,8.99,100749
67,3721119,236683,59964222,10748724,18,19529,13757,106125,9116957,1881,206992,4152,8.28,100749
68,3776570,240187,60800258,10903994,18,19529,13757,107797,9247915,1881,206992,4152,8.33,100749
69,3832746,243122,61641587,11038937,18,19529,13757,109474,9376417,1881,206992,4152,8.11,100749
70,3890302,254344,62495423,11211662,18,19529,13757,111080,9508451,1881,206992,4152,8.30,100749
71,3941150,257484,63344722,11365579,18,19529,13757,112702,9628024,1881,206992,4152,7.55,100749
72,4004057,260630,64167591,11537480,18,19529,13757,114194,9769104,1881,206992,4152,9.16,100749
73,4060786,263330,65006320,11699560,18,19529,13757,115856,9897082,1881,206992,4152,8.07,100749
74,4116528,266520,65099612,11874541,18,19529,13757,117600,10026760,1881,206992,4152,8.30,100749
75,4180731,273211,65910501,12047194,18,19529,13757,118977,10163159,1881,206992,4152,8.84,100749
76,4213810,276492,67552690,12170562,18,19529,13757,120636,10257349,1881,206992,4152,5.25,100749
77,4289327,279540,68350924,12388717,18,19529,13757,121946,10415641,1881,206992,4152,10.68,100749
78,4348863,282127,69188009,12554211,18,19529,13757,123601,10547744,1881,206992,4152,8.22,100749
79,4408900,285504,70016688,12723209,18,19529,13757,124915,10682754,1881,206992,4152,8.63,100749
80,4464067,288697,70856506,12869235,18,19529,13757,126652,10812560,1881,206992,4152,8.18,100749
81,4521687,291515,71696644,13003547,18,19529,13757,128214,10939680,1881,206992,4152,7.89,100749
82,4580617,293871,72531718,13194337,18,19529,13757,129682,11073220,1881,206992,4152,8.63,100749
83,4633601,297001,73379316,13348369,18,19529,13757,131336,11191591,1881,206992,4152,7.55,100749
84,4691919,300148,74207272,13527640,18,19529,13757,133081,11327701,1881,206992,4152,8.63,100749
85,4748349,303280,75048302,13661568,18,19529,13757,134655,11453630,1881,206992,4152,8.18,100749
86,4808310,305698,75883954,13829374,18,19529,13757,135996,11587637,1881,206992,4152,8.64,100749
87,4865964,308651,76728574,14013954,18,19529,13757,137282,11709864,1881,206992,4152,8.00,100749
88,4924656,311775,77556952,14181571,18,19529,13757,139016,11847018,1881,206992,4152,8.63,100749
89,4978047,314898,78402411,14337184,18,19529,13757,140770,11968771,1881,206992,4152,7.55,100749
90,5004577,318047,79308907,14445727,18,19529,13757,142510,12043836,1881,206992,4152,4.05,100749
91,5086174,321194,80085848,14654552,18,19529,13757,143887,12220331,1881,206992,4152,11.98,100749
92,5097474,324121,79862850,14765199,18,19529,13757,145491,12260591,1881,206992,4152,1.52,100749
93,5203015,326869,81759891,15016760,18,19529,13757,146951,12479579,1881,206992,4152,15.31,100749
94,5204410,330066,82732027,15103308,18,19529,13757,148674,12503303,1881,206992,4152,0.19,100749
95,5325610,333497,83420433,15367914,18,19529,13757,150025,12745812,1881,206992,4152,16.96,100749
96,5386310,341449,84248802,15523449,18,19529,13757,151632,12882106,1881,206992,4152,8.63,100749
97,5405286,351988,85179637,15606745,18,19529,13757,153288,12943758,1881,206992,4152,3.14,100749
98,5486776,355308,85956023,15817133,18,19529,13757,154658,13120515,1881,206992,4152,11.85,100749
99,5557685,358707,86758435,16032230,18,19529,13757,156100,13275379,1881,206992,4152,9.83,100749
100,5608947,361980,87605826,16185123,18,19529,13757,157805,13396892,1881,206992,4152,7.55,100749
101,5668066,365296,88435684,16354746,18,19529,13757,159348,13532297,1881,206992,4152,8.93,100749
102,5725548,367952,89278230,16493114,18,19529,13757,160882,13660927,1881,206992,4152,8.08,100749
103,5786514,371376,90110648,16660442,18,19529,13757,162196,13795112,1881,206992,4152,8.70,100749
104,5839796,374510,90958741,16842513,18,19529,13757,163814,13916798,1881,206992,4152,7.73,100749
105,5899730,377812,91787598,16960547,18,19529,13757,165494,14052175,1881,206992,4152,8.63,100749
106,5953464,386024,91212118,17134757,18,19529,13757,166890,14172897,1881,206992,4152,7.56,100749
107,6012204,394880,93477199,17256227,18,19529,13757,168385,14302859,1881,206992,4152,8.62,100749
108,6064584,398201,94323615,17378467,18,19529,13757,170016,14424953,1881,206992,4152,7.95,100749
109,6129052,404734,95161186,17535917,18,19529,13757,171612,14572112,1881,206992,4152,9.30,100749
110,6180318,408049,96007743,17688359,18,19529,13757,172986,14690060,1881,206992,4152,7.47,100749
111,6236657,411355,96834747,17878409,18,19529,13757,174669,14826159,1881,206992,4152,8.72,100749
112,6295216,414670,97662331,18034972,18,19529,13757,176259,14962031,1881,206992,4152,8.63,100749
113,6348313,423208,98505643,18214856,18,19529,13757,177643,15088262,1881,206992,4152,7.88,100749
114,6403089,429289,99355446,18368574,18,19529,13757,179337,15211120,1881,206992,4152,7.55,100749
115,6461388,431752,100196100,18525333,18,19529,13757,180871,15339357,1881,206992,4152,8.12,100749
116,6525463,435158,99481362,18712752,18,19529,13757,182377,15487059,1881,206992,4152,9.71,100749
117,6577380,437881,101862703,18841606,18,19529,13757,183834,15607127,1881,206992,4152,7.55,100749
118,6631760,441192,102699672,19009355,18,19529,13757,185501,15732432,1881,206992,4152,7.89,100749
119,6699561,454358,103517567,19161064,18,19529,13757,186910,15876386,1881,206992,4152,9.37,100749
120,6730534,457477,104410071,19280125,18,19529,13757,188615,15963205,1881,206992,4152,5.15,100749
121,6801939,460617,105216941,19497025,18,19529,13757,190050,16112762,1881,206992,4152,9.95,100749
122,6849299,463828,106065148,19649071,18,19529,13757,191763,16232343,1881,206992,4152,7.27,100749
123,6920822,467148,106868346,19859625,18,19529,13757,193257,16386922,1881,206992,4152,9.99,100749
124,6981667,470195,107699329,20004225,18,19529,13757,194686,16518047,1881,206992,4152,8.63,100749
125,6993595,473686,106967381,20074644,18,19529,13757,196491,16567248,1881,206992,4152,2.10,100749
126,7079522,480798,109421526,20318508,18,19529,13757,198021,16752300,1881,206992,4152,12.45,100749
127,7117067,483798,110309819,20447335,18,19529,13757,199519,16844200,1881,206992,4152,5.41,100749
128,7210613,486330,111058694,20701179,18,19529,13757,200766,17044470,1881,206992,4152,13.44,100749
129,7262200,489718,111901517,20852354,18,19529,13757,202512,17165161,1881,206992,4152,7.59,100749
130,7311965,498115,112767033,20972458,18,19529,13757,204133,17279575,1881,206992,4152,7.16,100749
131,7380951,508905,113575366,21164764,18,19529,13757,205743,17431982,1881,206992,4152,9.91,100749
132,7439857,511765,114411739,21284615,18,19529,13757,207386,17564766,1881,206992,4152,8.52,100749
133,7496539,514428,115256345,21472507,18,19529,13757,209002,17688448,1881,206992,4152,7.68,100749
134,7546824,517741,114290309,21604391,18,19529,13757,210521,17804732,1881,206992,4152,7.47,100749
135,7611556,520713,116928392,21783674,18,19529,13757,212061,17945828,1881,206992,4152,9.27,100749
136,7648026,523398,117813270,21911085,18,19529,13757,213680,18037466,1881,206992,4152,5.16,100749
137,7727367,526075,118597494,22114298,18,19529,13757,215101,18211127,1881,206992,4152,11.37,100749
138,7753296,529488,119504947,22260739,18,19529,13757,216647,18285510,1881,206992,4152,4.12,100749
139,7839724,532809,120272849,22475606,18,19529,13757,218021,18465716,1881,206992,4152,12.07,100749
140,7900596,536168,121101936,22673648,18,19529,13757,219591,18602534,1881,206992,4152,8.64,100749
141,7953669,539554,121954254,22778446,18,19529,13757,221222,18720322,1881,206992,4152,7.55,100749
142,8015153,542953,122786083,22944436,18,19529,13757,222690,18852597,1881,206992,4152,8.63,100749
143,8072915,546348,123618037,23107033,18,19529,13757,224266,18985505,1881,206992,4152,8.63,100749
144,8125459,549596,124467470,23262454,18,19529,13757,225859,19106416,1881,206992,4152,7.55,100749
145,8183371,553002,125297146,23443193,18,19529,13757,227313,19241933,1881,206992,4152,8.63,100749
146,8244579,556614,126131546,23610667,18,19529,13757,228740,19373895,1881,206992,4152,8.63,100749
147,8295990,559549,126975974,23765013,18,19529,13757,230331,19493880,1881,206992,4152,7.55,100749
148,8355718,562951,127808666,23933707,18,19529,13757,231890,19627235,1881,206992,4152,8.63,100749
149,8414366,566332,126464506,24099588,18,19529,13757,233249,19761681,1881,206992,4152,8.56,100749
150,8467626,569270,129489320,24257007,18,19529,13757,234786,19882457,1881,206992,4152,7.55,100749
151,8528259,572676,130319327,24400629,18,19529,13757,236280,20016013,1881,206992,4152,8.63,100749
152,8584475,580246,128941754,24565754,18,19529,13757,237949,20148525,1881,206992,4152,8.06,100749
153,8640082,591578,132019786,24751020,18,19529,13757,239657,20276404,1881,206992,4152,8.12,100749
154,8694496,594977,132862710,24910181,18,19529,13757,240978,20400690,1881,206992,4152,7.98,100749
155,8753643,597789,133700371,25074406,18,19529,13757,242425,20529700,1881,206992,4152,8.21,100749
156,8812843,601210,134529510,25235644,18,19529,13757,243878,20662940,1881,206992,4152,8.63,100749
157,8872049,604611,135356109,25405885,18,19529,13757,245516,20797790,1881,206992,4152,8.63,100749
158,8931766,607712,136189575,25572822,18,19529,13757,247297,20930519,1881,206992,4152,8.63,100749
159,8987129,611124,137030960,25681672,18,19529,13757,248936,21054074,1881,206992,4152,7.96,100749
160,9038714,614510,137875618,25869448,18,19529,13757,250397,21180236,1881,206992,4152,7.92,100749
161,9103508,617723,138698595,26034968,18,19529,13757,251759,21316345,1881,206992,4152,8.93,100749
162,9155569,621109,139546429,26146979,18,19529,13757,253234,21434688,1881,206992,4152,7.55,100749
163,9215450,624512,140374983,26354703,18,19529,13757,254868,21572362,1881,206992,4152,8.63,100749
164,9269422,627909,141210965,26514734,18,19529,13757,256536,21701362,1881,206992,4152,7.96,100749
165,9326332,631001,142049684,26705524,18,19529,13757,258142,21830271,1881,206992,4152,8.23,100749
166,9383805,634388,142878754,26866308,18,19529,13757,259802,21967540,1881,206992,4152,8.63,100749
167,9440637,637892,143710158,27052751,18,19529,13757,261304,22103224,1881,206992,4152,8.63,100749
168,9493407,640438,144561488,27209271,18,19529,13757,262877,22224887,1881,206992,4152,7.55,100749
169,9546580,643845,145402813,27368487,18,19529,13757,264442,22349975,1881,206992,4152,7.96,100749
170,9604644,646544,146243564,27531657,18,19529,13757,265825,22476202,1881,206992,4152,8.23,100749
171,9667496,650176,147061144,27707704,18,19529,13757,267391,22618671,1881,206992,4152,9.07,100749
172,9675342,653386,148012113,27814298,18,19529,13757,269093,22660275,1881,206992,4152,1.52,100749
173,9768598,656428,148767419,28016086,18,19529,13757,270611,22852247,1881,206992,4152,13.28,100749
174,9841416,659924,149575881,28201878,18,19529,13757,271980,22999942,1881,206992,4152,9.89,100749
175,9892863,662985,150423545,28392254,18,19529,13757,273375,23119991,1881,206992,4152,7.56,100749
176,9950889,666384,151252023,28561450,18,19529,13757,274867,23257309,1881,206992,4152,8.63,100749
177,10008433,669783,152079795,28759384,18,19529,13757,276367,23395601,1881,206992,4152,8.63,100749
178,10064781,673173,152916358,28921586,18,19529,13757,277998,23524130,1881,206992,4152,8.32,100749
179,10120255,675785,153756313,29076349,18,19529,13757,279520,23653472,1881,206992,4152,7.86,100749
