period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
1,715281,9658,335,0,114827,5049186,18,36495,23387,4438,1881,206992,4152,0.01
2,728140,11153,5079,11905,114827,5220436,18,36495,23387,5705,1881,206992,4152,0.00
3,955509,227874,138664,14505,114827,5908227,18,36495,23387,6951,1881,206992,4152,16.09
4,1194397,484386,271042,17148,114827,6584301,18,36495,23387,8297,1881,206992,4152,17.07
5,1427350,734977,396714,20058,114827,7283625,18,36495,23387,9459,1881,206992,4152,16.44
6,1655825,1006775,517403,22723,114827,8867337,18,36495,23387,10753,1881,206992,4152,16.56
7,1888113,1252984,637683,26182,114827,9586097,18,36495,23387,11948,1881,206992,4152,16.80
8,2110491,1517903,754396,28831,114827,9382001,18,36495,23387,13199,1881,206992,4152,15.72
9,2347421,1777204,874145,35353,114827,10990436,18,36495,23387,14524,1881,206992,4152,16.68
10,2585953,2036779,994320,46433,114827,10781239,18,36495,23387,15857,1881,206992,4152,17.29
11,2817248,2302081,1109934,49642,114827,11477976,18,36495,23387,17221,1881,206992,4152,16.72
12,3008065,2500753,1200167,52210,114827,12235426,18,36495,23387,18640,1881,206992,4152,13.26
13,3029326,2559908,1201432,55237,114827,13211397,18,36495,23387,20390,1881,206992,4152,0.14
14,3098091,2664532,1229497,58530,114827,14123325,18,36495,23387,22000,1881,206992,4152,3.92
15,3345432,2924670,1361716,61910,114827,15684957,18,36495,23387,23302,1881,206992,4152,17.95
16,3630890,3245140,1506937,64980,114827,15414870,18,36495,23387,24585,1881,206992,4152,20.77
17,3915345,3558863,1651102,67652,114827,16039294,18,36495,23387,25931,1881,206992,4152,20.80
18,4187710,3843991,1793007,73092,114827,16682294,18,36495,23387,27268,1881,206992,4152,20.00
19,4462625,4152525,1934913,75636,114827,17318799,18,36495,23387,28645,1881,206992,4152,19.87
20,4726461,4429763,2073874,78449,114827,17969108,18,36495,23387,30009,1881,206992,4152,19.21
21,5021320,4763838,2230082,81571,114827,18578714,18,36495,23387,31449,1881,206992,4152,21.64
22,5292060,5068945,2365185,84683,114827,19222737,18,36495,23387,32872,1881,206992,4152,19.53
23,5559516,5342507,2501631,87476,114827,19874201,18,36495,23387,34101,1881,206992,4152,19.42
24,5810383,5631116,2631031,90231,114827,20543252,18,36495,23387,35297,1881,206992,4152,18.00
25,6043901,5901836,2748541,93437,114827,21229232,18,36495,23387,36531,1881,206992,4152,16.84
26,6275698,6143455,2867279,97044,114827,21934493,18,36495,23387,37766,1881,206992,4152,16.59
27,6500427,6405594,2980771,100065,114827,22639329,18,36495,23387,38932,1881,206992,4152,16.18
28,6731048,6648787,3101286,102922,114827,23333820,18,36495,23387,40247,1881,206992,4152,16.70
29,6964692,6918175,3219296,105904,114827,25032578,18,36495,23387,41439,1881,206992,4152,16.65
30,7191797,7182722,3332232,108788,114827,24737507,18,36495,23387,42555,1881,206992,4152,16.18
31,7421382,7424047,3450483,111993,114827,25438858,18,36495,23387,43773,1881,206992,4152,16.63
32,7649270,7688088,3565604,114859,114827,27138354,18,36495,23387,45043,1881,206992,4152,16.13
33,7876887,7949487,3682631,122980,114827,26832864,18,36495,23387,46215,1881,206992,4152,16.27
34,8116780,8205112,3806268,130319,114827,27523584,18,36495,23387,47485,1881,206992,4152,17.20
35,8350142,8472305,3923583,133342,114827,28217994,18,36495,23387,48838,1881,206992,4152,16.57
36,8575904,8703828,4040611,136531,114827,28921006,18,36495,23387,50101,1881,206992,4152,16.29
37,8651205,8813410,4066288,139716,114827,29825263,18,36495,23387,51916,1881,206992,4152,4.14
38,8794295,8993098,4135975,143331,114827,30644132,18,36495,23387,53442,1881,206992,4152,9.36
39,9085974,9299027,4288297,146314,114827,31262222,18,36495,23387,54748,1881,206992,4152,21.45
40,9381374,9627018,4438752,149265,114827,31873141,18,36495,23387,55957,1881,206992,4152,21.71
41,9679722,9964060,4592954,152112,114827,33530941,18,36495,23387,57297,1881,206992,4152,21.82
42,9950808,10244532,4730453,155245,114827,33127395,18,36495,23387,58509,1881,206992,4152,19.64
43,10196522,10525444,4853966,158438,114827,33809599,18,36495,23387,59877,1881,206992,4152,17.71
44,10428941,10767928,4973324,162069,114827,35580823,18,36495,23387,61201,1881,206992,4152,16.71
45,10659445,11034481,5089589,164664,114827,35209365,18,36495,23387,62443,1881,206992,4152,16.37
46,10889419,11299178,5205347,167510,114827,35909066,18,36495,23387,63675,1881,206992,4152,16.54
47,11117193,11538486,5323780,170804,114827,37677723,18,36495,23387,64855,1881,206992,4152,16.44
48,11349706,11809421,5442524,173559,114827,37305898,18,36495,23387,66149,1881,206992,4152,16.46
49,11449756,11919794,5485089,176761,114827,38178164,18,36495,23387,67925,1881,206992,4152,6.24
50,11470789,11986403,5486139,179908,114827,39154137,18,36495,23387,69555,1881,206992,4152,0.14
51,11673044,12224437,5590527,183052,114827,40903994,18,36495,23387,71044,1881,206992,4152,14.39
52,11922649,12485702,5720353,186230,114827,40554218,18,36495,23387,72244,1881,206992,4152,17.98
53,12142574,12742983,5833133,189138,114827,41256500,18,36495,23387,73632,1881,206992,4152,15.61
54,12432625,13067127,5979792,192102,114827,41871914,18,36495,23387,74950,1881,206992,4152,21.15
55,12651484,13293626,6087121,195166,114827,42589207,18,36495,23387,76446,1881,206992,4152,15.53
56,12674369,13353573,6088537,198403,114827,43561518,18,36495,23387,78137,1881,206992,4152,0.18
57,12838287,13553794,6170292,201638,114827,44345049,18,36495,23387,79407,1881,206992,4152,11.14
58,12878035,13603286,6178035,215636,114827,45301017,18,36495,23387,81252,1881,206992,4152,1.44
59,13081974,13843596,6283052,218398,114827,46033584,18,36495,23387,82610,1881,206992,4152,14.64
60,13353308,14129375,6429728,221225,114827,47730695,18,36495,23387,83807,1881,206992,4152,19.82
61,13628855,14439677,6574073,223662,114827,47300047,18,36495,23387,85207,1881,206992,4152,20.37
62,13907296,14750311,6713160,226390,114827,47930878,18,36495,23387,86635,1881,206992,4152,20.07
63,14171962,15025532,6850100,229603,114827,48574800,18,36495,23387,88040,1881,206992,4152,19.08
64,14458500,15338092,6998869,232808,114827,49193839,18,36495,23387,89491,1881,206992,4152,20.73
65,14744418,15651499,7140522,240716,114827,49819486,18,36495,23387,91023,1881,206992,4152,20.36
66,15037515,15958942,7293357,247152,114827,51639904,18,36495,23387,92396,1881,206992,4152,21.29
67,15283962,16244399,7422288,250328,114827,52313444,18,36495,23387,93605,1881,206992,4152,17.80
68,15499915,16474579,7535456,252891,114827,51818019,18,36495,23387,94956,1881,206992,4152,15.34
69,15533356,16545204,7539543,256112,114827,52778050,18,36495,23387,96562,1881,206992,4152,0.98
70,15750602,16799937,7649602,258808,114827,53486955,18,36495,23387,98008,1881,206992,4152,15.50
71,16054657,17114963,7808602,261960,114827,55312618,18,36495,23387,99281,1881,206992,4152,22.48
72,16304782,17401862,7935993,264612,114827,54753454,18,36495,23387,100562,1881,206992,4152,17.84
73,16562612,17700524,8070369,268195,114827,56644815,18,36495,23387,101848,1881,206992,4152,18.71
74,16844436,17991711,8219710,275510,114827,56044738,18,36495,23387,103255,1881,206992,4152,20.41
75,17125250,18307648,8364616,278181,114827,57929718,18,36495,23387,104618,1881,206992,4152,20.48
76,17420401,18611630,8513677,280853,114827,57285662,18,36495,23387,106078,1881,206992,4152,21.44
77,17696601,18921896,8652724,284136,114827,57921912,18,36495,23387,107441,1881,206992,4152,19.97
78,17920542,19182661,8765851,286846,114827,58617033,18,36495,23387,108870,1881,206992,4152,16.07
79,18175798,19453983,8903755,289864,114827,59273742,18,36495,23387,110163,1881,206992,4152,18.17
80,18440115,19761697,9047379,293100,114827,59922957,18,36495,23387,111461,1881,206992,4152,19.13
81,18713812,20076835,9191239,295990,114827,61888989,18,36495,23387,112758,1881,206992,4152,19.65
82,18866338,20242239,9266805,300842,114827,61361361,18,36495,23387,114383,1881,206992,4152,10.03
83,18890449,20302118,9268306,304162,114827,62331384,18,36495,23387,116170,1881,206992,4152,0.18
84,19139729,20568401,9404497,307391,114827,62997594,18,36495,23387,117516,1881,206992,4152,17.73
85,19431786,20901832,9560058,310483,114827,64942279,18,36495,23387,118898,1881,206992,4152,20.90
86,19716011,21225661,9710474,313461,114827,64244692,18,36495,23387,120338,1881,206992,4152,20.27
87,19967722,21488542,9839883,316750,114827,66253963,18,36495,23387,121629,1881,206992,4152,18.10
88,20260467,21813892,9989528,319769,114827,65521476,18,36495,23387,123035,1881,206992,4152,21.04
