period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,12887611,728742,28892783,153063638,18,19442,24537,214571,41642709,1837,290608,4152,16.57,100343
1,416,0,4431445,7868,19,19472,12951,3580,702558,1836,290608,4152,0.01,99915
2,4418,11719,4614128,12800,19,19472,12951,4996,717352,1836,290608,4152,0.00,99915
3,4418,14315,5599406,14204,19,19472,12951,6306,730371,1836,290608,4152,0.00,99915
4,83011,16901,6611846,826876,19,19472,12951,7448,954370,1836,290608,4152,15.86,99915
5,156718,20655,6773913,1652918,19,19472,12951,8608,1177349,1836,290608,4152,16.06,99915
6,222523,24736,6881824,2539955,19,19472,12951,9772,1389393,1836,290608,4152,14.49,99915
7,288210,27823,6965415,3454430,19,19472,12951,10892,1603658,1836,290608,4152,14.94,99915
8,353187,31431,9278711,4344955,19,19472,12951,12074,1817078,1836,290608,4152,14.56,99915
9,420929,47527,7178427,5253466,19,19472,12951,13207,2033160,1836,290608,4152,15.15,99915
10,486280,51535,10789429,6155087,19,19472,12951,14352,2246158,1836,290608,4152,14.56,99915
11,548323,54438,7376434,7041199,19,19472,12951,15493,2456220,1836,290608,4152,14.38,99915
12,618664,62230,7436524,7966772,19,19472,12951,16548,2680371,1836,290608,4152,15.65,99915
13,684478,65869,7528597,8870735,19,19472,12951,17794,2897740,1836,290608,4152,14.88,99915
14,747755,68870,13771079,9760508,19,19472,12951,18944,3111278,1836,290608,4152,14.56,99915
15,817625,72397,7731719,10645192,19,19472,12951,20054,3325303,1836,290608,4152,14.90,99915
16,884035,75894,7804951,11561242,19,19472,12951,21147,3539457,1836,290608,4152,14.90,99915
17,947932,79656,7913738,12447426,19,19472,12951,22294,3746334,1836,290608,4152,14.29,99915
18,1013594,82918,16753438,13361257,19,19472,12951,23407,3964625,1836,290608,4152,14.88,99915
19,1079441,97740,8110367,14249151,19,19472,12951,24573,4176999,1836,290608,4152,14.71,99915
20,1145846,101131,8204813,15137213,19,19472,12951,25519,4386339,1836,290608,4152,14.49,99915
21,1210791,106386,8305270,16034554,19,19472,12951,26647,4599125,1836,290608,4152,14.54,99915
22,1277993,113462,8408218,16936824,19,19472,12951,27792,4815450,1836,290608,4152,15.14,99915
23,1347143,117011,20522872,17875143,19,19472,12951,28965,5035014,1836,290608,4152,15.11,99915
24,1412501,119565,8564047,18792560,19,19472,12951,29984,5250103,1836,290608,4152,15.07,99915
25,1476570,123412,8674991,19676918,19,19472,12951,31103,5460381,1836,290608,4152,14.25,99915
26,1542841,130856,8787538,20555388,19,19472,12951,32284,5672806,1836,290608,4152,14.64,99915
27,1607149,134209,8887839,21440761,19,19472,12951,33461,5881740,1836,290608,4152,14.42,99915
28,1674548,137184,24231239,22341503,19,19472,12951,34652,6101105,1836,290608,4152,15.21,99915
29,1742094,140709,24974898,23219596,19,19472,12951,35792,6313045,1836,290608,4152,14.83,99915
30,1806492,144111,9181665,24120744,19,19472,12951,37020,6525632,1836,290608,4152,14.69,99915
31,1872920,147326,26463420,25026188,19,19472,12951,38145,6739114,1836,290608,4152,14.83,99915
32,1938411,160426,27210324,25913035,19,19472,12951,39339,6955172,1836,290608,4152,14.69,99915
33,2006859,176203,27973225,26833349,19,19472,12951,40591,7173088,1836,290608,4152,15.11,99915
34,2070206,179220,9579178,27726232,19,19472,12951,41695,7382848,1836,290608,4152,14.56,99915
35,2135530,182694,29467900,28612576,19,19472,12951,42869,7595960,1836,290608,4152,14.49,99915
36,2205117,196569,9811381,29505135,19,19472,12951,44048,7813809,1836,290608,4152,15.29,99915
37,2273200,199850,30957113,30404038,19,19472,12951,45199,8031072,1836,290608,4152,15.22,99915
38,2338925,203075,10010142,31289790,19,19472,12951,46405,8248031,1836,290608,4152,15.02,99915
39,2407681,206754,10109733,32178111,19,19472,12951,47600,8471113,1836,290608,4152,15.52,99915
40,2476909,209912,10217663,33084524,19,19472,12951,48791,8693425,1836,290608,4152,15.36,99915
41,2543130,213214,10339567,33946908,19,19472,12951,50005,8906675,1836,290608,4152,14.63,99915
42,2608388,217952,10435193,34850010,19,19472,12951,51150,9121407,1836,290608,4152,14.88,99915
43,2676480,225551,10528998,35747470,19,19472,12951,52334,9342808,1836,290608,4152,15.18,99915
44,2741106,229534,10619350,36649510,19,19472,12951,53510,9555232,1836,290608,4152,14.69,99915
45,2809791,232490,10688471,37570788,19,19472,12951,54589,9773704,1836,290608,4152,15.03,99915
46,2876152,236080,10778250,38477879,19,19472,12951,55871,9995569,1836,290608,4152,15.23,99915
47,2941092,239754,38388750,39364754,19,19472,12951,56958,10205074,1836,290608,4152,14.19,99915
48,3003918,246416,11001995,40235619,19,19472,12951,58126,10412250,1836,290608,4152,14.10,99915
49,3071887,253461,11097234,41142905,19,19472,12951,59210,10630513,1836,290608,4152,15.30,99915
50,3135013,256735,11215321,42015003,19,19472,12951,60313,10833223,1836,290608,4152,13.90,99915
51,3198111,260101,11351169,42881740,19,19472,12951,61460,11035152,1836,290608,4152,13.93,99915
52,3261643,263747,42170278,43744409,19,19472,12951,62680,11237290,1836,290608,4152,13.86,99915
53,3326585,277354,11636776,44615394,19,19472,12951,63824,11443421,1836,290608,4152,14.52,99915
54,3385133,280677,43726648,45414385,19,19472,12951,64920,11626714,1836,290608,4152,12.55,99915
55,3446646,283485,44478747,46291155,19,19472,12951,66027,11834360,1836,290608,4152,14.30,99915
56,3515325,297983,12047700,47198235,19,19472,12951,67181,12050514,1836,290608,4152,15.13,99915
57,3579130,301211,45969171,48080602,19,19472,12951,68285,12255885,1836,290608,4152,14.18,99915
58,3645686,305516,12267276,48964613,19,19472,12951,69454,12463960,1836,290608,4152,14.26,99915
59,3711933,308817,47487041,49863830,19,19472,12951,70660,12678155,1836,290608,4152,14.61,99915
60,3780065,322330,12485890,50768539,19,19472,12951,71857,12894796,1836,290608,4152,15.11,99915
61,3843453,325568,12600922,51642379,19,19472,12951,72872,13098976,1836,290608,4152,14.07,99915
62,3908516,329147,12686431,52547737,19,19472,12951,74132,13310810,1836,290608,4152,14.68,99915
63,3976184,332496,12790376,53432465,19,19472,12951,75260,13526017,1836,290608,4152,14.86,99915
64,4040562,335693,12890543,54316381,19,19472,12951,76423,13729983,1836,290608,4152,14.15,99915
65,4105694,339555,12988299,55219132,19,19472,12951,77581,13944595,1836,290608,4152,14.70,99915
66,4172952,348082,13070744,56131931,19,19472,12951,78776,14166025,1836,290608,4152,15.09,99915
67,4239884,359191,53497036,57056603,19,19472,12951,79945,14384955,1836,290608,4152,15.13,99915
68,4303662,375405,13332637,57924703,19,19472,12951,81130,14590849,1836,290608,4152,14.08,99915
69,4370819,379156,13434803,58847382,19,19472,12951,82259,14804756,1836,290608,4152,15.02,99915
70,4436687,382606,13536398,59736801,19,19472,12951,83434,15014002,1836,290608,4152,14.34,99915
71,4500473,388115,13640358,60632646,19,19472,12951,84528,15224300,1836,290608,4152,14.52,99915
72,4562577,394494,13793416,61479487,19,19472,12951,85658,15427268,1836,290608,4152,14.07,99915
73,4628793,398406,13911307,62389603,19,19472,12951,86753,15638879,1836,290608,4152,14.57,99915
74,4694935,402024,14016537,63278170,19,19472,12951,87893,15848408,1836,290608,4152,14.49,99915
75,4759586,405282,14132830,64152520,19,19472,12951,89059,16060917,1836,290608,4152,14.43,99915
76,4826524,408772,14223252,65048800,19,19472,12951,90308,16279527,1836,290608,4152,15.23,99915
77,4895510,417757,14310468,65990562,19,19472,12951,91448,16503190,1836,290608,4152,15.31,99915
78,4956526,421246,14460944,66836518,19,19472,12951,92576,16696722,1836,290608,4152,13.51,99915
79,5002779,424559,14766544,67520862,19,19472,12951,93675,16843042,1836,290608,4152,10.30,99915
80,5066178,428346,14902764,68370501,19,19472,12951,94816,17046442,1836,290608,4152,14.15,99915
81,5131909,431530,15014896,69279474,19,19472,12951,96011,17257109,1836,290608,4152,14.58,99915
82,5197062,435127,15132825,70153423,19,19472,12951,97088,17457560,1836,290608,4152,14.03,99915
83,5252322,438244,65813777,70920753,19,19472,12951,98225,17627457,1836,290608,4152,11.95,99915
84,5299277,441222,66639506,71560591,19,19472,12951,99349,17766972,1836,290608,4152,10.04,99915
85,5333277,444312,16174853,72092696,19,19472,12951,100371,17872746,1836,290608,4152,7.32,99915
86,5373221,447646,16593544,72669748,19,19472,12951,101445,17986495,1836,290608,4152,8.21,99915
87,5427122,451298,69162507,73419471,19,19472,12951,102527,18158768,1836,290608,4152,11.85,99915
88,5473649,467569,70016602,74057297,19,19472,12951,103638,18295137,1836,290608,4152,9.69,99915
89,5521544,470749,17528721,74758040,19,19472,12951,104714,18444777,1836,290608,4152,10.68,99915
90,5572393,473826,71642156,75457236,19,19472,12951,105822,18595456,1836,290608,4152,10.58,99915
91,5622471,480839,72451480,76156360,19,19472,12951,106902,18751998,1836,290608,4152,10.79,99915
92,5668102,491300,18498180,76797047,19,19472,12951,107989,18890547,1836,290608,4152,9.88,99915
93,5713536,494207,74144327,77428059,19,19472,12951,108996,19023200,1836,290608,4152,9.50,99915
94,5762617,497383,74960091,78116256,19,19472,12951,110059,19172176,1836,290608,4152,10.45,99915
95,5826009,504557,75726814,78987750,19,19472,12951,111333,19379290,1836,290608,4152,14.27,99915
96,5887438,517225,19506353,79807465,19,19472,12951,112476,19565655,1836,290608,4152,13.08,99915
97,5934047,520411,77367911,80471643,19,19472,12951,113576,19705889,1836,290608,4152,9.90,99915
98,5981867,523955,78189829,81152038,19,19472,12951,114552,19849748,1836,290608,4152,10.32,99915
99,6021310,528751,20572774,81746291,19,19472,12951,115718,19969828,1836,290608,4152,8.46,99915
100,6070084,535425,79872783,82391239,19,19472,12951,116737,20112402,1836,290608,4152,10.05,99915
101,6113649,541008,80714945,83004918,19,19472,12951,117803,20240345,1836,290608,4152,8.98,99915
102,6154926,544347,81564101,83593251,19,19472,12951,118833,20358612,1836,290608,4152,8.57,99915
103,6207274,552326,22019955,84296891,19,19472,12951,119945,20515563,1836,290608,4152,11.06,99915
104,6261796,563521,83193321,85033189,19,19472,12951,121053,20675691,1836,290608,4152,11.60,99915
105,6303714,566945,84030632,85660418,19,19472,12951,122145,20805573,1836,290608,4152,9.13,99915
106,6345248,570840,23033114,86279992,19,19472,12951,123203,20933884,1836,290608,4152,9.04,99915
107,6411260,574017,85621790,87164613,19,19472,12951,124326,21143093,1836,290608,4152,14.38,99915
108,6480943,589858,23239531,88089812,19,19472,12951,125548,21358738,1836,290608,4152,15.33,99915
109,6541839,593917,23355286,88966715,19,19472,12951,126574,21564117,1836,290608,4152,13.99,99915
110,6606695,597209,23453998,89865998,19,19472,12951,127819,21773272,1836,290608,4152,14.44,99915
111,6672928,600609,88638489,90755765,19,19472,12951,129015,21985319,1836,290608,4152,14.65,99915
