period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,wifi,esp_timer,TmrSvc,ipc1,Heap,Stack,Mbps,main
3,413,0,4331524,10502,24031,1836,706677,3793,19,19478,290608,4152,0.01,99161
4,4471,11042,4505799,13703,24031,1836,719273,5099,19,19478,290608,4152,0.00,99161
5,4471,13638,5488707,15236,24031,1836,733593,6461,19,19478,290608,4152,0.00,99161
6,88737,16336,6489347,852132,24031,1836,963014,7693,19,19478,290608,4152,16.86,99161
7,170615,20443,6902295,1720674,24031,1836,1196719,9024,19,19478,290608,4152,17.42,99161
8,248806,23879,6740231,2592759,24031,1836,1432769,10264,19,19478,290608,4152,17.19,99161
9,330599,27436,6836622,3481579,24031,1836,1673243,11502,19,19478,290608,4152,17.51,99161
10,409516,30784,6965833,4347702,24031,1836,1908701,12723,19,19478,290608,4152,16.98,99161
11,485055,34636,7162206,5149373,24031,1836,2123819,14014,19,19478,290608,4152,15.62,99161
12,558927,37503,10508957,5885882,24031,1836,2317413,15215,19,19478,290608,4152,14.31,99161
13,635156,40681,7603777,6684839,24031,1836,2526969,16442,19,19478,290608,4152,15.69,99161
14,706512,44631,7825488,7458981,24031,1836,2737194,17661,19,19478,290608,4152,15.17,99161
15,782416,47666,8019567,8262200,24031,1836,2950868,18953,19,19478,290608,4152,15.72,99161
16,854797,51623,8260156,9017349,24031,1836,3150950,20130,19,19478,290608,4152,14.63,99161
17,933506,55086,8426597,9845762,24031,1836,3372980,21328,19,19478,290608,4152,16.23,99161
18,1008055,58410,8630221,10637457,24031,1836,3585446,22458,19,19478,290608,4152,15.40,99161
19,1083157,61844,15655626,11451643,24031,1836,3799955,23780,19,19478,290608,4152,15.85,99161
20,1159697,65635,9006033,12241447,24031,1836,4008421,25000,19,19478,290608,4152,15.53,99161
21,1239117,68827,9176384,13064555,24031,1836,4226085,26279,19,19478,290608,4152,16.08,99161
22,1316749,72693,9381584,13852545,24031,1836,4433423,27524,19,19478,290608,4152,15.37,99161
23,1390515,76413,9576971,14653382,24031,1836,4649934,28878,19,19478,290608,4152,15.69,99161
24,1466614,80123,9776480,15450408,24031,1836,4861246,30158,19,19478,290608,4152,15.46,99161
25,1539671,83114,10010413,16208955,24031,1836,5063952,31414,19,19478,290608,4152,14.69,99161
26,1618827,86828,10182602,17026205,24031,1836,5279448,32469,19,19478,290608,4152,15.84,99161
27,1692006,90375,10410208,17795036,24031,1836,5481807,33717,19,19478,290608,4152,14.83,99161
28,1769552,94013,10601853,18599195,24031,1836,5693612,34913,19,19478,290608,4152,15.50,99161
29,1843269,97632,10790621,19397835,24031,1836,5905302,36113,19,19478,290608,4152,15.57,99161
30,1920477,100752,10997123,20177739,24031,1836,6113040,37380,19,19478,290608,4152,15.07,99161
31,1996758,104176,24484151,21004866,24031,1836,6333160,38643,19,19478,290608,4152,16.09,99161
32,2069319,107832,11334306,21817854,24031,1836,6557645,39878,19,19478,290608,4152,15.97,99161
33,2147240,111094,11470265,22676006,24031,1836,6792979,41157,19,19478,290608,4152,16.77,99161
34,2225166,114787,11603408,23537067,24031,1836,7026749,42398,19,19478,290608,4152,16.73,99161
35,2301187,117767,11751111,24372168,24031,1836,7254416,43611,19,19478,290608,4152,16.38,99161
36,2379546,121033,11927742,25192098,24031,1836,7470712,44887,19,19478,290608,4152,16.07,99161
37,2453828,124746,12172039,25946088,24031,1836,7663789,46084,19,19478,290608,4152,14.60,99161
38,2530955,128071,12352511,26762156,24031,1836,7878300,47300,19,19478,290608,4152,15.86,99161
39,2609294,131503,30288588,27595029,24031,1836,8096111,48553,19,19478,290608,4152,16.13,99161
40,2680081,134664,12763517,28338215,24031,1836,8294655,49776,19,19478,290608,4152,14.58,99161
41,2756413,138107,31767593,29141917,24031,1836,8507389,51014,19,19478,290608,4152,15.59,99161
42,2831785,141049,32506432,29915891,24031,1836,8708533,52258,19,19478,290608,4152,15.20,99161
43,2906885,144521,13361217,30708560,24031,1836,8919134,53501,19,19478,290608,4152,15.54,99161
44,2980914,148207,13557095,31510994,24031,1836,9134312,54773,19,19478,290608,4152,15.64,99161
45,3058708,151467,13716478,32350361,24031,1836,9355510,55992,19,19478,290608,4152,16.29,99161
46,3134165,154788,13861185,33192723,24031,1836,9580814,57139,19,19478,290608,4152,16.63,99161
47,3211812,158592,14056200,33998721,24031,1836,9792956,58415,19,19478,290608,4152,15.63,99161
48,3288738,162151,14206098,34842273,24031,1836,10017710,59624,19,19478,290608,4152,16.56,99161
49,3365502,165635,37610006,35690648,24031,1836,10246990,60843,19,19478,290608,4152,16.51,99161
50,3441136,169268,14502288,36538874,24031,1836,10475762,62097,19,19478,290608,4152,16.58,99161
51,3519064,172969,14654385,37380257,24031,1836,10699917,63368,19,19478,290608,4152,16.46,99161
52,3597470,176565,14775919,38255281,24031,1836,10936566,64630,19,19478,290608,4152,17.14,99161
53,3654786,179837,40569579,38861600,24031,1836,11098665,65854,19,19478,290608,4152,11.59,99161
54,3674478,182833,41500333,39037984,24031,1836,11150846,67014,19,19478,290608,4152,3.20,99161
55,3726762,185938,16486521,39538418,24031,1836,11295657,68118,19,19478,290608,4152,9.55,99161
56,3801597,189100,16669393,40340621,24031,1836,11507673,69372,19,19478,290608,4152,15.56,99161
57,3877960,192647,43787833,41133510,24031,1836,11714913,70561,19,19478,290608,4152,15.24,99161
58,3953383,195223,16999931,41998787,24031,1836,11945054,71809,19,19478,290608,4152,16.88,99161
59,4022675,198640,17317832,42672766,24031,1836,12120597,72996,19,19478,290608,4152,12.88,99161
60,4097483,202331,17570378,43413300,24031,1836,12311432,74264,19,19478,290608,4152,14.15,99161
61,4170424,205730,17789247,44181909,24031,1836,12512463,75402,19,19478,290608,4152,14.90,99161
62,4247200,209399,17996023,44971064,24031,1836,12720131,76676,19,19478,290608,4152,15.18,99161
63,4324923,212766,18159676,45800392,24031,1836,12937778,77939,19,19478,290608,4152,16.01,99161
64,4399717,216118,18379618,46570597,24031,1836,13138621,79136,19,19478,290608,4152,14.86,99161
65,4477081,219606,18518471,47422083,24031,1836,13361196,80400,19,19478,290608,4152,16.49,99161
66,4556713,223543,18634446,48294746,24031,1836,13590911,81671,19,19478,290608,4152,16.95,99161
67,4633381,226880,18795285,49129053,24031,1836,13808730,82892,19,19478,290608,4152,16.17,99161
68,4712242,230880,18905763,50019247,24031,1836,14044826,84072,19,19478,290608,4152,17.30,99161
69,4790492,234346,18991213,50924951,24031,1836,14285104,85353,19,19478,290608,4152,17.68,99161
70,4868275,237758,19095932,51815627,24031,1836,14528393,86611,19,19478,290608,4152,17.32,99161
71,4944910,240798,19201874,52690573,24031,1836,14768396,87891,19,19478,290608,4152,16.96,99161
72,5021661,244353,19314130,53568951,24031,1836,15010605,89104,19,19478,290608,4152,17.07,99161
73,5098681,247521,19442202,54429355,24031,1836,15242046,90360,19,19478,290608,4152,16.76,99161
74,5174850,251170,19553822,55309829,24031,1836,15478945,91672,19,19478,290608,4152,17.11,99161
75,5251873,254697,19659846,56191773,24031,1836,15718704,92866,19,19478,290608,4152,17.15,99161
76,5327661,258253,19802768,57040986,24031,1836,15952730,94119,19,19478,290608,4152,16.45,99161
77,5406614,261512,58216633,57920433,24031,1836,16196033,95423,19,19478,290608,4152,17.19,99161
78,5484502,264802,20003091,58818492,24031,1836,16440298,96663,19,19478,290608,4152,17.47,99161
79,5563094,268718,20103279,59707198,24031,1836,16683922,97931,19,19478,290608,4152,17.26,99161
80,5637883,271986,20243701,60564858,24031,1836,16922255,99165,19,19478,290608,4152,16.65,99161
81,5712364,275589,61041969,61438456,24031,1836,17163854,100503,19,19478,290608,4152,16.95,99161
82,5791811,278589,20488226,62295178,24031,1836,17401092,101730,19,19478,290608,4152,16.83,99161
83,5867952,282432,20635614,63137667,24031,1836,17632895,103019,19,19478,290608,4152,16.45,99161
84,5944416,286045,20772174,63998368,24031,1836,17866982,104239,19,19478,290608,4152,16.83,99161
85,6022515,289568,20888901,64875643,24031,1836,18107683,105496,19,19478,290608,4152,17.14,99161
86,6098050,292683,21032655,65720425,24031,1836,18341194,106696,19,19478,290608,4152,16.47,99161
87,6174677,296054,21168332,66577574,24031,1836,18574947,107964,19,19478,290608,4152,16.72,99161
88,6250947,299601,21299242,67443656,24031,1836,18817047,109249,19,19478,290608,4152,16.88,99161
89,6325533,303240,21435075,68295184,24031,1836,19053090,110480,19,19478,290608,4152,16.62,99161
90,6402454,306693,21583503,69134467,24031,1836,19285611,111603,19,19478,290608,4152,16.36,99161
91,6477599,310349,68165819,69986027,24031,1836,19523112,112886,19,19478,290608,4152,16.61,99161
92,6551687,313898,21872409,70821496,24031,1836,19757058,114207,19,19478,290608,4152,16.49,99161
93,6628172,317411,22000763,71684097,24031,1836,19996836,115391,19,19478,290608,4152,16.89,99161
94,6702587,321242,22138244,72542120,24031,1836,20236972,116642,19,19478,290608,4152,16.75,99161
95,6777257,324500,22299971,73375267,24031,1836,20465727,117891,19,19478,290608,4152,16.29,99161
96,6856548,327818,22409400,74260837,24031,1836,20706096,119187,19,19478,290608,4152,17.32,99161
97,6929378,331353,72474035,75087026,24031,1836,20934080,120448,19,19478,290608,4152,16.09,99161
98,7006134,334735,22708832,75945137,24031,1836,21169597,121686,19,19478,290608,4152,16.90,99161
99,7083739,338014,22859146,76786063,24031,1836,21399391,122902,19,19478,290608,4152,16.42,99161
100,7158313,341957,23005793,77635307,24031,1836,21636730,124247,19,19478,290608,4152,16.57,99161
101,7234471,345712,23144881,78489673,24031,1836,21874536,125518,19,19478,290608,4152,16.68,99161
102,7312030,348924,76042287,79361801,24031,1836,22115414,126720,19,19478,290608,4152,17.01,99161
103,7384841,352343,23410155,80193906,24031,1836,22349088,128019,19,19478,290608,4152,16.36,99161
104,7462605,356060,23531555,81070271,24031,1836,22593264,129305,19,19478,290608,4152,17.03,99161
105,7539339,359913,23680084,81920526,24031,1836,22828652,130514,19,19478,290608,4152,16.58,99161
106,7613837,363331,23797496,82793416,24031,1836,23069479,131699,19,19478,290608,4152,17.04,99161
107,7688526,366927,23947518,83626704,24031,1836,23301090,132859,19,19478,290608,4152,16.31,99161
108,7765374,370885,24095075,84475525,24031,1836,23529699,134159,19,19478,290608,4152,16.52,99161
109,7843805,374109,24220444,85346043,24031,1836,23763714,135447,19,19478,290608,4152,17.02,99161
110,7919453,378001,24345390,86213537,24031,1836,24000480,136677,19,19478,290608,4152,16.93,99161
111,7996672,381502,24480515,87066717,24031,1836,24233243,137925,19,19478,290608,4152,16.67,99161
112,8073253,384985,83176996,87925154,24031,1836,24464057,139222,19,19478,290608,4152,16.75,99161
113,8150317,388579,24736949,88795777,24031,1836,24698301,140498,19,19478,290608,4152,17.06,99161
114,8225852,391853,24866862,89659816,24031,1836,24932631,141651,19,19478,290608,4152,16.96,99161
115,8304595,395717,25004758,90521785,24031,1836,25164356,142925,19,19478,290608,4152,16.85,99161
116,8383793,399014,25138535,91384261,24031,1836,25394982,144216,19,19478,290608,4152,16.82,99161
117,8457771,402936,25309956,92206624,24031,1836,25616635,145482,19,19478,290608,4152,16.02,99161
118,8532742,406010,25501735,93001781,24031,1836,25826385,146670,19,19478,290608,4152,15.43,99161
119,8605876,409582,25686542,93808955,24031,1836,26042950,148013,19,19478,290608,4152,15.70,99161
120,8679927,413579,88980376,94583190,24031,1836,26248801,149277,19,19478,290608,4152,15.05,99161
121,8757502,417031,26098537,95395797,24031,1836,26466297,150544,19,19478,290608,4152,15.77,99161
122,8829735,420568,26301493,96187731,24031,1836,26676230,151807,19,19478,290608,4152,15.42,99161
123,8901856,423761,26502505,96975939,24031,1836,26888382,153036,19,19478,290608,4152,15.23,99161
124,8977054,426895,26670108,97799731,24031,1836,27108152,154240,19,19478,290608,4152,15.96,99161
125,9052770,430934,26823466,98642496,24031,1836,27337329,155392,19,19478,290608,4152,16.29,99161
126,9122282,433865,93395534,99406704,24031,1836,27542839,156653,19,19478,290608,4152,14.84,99161
127,9124996,437309,27998593,99460957,24031,1836,27574769,158401,19,19478,290608,4152,0.69,99161
128,9133635,440500,95305305,99576534,24031,1836,27625257,160215,19,19478,290608,4152,1.89,99161
129,9190672,443685,96100144,100166775,24031,1836,27788631,161428,19,19478,290608,4152,11.47,99161
130,9263022,447100,29480823,100958147,24031,1836,28002563,162671,19,19478,290608,4152,15.48,99161
131,9339480,450439,97568033,101771930,24031,1836,28216791,163814,19,19478,290608,4152,15.82,99161
132,9414057,454559,29861715,102559409,24031,1836,28427041,165017,19,19478,290608,4152,15.35,99161
133,9487118,458448,30098708,103318856,24031,1836,28634951,166321,19,19478,290608,4152,14.66,99161
134,9561809,461854,30295033,104123280,24031,1836,28848332,167600,19,19478,290608,4152,15.66,99161
135,9638312,465825,30483130,104932314,24031,1836,29059978,168859,19,19478,290608,4152,15.67,99161
136,9714741,469198,30671351,105733372,24031,1836,29271961,170076,19,19478,290608,4152,15.56,99161
137,9790094,472941,30878969,106517029,24031,1836,29478262,171203,19,19478,290608,4152,15.19,99161
138,9865358,476719,31083323,107308747,24031,1836,29690243,172438,19,19478,290608,4152,15.35,99161
139,9940077,479743,31300266,108081365,24031,1836,29896049,173768,19,19478,290608,4152,14.92,99161
