period,wifi,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
48,11666802,16421284,5374225,212728,113864,36194732,19,36496,24540,65591,1881,206992,4152,16.75
49,11891348,16707046,5485117,221027,113864,33941134,19,36496,24540,66988,1881,206992,4152,15.62
50,12146959,17028684,5615417,229489,113864,34588820,19,36496,24540,68365,1881,206992,4152,17.64
51,12385731,17334475,5739578,237387,113864,38253769,19,36496,24540,69617,1881,206992,4152,16.43
52,12621795,17623477,5862686,240024,113864,38943130,19,36496,24540,71108,1881,206992,4152,16.25
53,12870940,17949064,5992742,243064,113864,36537872,19,36496,24540,72377,1881,206992,4152,17.07
54,13109517,18240596,6111594,252283,113864,37226292,19,36496,24540,73656,1881,206992,4152,16.73
55,13353666,18526818,6233586,263289,113864,40996770,19,36496,24540,74952,1881,206992,4152,16.75
56,13594044,18808677,6351856,266711,113864,41674005,19,36496,24540,76180,1881,206992,4152,16.73
57,13826555,19088627,6467306,269583,113864,42362882,19,36496,24540,77446,1881,206992,4152,16.27
58,14070307,19357501,6587312,272134,113864,43043988,19,36496,24540,78559,1881,206992,4152,16.70
59,14300752,19628214,6699763,275321,113864,43744573,19,36496,24540,79810,1881,206992,4152,15.96
60,14548725,19886269,6824655,277984,113864,41377966,19,36496,24540,81165,1881,206992,4152,17.24
61,14785800,20178912,6944023,280930,113864,45109868,19,36496,24540,82499,1881,206992,4152,16.37
62,15025700,20470469,7062580,284369,113864,42718200,19,36496,24540,83612,1881,206992,4152,16.75
63,15267195,20731855,7183708,287603,113864,46479778,19,36496,24540,84897,1881,206992,4152,16.71
64,15504906,21009036,7300505,290263,113864,47174479,19,36496,24540,86178,1881,206992,4152,16.24
65,15745769,21281684,7421153,293802,113864,47858849,19,36496,24540,87457,1881,206992,4152,16.73
66,15982493,21555275,7540093,296327,113864,48542398,19,36496,24540,88692,1881,206992,4152,16.47
67,16220122,21836450,7658023,298881,113864,49230219,19,36496,24540,89922,1881,206992,4152,16.37
68,16458223,22098526,7775941,302210,113864,49912814,19,36496,24540,91281,1881,206992,4152,16.28
69,16695373,22372450,7892152,305294,113864,47540189,19,36496,24540,92566,1881,206992,4152,16.65
70,16933816,22631088,8010167,312226,113864,48250510,19,36496,24540,93992,1881,206992,4152,16.62
71,17177186,22896378,8131014,323282,113864,51974853,19,36496,24540,95214,1881,206992,4152,16.90
72,17421485,23178992,8251258,329940,113864,52653274,19,36496,24540,96526,1881,206992,4152,16.75
73,17657270,23447270,8365598,338660,113864,53343799,19,36496,24540,97810,1881,206992,4152,16.33
74,17899247,23735300,8483068,341773,113864,54027475,19,36496,24540,99133,1881,206992,4152,16.72
75,18135178,24019029,8602531,344782,113864,54715035,19,36496,24540,100423,1881,206992,4152,16.59
76,18373884,24313006,8720418,347336,113864,55400143,19,36496,24540,101815,1881,206992,4152,16.46
77,18612228,24643101,8838409,350360,113864,52986993,19,36496,24540,103125,1881,206992,4152,16.79
78,18850189,24916557,8959363,356876,113864,56776553,19,36496,24540,104281,1881,206992,4152,16.33
79,19092777,25182398,9078358,363100,113864,54368983,19,36496,24540,105462,1881,206992,4152,16.93
80,19330051,25487397,9198301,368458,113864,58154683,19,36496,24540,106697,1881,206992,4152,16.53
81,19572573,25765713,9319979,370829,113864,58837409,19,36496,24540,107972,1881,206992,4152,16.43
82,19808085,26029594,9434448,374091,113864,59523578,19,36496,24540,109342,1881,206992,4152,16.28
83,20051751,26329620,9551159,377416,113864,57068080,19,36496,24540,110592,1881,206992,4152,17.22
84,20286113,26609923,9665840,388970,113864,60899802,19,36496,24540,111939,1881,206992,4152,16.52
