period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,11146982,983568,31949749,151471250,19,19472,12951,208728,36275599,1836,290608,4152,14.85,99915
1,511,511,4342066,9930,19,19435,24525,3686,705750,1836,290608,4152,0.02,99251
2,4375,11753,4517189,13028,19,19435,24525,4948,717183,1836,290608,4152,0.00,99251
3,4375,14347,5502073,14785,19,19435,24525,6205,730723,1836,290608,4152,0.00,99251
4,83149,16990,6509080,842822,19,19435,24525,7437,960766,1836,290608,4152,16.26,99251
5,157830,21032,6665528,1690966,19,19435,24525,8602,1188761,1836,290608,4152,16.45,99251
6,232818,24576,6786404,2564665,19,19435,24525,9728,1410726,1836,290608,4152,15.79,99251
7,303673,28361,6892497,3457202,19,19435,24525,10956,1629437,1836,290608,4152,15.55,99251
8,375308,31757,9144744,4298913,19,19435,24525,12153,1837237,1836,290608,4152,15.08,99251
9,442324,39392,7193859,5140338,19,19435,24525,13282,2046797,1836,290608,4152,14.83,99251
10,515401,50715,7331857,6013301,19,19435,24525,14409,2264466,1836,290608,4152,15.75,99251
11,586609,57025,11372122,6879834,19,19435,24525,15633,2485126,1836,290608,4152,15.39,99251
12,660102,68405,12108781,7767966,19,19435,24525,16794,2712698,1836,290608,4152,16.08,99251
13,731136,71394,7708474,8626939,19,19435,24525,17886,2937188,1836,290608,4152,15.64,99251
14,805915,78645,7808392,9553984,19,19435,24525,19158,3169943,1836,290608,4152,16.47,99251
15,879412,81974,14317151,10450429,19,19435,24525,20433,3401629,1836,290608,4152,16.22,99251
16,950171,98569,8036394,11336318,19,19435,24525,21544,3624734,1836,290608,4152,15.81,99251
17,1019959,101977,15804691,12210457,19,19435,24525,22735,3847836,1836,290608,4152,15.36,99251
18,1092555,116627,8273310,13092207,19,19435,24525,23890,4071685,1836,290608,4152,15.86,99251
19,1163309,123968,8394526,13959888,19,19435,24525,25117,4289972,1836,290608,4152,15.52,99251
20,1234908,135086,8523925,14859883,19,19435,24525,26230,4512658,1836,290608,4152,15.81,99251
21,1302241,138328,18789167,15712793,19,19435,24525,27397,4728327,1836,290608,4152,14.99,99251
22,1374897,154613,8795178,16604454,19,19435,24525,28579,4949821,1836,290608,4152,15.84,99251
23,1445753,158212,8917062,17472756,19,19435,24525,29748,5173617,1836,290608,4152,15.52,99251
24,1513930,162000,9065077,18347913,19,19435,24525,30941,5387121,1836,290608,4152,15.07,99251
25,1586026,165120,9176505,19231815,19,19435,24525,32097,5612901,1836,290608,4152,15.92,99251
26,1659606,168767,9271198,20161509,19,19435,24525,33255,5841053,1836,290608,4152,16.22,99251
27,1728085,172177,9398305,21020095,19,19435,24525,34424,6061023,1836,290608,4152,15.41,99251
28,1799303,180471,9525820,21930888,19,19435,24525,35596,6284515,1836,290608,4152,15.80,99251
29,1867401,183675,24776785,22781077,19,19435,24525,36736,6502321,1836,290608,4152,15.19,99251
30,1938444,199825,25534377,23649835,19,19435,24525,37931,6717190,1836,290608,4152,15.24,99251
31,2003522,202961,9971592,24476078,19,19435,24525,39086,6929409,1836,290608,4152,14.85,99251
32,2077070,211435,10084461,25389345,19,19435,24525,40228,7151383,1836,290608,4152,15.85,99251
33,2146801,215203,27780886,26253619,19,19435,24525,41382,7372394,1836,290608,4152,15.46,99251
34,2214756,231721,10390298,27097562,19,19435,24525,42574,7587876,1836,290608,4152,14.76,99251
35,2283793,234873,29273625,27977915,19,19435,24525,43755,7815169,1836,290608,4152,15.68,99251
